datetime,datetime_nano,SHFE.hc1905.open,SHFE.hc1905.high,SHFE.hc1905.low,SHFE.hc1905.close,SHFE.hc1905.volume,SHFE.hc1905.open_oi,SHFE.hc1905.close_oi
2018-05-15 21:00:00.000000000,1526389200000000000,3532.0,3560.0,3532.0,3545.0,107,0,107
2018-05-15 21:05:00.000000000,1526389500000000000,3545.0,3549.0,3545.0,3549.0,34,107,141
2018-05-15 21:10:00.000000000,1526389800000000000,3549.0,3568.0,3549.0,3549.0,10,141,148
2018-05-15 21:15:00.000000000,1526390100000000000,3549.0,3549.0,3547.0,3547.0,14,148,162
2018-05-15 21:20:00.000000000,1526390400000000000,3547.0,3554.0,3547.0,3554.0,1,162,163
2018-05-15 21:25:00.000000000,1526390700000000000,3554.0,3554.0,3554.0,3554.0,0,163,163
2018-05-15 21:30:00.000000000,1526391000000000000,3554.0,3554.0,3545.0,3545.0,63,163,220
2018-05-15 21:35:00.000000000,1526391300000000000,3545.0,3545.0,3543.0,3543.0,1,220,221
2018-05-15 21:40:00.000000000,1526391600000000000,3543.0,3549.0,3543.0,3545.0,4,221,224
2018-05-15 21:45:00.000000000,1526391900000000000,3545.0,3554.0,3545.0,3554.0,24,224,215
2018-05-15 21:50:00.000000000,1526392200000000000,3554.0,3557.0,3549.0,3555.0,13,215,215
2018-05-15 21:55:00.000000000,1526392500000000000,3555.0,3555.0,3555.0,3555.0,0,215,215
2018-05-15 22:00:00.000000000,1526392800000000000,3555.0,3555.0,3547.0,3547.0,9,215,223
2018-05-15 22:05:00.000000000,1526393100000000000,3547.0,3553.0,3547.0,3548.0,2,223,223
2018-05-15 22:10:00.000000000,1526393400000000000,3548.0,3554.0,3548.0,3554.0,2,223,222
2018-05-15 22:15:00.000000000,1526393700000000000,3554.0,3555.0,3554.0,3555.0,3,222,222
2018-05-15 22:20:00.000000000,1526394000000000000,3555.0,3555.0,3555.0,3555.0,0,222,222
2018-05-15 22:25:00.000000000,1526394300000000000,3555.0,3555.0,3555.0,3555.0,0,222,222
2018-05-15 22:30:00.000000000,1526394600000000000,3555.0,3555.0,3549.0,3549.0,2,222,222
2018-05-15 22:35:00.000000000,1526394900000000000,3549.0,3602.0,3549.0,3566.0,116,222,299
2018-05-15 22:40:00.000000000,1526395200000000000,3566.0,3575.0,3566.0,3567.0,58,299,331
2018-05-15 22:45:00.000000000,1526395500000000000,3567.0,3570.0,3567.0,3570.0,4,331,329
2018-05-15 22:50:00.000000000,1526395800000000000,3570.0,3580.0,3568.0,3575.0,27,329,347
2018-05-15 22:55:00.000000000,1526396100000000000,3575.0,3575.0,3569.0,3575.0,25,347,369
2018-05-16 09:00:00.000000000,1526432400000000000,3567.0,3590.0,3560.0,3563.0,58,369,424
2018-05-16 09:05:00.000000000,1526432700000000000,3563.0,3568.0,3561.0,3564.0,22,424,440
2018-05-16 09:10:00.000000000,1526433000000000000,3564.0,3575.0,3564.0,3575.0,16,440,453
2018-05-16 09:15:00.000000000,1526433300000000000,3575.0,3575.0,3570.0,3570.0,8,453,451
2018-05-16 09:20:00.000000000,1526433600000000000,3570.0,3574.0,3570.0,3570.0,8,451,459
2018-05-16 09:25:00.000000000,1526433900000000000,3570.0,3570.0,3555.0,3555.0,43,459,498
2018-05-16 09:30:00.000000000,1526434200000000000,3555.0,3560.0,3550.0,3560.0,4,498,500
2018-05-16 09:35:00.000000000,1526434500000000000,3560.0,3567.0,3553.0,3553.0,32,500,498
2018-05-16 09:40:00.000000000,1526434800000000000,3553.0,3555.0,3551.0,3553.0,22,498,501
2018-05-16 09:45:00.000000000,1526435100000000000,3553.0,3564.0,3553.0,3564.0,46,501,477
2018-05-16 09:50:00.000000000,1526435400000000000,3564.0,3564.0,3564.0,3564.0,0,477,477
2018-05-16 09:55:00.000000000,1526435700000000000,3564.0,3564.0,3564.0,3564.0,0,477,477
2018-05-16 10:00:00.000000000,1526436000000000000,3564.0,3564.0,3560.0,3560.0,1,477,477
2018-05-16 10:05:00.000000000,1526436300000000000,3560.0,3560.0,3560.0,3560.0,0,477,477
2018-05-16 10:10:00.000000000,1526436600000000000,3560.0,3560.0,3555.0,3555.0,2,477,478
2018-05-16 10:30:00.000000000,1526437800000000000,3555.0,3558.0,3555.0,3558.0,11,478,489
2018-05-16 10:35:00.000000000,1526438100000000000,3558.0,3560.0,3558.0,3560.0,3,489,491
2018-05-16 10:40:00.000000000,1526438400000000000,3560.0,3561.0,3560.0,3561.0,3,491,489
2018-05-16 10:45:00.000000000,1526438700000000000,3561.0,3561.0,3558.0,3558.0,8,489,496
2018-05-16 10:50:00.000000000,1526439000000000000,3558.0,3563.0,3558.0,3563.0,2,496,497
2018-05-16 10:55:00.000000000,1526439300000000000,3563.0,3563.0,3558.0,3558.0,7,497,503
2018-05-16 11:00:00.000000000,1526439600000000000,3558.0,3558.0,3558.0,3558.0,1,503,503
2018-05-16 11:05:00.000000000,1526439900000000000,3558.0,3562.0,3558.0,3562.0,1,503,503
2018-05-16 11:10:00.000000000,1526440200000000000,3562.0,3562.0,3562.0,3562.0,0,503,503
2018-05-16 11:15:00.000000000,1526440500000000000,3562.0,3564.0,3562.0,3563.0,2,503,504
2018-05-16 11:20:00.000000000,1526440800000000000,3563.0,3570.0,3563.0,3570.0,8,504,501
2018-05-16 11:25:00.000000000,1526441100000000000,3570.0,3581.0,3570.0,3581.0,16,501,493
2018-05-16 13:30:00.000000000,1526448600000000000,3594.0,3600.0,3594.0,3600.0,19,493,491
2018-05-16 13:35:00.000000000,1526448900000000000,3600.0,3608.0,3594.0,3594.0,8,491,493
2018-05-16 13:40:00.000000000,1526449200000000000,3594.0,3605.0,3585.0,3586.0,22,493,511
2018-05-16 13:45:00.000000000,1526449500000000000,3586.0,3604.0,3586.0,3601.0,9,511,515
2018-05-16 13:50:00.000000000,1526449800000000000,3601.0,3601.0,3601.0,3601.0,0,515,515
2018-05-16 13:55:00.000000000,1526450100000000000,3601.0,3603.0,3601.0,3603.0,3,515,513
2018-05-16 14:00:00.000000000,1526450400000000000,3603.0,3603.0,3603.0,3603.0,2,513,511
2018-05-16 14:05:00.000000000,1526450700000000000,3603.0,3603.0,3596.0,3596.0,1,511,512
2018-05-16 14:10:00.000000000,1526451000000000000,3596.0,3599.0,3567.0,3568.0,17,512,519
2018-05-16 14:15:00.000000000,1526451300000000000,3568.0,3571.0,3558.0,3558.0,52,519,560
2018-05-16 14:20:00.000000000,1526451600000000000,3558.0,3558.0,3551.0,3551.0,18,560,578
2018-05-16 14:25:00.000000000,1526451900000000000,3551.0,3575.0,3551.0,3575.0,2,578,579
2018-05-16 14:30:00.000000000,1526452200000000000,3575.0,3575.0,3563.0,3563.0,1,579,579
2018-05-16 14:35:00.000000000,1526452500000000000,3563.0,3563.0,3563.0,3563.0,0,579,579
2018-05-16 14:40:00.000000000,1526452800000000000,3563.0,3570.0,3563.0,3570.0,2,579,577
2018-05-16 14:45:00.000000000,1526453100000000000,3570.0,3570.0,3570.0,3570.0,0,577,577
2018-05-16 14:50:00.000000000,1526453400000000000,3570.0,3575.0,3570.0,3574.0,4,577,578
2018-05-16 14:55:00.000000000,1526453700000000000,3574.0,3575.0,3574.0,3575.0,1,578,577
2018-05-16 21:00:00.000000000,1526475600000000000,3572.0,3575.0,3572.0,3575.0,6,577,573
2018-05-16 21:05:00.000000000,1526475900000000000,3575.0,3575.0,3575.0,3575.0,0,573,573
2018-05-16 21:10:00.000000000,1526476200000000000,3575.0,3575.0,3575.0,3575.0,0,573,573
2018-05-16 21:15:00.000000000,1526476500000000000,3575.0,3575.0,3573.0,3573.0,1,573,572
2018-05-16 21:20:00.000000000,1526476800000000000,3573.0,3573.0,3573.0,3573.0,1,572,573
2018-05-16 21:25:00.000000000,1526477100000000000,3573.0,3573.0,3572.0,3572.0,1,573,573
2018-05-16 21:30:00.000000000,1526477400000000000,3572.0,3572.0,3572.0,3572.0,0,573,573
2018-05-16 21:35:00.000000000,1526477700000000000,3572.0,3574.0,3572.0,3574.0,1,573,573
2018-05-16 21:40:00.000000000,1526478000000000000,3574.0,3574.0,3574.0,3574.0,0,573,573
2018-05-16 21:45:00.000000000,1526478300000000000,3574.0,3574.0,3574.0,3574.0,0,573,573
2018-05-16 21:50:00.000000000,1526478600000000000,3574.0,3584.0,3574.0,3584.0,1,573,573
2018-05-16 21:55:00.000000000,1526478900000000000,3584.0,3586.0,3584.0,3586.0,52,573,625
2018-05-16 22:00:00.000000000,1526479200000000000,3586.0,3595.0,3586.0,3594.0,42,625,645
2018-05-16 22:05:00.000000000,1526479500000000000,3594.0,3600.0,3588.0,3588.0,76,645,700
2018-05-16 22:10:00.000000000,1526479800000000000,3588.0,3592.0,3588.0,3591.0,30,700,730
2018-05-16 22:15:00.000000000,1526480100000000000,3591.0,3591.0,3588.0,3590.0,10,730,739
2018-05-16 22:20:00.000000000,1526480400000000000,3590.0,3593.0,3590.0,3593.0,10,739,748
2018-05-16 22:25:00.000000000,1526480700000000000,3593.0,3594.0,3590.0,3593.0,20,748,767
2018-05-16 22:30:00.000000000,1526481000000000000,3593.0,3594.0,3591.0,3591.0,4,767,769
2018-05-16 22:35:00.000000000,1526481300000000000,3591.0,3591.0,3590.0,3590.0,1,769,770
2018-05-16 22:40:00.000000000,1526481600000000000,3590.0,3590.0,3590.0,3590.0,10,770,778
2018-05-16 22:45:00.000000000,1526481900000000000,3590.0,3594.0,3590.0,3590.0,8,778,783
2018-05-16 22:50:00.000000000,1526482200000000000,3590.0,3594.0,3589.0,3594.0,6,783,781
2018-05-16 22:55:00.000000000,1526482500000000000,3594.0,3594.0,3591.0,3593.0,2,781,782
2018-05-17 09:00:00.000000000,1526518800000000000,3593.0,3602.0,3593.0,3595.0,4,782,783
2018-05-17 09:05:00.000000000,1526519100000000000,3595.0,3595.0,3590.0,3591.0,5,783,785
2018-05-17 09:10:00.000000000,1526519400000000000,3591.0,3600.0,3591.0,3598.0,13,785,789
2018-05-17 09:15:00.000000000,1526519700000000000,3598.0,3598.0,3595.0,3595.0,12,789,778
2018-05-17 09:20:00.000000000,1526520000000000000,3595.0,3595.0,3588.0,3588.0,8,778,783
2018-05-17 09:25:00.000000000,1526520300000000000,3588.0,3588.0,3588.0,3588.0,18,783,800
2018-05-17 09:30:00.000000000,1526520600000000000,3588.0,3588.0,3588.0,3588.0,0,800,800
2018-05-17 09:35:00.000000000,1526520900000000000,3588.0,3588.0,3583.0,3583.0,2,800,800
2018-05-17 09:40:00.000000000,1526521200000000000,3583.0,3583.0,3583.0,3583.0,0,800,800
2018-05-17 09:45:00.000000000,1526521500000000000,3583.0,3583.0,3583.0,3583.0,2,800,801
2018-05-17 09:50:00.000000000,1526521800000000000,3583.0,3583.0,3583.0,3583.0,0,801,801
2018-05-17 09:55:00.000000000,1526522100000000000,3583.0,3583.0,3580.0,3581.0,8,801,807
2018-05-17 10:00:00.000000000,1526522400000000000,3581.0,3581.0,3580.0,3580.0,32,807,839
2018-05-17 10:05:00.000000000,1526522700000000000,3580.0,3580.0,3576.0,3576.0,2,839,839
2018-05-17 10:10:00.000000000,1526523000000000000,3576.0,3576.0,3576.0,3576.0,0,839,839
2018-05-17 10:30:00.000000000,1526524200000000000,3576.0,3585.0,3574.0,3585.0,16,839,847
2018-05-17 10:35:00.000000000,1526524500000000000,3585.0,3585.0,3584.0,3584.0,3,847,847
2018-05-17 10:40:00.000000000,1526524800000000000,3584.0,3584.0,3584.0,3584.0,0,847,847
2018-05-17 10:45:00.000000000,1526525100000000000,3584.0,3584.0,3584.0,3584.0,0,847,847
2018-05-17 10:50:00.000000000,1526525400000000000,3584.0,3585.0,3584.0,3585.0,2,847,845
2018-05-17 10:55:00.000000000,1526525700000000000,3585.0,3585.0,3585.0,3585.0,0,845,845
2018-05-17 11:00:00.000000000,1526526000000000000,3585.0,3585.0,3585.0,3585.0,0,845,845
2018-05-17 11:05:00.000000000,1526526300000000000,3585.0,3590.0,3585.0,3590.0,2,845,845
2018-05-17 11:10:00.000000000,1526526600000000000,3590.0,3592.0,3590.0,3592.0,1,845,844
2018-05-17 11:15:00.000000000,1526526900000000000,3592.0,3595.0,3592.0,3595.0,13,844,834
2018-05-17 11:20:00.000000000,1526527200000000000,3595.0,3600.0,3595.0,3600.0,7,834,828
2018-05-17 11:25:00.000000000,1526527500000000000,3600.0,3600.0,3600.0,3600.0,13,828,820
2018-05-17 13:30:00.000000000,1526535000000000000,3605.0,3606.0,3596.0,3596.0,4,820,823
