datetime,datetime_nano,DCE.i2201.open,DCE.i2201.high,DCE.i2201.low,DCE.i2201.close,DCE.i2201.volume,DCE.i2201.open_oi,DCE.i2201.close_oi
2021-01-15 21:00:00.000000000,1610715600000000000,930.0,940.0,921.0,929.5,29,0,29
2021-01-15 21:05:00.000000000,1610715900000000000,929.5,929.5,916.0,925.0,34,29,56
2021-01-15 21:10:00.000000000,1610716200000000000,925.0,929.0,923.5,923.5,9,56,63
2021-01-15 21:15:00.000000000,1610716500000000000,923.5,929.5,923.0,926.0,11,63,73
2021-01-15 21:20:00.000000000,1610716800000000000,926.0,926.0,924.0,924.0,16,73,88
2021-01-15 21:25:00.000000000,1610717100000000000,924.0,926.0,922.5,922.5,27,88,115
2021-01-15 21:30:00.000000000,1610717400000000000,922.5,922.5,920.5,920.5,34,115,148
2021-01-15 21:35:00.000000000,1610717700000000000,920.5,923.0,920.0,923.0,8,148,154
2021-01-15 21:40:00.000000000,1610718000000000000,923.0,923.0,920.0,920.0,2,154,155
2021-01-15 21:45:00.000000000,1610718300000000000,920.0,920.5,919.0,919.0,24,155,173
2021-01-15 21:50:00.000000000,1610718600000000000,919.0,919.0,915.0,916.0,57,173,229
2021-01-15 21:55:00.000000000,1610718900000000000,916.0,916.0,914.5,916.0,5,229,234
2021-01-15 22:00:00.000000000,1610719200000000000,916.0,916.0,913.5,916.0,15,234,248
2021-01-15 22:05:00.000000000,1610719500000000000,916.0,916.0,910.5,910.5,49,248,293
2021-01-15 22:10:00.000000000,1610719800000000000,910.5,914.0,910.0,912.0,10,293,300
2021-01-15 22:15:00.000000000,1610720100000000000,912.0,912.0,910.0,910.5,11,300,310
2021-01-15 22:20:00.000000000,1610720400000000000,910.5,917.5,910.5,917.5,2,310,312
2021-01-15 22:25:00.000000000,1610720700000000000,917.5,917.5,917.5,917.5,2,312,313
2021-01-15 22:30:00.000000000,1610721000000000000,917.5,917.5,917.5,917.5,0,313,313
2021-01-15 22:35:00.000000000,1610721300000000000,917.5,918.0,913.0,918.0,4,313,313
2021-01-15 22:40:00.000000000,1610721600000000000,918.0,919.5,918.0,918.0,3,313,314
2021-01-15 22:45:00.000000000,1610721900000000000,918.0,918.0,918.0,918.0,4,314,313
2021-01-15 22:50:00.000000000,1610722200000000000,918.0,918.0,917.0,918.0,5,313,314
2021-01-15 22:55:00.000000000,1610722500000000000,918.0,927.5,917.5,922.0,13,314,312
2021-01-18 09:00:00.000000000,1610931600000000000,922.0,927.5,920.5,920.5,2,312,312
2021-01-18 09:05:00.000000000,1610931900000000000,920.5,935.0,920.5,935.0,18,312,314
2021-01-18 09:10:00.000000000,1610932200000000000,935.0,940.0,930.0,940.0,26,314,312
2021-01-18 09:15:00.000000000,1610932500000000000,940.0,947.0,940.0,946.0,30,312,330
2021-01-18 09:20:00.000000000,1610932800000000000,946.0,947.0,943.5,944.0,10,330,334
2021-01-18 09:25:00.000000000,1610933100000000000,944.0,944.0,940.5,942.0,4,334,335
2021-01-18 09:30:00.000000000,1610933400000000000,942.0,944.5,940.5,940.5,4,335,338
2021-01-18 09:35:00.000000000,1610933700000000000,940.5,940.5,938.5,938.5,3,338,340
2021-01-18 09:40:00.000000000,1610934000000000000,938.5,943.0,938.5,943.0,4,340,340
2021-01-18 09:45:00.000000000,1610934300000000000,943.0,943.0,943.0,943.0,0,340,340
2021-01-18 09:50:00.000000000,1610934600000000000,943.0,943.0,940.0,940.0,4,340,342
2021-01-18 09:55:00.000000000,1610934900000000000,940.0,940.0,940.0,940.0,0,342,342
2021-01-18 10:00:00.000000000,1610935200000000000,940.0,944.0,940.0,944.0,3,342,344
2021-01-18 10:05:00.000000000,1610935500000000000,944.0,944.0,944.0,944.0,1,344,344
2021-01-18 10:10:00.000000000,1610935800000000000,944.0,944.0,940.0,940.0,3,344,347
2021-01-18 10:30:00.000000000,1610937000000000000,940.0,940.0,938.0,938.0,1,347,347
2021-01-18 10:35:00.000000000,1610937300000000000,938.0,943.0,938.0,943.0,3,347,350
2021-01-18 10:40:00.000000000,1610937600000000000,943.0,944.0,943.0,944.0,3,350,352
2021-01-18 10:45:00.000000000,1610937900000000000,944.0,944.0,942.5,942.5,1,352,353
2021-01-18 10:50:00.000000000,1610938200000000000,942.5,942.5,942.0,942.0,1,353,354
2021-01-18 10:55:00.000000000,1610938500000000000,942.0,944.0,942.0,944.0,5,354,351
2021-01-18 11:00:00.000000000,1610938800000000000,944.0,944.0,941.0,941.0,3,351,354
2021-01-18 11:05:00.000000000,1610939100000000000,941.0,941.0,941.0,941.0,0,354,354
2021-01-18 11:10:00.000000000,1610939400000000000,941.0,941.0,940.0,940.0,6,354,360
2021-01-18 11:15:00.000000000,1610939700000000000,940.0,940.0,939.0,939.0,4,360,364
2021-01-18 11:20:00.000000000,1610940000000000000,939.0,939.0,938.5,938.5,3,364,364
2021-01-18 11:25:00.000000000,1610940300000000000,938.5,938.5,938.5,938.5,0,364,364
2021-01-18 13:30:00.000000000,1610947800000000000,938.5,942.0,938.5,942.0,1,364,365
