datetime,datetime_nano,DCE.i1605.open,DCE.i1605.high,DCE.i1605.low,DCE.i1605.close,DCE.i1605.volume,DCE.i1605.open_oi,DCE.i1605.close_oi
2016-01-04 09:00:00.000000000,1451869200000000000,325.5,327.5,325.0,325.5,146801,0,765165
2016-01-04 09:05:00.000000000,1451869500000000000,325.5,326.0,323.5,324.0,81479,765165,774867
2016-01-04 09:10:00.000000000,1451869800000000000,324.0,325.0,323.5,324.0,40379,774867,768993
2016-01-04 09:15:00.000000000,1451870100000000000,324.0,324.5,323.5,324.0,40667,768993,779689
2016-01-04 09:20:00.000000000,1451870400000000000,324.0,324.5,323.0,324.0,31372,779689,786242
2016-01-04 09:25:00.000000000,1451870700000000000,324.0,325.5,323.5,324.5,29337,786242,788963
2016-01-04 09:30:00.000000000,1451871000000000000,324.5,325.0,324.5,324.5,4165,788963,789724
2016-01-04 09:35:00.000000000,1451871300000000000,324.5,325.0,324.0,324.5,29431,789724,789752
2016-01-04 09:40:00.000000000,1451871600000000000,324.5,324.5,323.0,324.0,42255,789752,795226
2016-01-04 09:45:00.000000000,1451871900000000000,324.0,324.5,322.5,324.5,62672,795226,788446
2016-01-04 09:50:00.000000000,1451872200000000000,324.5,325.5,324.0,325.5,43274,788446,788826
2016-01-04 09:55:00.000000000,1451872500000000000,325.5,325.5,324.5,325.5,18689,788826,794162
2016-01-04 10:00:00.000000000,1451872800000000000,325.5,326.5,324.5,326.0,46837,794162,787748
2016-01-04 10:05:00.000000000,1451873100000000000,326.0,327.0,325.5,326.0,22798,787748,788253
2016-01-04 10:10:00.000000000,1451873400000000000,326.0,327.5,326.0,326.5,45260,788253,792155
2016-01-04 10:30:00.000000000,1451874600000000000,326.5,326.5,325.5,325.5,28033,792155,787040
2016-01-04 10:35:00.000000000,1451874900000000000,325.5,326.0,325.0,325.5,15980,787040,785686
2016-01-04 10:40:00.000000000,1451875200000000000,325.5,326.0,324.5,325.0,21692,785686,791829
2016-01-04 10:45:00.000000000,1451875500000000000,325.0,325.5,324.5,325.5,14971,791829,795676
2016-01-04 10:50:00.000000000,1451875800000000000,325.5,325.5,324.5,325.0,22569,795676,792943
2016-01-04 10:55:00.000000000,1451876100000000000,325.0,325.5,324.5,325.5,5583,792943,791191
2016-01-04 11:00:00.000000000,1451876400000000000,325.5,325.5,324.5,325.5,9669,791191,794389
2016-01-04 11:05:00.000000000,1451876700000000000,325.5,325.5,325.0,325.0,8814,794389,795683
2016-01-04 11:10:00.000000000,1451877000000000000,325.0,325.5,324.5,324.5,4929,795683,793779
2016-01-04 11:15:00.000000000,1451877300000000000,324.5,325.0,323.5,323.5,33804,793779,795310
2016-01-04 11:20:00.000000000,1451877600000000000,323.5,324.0,323.0,323.0,18140,795310,796909
2016-01-04 11:25:00.000000000,1451877900000000000,323.0,323.5,322.0,322.5,35133,796909,802580
2016-01-04 13:30:00.000000000,1451885400000000000,321.5,322.5,320.5,322.0,74492,802580,805630
2016-01-04 13:35:00.000000000,1451885700000000000,322.0,323.5,322.0,322.5,35473,805630,805373
2016-01-04 13:40:00.000000000,1451886000000000000,322.5,324.0,322.0,324.0,23951,805373,807190
2016-01-04 13:45:00.000000000,1451886300000000000,324.0,324.5,323.5,324.5,21979,807190,801694
2016-01-04 13:50:00.000000000,1451886600000000000,324.5,325.0,324.0,324.5,50375,801694,788170
2016-01-04 13:55:00.000000000,1451886900000000000,324.5,325.0,324.0,324.5,24367,788170,792565
2016-01-04 14:00:00.000000000,1451887200000000000,324.5,325.0,324.0,325.0,13731,792565,796149
2016-01-04 14:05:00.000000000,1451887500000000000,325.0,325.0,324.0,324.0,10574,796149,796421
2016-01-04 14:10:00.000000000,1451887800000000000,324.0,324.5,323.0,323.5,53424,796421,789903
2016-01-04 14:15:00.000000000,1451888100000000000,323.5,324.0,323.0,323.5,12573,789903,790619
2016-01-04 14:20:00.000000000,1451888400000000000,323.5,323.5,322.0,322.5,36777,790619,787120
2016-01-04 14:25:00.000000000,1451888700000000000,322.5,322.5,322.0,322.0,29459,787120,780365
2016-01-04 14:30:00.000000000,1451889000000000000,322.0,322.5,321.0,322.0,49887,780365,791020
2016-01-04 14:35:00.000000000,1451889300000000000,322.0,322.0,321.0,321.5,39902,791020,785459
2016-01-04 14:40:00.000000000,1451889600000000000,321.5,321.5,321.0,321.0,28859,785459,780687
2016-01-04 14:45:00.000000000,1451889900000000000,321.0,321.5,319.5,321.0,61469,780687,786040
2016-01-04 14:50:00.000000000,1451890200000000000,321.0,322.0,320.5,321.5,34210,786040,786106
2016-01-04 14:55:00.000000000,1451890500000000000,321.5,322.0,321.0,321.5,31043,786106,779010
2016-01-04 21:00:00.000000000,1451912400000000000,321.0,322.0,321.0,322.0,29016,779010,787072
2016-01-04 21:05:00.000000000,1451912700000000000,322.0,322.0,321.0,321.0,19144,787072,789637
2016-01-04 21:10:00.000000000,1451913000000000000,321.0,321.5,321.0,321.5,9555,789637,791521
2016-01-04 21:15:00.000000000,1451913300000000000,321.5,323.0,321.0,322.5,23737,791521,795598
2016-01-04 21:20:00.000000000,1451913600000000000,322.5,323.0,322.5,322.5,5279,795598,794272
2016-01-04 21:25:00.000000000,1451913900000000000,322.5,323.0,322.0,322.5,18910,794272,790852
2016-01-04 21:30:00.000000000,1451914200000000000,322.5,323.0,322.0,322.5,5660,790852,794343
2016-01-04 21:35:00.000000000,1451914500000000000,322.5,323.0,322.0,322.0,3453,794343,792906
2016-01-04 21:40:00.000000000,1451914800000000000,322.0,323.0,322.0,322.5,8891,792906,797021
2016-01-04 21:45:00.000000000,1451915100000000000,322.5,323.0,322.0,322.0,12111,797021,796498
2016-01-04 21:50:00.000000000,1451915400000000000,322.0,322.5,322.0,322.5,2846,796498,795225
2016-01-04 21:55:00.000000000,1451915700000000000,322.5,322.5,322.0,322.0,2033,795225,793746
2016-01-04 22:00:00.000000000,1451916000000000000,322.0,322.0,321.0,321.5,24394,793746,799335
2016-01-04 22:05:00.000000000,1451916300000000000,321.5,322.0,321.5,321.5,811,799335,799172
2016-01-04 22:10:00.000000000,1451916600000000000,321.5,322.5,321.5,321.5,8873,799172,798048
2016-01-04 22:15:00.000000000,1451916900000000000,321.5,322.5,321.5,322.5,1751,798048,797562
2016-01-04 22:20:00.000000000,1451917200000000000,322.5,322.5,322.0,322.5,2094,797562,796649
2016-01-04 22:25:00.000000000,1451917500000000000,322.5,322.5,321.5,322.0,8811,796649,793573
2016-01-04 22:30:00.000000000,1451917800000000000,322.0,322.0,321.0,321.5,6737,793573,794039
2016-01-04 22:35:00.000000000,1451918100000000000,321.5,322.0,321.0,321.5,5465,794039,792608
2016-01-04 22:40:00.000000000,1451918400000000000,321.5,322.0,321.0,321.5,5946,792608,792301
2016-01-04 22:45:00.000000000,1451918700000000000,321.5,322.0,321.0,322.0,4483,792301,793065
2016-01-04 22:50:00.000000000,1451919000000000000,322.0,322.0,321.5,322.0,531,793065,793050
2016-01-04 22:55:00.000000000,1451919300000000000,322.0,322.0,321.5,322.0,346,793050,792826
2016-01-04 23:00:00.000000000,1451919600000000000,322.0,322.0,321.5,321.5,1617,792826,792403
2016-01-04 23:05:00.000000000,1451919900000000000,321.5,322.0,321.0,321.0,10173,792403,793210
2016-01-04 23:10:00.000000000,1451920200000000000,321.0,321.5,321.0,321.5,1337,793210,793195
2016-01-04 23:15:00.000000000,1451920500000000000,321.5,321.5,321.0,321.0,717,793195,793287
2016-01-04 23:20:00.000000000,1451920800000000000,321.0,322.0,321.0,321.5,8117,793287,791483
2016-01-04 23:25:00.000000000,1451921100000000000,321.5,322.0,321.0,322.0,5515,791483,789687
2016-01-05 09:00:00.000000000,1451955600000000000,321.0,321.5,320.0,320.0,26543,789687,789748
2016-01-05 09:05:00.000000000,1451955900000000000,320.0,320.5,319.5,320.0,37388,789748,796673
2016-01-05 09:10:00.000000000,1451956200000000000,320.0,321.0,319.0,321.0,47802,796673,795016
2016-01-05 09:15:00.000000000,1451956500000000000,321.0,321.0,319.5,320.5,20461,795016,789445
2016-01-05 09:20:00.000000000,1451956800000000000,320.5,320.5,320.0,320.0,3338,789445,787874
2016-01-05 09:25:00.000000000,1451957100000000000,320.0,321.0,320.0,321.0,11467,787874,793187
2016-01-05 09:30:00.000000000,1451957400000000000,321.0,322.0,319.5,321.5,39981,793187,796589
2016-01-05 09:35:00.000000000,1451957700000000000,321.5,322.0,321.0,321.5,24465,796589,794588
2016-01-05 09:40:00.000000000,1451958000000000000,321.5,322.0,320.5,321.0,26381,794588,793395
2016-01-05 09:45:00.000000000,1451958300000000000,321.0,322.5,320.5,322.0,41807,793395,780708
2016-01-05 09:50:00.000000000,1451958600000000000,322.0,323.0,321.5,323.0,38479,780708,777247
2016-01-05 09:55:00.000000000,1451958900000000000,323.0,323.5,322.5,323.0,57287,777247,782812
2016-01-05 10:00:00.000000000,1451959200000000000,323.0,323.5,322.0,322.5,29237,782812,778129
2016-01-05 10:05:00.000000000,1451959500000000000,322.5,323.5,322.0,322.5,38092,778129,767462
2016-01-05 10:10:00.000000000,1451959800000000000,322.5,323.0,322.0,322.5,4407,767462,766344
2016-01-05 10:30:00.000000000,1451961000000000000,322.5,323.0,322.5,323.0,6623,766344,768713
2016-01-05 10:35:00.000000000,1451961300000000000,323.0,323.5,323.0,323.0,6569,768713,767493
2016-01-05 10:40:00.000000000,1451961600000000000,323.0,323.5,322.0,322.5,12208,767493,772095
2016-01-05 10:45:00.000000000,1451961900000000000,322.5,323.0,322.0,323.0,7831,772095,771368
2016-01-05 10:50:00.000000000,1451962200000000000,323.0,323.0,322.5,322.5,3890,771368,770443
2016-01-05 10:55:00.000000000,1451962500000000000,322.5,323.0,322.5,323.0,10168,770443,770349
2016-01-05 11:00:00.000000000,1451962800000000000,323.0,324.0,322.5,323.0,40153,770349,773902
2016-01-05 11:05:00.000000000,1451963100000000000,323.0,324.0,323.0,323.5,34760,773902,779219
2016-01-05 11:10:00.000000000,1451963400000000000,323.5,324.0,322.5,323.0,25756,779219,784921
2016-01-05 11:15:00.000000000,1451963700000000000,323.0,324.0,323.0,323.5,11061,784921,779655
2016-01-05 11:20:00.000000000,1451964000000000000,323.5,324.5,323.5,324.0,9919,779655,779048
2016-01-05 11:25:00.000000000,1451964300000000000,324.0,325.0,324.0,324.5,39144,779048,773615
2016-01-05 13:30:00.000000000,1451971800000000000,324.0,324.5,323.0,324.0,43329,773615,777126
2016-01-05 13:35:00.000000000,1451972100000000000,324.0,325.5,324.0,325.5,65285,777126,783237
2016-01-05 13:40:00.000000000,1451972400000000000,325.5,326.0,324.5,325.5,56588,783237,783924
2016-01-05 13:45:00.000000000,1451972700000000000,325.5,326.0,325.0,325.0,19773,783924,790844
2016-01-05 13:50:00.000000000,1451973000000000000,325.0,325.5,324.5,324.5,16388,790844,794061
2016-01-05 13:55:00.000000000,1451973300000000000,324.5,325.5,324.5,325.0,9252,794061,797353
2016-01-05 14:00:00.000000000,1451973600000000000,325.0,325.5,324.0,324.0,17867,797353,798495
2016-01-05 14:05:00.000000000,1451973900000000000,324.0,324.5,323.5,324.5,12376,798495,797737
2016-01-05 14:10:00.000000000,1451974200000000000,324.5,324.5,323.5,323.5,40620,797737,790907
2016-01-05 14:15:00.000000000,1451974500000000000,323.5,324.5,323.5,324.0,5074,790907,790380
2016-01-05 14:20:00.000000000,1451974800000000000,324.0,325.0,324.0,324.5,16338,790380,790804
2016-01-05 14:25:00.000000000,1451975100000000000,324.5,325.0,324.5,325.0,3745,790804,790731
2016-01-05 14:30:00.000000000,1451975400000000000,325.0,325.5,324.0,324.5,19365,790731,796312
2016-01-05 14:35:00.000000000,1451975700000000000,324.5,325.5,324.5,325.5,11795,796312,802420
2016-01-05 14:40:00.000000000,1451976000000000000,325.5,325.5,324.0,324.5,13612,802420,799000
2016-01-05 14:45:00.000000000,1451976300000000000,324.5,325.0,324.0,325.0,7388,799000,796760
2016-01-05 14:50:00.000000000,1451976600000000000,325.0,325.5,324.5,325.0,10594,796760,796385
2016-01-05 14:55:00.000000000,1451976900000000000,325.0,325.5,324.5,324.5,34667,796385,784180
2016-01-05 21:00:00.000000000,1451998800000000000,324.5,325.5,324.0,325.0,29463,784180,783150
2016-01-05 21:05:00.000000000,1451999100000000000,325.0,325.5,324.0,324.0,27743,783150,793831
2016-01-05 21:10:00.000000000,1451999400000000000,324.0,325.0,324.0,324.5,21947,793831,787221
2016-01-05 21:15:00.000000000,1451999700000000000,324.5,325.5,324.5,325.0,14759,787221,790175
2016-01-05 21:20:00.000000000,1452000000000000000,325.0,325.5,324.5,324.5,11329,790175,789882
2016-01-05 21:25:00.000000000,1452000300000000000,324.5,325.0,324.5,325.0,1071,789882,789663
2016-01-05 21:30:00.000000000,1452000600000000000,325.0,325.0,324.0,324.0,12728,789663,787388
2016-01-05 21:35:00.000000000,1452000900000000000,324.0,324.5,324.0,324.0,8861,787388,788907
2016-01-05 21:40:00.000000000,1452001200000000000,324.0,324.5,323.5,324.0,10753,788907,790747
2016-01-05 21:45:00.000000000,1452001500000000000,324.0,324.0,322.5,322.5,25961,790747,794778
2016-01-05 21:50:00.000000000,1452001800000000000,322.5,323.5,322.5,323.0,36902,794778,786921
2016-01-05 21:55:00.000000000,1452002100000000000,323.0,323.5,321.5,321.5,48479,786921,774545
2016-01-05 22:00:00.000000000,1452002400000000000,321.5,322.0,321.0,321.5,37619,774545,787074
2016-01-05 22:05:00.000000000,1452002700000000000,321.5,321.5,320.5,320.5,21074,787074,789620
2016-01-05 22:10:00.000000000,1452003000000000000,320.5,321.5,320.5,321.5,38645,789620,790944
2016-01-05 22:15:00.000000000,1452003300000000000,321.5,321.5,321.0,321.5,8392,790944,789265
2016-01-05 22:20:00.000000000,1452003600000000000,321.5,322.0,321.0,321.5,7070,789265,790000
2016-01-05 22:25:00.000000000,1452003900000000000,321.5,322.0,321.0,321.5,32336,790000,794813
2016-01-05 22:30:00.000000000,1452004200000000000,321.5,322.0,321.5,321.5,1397,794813,794395
2016-01-05 22:35:00.000000000,1452004500000000000,321.5,322.0,321.0,321.5,8722,794395,794393
2016-01-05 22:40:00.000000000,1452004800000000000,321.5,322.5,321.0,322.0,17378,794393,803257
2016-01-05 22:45:00.000000000,1452005100000000000,322.0,322.5,321.5,321.5,4291,803257,801420
2016-01-05 22:50:00.000000000,1452005400000000000,321.5,322.5,321.5,321.5,7437,801420,799926
2016-01-05 22:55:00.000000000,1452005700000000000,321.5,322.0,321.5,322.0,394,799926,799764
2016-01-05 23:00:00.000000000,1452006000000000000,322.0,322.0,321.5,322.0,1867,799764,799211
2016-01-05 23:05:00.000000000,1452006300000000000,322.0,322.5,321.5,322.0,8320,799211,796530
2016-01-05 23:10:00.000000000,1452006600000000000,322.0,322.0,321.5,322.0,298,796530,796589
2016-01-05 23:15:00.000000000,1452006900000000000,322.0,322.0,321.5,321.5,756,796589,796449
2016-01-05 23:20:00.000000000,1452007200000000000,321.5,322.0,321.0,321.0,8607,796449,791792
2016-01-05 23:25:00.000000000,1452007500000000000,321.0,322.0,321.0,321.5,6456,791792,789430
2016-01-06 09:00:00.000000000,1452042000000000000,321.5,322.0,320.5,321.0,21312,789430,787240
2016-01-06 09:05:00.000000000,1452042300000000000,321.0,321.0,320.0,320.5,17819,787240,784054
2016-01-06 09:10:00.000000000,1452042600000000000,320.5,320.5,319.5,319.5,52460,784054,783595
2016-01-06 09:15:00.000000000,1452042900000000000,319.5,320.5,319.0,319.5,57966,783595,777837
2016-01-06 09:20:00.000000000,1452043200000000000,319.5,320.0,318.5,319.0,48013,777837,787427
2016-01-06 09:25:00.000000000,1452043500000000000,319.0,319.5,318.5,319.0,20242,787427,786295
2016-01-06 09:30:00.000000000,1452043800000000000,319.0,319.5,318.5,319.5,35174,786295,790816
2016-01-06 09:35:00.000000000,1452044100000000000,319.5,320.0,319.0,319.0,21738,790816,792584
2016-01-06 09:40:00.000000000,1452044400000000000,319.0,319.5,318.5,318.5,21187,792584,787308
2016-01-06 09:45:00.000000000,1452044700000000000,318.5,319.0,317.5,318.5,43710,787308,780506
2016-01-06 09:50:00.000000000,1452045000000000000,318.5,319.0,318.0,318.5,21613,780506,778435
2016-01-06 09:55:00.000000000,1452045300000000000,318.5,319.0,318.0,318.5,19747,778435,777466
2016-01-06 10:00:00.000000000,1452045600000000000,318.5,319.0,318.5,318.5,8285,777466,779699
2016-01-06 10:05:00.000000000,1452045900000000000,318.5,319.0,318.0,318.5,14075,779699,782197
2016-01-06 10:10:00.000000000,1452046200000000000,318.5,319.0,318.5,319.0,3356,782197,783784
2016-01-06 10:30:00.000000000,1452047400000000000,319.0,319.0,318.5,318.5,2495,783784,784818
2016-01-06 10:35:00.000000000,1452047700000000000,318.5,319.0,318.5,318.5,7526,784818,789926
2016-01-06 10:40:00.000000000,1452048000000000000,318.5,319.0,318.0,318.5,13332,789926,790831
2016-01-06 10:45:00.000000000,1452048300000000000,318.5,318.5,317.5,317.5,24963,790831,783769
2016-01-06 10:50:00.000000000,1452048600000000000,317.5,318.5,317.5,317.5,36185,783769,774367
2016-01-06 10:55:00.000000000,1452048900000000000,317.5,318.0,316.5,317.0,40999,774367,766880
2016-01-06 11:00:00.000000000,1452049200000000000,317.0,317.0,316.5,317.0,15333,766880,764112
2016-01-06 11:05:00.000000000,1452049500000000000,317.0,317.0,316.0,316.5,22603,764112,766760
2016-01-06 11:10:00.000000000,1452049800000000000,316.5,318.0,316.5,317.5,30977,766760,773841
2016-01-06 11:15:00.000000000,1452050100000000000,317.5,318.0,317.0,318.0,17795,773841,765384
2016-01-06 11:20:00.000000000,1452050400000000000,318.0,318.5,317.5,318.5,29745,765384,764586
2016-01-06 11:25:00.000000000,1452050700000000000,318.5,318.5,317.5,317.5,23537,764586,761915
2016-01-06 13:30:00.000000000,1452058200000000000,317.5,318.0,317.0,317.5,19071,761915,770088
2016-01-06 13:35:00.000000000,1452058500000000000,317.5,318.5,317.5,318.0,18362,770088,766988
2016-01-06 13:40:00.000000000,1452058800000000000,318.0,319.0,317.5,319.0,18769,766988,775781
2016-01-06 13:45:00.000000000,1452059100000000000,319.0,319.0,318.0,319.0,32071,775781,782967
2016-01-06 13:50:00.000000000,1452059400000000000,319.0,319.0,317.5,318.0,26386,782967,777526
2016-01-06 13:55:00.000000000,1452059700000000000,318.0,318.0,317.5,318.0,6657,777526,781447
2016-01-06 14:00:00.000000000,1452060000000000000,318.0,318.5,317.5,318.5,6708,781447,780892
2016-01-06 14:05:00.000000000,1452060300000000000,318.5,318.5,317.0,318.0,19439,780892,779696
2016-01-06 14:10:00.000000000,1452060600000000000,318.0,318.0,317.0,317.0,7019,779696,781379
2016-01-06 14:15:00.000000000,1452060900000000000,317.0,318.0,317.0,318.0,11799,781379,780349
2016-01-06 14:20:00.000000000,1452061200000000000,318.0,318.5,317.5,318.0,14137,780349,778684
2016-01-06 14:25:00.000000000,1452061500000000000,318.0,318.5,317.5,318.0,13110,778684,778839
