datetime,datetime_nano,DCE.j1609.open,DCE.j1609.high,DCE.j1609.low,DCE.j1609.close,DCE.j1609.volume,DCE.j1609.open_oi,DCE.j1609.close_oi
2016-01-04 09:00:00.000000000,1451869200000000000,640.5,643.0,638.0,639.0,806,0,12729
2016-01-04 09:05:00.000000000,1451869500000000000,639.0,639.5,636.5,637.0,193,12729,12719
2016-01-04 09:10:00.000000000,1451869800000000000,637.0,638.5,637.0,637.5,154,12719,12726
2016-01-04 09:15:00.000000000,1451870100000000000,637.5,637.5,635.0,636.5,176,12726,12743
2016-01-04 09:20:00.000000000,1451870400000000000,636.5,636.5,634.0,635.0,209,12743,12741
2016-01-04 09:25:00.000000000,1451870700000000000,635.0,637.0,634.5,636.5,79,12741,12727
2016-01-04 09:30:00.000000000,1451871000000000000,636.5,637.0,635.5,636.5,151,12727,12717
2016-01-04 09:35:00.000000000,1451871300000000000,636.5,636.5,636.0,636.0,38,12717,12723
2016-01-04 09:40:00.000000000,1451871600000000000,636.0,636.5,633.5,634.0,189,12723,12695
2016-01-04 09:45:00.000000000,1451871900000000000,634.0,635.0,631.5,635.0,318,12695,12636
2016-01-04 09:50:00.000000000,1451872200000000000,635.0,635.5,635.0,635.0,64,12636,12608
2016-01-04 09:55:00.000000000,1451872500000000000,635.0,635.0,633.5,635.0,190,12608,12596
2016-01-04 10:00:00.000000000,1451872800000000000,635.0,635.0,634.0,635.0,39,12596,12574
2016-01-04 10:05:00.000000000,1451873100000000000,635.0,635.0,634.0,634.5,53,12574,12564
2016-01-04 10:10:00.000000000,1451873400000000000,634.5,635.5,634.0,634.5,134,12564,12546
2016-01-04 10:30:00.000000000,1451874600000000000,634.0,634.0,633.0,633.0,64,12546,12553
2016-01-04 10:35:00.000000000,1451874900000000000,633.0,633.5,632.5,633.5,67,12553,12565
2016-01-04 10:40:00.000000000,1451875200000000000,633.5,633.5,632.5,632.5,32,12565,12566
2016-01-04 10:45:00.000000000,1451875500000000000,632.5,633.5,632.5,633.0,30,12566,12563
2016-01-04 10:50:00.000000000,1451875800000000000,633.0,633.0,630.0,631.5,148,12563,12556
2016-01-04 10:55:00.000000000,1451876100000000000,631.5,632.5,631.5,632.0,131,12556,12552
2016-01-04 11:00:00.000000000,1451876400000000000,632.0,632.0,631.5,632.0,34,12552,12550
2016-01-04 11:05:00.000000000,1451876700000000000,632.0,632.5,632.0,632.5,21,12550,12547
2016-01-04 11:10:00.000000000,1451877000000000000,632.5,632.5,632.0,632.0,35,12547,12558
2016-01-04 11:15:00.000000000,1451877300000000000,632.0,632.5,631.5,632.5,95,12558,12550
2016-01-04 11:20:00.000000000,1451877600000000000,632.5,632.5,631.5,631.5,55,12550,12565
2016-01-04 11:25:00.000000000,1451877900000000000,631.5,632.0,630.0,630.5,68,12565,12538
2016-01-04 13:30:00.000000000,1451885400000000000,630.0,630.0,625.5,628.0,594,12538,12480
2016-01-04 13:35:00.000000000,1451885700000000000,628.0,629.5,628.0,629.0,183,12480,12457
2016-01-04 13:40:00.000000000,1451886000000000000,629.0,630.0,628.5,630.0,100,12457,12474
2016-01-04 13:45:00.000000000,1451886300000000000,630.0,630.5,630.0,630.0,121,12474,12459
2016-01-04 13:50:00.000000000,1451886600000000000,630.0,630.5,630.0,630.0,51,12459,12444
2016-01-04 13:55:00.000000000,1451886900000000000,630.0,630.5,629.5,629.5,18,12444,12443
2016-01-04 14:00:00.000000000,1451887200000000000,629.5,631.0,629.0,629.0,240,12443,12422
2016-01-04 14:05:00.000000000,1451887500000000000,629.0,629.0,627.5,628.0,221,12422,12460
2016-01-04 14:10:00.000000000,1451887800000000000,628.0,628.0,627.0,627.0,118,12460,12467
2016-01-04 14:15:00.000000000,1451888100000000000,627.0,627.5,626.5,627.5,310,12467,12516
2016-01-04 14:20:00.000000000,1451888400000000000,627.5,627.5,626.0,626.0,138,12516,12463
2016-01-04 14:25:00.000000000,1451888700000000000,626.0,626.5,625.5,626.0,45,12463,12456
2016-01-04 14:30:00.000000000,1451889000000000000,626.0,626.0,624.5,625.5,275,12456,12430
2016-01-04 14:35:00.000000000,1451889300000000000,625.5,626.5,625.5,626.0,196,12430,12468
2016-01-04 14:40:00.000000000,1451889600000000000,626.0,627.0,626.0,626.5,45,12468,12463
2016-01-04 14:45:00.000000000,1451889900000000000,626.5,627.5,625.5,627.0,237,12463,12355
2016-01-04 14:50:00.000000000,1451890200000000000,627.0,627.0,626.5,626.5,61,12355,12366
2016-01-04 14:55:00.000000000,1451890500000000000,626.5,626.5,625.5,625.5,102,12366,12367
2016-01-04 21:00:00.000000000,1451912400000000000,625.0,626.5,625.0,626.5,89,12367,12361
2016-01-04 21:05:00.000000000,1451912700000000000,626.5,627.0,626.5,627.0,42,12361,12386
2016-01-04 21:10:00.000000000,1451913000000000000,627.0,627.0,626.0,626.5,67,12386,12370
2016-01-04 21:15:00.000000000,1451913300000000000,626.5,627.0,626.0,627.0,99,12370,12451
2016-01-04 21:20:00.000000000,1451913600000000000,627.0,628.0,626.5,628.0,174,12451,12515
2016-01-04 21:25:00.000000000,1451913900000000000,628.0,628.0,627.5,627.5,39,12515,12508
2016-01-04 21:30:00.000000000,1451914200000000000,627.5,628.0,627.0,628.0,53,12508,12535
2016-01-04 21:35:00.000000000,1451914500000000000,628.0,628.0,628.0,628.0,45,12535,12518
2016-01-04 21:40:00.000000000,1451914800000000000,628.0,628.0,627.5,628.0,59,12518,12531
2016-01-04 21:45:00.000000000,1451915100000000000,628.0,628.5,628.0,628.0,47,12531,12552
2016-01-04 21:50:00.000000000,1451915400000000000,628.0,628.0,628.0,628.0,10,12552,12557
2016-01-04 21:55:00.000000000,1451915700000000000,628.0,628.0,628.0,628.0,16,12557,12557
2016-01-04 22:00:00.000000000,1451916000000000000,628.0,628.0,627.5,627.5,27,12557,12572
2016-01-04 22:05:00.000000000,1451916300000000000,627.5,628.0,627.0,627.5,17,12572,12566
2016-01-04 22:10:00.000000000,1451916600000000000,627.5,627.5,627.5,627.5,7,12566,12561
2016-01-04 22:15:00.000000000,1451916900000000000,627.5,628.0,627.5,628.0,3,12561,12561
2016-01-04 22:20:00.000000000,1451917200000000000,628.0,628.0,627.0,627.0,28,12561,12556
2016-01-04 22:25:00.000000000,1451917500000000000,627.0,627.0,627.0,627.0,7,12556,12555
2016-01-04 22:30:00.000000000,1451917800000000000,627.0,627.5,627.0,627.0,4,12555,12553
2016-01-04 22:35:00.000000000,1451918100000000000,627.0,627.5,627.0,627.0,37,12553,12572
2016-01-04 22:40:00.000000000,1451918400000000000,627.0,627.5,627.0,627.5,11,12572,12572
2016-01-04 22:45:00.000000000,1451918700000000000,627.5,627.5,627.5,627.5,19,12572,12565
2016-01-04 22:50:00.000000000,1451919000000000000,627.5,628.0,627.5,628.0,13,12565,12568
2016-01-04 22:55:00.000000000,1451919300000000000,628.0,628.0,627.5,627.5,9,12568,12571
2016-01-04 23:00:00.000000000,1451919600000000000,627.5,627.5,627.0,627.0,10,12571,12577
2016-01-04 23:05:00.000000000,1451919900000000000,627.0,627.0,627.0,627.0,36,12577,12575
2016-01-04 23:10:00.000000000,1451920200000000000,627.0,627.0,627.0,627.0,15,12575,12570
2016-01-04 23:15:00.000000000,1451920500000000000,627.0,627.5,627.0,627.5,3,12570,12568
2016-01-04 23:20:00.000000000,1451920800000000000,627.5,627.5,627.5,627.5,26,12568,12566
2016-01-04 23:25:00.000000000,1451921100000000000,627.5,627.5,626.5,627.0,35,12566,12562
2016-01-05 09:00:00.000000000,1451955600000000000,627.0,627.0,625.5,626.0,143,12562,12562
2016-01-05 09:05:00.000000000,1451955900000000000,626.0,626.0,623.0,624.0,140,12562,12580
2016-01-05 09:10:00.000000000,1451956200000000000,624.0,625.0,623.0,624.5,159,12580,12667
2016-01-05 09:15:00.000000000,1451956500000000000,624.5,625.0,624.0,624.0,52,12667,12677
2016-01-05 09:20:00.000000000,1451956800000000000,624.0,624.5,624.0,624.5,23,12677,12681
2016-01-05 09:25:00.000000000,1451957100000000000,624.5,625.0,624.5,624.5,31,12681,12706
2016-01-05 09:30:00.000000000,1451957400000000000,624.5,624.5,622.5,624.0,376,12706,12785
2016-01-05 09:35:00.000000000,1451957700000000000,624.0,625.5,623.5,623.5,157,12785,12808
2016-01-05 09:40:00.000000000,1451958000000000000,623.5,624.5,623.5,624.5,47,12808,12821
2016-01-05 09:45:00.000000000,1451958300000000000,624.5,625.0,624.0,625.0,35,12821,12831
2016-01-05 09:50:00.000000000,1451958600000000000,625.0,626.0,624.5,625.5,118,12831,12841
2016-01-05 09:55:00.000000000,1451958900000000000,625.5,625.5,625.0,625.0,78,12841,12873
2016-01-05 10:00:00.000000000,1451959200000000000,625.0,625.5,624.5,624.5,31,12873,12853
2016-01-05 10:05:00.000000000,1451959500000000000,624.5,625.0,624.5,625.0,12,12853,12856
2016-01-05 10:10:00.000000000,1451959800000000000,625.0,625.0,624.5,625.0,84,12856,12849
2016-01-05 10:30:00.000000000,1451961000000000000,627.0,627.5,626.0,627.0,343,12849,12707
2016-01-05 10:35:00.000000000,1451961300000000000,627.0,627.0,626.0,626.0,53,12707,12695
2016-01-05 10:40:00.000000000,1451961600000000000,626.0,626.0,625.5,625.5,15,12695,12700
2016-01-05 10:45:00.000000000,1451961900000000000,625.5,626.0,625.0,626.0,29,12700,12707
2016-01-05 10:50:00.000000000,1451962200000000000,626.0,626.0,626.0,626.0,15,12707,12703
2016-01-05 10:55:00.000000000,1451962500000000000,626.0,626.5,626.0,626.5,19,12703,12705
2016-01-05 11:00:00.000000000,1451962800000000000,626.5,627.5,626.0,627.5,117,12705,12683
2016-01-05 11:05:00.000000000,1451963100000000000,627.5,627.5,627.0,627.0,130,12683,12684
2016-01-05 11:10:00.000000000,1451963400000000000,627.0,627.0,626.5,626.5,9,12684,12684
2016-01-05 11:15:00.000000000,1451963700000000000,626.5,626.5,626.0,626.0,16,12684,12685
2016-01-05 11:20:00.000000000,1451964000000000000,626.0,626.5,626.0,626.5,7,12685,12685
2016-01-05 11:25:00.000000000,1451964300000000000,626.5,627.5,626.5,627.5,24,12685,12682
2016-01-05 13:30:00.000000000,1451971800000000000,627.0,627.0,625.5,626.5,105,12682,12640
2016-01-05 13:35:00.000000000,1451972100000000000,626.5,627.5,626.5,627.0,78,12640,12625
2016-01-05 13:40:00.000000000,1451972400000000000,627.0,627.5,627.0,627.5,33,12625,12623
2016-01-05 13:45:00.000000000,1451972700000000000,627.5,628.0,626.5,626.5,68,12623,12660
