datetime,datetime_nano,DCE.j2001.open,DCE.j2001.high,DCE.j2001.low,DCE.j2001.close,DCE.j2001.volume,DCE.j2001.open_oi,DCE.j2001.close_oi
2019-01-15 21:05:00.000000000,1547557500000000000,1954.0,1954.0,1954.0,1954.0,2,0,2
2019-01-15 21:10:00.000000000,1547557800000000000,1954.0,1954.0,1954.0,1954.0,0,2,2
2019-01-15 21:15:00.000000000,1547558100000000000,1954.0,1954.0,1886.5,1892.0,3,2,5
2019-01-15 21:20:00.000000000,1547558400000000000,1892.0,1894.0,1892.0,1894.0,2,5,7
2019-01-15 21:25:00.000000000,1547558700000000000,1894.0,1894.0,1894.0,1894.0,0,7,7
2019-01-15 21:30:00.000000000,1547559000000000000,1894.0,1900.5,1894.0,1900.0,8,7,15
2019-01-15 21:35:00.000000000,1547559300000000000,1900.0,1904.0,1900.0,1904.0,6,15,21
2019-01-15 21:40:00.000000000,1547559600000000000,1904.0,1904.0,1904.0,1904.0,3,21,24
2019-01-15 21:45:00.000000000,1547559900000000000,1904.0,1904.0,1900.5,1900.5,7,24,31
2019-01-15 21:50:00.000000000,1547560200000000000,1900.5,1900.5,1900.5,1900.5,0,31,31
2019-01-15 21:55:00.000000000,1547560500000000000,1900.5,1900.5,1900.5,1900.5,1,31,32
2019-01-15 22:00:00.000000000,1547560800000000000,1900.5,1902.0,1900.5,1902.0,4,32,35
2019-01-15 22:05:00.000000000,1547561100000000000,1902.0,1902.0,1902.0,1902.0,0,35,35
2019-01-15 22:10:00.000000000,1547561400000000000,1902.0,1902.0,1901.5,1901.5,1,35,36
2019-01-15 22:15:00.000000000,1547561700000000000,1901.5,1901.5,1901.5,1901.5,2,36,38
2019-01-15 22:20:00.000000000,1547562000000000000,1901.5,1901.5,1901.5,1901.5,0,38,38
2019-01-15 22:25:00.000000000,1547562300000000000,1901.5,1901.5,1900.5,1900.5,1,38,39
2019-01-15 22:30:00.000000000,1547562600000000000,1900.5,1900.5,1900.5,1900.5,1,39,40
2019-01-15 22:35:00.000000000,1547562900000000000,1900.5,1901.0,1900.0,1900.0,5,40,44
2019-01-15 22:40:00.000000000,1547563200000000000,1900.0,1905.0,1900.0,1905.0,3,44,43
2019-01-15 22:45:00.000000000,1547563500000000000,1905.0,1905.0,1905.0,1905.0,0,43,43
2019-01-15 22:50:00.000000000,1547563800000000000,1905.0,1907.5,1905.0,1907.5,1,43,44
2019-01-15 22:55:00.000000000,1547564100000000000,1907.5,1909.5,1907.5,1909.5,1,44,45
2019-01-15 23:00:00.000000000,1547564400000000000,1909.5,1911.0,1909.5,1911.0,1,45,46
2019-01-15 23:05:00.000000000,1547564700000000000,1911.0,1911.0,1902.5,1902.5,6,46,50
2019-01-15 23:10:00.000000000,1547565000000000000,1902.5,1902.5,1902.5,1902.5,1,50,51
2019-01-15 23:15:00.000000000,1547565300000000000,1902.5,1902.5,1902.5,1902.5,2,51,53
2019-01-15 23:20:00.000000000,1547565600000000000,1902.5,1902.5,1902.5,1902.5,0,53,53
2019-01-15 23:25:00.000000000,1547565900000000000,1902.5,1902.5,1902.0,1902.0,1,53,53
2019-01-16 09:00:00.000000000,1547600400000000000,1902.0,1907.0,1902.0,1907.0,4,53,57
