datetime,datetime_nano,DCE.jm1701.open,DCE.jm1701.high,DCE.jm1701.low,DCE.jm1701.close,DCE.jm1701.volume,DCE.jm1701.open_oi,DCE.jm1701.close_oi
2016-01-15 21:05:00.000000000,1452863100000000000,498.5,498.5,495.5,495.5,8,0,7
2016-01-15 21:10:00.000000000,1452863400000000000,495.5,495.5,495.0,495.0,5,7,12
2016-01-15 21:15:00.000000000,1452863700000000000,495.0,495.0,493.0,493.0,3,12,13
2016-01-15 21:20:00.000000000,1452864000000000000,493.0,495.0,493.0,495.0,4,13,15
2016-01-15 21:25:00.000000000,1452864300000000000,495.0,495.0,495.0,495.0,1,15,16
2016-01-15 21:30:00.000000000,1452864600000000000,495.0,495.0,495.0,495.0,2,16,18
2016-01-15 21:35:00.000000000,1452864900000000000,495.0,496.0,495.0,496.0,9,18,21
2016-01-15 21:40:00.000000000,1452865200000000000,496.0,498.0,496.0,497.5,4,21,21
2016-01-15 21:45:00.000000000,1452865500000000000,497.5,499.0,497.5,499.0,8,21,18
2016-01-15 21:50:00.000000000,1452865800000000000,499.0,499.5,499.0,499.0,6,18,17
2016-01-15 21:55:00.000000000,1452866100000000000,499.0,501.0,499.0,501.0,2,17,17
2016-01-15 22:00:00.000000000,1452866400000000000,501.0,501.0,501.0,501.0,0,17,17
2016-01-15 22:05:00.000000000,1452866700000000000,501.0,501.0,501.0,501.0,0,17,17
2016-01-15 22:10:00.000000000,1452867000000000000,501.0,501.0,501.0,501.0,0,17,17
2016-01-15 22:15:00.000000000,1452867300000000000,501.0,501.0,501.0,501.0,1,17,18
2016-01-15 22:20:00.000000000,1452867600000000000,501.0,501.0,501.0,501.0,0,18,18
2016-01-15 22:25:00.000000000,1452867900000000000,501.0,501.0,501.0,501.0,0,18,18
2016-01-15 22:30:00.000000000,1452868200000000000,501.0,501.5,500.0,501.5,7,18,25
2016-01-15 22:35:00.000000000,1452868500000000000,501.5,501.5,501.0,501.0,1,25,26
2016-01-15 22:40:00.000000000,1452868800000000000,501.0,501.0,501.0,501.0,0,26,26
2016-01-15 22:45:00.000000000,1452869100000000000,501.0,501.0,501.0,501.0,0,26,26
2016-01-15 22:50:00.000000000,1452869400000000000,501.0,501.0,501.0,501.0,1,26,25
2016-01-15 22:55:00.000000000,1452869700000000000,501.0,501.0,501.0,501.0,1,25,25
2016-01-15 23:00:00.000000000,1452870000000000000,501.0,501.0,501.0,501.0,2,25,27
2016-01-15 23:05:00.000000000,1452870300000000000,501.0,501.0,500.5,500.5,4,27,31
2016-01-15 23:10:00.000000000,1452870600000000000,500.5,500.5,500.5,500.5,0,31,31
2016-01-15 23:15:00.000000000,1452870900000000000,500.5,500.5,500.5,500.5,0,31,31
2016-01-15 23:20:00.000000000,1452871200000000000,500.5,500.5,500.5,500.5,1,31,31
2016-01-15 23:25:00.000000000,1452871500000000000,500.5,500.5,500.5,500.5,0,31,31
2016-01-18 09:00:00.000000000,1453078800000000000,500.5,504.5,500.0,504.5,18,31,33
2016-01-18 09:05:00.000000000,1453079100000000000,504.5,504.5,504.0,504.0,3,33,30
2016-01-18 09:10:00.000000000,1453079400000000000,504.0,504.0,504.0,504.0,0,30,30
2016-01-18 09:15:00.000000000,1453079700000000000,504.0,504.0,504.0,504.0,0,30,30
2016-01-18 09:20:00.000000000,1453080000000000000,504.0,504.0,504.0,504.0,0,30,30
2016-01-18 09:25:00.000000000,1453080300000000000,504.0,508.0,504.0,507.5,13,30,42
2016-01-18 09:30:00.000000000,1453080600000000000,507.5,507.5,507.5,507.5,5,42,45
2016-01-18 09:35:00.000000000,1453080900000000000,507.5,507.5,507.0,507.0,3,45,46
2016-01-18 09:40:00.000000000,1453081200000000000,507.0,507.0,505.0,505.0,5,46,43
2016-01-18 09:45:00.000000000,1453081500000000000,505.0,506.0,505.0,506.0,1,43,44
