datetime,datetime_nano,SHFE.rb1610.open,SHFE.rb1610.high,SHFE.rb1610.low,SHFE.rb1610.close,SHFE.rb1610.volume,SHFE.rb1610.open_oi,SHFE.rb1610.close_oi
2016-01-04 09:00:00.000000000,1451869200000000000,1825.0,1865.0,1825.0,1829.0,13218,0,171325
2016-01-04 09:05:00.000000000,1451869500000000000,1829.0,1830.0,1817.0,1820.0,5487,171325,170638
2016-01-04 09:10:00.000000000,1451869800000000000,1820.0,1824.0,1819.0,1819.0,3674,170638,171303
2016-01-04 09:15:00.000000000,1451870100000000000,1819.0,1819.0,1814.0,1817.0,2702,171303,171731
2016-01-04 09:20:00.000000000,1451870400000000000,1817.0,1818.0,1814.0,1816.0,1257,171731,171810
2016-01-04 09:25:00.000000000,1451870700000000000,1816.0,1821.0,1816.0,1820.0,1442,171810,172198
2016-01-04 09:30:00.000000000,1451871000000000000,1820.0,1821.0,1816.0,1817.0,1805,172198,172387
2016-01-04 09:35:00.000000000,1451871300000000000,1817.0,1819.0,1815.0,1817.0,1321,172387,172431
2016-01-04 09:40:00.000000000,1451871600000000000,1817.0,1818.0,1814.0,1814.0,801,172431,172469
2016-01-04 09:45:00.000000000,1451871900000000000,1814.0,1814.0,1802.0,1809.0,4471,172469,173065
2016-01-04 09:50:00.000000000,1451872200000000000,1809.0,1814.0,1807.0,1813.0,2950,173065,171939
2016-01-04 09:55:00.000000000,1451872500000000000,1813.0,1816.0,1812.0,1814.0,1701,171939,172442
2016-01-04 10:00:00.000000000,1451872800000000000,1814.0,1816.0,1813.0,1815.0,1335,172442,172489
2016-01-04 10:05:00.000000000,1451873100000000000,1815.0,1816.0,1813.0,1815.0,750,172489,172391
2016-01-04 10:10:00.000000000,1451873400000000000,1815.0,1816.0,1814.0,1815.0,609,172391,172415
2016-01-04 10:30:00.000000000,1451874600000000000,1814.0,1815.0,1809.0,1809.0,1879,172415,172490
2016-01-04 10:35:00.000000000,1451874900000000000,1809.0,1810.0,1808.0,1809.0,1956,172490,172515
2016-01-04 10:40:00.000000000,1451875200000000000,1809.0,1811.0,1806.0,1807.0,859,172515,172605
2016-01-04 10:45:00.000000000,1451875500000000000,1807.0,1810.0,1807.0,1809.0,1408,172605,172062
2016-01-04 10:50:00.000000000,1451875800000000000,1809.0,1809.0,1807.0,1809.0,500,172062,172192
2016-01-04 10:55:00.000000000,1451876100000000000,1809.0,1811.0,1806.0,1810.0,873,172192,172045
2016-01-04 11:00:00.000000000,1451876400000000000,1810.0,1810.0,1807.0,1809.0,490,172045,172036
2016-01-04 11:05:00.000000000,1451876700000000000,1809.0,1811.0,1809.0,1809.0,690,172036,172194
2016-01-04 11:10:00.000000000,1451877000000000000,1809.0,1810.0,1807.0,1807.0,643,172194,172129
2016-01-04 11:15:00.000000000,1451877300000000000,1807.0,1809.0,1804.0,1808.0,1815,172129,172511
2016-01-04 11:20:00.000000000,1451877600000000000,1808.0,1808.0,1806.0,1806.0,1152,172511,172804
2016-01-04 11:25:00.000000000,1451877900000000000,1806.0,1808.0,1805.0,1806.0,1312,172804,172904
2016-01-04 13:30:00.000000000,1451885400000000000,1805.0,1807.0,1802.0,1805.0,6241,172904,174118
2016-01-04 13:35:00.000000000,1451885700000000000,1805.0,1808.0,1803.0,1806.0,2188,174118,174233
2016-01-04 13:40:00.000000000,1451886000000000000,1806.0,1807.0,1802.0,1804.0,4241,174233,176028
2016-01-04 13:45:00.000000000,1451886300000000000,1804.0,1805.0,1802.0,1803.0,1808,176028,176276
2016-01-04 13:50:00.000000000,1451886600000000000,1803.0,1805.0,1803.0,1805.0,1938,176276,177286
2016-01-04 13:55:00.000000000,1451886900000000000,1805.0,1805.0,1803.0,1803.0,897,177286,177588
2016-01-04 14:00:00.000000000,1451887200000000000,1803.0,1806.0,1803.0,1804.0,1722,177588,177392
2016-01-04 14:05:00.000000000,1451887500000000000,1804.0,1805.0,1803.0,1803.0,329,177392,177471
2016-01-04 14:10:00.000000000,1451887800000000000,1803.0,1803.0,1797.0,1797.0,4503,177471,177003
2016-01-04 14:15:00.000000000,1451888100000000000,1797.0,1799.0,1796.0,1797.0,2500,177003,176591
2016-01-04 14:20:00.000000000,1451888400000000000,1797.0,1797.0,1790.0,1792.0,2805,176591,176449
2016-01-04 14:25:00.000000000,1451888700000000000,1792.0,1794.0,1790.0,1792.0,2032,176449,176569
2016-01-04 14:30:00.000000000,1451889000000000000,1792.0,1795.0,1789.0,1794.0,1699,176569,176708
2016-01-04 14:35:00.000000000,1451889300000000000,1794.0,1797.0,1792.0,1792.0,1663,176708,177029
2016-01-04 14:40:00.000000000,1451889600000000000,1792.0,1793.0,1787.0,1790.0,2005,177029,177117
2016-01-04 14:45:00.000000000,1451889900000000000,1790.0,1791.0,1782.0,1791.0,1804,177117,177149
2016-01-04 14:50:00.000000000,1451890200000000000,1791.0,1792.0,1789.0,1792.0,827,177149,177041
2016-01-04 14:55:00.000000000,1451890500000000000,1792.0,1793.0,1790.0,1791.0,2341,177041,177379
2016-01-04 21:00:00.000000000,1451912400000000000,1791.0,1797.0,1791.0,1797.0,1298,177379,177755
2016-01-04 21:05:00.000000000,1451912700000000000,1797.0,1798.0,1794.0,1794.0,1426,177755,178165
2016-01-04 21:10:00.000000000,1451913000000000000,1794.0,1795.0,1788.0,1788.0,1491,178165,178613
2016-01-04 21:15:00.000000000,1451913300000000000,1788.0,1796.0,1788.0,1796.0,1793,178613,178629
2016-01-04 21:20:00.000000000,1451913600000000000,1796.0,1797.0,1794.0,1796.0,1050,178629,178766
2016-01-04 21:25:00.000000000,1451913900000000000,1796.0,1796.0,1793.0,1796.0,650,178766,178913
2016-01-04 21:30:00.000000000,1451914200000000000,1796.0,1797.0,1795.0,1796.0,236,178913,178939
2016-01-04 21:35:00.000000000,1451914500000000000,1796.0,1797.0,1794.0,1794.0,287,178939,179005
2016-01-04 21:40:00.000000000,1451914800000000000,1794.0,1799.0,1794.0,1798.0,988,179005,178734
2016-01-04 21:45:00.000000000,1451915100000000000,1798.0,1801.0,1797.0,1799.0,1903,178734,179334
2016-01-04 21:50:00.000000000,1451915400000000000,1799.0,1800.0,1798.0,1799.0,489,179334,179349
2016-01-04 21:55:00.000000000,1451915700000000000,1799.0,1800.0,1797.0,1799.0,716,179349,179572
2016-01-04 22:00:00.000000000,1451916000000000000,1799.0,1799.0,1795.0,1796.0,830,179572,179444
2016-01-04 22:05:00.000000000,1451916300000000000,1796.0,1799.0,1795.0,1799.0,522,179444,179499
2016-01-04 22:10:00.000000000,1451916600000000000,1799.0,1799.0,1798.0,1798.0,62,179499,179487
