datetime,datetime_nano,SHFE.rb2210.open,SHFE.rb2210.high,SHFE.rb2210.low,SHFE.rb2210.close,SHFE.rb2210.volume,SHFE.rb2210.open_oi,SHFE.rb2210.close_oi
2021-10-15 21:00:00.000000000,1634302800000000000,5160.0,5179.0,5125.0,5139.0,594,0,552
2021-10-15 21:05:00.000000000,1634303100000000000,5139.0,5144.0,5137.0,5143.0,396,552,857
2021-10-15 21:10:00.000000000,1634303400000000000,5143.0,5143.0,5128.0,5128.0,240,857,1065
2021-10-15 21:15:00.000000000,1634303700000000000,5128.0,5130.0,5120.0,5121.0,399,1065,1462
2021-10-15 21:20:00.000000000,1634304000000000000,5121.0,5123.0,5118.0,5123.0,175,1462,1612
2021-10-15 21:25:00.000000000,1634304300000000000,5123.0,5126.0,5122.0,5124.0,346,1612,1871
2021-10-15 21:30:00.000000000,1634304600000000000,5124.0,5124.0,5102.0,5105.0,126,1871,1960
2021-10-15 21:35:00.000000000,1634304900000000000,5105.0,5115.0,5105.0,5110.0,87,1960,2040
2021-10-15 21:40:00.000000000,1634305200000000000,5110.0,5110.0,5101.0,5103.0,43,2040,2072
2021-10-15 21:45:00.000000000,1634305500000000000,5103.0,5103.0,5100.0,5102.0,123,2072,2166
2021-10-15 21:50:00.000000000,1634305800000000000,5102.0,5109.0,5102.0,5105.0,20,2166,2181
2021-10-15 21:55:00.000000000,1634306100000000000,5105.0,5109.0,5105.0,5105.0,16,2181,2194
2021-10-15 22:00:00.000000000,1634306400000000000,5105.0,5111.0,5105.0,5111.0,22,2194,2192
2021-10-15 22:05:00.000000000,1634306700000000000,5111.0,5117.0,5105.0,5105.0,29,2192,2213
2021-10-15 22:10:00.000000000,1634307000000000000,5105.0,5112.0,5102.0,5102.0,28,2213,2238
2021-10-15 22:15:00.000000000,1634307300000000000,5102.0,5102.0,5080.0,5082.0,397,2238,2562
2021-10-15 22:20:00.000000000,1634307600000000000,5082.0,5084.0,5070.0,5082.0,172,2562,2698
2021-10-15 22:25:00.000000000,1634307900000000000,5082.0,5086.0,5077.0,5086.0,54,2698,2743
2021-10-15 22:30:00.000000000,1634308200000000000,5086.0,5096.0,5080.0,5096.0,43,2743,2762
2021-10-15 22:35:00.000000000,1634308500000000000,5096.0,5106.0,5084.0,5103.0,102,2762,2765
2021-10-15 22:40:00.000000000,1634308800000000000,5103.0,5109.0,5100.0,5100.0,34,2765,2767
2021-10-15 22:45:00.000000000,1634309100000000000,5100.0,5100.0,5092.0,5092.0,12,2767,2768
2021-10-15 22:50:00.000000000,1634309400000000000,5092.0,5100.0,5085.0,5090.0,25,2768,2778
2021-10-15 22:55:00.000000000,1634309700000000000,5090.0,5095.0,5070.0,5070.0,87,2778,2839
2021-10-18 09:00:00.000000000,1634518800000000000,5065.0,5089.0,5050.0,5066.0,265,2839,3028
2021-10-18 09:05:00.000000000,1634519100000000000,5066.0,5066.0,5055.0,5066.0,253,3028,3265
2021-10-18 09:10:00.000000000,1634519400000000000,5066.0,5084.0,5066.0,5082.0,72,3265,3323
2021-10-18 09:15:00.000000000,1634519700000000000,5082.0,5082.0,5043.0,5043.0,275,3323,3565
2021-10-18 09:20:00.000000000,1634520000000000000,5043.0,5043.0,5018.0,5025.0,510,3565,4012
2021-10-18 09:25:00.000000000,1634520300000000000,5025.0,5036.0,5010.0,5013.0,546,4012,4503
2021-10-18 09:30:00.000000000,1634520600000000000,5013.0,5014.0,5002.0,5014.0,70,4503,4557
2021-10-18 09:35:00.000000000,1634520900000000000,5014.0,5015.0,5000.0,5008.0,54,4557,4595
2021-10-18 09:40:00.000000000,1634521200000000000,5008.0,5015.0,5006.0,5006.0,28,4595,4614
2021-10-18 09:45:00.000000000,1634521500000000000,5006.0,5010.0,5000.0,5001.0,60,4614,4642
2021-10-18 09:50:00.000000000,1634521800000000000,5001.0,5013.0,5000.0,5009.0,214,4642,4734
2021-10-18 09:55:00.000000000,1634522100000000000,5009.0,5009.0,5005.0,5009.0,120,4734,4778
2021-10-18 10:00:00.000000000,1634522400000000000,5009.0,5035.0,5004.0,5033.0,233,4778,4816
2021-10-18 10:05:00.000000000,1634522700000000000,5033.0,5039.0,5028.0,5035.0,205,4816,4957
2021-10-18 10:10:00.000000000,1634523000000000000,5035.0,5042.0,5030.0,5036.0,225,4957,4951
2021-10-18 10:30:00.000000000,1634524200000000000,5036.0,5057.0,5033.0,5045.0,218,4951,4931
2021-10-18 10:35:00.000000000,1634524500000000000,5045.0,5051.0,5035.0,5050.0,77,4931,4952
