datetime,datetime_nano,DCE.cs1901.open,DCE.cs1901.high,DCE.cs1901.low,DCE.cs1901.close,DCE.cs1901.volume,DCE.cs1901.open_oi,DCE.cs1901.close_oi
2018-01-16 00:00:00.000000000,1516032000000000000,2141.0,2147.0,2128.0,2134.0,413,0,337
2018-01-17 00:00:00.000000000,1516118400000000000,2135.0,2140.0,2123.0,2126.0,134,337,425
2018-01-18 00:00:00.000000000,1516204800000000000,2119.0,2127.0,2119.0,2125.0,48,425,442
2018-01-19 00:00:00.000000000,1516291200000000000,2120.0,2120.0,2110.0,2113.0,43,442,469
2018-01-22 00:00:00.000000000,1516550400000000000,2107.0,2111.0,2105.0,2111.0,17,469,475
2018-01-23 00:00:00.000000000,1516636800000000000,2118.0,2125.0,2100.0,2100.0,53,475,520
2018-01-24 00:00:00.000000000,1516723200000000000,2118.0,2118.0,2101.0,2105.0,64,520,553
2018-01-25 00:00:00.000000000,1516809600000000000,2105.0,2105.0,2100.0,2103.0,28,553,576
2018-01-26 00:00:00.000000000,1516896000000000000,2117.0,2119.0,2100.0,2108.0,33,576,587
2018-01-29 00:00:00.000000000,1517155200000000000,2102.0,2110.0,2101.0,2105.0,41,587,607
2018-01-30 00:00:00.000000000,1517241600000000000,2105.0,2110.0,2102.0,2102.0,13,607,611
2018-01-31 00:00:00.000000000,1517328000000000000,2105.0,2110.0,2100.0,2103.0,48,611,615
2018-02-01 00:00:00.000000000,1517414400000000000,2108.0,2112.0,2104.0,2111.0,214,615,619
2018-02-02 00:00:00.000000000,1517500800000000000,2112.0,2113.0,2109.0,2109.0,192,619,674
2018-02-05 00:00:00.000000000,1517760000000000000,2120.0,2134.0,2117.0,2117.0,161,674,641
2018-02-06 00:00:00.000000000,1517846400000000000,2118.0,2120.0,2115.0,2118.0,71,641,646
2018-02-07 00:00:00.000000000,1517932800000000000,2132.0,2142.0,2117.0,2123.0,129,646,710
2018-02-08 00:00:00.000000000,1518019200000000000,2124.0,2126.0,2117.0,2121.0,40,710,707
2018-02-09 00:00:00.000000000,1518105600000000000,2125.0,2125.0,2115.0,2117.0,108,707,752
2018-02-12 00:00:00.000000000,1518364800000000000,2120.0,2128.0,2118.0,2119.0,119,752,787
2018-02-13 00:00:00.000000000,1518451200000000000,2121.0,2121.0,2106.0,2109.0,104,787,832
2018-02-14 00:00:00.000000000,1518537600000000000,2107.0,2113.0,2103.0,2113.0,76,832,888
2018-02-22 00:00:00.000000000,1519228800000000000,2120.0,2127.0,2117.0,2121.0,63,888,883
2018-02-23 00:00:00.000000000,1519315200000000000,2121.0,2125.0,2120.0,2122.0,160,883,1013
2018-02-26 00:00:00.000000000,1519574400000000000,2124.0,2148.0,2123.0,2141.0,293,1013,1158
2018-02-27 00:00:00.000000000,1519660800000000000,2144.0,2146.0,2137.0,2144.0,73,1158,1190
2018-02-28 00:00:00.000000000,1519747200000000000,2147.0,2148.0,2140.0,2144.0,107,1190,1219
2018-03-01 00:00:00.000000000,1519833600000000000,2145.0,2145.0,2132.0,2143.0,171,1219,1279
2018-03-02 00:00:00.000000000,1519920000000000000,2143.0,2165.0,2142.0,2148.0,613,1279,1479
2018-03-05 00:00:00.000000000,1520179200000000000,2155.0,2168.0,2135.0,2166.0,186,1479,1487
2018-03-06 00:00:00.000000000,1520265600000000000,2170.0,2174.0,2164.0,2169.0,262,1487,1552
2018-03-07 00:00:00.000000000,1520352000000000000,2166.0,2174.0,2156.0,2160.0,206,1552,1594
2018-03-08 00:00:00.000000000,1520438400000000000,2155.0,2159.0,2147.0,2158.0,257,1594,1688
2018-03-09 00:00:00.000000000,1520524800000000000,2160.0,2172.0,2152.0,2156.0,222,1688,1825
2018-03-12 00:00:00.000000000,1520784000000000000,2146.0,2160.0,2143.0,2147.0,340,1825,2101
2018-03-13 00:00:00.000000000,1520870400000000000,2147.0,2153.0,2145.0,2152.0,50,2101,2117
2018-03-14 00:00:00.000000000,1520956800000000000,2151.0,2152.0,2144.0,2145.0,123,2117,2170
2018-03-15 00:00:00.000000000,1521043200000000000,2141.0,2147.0,2135.0,2143.0,695,2170,2600
2018-03-16 00:00:00.000000000,1521129600000000000,2144.0,2155.0,2142.0,2154.0,182,2600,2569
2018-03-19 00:00:00.000000000,1521388800000000000,2157.0,2157.0,2147.0,2149.0,234,2569,2731
2018-03-20 00:00:00.000000000,1521475200000000000,2147.0,2152.0,2140.0,2149.0,585,2731,3148
2018-03-21 00:00:00.000000000,1521561600000000000,2148.0,2148.0,2143.0,2143.0,353,3148,3281
2018-03-22 00:00:00.000000000,1521648000000000000,2141.0,2141.0,2128.0,2128.0,729,3281,3430
2018-03-23 00:00:00.000000000,1521734400000000000,2125.0,2137.0,2125.0,2137.0,448,3430,3707
2018-03-26 00:00:00.000000000,1521993600000000000,2139.0,2146.0,2132.0,2142.0,149,3707,3711
2018-03-27 00:00:00.000000000,1522080000000000000,2136.0,2147.0,2130.0,2130.0,1043,3711,4174
2018-03-28 00:00:00.000000000,1522166400000000000,2130.0,2145.0,2129.0,2141.0,641,4174,4376
2018-03-29 00:00:00.000000000,1522252800000000000,2139.0,2145.0,2130.0,2137.0,654,4376,4804
2018-03-30 00:00:00.000000000,1522339200000000000,2145.0,2148.0,2137.0,2141.0,687,4804,5059
2018-04-02 00:00:00.000000000,1522598400000000000,2144.0,2149.0,2132.0,2143.0,1120,5059,5664
2018-04-03 00:00:00.000000000,1522684800000000000,2139.0,2151.0,2137.0,2137.0,379,5664,5708
2018-04-04 00:00:00.000000000,1522771200000000000,2138.0,2158.0,2138.0,2158.0,839,5708,6234
2018-04-09 00:00:00.000000000,1523203200000000000,2158.0,2175.0,2134.0,2139.0,2599,6234,6781
2018-04-10 00:00:00.000000000,1523289600000000000,2157.0,2157.0,2116.0,2124.0,3160,6781,8568
2018-04-11 00:00:00.000000000,1523376000000000000,2124.0,2129.0,2122.0,2127.0,731,8568,8533
2018-04-12 00:00:00.000000000,1523462400000000000,2123.0,2132.0,2120.0,2128.0,1461,8533,8666
2018-04-13 00:00:00.000000000,1523548800000000000,2126.0,2160.0,2123.0,2145.0,1607,8666,8520
2018-04-16 00:00:00.000000000,1523808000000000000,2150.0,2151.0,2132.0,2134.0,775,8520,8556
2018-04-17 00:00:00.000000000,1523894400000000000,2135.0,2140.0,2130.0,2136.0,673,8556,8605
2018-04-18 00:00:00.000000000,1523980800000000000,2136.0,2139.0,2131.0,2134.0,810,8605,8755
2018-04-19 00:00:00.000000000,1524067200000000000,2134.0,2136.0,2122.0,2129.0,1271,8755,9026
2018-04-20 00:00:00.000000000,1524153600000000000,2121.0,2145.0,2121.0,2136.0,2404,9026,9153
2018-04-23 00:00:00.000000000,1524412800000000000,2132.0,2140.0,2127.0,2127.0,1623,9153,9624
2018-04-24 00:00:00.000000000,1524499200000000000,2127.0,2131.0,2125.0,2125.0,1227,9624,9975
2018-04-25 00:00:00.000000000,1524585600000000000,2129.0,2132.0,2124.0,2126.0,2471,9975,10936
