datetime,datetime_nano,SHFE.hc1810.open,SHFE.hc1810.high,SHFE.hc1810.low,SHFE.hc1810.close,SHFE.hc1810.volume,SHFE.hc1810.open_oi,SHFE.hc1810.close_oi
2017-10-17 00:00:00.000000000,1508169600000000000,3760.0,3768.0,3672.0,3688.0,1066,0,853
2017-10-18 00:00:00.000000000,1508256000000000000,3718.0,3745.0,3656.0,3674.0,388,853,905
2017-10-19 00:00:00.000000000,1508342400000000000,3652.0,3699.0,3589.0,3605.0,663,905,948
2017-10-20 00:00:00.000000000,1508428800000000000,3600.0,3762.0,3586.0,3758.0,537,948,993
2017-10-23 00:00:00.000000000,1508688000000000000,3762.0,3765.0,3687.0,3747.0,783,993,1165
2017-10-24 00:00:00.000000000,1508774400000000000,3753.0,3809.0,3735.0,3773.0,466,1165,1207
2017-10-25 00:00:00.000000000,1508860800000000000,3774.0,3839.0,3725.0,3746.0,443,1207,1182
2017-10-26 00:00:00.000000000,1508947200000000000,3741.0,3741.0,3652.0,3674.0,935,1182,1246
2017-10-27 00:00:00.000000000,1509033600000000000,3697.0,3697.0,3620.0,3630.0,773,1246,1474
2017-10-30 00:00:00.000000000,1509292800000000000,3621.0,3659.0,3605.0,3639.0,1747,1474,2410
2017-10-31 00:00:00.000000000,1509379200000000000,3634.0,3702.0,3623.0,3675.0,504,2410,2376
2017-11-01 00:00:00.000000000,1509465600000000000,3677.0,3704.0,3609.0,3609.0,755,2376,2599
2017-11-02 00:00:00.000000000,1509552000000000000,3610.0,3681.0,3579.0,3659.0,1111,2599,2815
2017-11-03 00:00:00.000000000,1509638400000000000,3649.0,3718.0,3646.0,3665.0,1224,2815,3190
2017-11-06 00:00:00.000000000,1509897600000000000,3682.0,3785.0,3653.0,3771.0,1628,3190,3364
2017-11-07 00:00:00.000000000,1509984000000000000,3760.0,3789.0,3744.0,3761.0,715,3364,3331
2017-11-08 00:00:00.000000000,1510070400000000000,3761.0,3773.0,3716.0,3760.0,600,3331,3328
2017-11-09 00:00:00.000000000,1510156800000000000,3758.0,3830.0,3735.0,3759.0,1106,3328,3413
2017-11-10 00:00:00.000000000,1510243200000000000,3757.0,3807.0,3732.0,3805.0,1028,3413,3386
2017-11-13 00:00:00.000000000,1510502400000000000,3801.0,3829.0,3734.0,3762.0,2481,3386,3459
2017-11-14 00:00:00.000000000,1510588800000000000,3767.0,3775.0,3735.0,3746.0,2385,3459,3993
2017-11-15 00:00:00.000000000,1510675200000000000,3740.0,3750.0,3646.0,3656.0,3422,3993,5682
2017-11-16 00:00:00.000000000,1510761600000000000,3670.0,3678.0,3623.0,3652.0,1843,5682,6004
