datetime,datetime_nano,SHFE.hc2101.open,SHFE.hc2101.high,SHFE.hc2101.low,SHFE.hc2101.close,SHFE.hc2101.volume,SHFE.hc2101.open_oi,SHFE.hc2101.close_oi
2020-01-16 00:00:00.000000000,1579104000000000000,3320.0,3375.0,3300.0,3315.0,5720,0,4494
2020-01-17 00:00:00.000000000,1579190400000000000,3317.0,3355.0,3316.0,3347.0,1642,4494,4257
2020-01-20 00:00:00.000000000,1579449600000000000,3354.0,3374.0,3340.0,3346.0,849,4257,4683
2020-01-21 00:00:00.000000000,1579536000000000000,3348.0,3348.0,3308.0,3320.0,2751,4683,6810
2020-01-22 00:00:00.000000000,1579622400000000000,3308.0,3313.0,3265.0,3307.0,2659,6810,8233
2020-01-23 00:00:00.000000000,1579708800000000000,3300.0,3300.0,3270.0,3286.0,3527,8233,10455
2020-02-03 00:00:00.000000000,1580659200000000000,3043.0,3160.0,3040.0,3072.0,3872,10455,11214
2020-02-04 00:00:00.000000000,1580745600000000000,3090.0,3175.0,3066.0,3151.0,4637,11214,10607
2020-02-05 00:00:00.000000000,1580832000000000000,3166.0,3169.0,3130.0,3161.0,2134,10607,11064
2020-02-06 00:00:00.000000000,1580918400000000000,3162.0,3196.0,3150.0,3195.0,1377,11064,11111
2020-02-07 00:00:00.000000000,1581004800000000000,3183.0,3216.0,3176.0,3212.0,3582,11111,10839
2020-02-10 00:00:00.000000000,1581264000000000000,3220.0,3220.0,3173.0,3200.0,3886,10839,12179
2020-02-11 00:00:00.000000000,1581350400000000000,3200.0,3295.0,3198.0,3250.0,5275,12179,12101
2020-02-12 00:00:00.000000000,1581436800000000000,3250.0,3282.0,3247.0,3264.0,3077,12101,13013
2020-02-13 00:00:00.000000000,1581523200000000000,3264.0,3279.0,3252.0,3267.0,2137,13013,13427
2020-02-14 00:00:00.000000000,1581609600000000000,3269.0,3283.0,3251.0,3280.0,1842,13427,13830
2020-02-17 00:00:00.000000000,1581868800000000000,3280.0,3324.0,3271.0,3315.0,4692,13830,14876
2020-02-18 00:00:00.000000000,1581955200000000000,3320.0,3325.0,3295.0,3298.0,2949,14876,14960
2020-02-19 00:00:00.000000000,1582041600000000000,3295.0,3309.0,3285.0,3299.0,4159,14960,16621
2020-02-20 00:00:00.000000000,1582128000000000000,3299.0,3336.0,3299.0,3322.0,4004,16621,16028
2020-02-21 00:00:00.000000000,1582214400000000000,3328.0,3351.0,3321.0,3337.0,4730,16028,15745
2020-02-24 00:00:00.000000000,1582473600000000000,3337.0,3350.0,3310.0,3331.0,4237,15745,16316
2020-02-25 00:00:00.000000000,1582560000000000000,3314.0,3357.0,3280.0,3350.0,4241,16316,15823
2020-02-26 00:00:00.000000000,1582646400000000000,3349.0,3349.0,3317.0,3326.0,4531,15823,15953
2020-02-27 00:00:00.000000000,1582732800000000000,3329.0,3329.0,3301.0,3315.0,2717,15953,16572
2020-02-28 00:00:00.000000000,1582819200000000000,3309.0,3310.0,3251.0,3259.0,9024,16572,18328
2020-03-02 00:00:00.000000000,1583078400000000000,3259.0,3356.0,3251.0,3330.0,6811,18328,17901
2020-03-03 00:00:00.000000000,1583164800000000000,3334.0,3362.0,3328.0,3338.0,2990,17901,17773
2020-03-04 00:00:00.000000000,1583251200000000000,3330.0,3358.0,3327.0,3356.0,4123,17773,16628
2020-03-05 00:00:00.000000000,1583337600000000000,3360.0,3370.0,3355.0,3360.0,3512,16628,16781
2020-03-06 00:00:00.000000000,1583424000000000000,3500.0,3500.0,3320.0,3339.0,2862,16781,16842
2020-03-09 00:00:00.000000000,1583683200000000000,3325.0,3345.0,3258.0,3343.0,6495,16842,18250
2020-03-10 00:00:00.000000000,1583769600000000000,3301.0,3364.0,3301.0,3346.0,4249,18250,17941
2020-03-11 00:00:00.000000000,1583856000000000000,3355.0,3375.0,3350.0,3354.0,3123,17941,17683
2020-03-12 00:00:00.000000000,1583942400000000000,3351.0,3354.0,3320.0,3335.0,4791,17683,17640
2020-03-13 00:00:00.000000000,1584028800000000000,3333.0,3349.0,3300.0,3346.0,6440,17640,17705
2020-03-16 00:00:00.000000000,1584288000000000000,3350.0,3366.0,3324.0,3330.0,5263,17705,18333
2020-03-17 00:00:00.000000000,1584374400000000000,3330.0,3337.0,3302.0,3316.0,10314,18333,16351
2020-03-18 00:00:00.000000000,1584460800000000000,3315.0,3340.0,3281.0,3285.0,8666,16351,17402
2020-03-19 00:00:00.000000000,1584547200000000000,3280.0,3290.0,3115.0,3248.0,18260,17402,21137
2020-03-20 00:00:00.000000000,1584633600000000000,3250.0,3303.0,3160.0,3161.0,12473,21137,24216
2020-03-23 00:00:00.000000000,1584892800000000000,3161.0,3161.0,3012.0,3057.0,22146,24216,31323
2020-03-24 00:00:00.000000000,1584979200000000000,3050.0,3159.0,3050.0,3135.0,15357,31323,30494
2020-03-25 00:00:00.000000000,1585065600000000000,3151.0,3180.0,3124.0,3144.0,13308,30494,33084
2020-03-26 00:00:00.000000000,1585152000000000000,3140.0,3147.0,3092.0,3100.0,14159,33084,37635
2020-03-27 00:00:00.000000000,1585238400000000000,3103.0,3129.0,3087.0,3112.0,10257,37635,39223
2020-03-30 00:00:00.000000000,1585497600000000000,3098.0,3098.0,3007.0,3027.0,23741,39223,46020
2020-03-31 00:00:00.000000000,1585584000000000000,3070.0,3070.0,3015.0,3022.0,15900,46020,47808
2020-04-01 00:00:00.000000000,1585670400000000000,3025.0,3031.0,2923.0,2931.0,34743,47808,55596
2020-04-02 00:00:00.000000000,1585756800000000000,2925.0,3018.0,2875.0,3000.0,31649,55596,54454
2020-04-03 00:00:00.000000000,1585843200000000000,2998.0,3018.0,2938.0,2960.0,21992,54454,58254
2020-04-07 00:00:00.000000000,1586188800000000000,2965.0,3014.0,2965.0,2990.0,18808,58254,59841
2020-04-08 00:00:00.000000000,1586275200000000000,2970.0,3050.0,2970.0,3024.0,18515,59841,60351
2020-04-09 00:00:00.000000000,1586361600000000000,3040.0,3069.0,3032.0,3058.0,19734,60351,59185
2020-04-10 00:00:00.000000000,1586448000000000000,3058.0,3107.0,3050.0,3106.0,20555,59185,56427
2020-04-13 00:00:00.000000000,1586707200000000000,3103.0,3154.0,3089.0,3125.0,24308,56427,55509
2020-04-14 00:00:00.000000000,1586793600000000000,3130.0,3154.0,3104.0,3113.0,20615,55509,56221
2020-04-15 00:00:00.000000000,1586880000000000000,3110.0,3141.0,3095.0,3111.0,24677,56221,56906
2020-04-16 00:00:00.000000000,1586966400000000000,3110.0,3143.0,3093.0,3143.0,24880,56906,52761
2020-04-17 00:00:00.000000000,1587052800000000000,3147.0,3184.0,3126.0,3143.0,20553,52761,51670
2020-04-20 00:00:00.000000000,1587312000000000000,3143.0,3160.0,3115.0,3119.0,15995,51670,48607
2020-04-21 00:00:00.000000000,1587398400000000000,3125.0,3125.0,3067.0,3085.0,19449,48607,47899
2020-04-22 00:00:00.000000000,1587484800000000000,3080.0,3110.0,3051.0,3110.0,19344,47899,48113
2020-04-23 00:00:00.000000000,1587571200000000000,3105.0,3119.0,3064.0,3070.0,17922,48113,48746
2020-04-24 00:00:00.000000000,1587657600000000000,3079.0,3098.0,3065.0,3089.0,14618,48746,48149
2020-04-27 00:00:00.000000000,1587916800000000000,3095.0,3100.0,3066.0,3075.0,20390,48149,48459
2020-04-28 00:00:00.000000000,1588003200000000000,3055.0,3084.0,3037.0,3059.0,36424,48459,50401
2020-04-29 00:00:00.000000000,1588089600000000000,3060.0,3074.0,3052.0,3067.0,17508,50401,50593
2020-04-30 00:00:00.000000000,1588176000000000000,3081.0,3127.0,3081.0,3120.0,28888,50593,50221
2020-05-06 00:00:00.000000000,1588694400000000000,3112.0,3165.0,3112.0,3152.0,24432,50221,48695
2020-05-07 00:00:00.000000000,1588780800000000000,3142.0,3205.0,3142.0,3203.0,26271,48695,47516
2020-05-08 00:00:00.000000000,1588867200000000000,3205.0,3242.0,3202.0,3225.0,28220,47516,47167
2020-05-11 00:00:00.000000000,1589126400000000000,3225.0,3235.0,3206.0,3219.0,20089,47167,47416
2020-05-12 00:00:00.000000000,1589212800000000000,3216.0,3233.0,3208.0,3230.0,15999,47416,46889
2020-05-13 00:00:00.000000000,1589299200000000000,3230.0,3254.0,3204.0,3235.0,24400,46889,46756
2020-05-14 00:00:00.000000000,1589385600000000000,3230.0,3258.0,3218.0,3242.0,26086,46756,46652
2020-05-15 00:00:00.000000000,1589472000000000000,3245.0,3276.0,3232.0,3263.0,21429,46652,47698
