datetime,datetime_nano,DCE.i1909.open,DCE.i1909.high,DCE.i1909.low,DCE.i1909.close,DCE.i1909.volume,DCE.i1909.open_oi,DCE.i1909.close_oi
2018-09-17 00:00:00.000000000,1537113600000000000,509.0,513.0,506.5,509.0,172,0,117
2018-09-18 00:00:00.000000000,1537200000000000000,506.0,513.0,505.5,511.5,74,117,164
2018-09-19 00:00:00.000000000,1537286400000000000,515.0,517.0,511.0,512.0,97,164,206
2018-09-20 00:00:00.000000000,1537372800000000000,512.5,512.5,507.0,509.0,52,206,215
2018-09-21 00:00:00.000000000,1537459200000000000,510.0,511.5,508.0,510.0,157,215,238
2018-09-25 00:00:00.000000000,1537804800000000000,509.0,509.0,504.0,505.0,66,238,243
2018-09-26 00:00:00.000000000,1537891200000000000,505.0,510.0,505.0,507.5,164,243,288
2018-09-27 00:00:00.000000000,1537977600000000000,507.5,510.5,503.5,503.5,226,288,351
2018-09-28 00:00:00.000000000,1538064000000000000,503.0,504.5,495.0,502.0,330,351,440
2018-10-08 00:00:00.000000000,1538928000000000000,502.0,505.0,497.0,505.0,70,440,444
2018-10-09 00:00:00.000000000,1539014400000000000,505.5,513.5,505.0,511.5,331,444,431
2018-10-10 00:00:00.000000000,1539100800000000000,513.0,520.5,512.0,515.0,435,431,522
2018-10-11 00:00:00.000000000,1539187200000000000,516.0,517.0,507.5,510.0,893,522,887
2018-10-12 00:00:00.000000000,1539273600000000000,512.0,515.5,509.0,514.5,688,887,902
2018-10-15 00:00:00.000000000,1539532800000000000,515.5,516.0,510.0,510.0,199,902,932
2018-10-16 00:00:00.000000000,1539619200000000000,509.5,512.5,507.0,508.0,616,932,881
2018-10-17 00:00:00.000000000,1539705600000000000,508.0,514.0,506.5,512.0,468,881,1011
2018-10-18 00:00:00.000000000,1539792000000000000,514.0,520.5,507.0,508.0,557,1011,1065
2018-10-19 00:00:00.000000000,1539878400000000000,508.0,509.0,503.0,505.5,353,1065,1190
2018-10-22 00:00:00.000000000,1540137600000000000,505.5,519.0,505.5,516.5,502,1190,1120
2018-10-23 00:00:00.000000000,1540224000000000000,516.5,518.0,511.0,511.0,251,1120,1110
2018-10-24 00:00:00.000000000,1540310400000000000,510.0,522.5,510.0,522.5,312,1110,1094
2018-10-25 00:00:00.000000000,1540396800000000000,523.0,523.5,513.5,522.5,557,1094,1181
2018-10-26 00:00:00.000000000,1540483200000000000,523.5,524.5,519.0,522.0,506,1181,1237
2018-10-29 00:00:00.000000000,1540742400000000000,521.5,536.5,521.0,522.0,780,1237,1307
2018-10-30 00:00:00.000000000,1540828800000000000,521.5,524.0,518.0,520.5,364,1307,1351
2018-10-31 00:00:00.000000000,1540915200000000000,519.0,521.0,512.0,514.5,550,1351,1494
2018-11-01 00:00:00.000000000,1541001600000000000,517.0,517.0,501.5,502.0,542,1494,1612
2018-11-02 00:00:00.000000000,1541088000000000000,501.5,503.5,485.0,493.0,2001,1612,2041
2018-11-05 00:00:00.000000000,1541347200000000000,493.5,499.0,490.5,499.0,602,2041,2188
2018-11-06 00:00:00.000000000,1541433600000000000,502.0,502.0,490.0,491.5,1149,2188,2560
2018-11-07 00:00:00.000000000,1541520000000000000,491.5,491.5,483.0,487.5,1549,2560,2583
2018-11-08 00:00:00.000000000,1541606400000000000,487.5,489.5,476.0,485.5,2045,2583,3113
2018-11-09 00:00:00.000000000,1541692800000000000,485.5,486.5,476.0,477.5,2468,3113,4559
2018-11-12 00:00:00.000000000,1541952000000000000,478.5,480.5,472.0,474.0,1436,4559,4866
2018-11-13 00:00:00.000000000,1542038400000000000,475.0,477.5,471.0,475.5,1348,4866,5196
2018-11-14 00:00:00.000000000,1542124800000000000,475.0,479.0,465.0,469.0,2371,5196,6317
2018-11-15 00:00:00.000000000,1542211200000000000,469.5,471.0,467.0,470.5,1103,6317,6563
2018-11-16 00:00:00.000000000,1542297600000000000,470.0,482.0,470.0,479.0,3623,6563,6321
2018-11-19 00:00:00.000000000,1542556800000000000,478.0,484.0,475.0,481.5,2615,6321,6592
2018-11-20 00:00:00.000000000,1542643200000000000,481.0,481.5,472.5,473.5,3221,6592,6972
2018-11-21 00:00:00.000000000,1542729600000000000,473.0,477.5,457.5,477.5,5080,6972,7378
2018-11-22 00:00:00.000000000,1542816000000000000,477.0,477.0,469.0,470.5,2657,7378,7837
2018-11-23 00:00:00.000000000,1542902400000000000,469.0,470.5,458.5,458.5,2855,7837,8455
2018-11-26 00:00:00.000000000,1543161600000000000,458.5,460.5,438.5,440.5,10905,8455,12107
2018-11-27 00:00:00.000000000,1543248000000000000,441.0,450.0,440.5,446.5,7165,12107,12302
2018-11-28 00:00:00.000000000,1543334400000000000,445.0,452.5,442.5,448.5,10193,12302,14622
2018-11-29 00:00:00.000000000,1543420800000000000,448.5,455.5,447.0,450.5,6200,14622,14611
2018-11-30 00:00:00.000000000,1543507200000000000,450.5,453.5,444.0,447.5,6689,14611,14393
2018-12-03 00:00:00.000000000,1543766400000000000,447.5,469.5,442.0,455.5,14109,14393,15544
2018-12-04 00:00:00.000000000,1543852800000000000,455.5,461.0,453.5,461.0,5991,15544,14996
2018-12-05 00:00:00.000000000,1543939200000000000,461.5,466.0,456.5,464.0,7974,14996,14730
2018-12-06 00:00:00.000000000,1544025600000000000,464.5,467.0,455.5,457.0,5550,14730,15127
2018-12-07 00:00:00.000000000,1544112000000000000,456.5,461.5,452.0,460.0,5104,15127,15428
2018-12-10 00:00:00.000000000,1544371200000000000,460.5,461.5,451.5,458.0,8169,15428,17383
2018-12-11 00:00:00.000000000,1544457600000000000,458.0,459.0,453.0,458.0,4687,17383,17581
2018-12-12 00:00:00.000000000,1544544000000000000,459.5,465.5,457.5,459.5,6080,17581,17793
2018-12-13 00:00:00.000000000,1544630400000000000,459.0,463.5,457.0,462.5,4510,17793,18348
2018-12-14 00:00:00.000000000,1544716800000000000,461.0,466.5,461.0,466.0,7935,18348,19562
2018-12-17 00:00:00.000000000,1544976000000000000,466.0,475.5,466.0,469.0,8956,19562,18867
2018-12-18 00:00:00.000000000,1545062400000000000,469.0,469.5,462.0,465.0,11898,18867,18980
2018-12-19 00:00:00.000000000,1545148800000000000,465.5,466.0,461.0,465.0,8366,18980,19578
2018-12-20 00:00:00.000000000,1545235200000000000,465.0,473.0,462.5,472.5,7535,19578,19163
2018-12-21 00:00:00.000000000,1545321600000000000,473.0,478.0,472.0,475.0,5999,19163,18370
2018-12-24 00:00:00.000000000,1545580800000000000,474.5,475.0,466.5,471.5,8979,18370,19058
2018-12-25 00:00:00.000000000,1545667200000000000,471.5,473.0,464.0,466.0,11520,19058,21358
2018-12-26 00:00:00.000000000,1545753600000000000,467.0,471.0,466.0,469.5,7557,21358,21543
2018-12-27 00:00:00.000000000,1545840000000000000,469.5,474.5,465.0,468.5,9845,21543,22551
2018-12-28 00:00:00.000000000,1545926400000000000,468.0,471.0,466.0,470.0,6387,22551,22150
2019-01-02 00:00:00.000000000,1546358400000000000,470.0,472.0,465.0,466.5,4397,22150,22565
2019-01-03 00:00:00.000000000,1546444800000000000,464.0,473.5,464.0,472.0,10730,22565,24160
2019-01-04 00:00:00.000000000,1546531200000000000,472.0,484.0,472.0,484.0,15777,24160,24073
2019-01-07 00:00:00.000000000,1546790400000000000,485.0,485.0,478.0,484.0,14979,24073,23498
2019-01-08 00:00:00.000000000,1546876800000000000,485.5,488.5,484.0,485.5,22502,23498,28234
2019-01-09 00:00:00.000000000,1546963200000000000,486.0,489.5,482.5,483.0,17751,28234,32556
2019-01-10 00:00:00.000000000,1547049600000000000,483.0,486.5,480.0,482.0,14317,32556,34101
2019-01-11 00:00:00.000000000,1547136000000000000,481.0,484.5,480.0,482.5,12058,34101,35058
2019-01-14 00:00:00.000000000,1547395200000000000,484.0,486.5,479.0,485.0,12599,35058,34603
2019-01-15 00:00:00.000000000,1547481600000000000,486.0,486.5,479.0,485.5,9495,34603,34257
2019-01-16 00:00:00.000000000,1547568000000000000,484.0,494.5,484.0,491.0,25334,34257,39851
2019-01-17 00:00:00.000000000,1547654400000000000,490.5,496.0,488.0,494.0,15573,39851,44316
2019-01-18 00:00:00.000000000,1547740800000000000,493.5,512.5,493.0,510.5,43837,44316,53777
2019-01-21 00:00:00.000000000,1548000000000000000,508.5,522.0,508.5,512.5,45418,53777,60272
