datetime,datetime_nano,DCE.i2001.open,DCE.i2001.high,DCE.i2001.low,DCE.i2001.close,DCE.i2001.volume,DCE.i2001.open_oi,DCE.i2001.close_oi
2019-01-16 00:00:00.000000000,1547568000000000000,472.5,480.0,472.5,478.0,823,0,574
2019-01-17 00:00:00.000000000,1547654400000000000,477.5,482.0,476.0,481.0,506,574,835
2019-01-18 00:00:00.000000000,1547740800000000000,480.0,497.0,480.0,497.0,802,835,1043
2019-01-21 00:00:00.000000000,1548000000000000000,495.5,507.0,494.5,497.0,1208,1043,1301
2019-01-22 00:00:00.000000000,1548086400000000000,496.0,500.5,490.0,490.5,752,1301,1241
2019-01-23 00:00:00.000000000,1548172800000000000,489.5,493.0,489.5,492.0,295,1241,1336
2019-01-24 00:00:00.000000000,1548259200000000000,493.5,498.0,493.5,495.0,481,1336,1314
2019-01-25 00:00:00.000000000,1548345600000000000,496.0,498.0,494.0,495.5,364,1314,1333
2019-01-28 00:00:00.000000000,1548604800000000000,496.0,523.0,495.0,505.0,2056,1333,1575
2019-01-29 00:00:00.000000000,1548691200000000000,507.5,514.5,505.0,514.5,576,1575,1493
2019-01-30 00:00:00.000000000,1548777600000000000,515.0,540.5,515.0,529.0,4591,1493,2891
2019-01-31 00:00:00.000000000,1548864000000000000,530.5,532.0,514.5,526.5,3534,2891,3229
2019-02-01 00:00:00.000000000,1548950400000000000,527.5,550.0,525.5,546.0,3069,3229,3490
2019-02-11 00:00:00.000000000,1549814400000000000,582.5,582.5,570.0,571.0,9268,3490,6294
2019-02-12 00:00:00.000000000,1549900800000000000,567.5,571.5,551.0,552.0,8320,6294,7846
2019-02-13 00:00:00.000000000,1549987200000000000,551.0,555.0,539.0,543.5,7096,7846,9258
2019-02-14 00:00:00.000000000,1550073600000000000,545.0,549.5,533.5,547.0,8386,9258,9170
2019-02-15 00:00:00.000000000,1550160000000000000,547.5,550.0,538.0,544.5,4653,9170,9948
2019-02-18 00:00:00.000000000,1550419200000000000,545.5,563.0,545.5,554.5,10650,9948,13722
2019-02-19 00:00:00.000000000,1550505600000000000,555.5,570.0,553.0,566.0,12239,13722,18375
2019-02-20 00:00:00.000000000,1550592000000000000,566.0,570.0,550.5,562.0,17743,18375,23411
2019-02-21 00:00:00.000000000,1550678400000000000,563.0,568.0,554.5,558.0,11112,23411,24807
2019-02-22 00:00:00.000000000,1550764800000000000,556.5,560.0,547.0,560.0,11092,24807,26298
2019-02-25 00:00:00.000000000,1551024000000000000,561.0,562.0,546.0,547.0,10596,26298,28667
2019-02-26 00:00:00.000000000,1551110400000000000,549.0,549.0,534.5,539.5,13955,28667,29487
2019-02-27 00:00:00.000000000,1551196800000000000,539.5,543.5,532.0,534.5,8756,29487,30731
2019-02-28 00:00:00.000000000,1551283200000000000,535.5,545.0,535.5,543.5,6512,30731,30157
2019-03-01 00:00:00.000000000,1551369600000000000,544.0,558.0,543.5,558.0,7726,30157,27618
2019-03-04 00:00:00.000000000,1551628800000000000,560.0,568.5,557.5,559.0,14687,27618,28431
2019-03-05 00:00:00.000000000,1551715200000000000,558.0,560.0,548.0,552.5,8772,28431,28342
2019-03-06 00:00:00.000000000,1551801600000000000,552.5,557.0,542.5,542.5,10824,28342,28354
2019-03-07 00:00:00.000000000,1551888000000000000,543.0,559.0,541.5,556.5,10371,28354,29238
2019-03-08 00:00:00.000000000,1551974400000000000,558.0,558.5,546.0,546.5,7816,29238,29192
2019-03-11 00:00:00.000000000,1552233600000000000,545.0,545.0,530.0,533.0,15321,29192,31683
2019-03-12 00:00:00.000000000,1552320000000000000,532.0,544.0,532.0,543.5,8879,31683,32401
2019-03-13 00:00:00.000000000,1552406400000000000,544.5,546.0,536.0,536.0,7956,32401,31746
2019-03-14 00:00:00.000000000,1552492800000000000,536.5,550.0,535.0,549.5,11359,31746,32579
2019-03-15 00:00:00.000000000,1552579200000000000,549.5,549.5,540.0,546.5,12364,32579,34285
2019-03-18 00:00:00.000000000,1552838400000000000,546.0,566.0,544.0,560.0,21399,34285,36261
2019-03-19 00:00:00.000000000,1552924800000000000,559.5,574.0,558.5,561.0,22832,36261,39003
2019-03-20 00:00:00.000000000,1553011200000000000,561.5,567.0,532.5,532.5,30234,39003,40980
2019-03-21 00:00:00.000000000,1553097600000000000,534.0,536.5,524.0,529.5,44207,40980,52940
2019-03-22 00:00:00.000000000,1553184000000000000,529.0,534.0,528.0,534.0,15369,52940,50298
2019-03-25 00:00:00.000000000,1553443200000000000,535.0,537.5,529.5,530.0,10253,50298,47487
2019-03-26 00:00:00.000000000,1553529600000000000,530.0,535.0,526.5,526.5,13796,47487,48679
2019-03-27 00:00:00.000000000,1553616000000000000,527.5,533.5,527.5,531.5,9784,48679,48449
2019-03-28 00:00:00.000000000,1553702400000000000,531.5,535.0,527.5,529.5,15792,48449,48396
2019-03-29 00:00:00.000000000,1553788800000000000,532.0,555.0,524.5,553.0,26422,48396,49544
2019-04-01 00:00:00.000000000,1554048000000000000,551.5,567.5,546.5,565.5,19121,49544,48661
2019-04-02 00:00:00.000000000,1554134400000000000,565.0,575.0,558.0,571.0,23822,48661,49958
2019-04-03 00:00:00.000000000,1554220800000000000,571.0,594.0,570.0,585.0,28724,49958,53061
2019-04-04 00:00:00.000000000,1554307200000000000,585.0,590.0,575.0,580.0,34787,53061,55345
2019-04-08 00:00:00.000000000,1554652800000000000,583.0,607.5,581.0,601.0,27410,55345,59546
2019-04-09 00:00:00.000000000,1554739200000000000,602.0,611.0,592.5,597.5,33429,59546,59284
2019-04-10 00:00:00.000000000,1554825600000000000,596.0,602.0,592.5,600.0,22638,59284,60052
2019-04-11 00:00:00.000000000,1554912000000000000,600.5,606.5,590.5,604.5,26192,60052,58316
2019-04-12 00:00:00.000000000,1554998400000000000,605.5,613.0,593.5,603.0,35276,58316,57399
2019-04-15 00:00:00.000000000,1555257600000000000,605.0,614.0,596.5,601.5,31673,57399,61389
2019-04-16 00:00:00.000000000,1555344000000000000,600.0,606.0,583.0,584.0,21339,61389,60174
2019-04-17 00:00:00.000000000,1555430400000000000,585.5,587.5,570.0,574.0,32833,60174,61872
2019-04-18 00:00:00.000000000,1555516800000000000,573.5,577.0,567.0,573.5,27889,61872,66640
2019-04-19 00:00:00.000000000,1555603200000000000,572.5,575.0,567.0,573.0,18623,66640,67800
2019-04-22 00:00:00.000000000,1555862400000000000,573.0,592.0,573.0,580.0,40608,67800,67071
2019-04-23 00:00:00.000000000,1555948800000000000,580.0,586.0,578.5,582.0,16889,67071,68774
2019-04-24 00:00:00.000000000,1556035200000000000,580.5,582.0,571.0,573.0,17780,68774,68926
2019-04-25 00:00:00.000000000,1556121600000000000,573.0,580.5,570.0,570.5,14140,68926,68728
