datetime,datetime_nano,DCE.j1609.open,DCE.j1609.high,DCE.j1609.low,DCE.j1609.close,DCE.j1609.volume,DCE.j1609.open_oi,DCE.j1609.close_oi
2016-01-04 00:00:00.000000000,1451836800000000000,640.5,643.0,624.5,625.5,6628,0,12367
2016-01-05 00:00:00.000000000,1451923200000000000,625.0,628.5,622.5,627.5,4268,12367,12628
2016-01-06 00:00:00.000000000,1452009600000000000,626.5,626.5,612.0,613.0,11835,12628,16245
2016-01-07 00:00:00.000000000,1452096000000000000,612.0,615.5,605.0,606.0,10669,16245,16339
2016-01-08 00:00:00.000000000,1452182400000000000,606.5,612.5,604.0,609.0,7787,16339,16322
2016-01-11 00:00:00.000000000,1452441600000000000,608.5,613.0,607.0,608.5,6895,16322,15400
2016-01-12 00:00:00.000000000,1452528000000000000,609.5,610.0,599.5,600.0,10114,15400,15809
2016-01-13 00:00:00.000000000,1452614400000000000,601.5,607.0,601.0,605.0,8127,15809,14451
2016-01-14 00:00:00.000000000,1452700800000000000,606.0,608.0,600.0,607.0,7445,14451,14062
2016-01-15 00:00:00.000000000,1452787200000000000,606.0,618.0,606.0,610.0,9587,14062,13278
2016-01-18 00:00:00.000000000,1453046400000000000,608.0,624.5,606.0,624.0,11965,13278,12756
2016-01-19 00:00:00.000000000,1453132800000000000,624.0,627.5,620.5,627.0,8299,12756,13578
2016-01-20 00:00:00.000000000,1453219200000000000,628.0,628.5,620.5,621.0,7762,13578,14839
2016-01-21 00:00:00.000000000,1453305600000000000,621.0,626.5,619.0,623.0,7060,14839,14210
2016-01-22 00:00:00.000000000,1453392000000000000,622.5,638.5,621.5,634.5,10882,14210,12714
2016-01-25 00:00:00.000000000,1453651200000000000,637.0,642.0,632.0,633.0,6417,12714,12861
2016-01-26 00:00:00.000000000,1453737600000000000,634.0,635.0,628.5,634.0,5040,12861,12998
2016-01-27 00:00:00.000000000,1453824000000000000,634.5,641.0,632.5,639.5,5710,12998,13705
2016-01-28 00:00:00.000000000,1453910400000000000,640.0,640.0,628.5,631.0,4183,13705,13672
2016-01-29 00:00:00.000000000,1453996800000000000,630.5,633.5,625.0,627.5,5440,13672,14051
2016-02-01 00:00:00.000000000,1454256000000000000,627.5,635.5,627.5,630.0,5937,14051,13534
2016-02-02 00:00:00.000000000,1454342400000000000,630.0,631.5,627.5,630.0,2605,13534,13639
2016-02-03 00:00:00.000000000,1454428800000000000,631.5,632.0,627.0,631.5,3368,13639,13252
2016-02-04 00:00:00.000000000,1454515200000000000,631.0,638.0,631.0,636.5,5518,13252,12564
2016-02-05 00:00:00.000000000,1454601600000000000,635.5,637.5,628.0,629.0,2892,12564,12701
2016-02-15 00:00:00.000000000,1455465600000000000,628.0,635.5,620.0,630.5,4699,12701,12452
2016-02-16 00:00:00.000000000,1455552000000000000,631.0,645.0,631.0,642.5,9590,12452,11709
2016-02-17 00:00:00.000000000,1455638400000000000,641.5,648.0,639.5,640.5,5741,11709,11723
2016-02-18 00:00:00.000000000,1455724800000000000,643.0,644.5,638.0,643.5,4367,11723,11719
2016-02-19 00:00:00.000000000,1455811200000000000,645.0,655.5,642.0,654.0,7417,11719,12141
2016-02-22 00:00:00.000000000,1456070400000000000,653.0,674.5,649.5,674.5,12345,12141,14246
2016-02-23 00:00:00.000000000,1456156800000000000,674.5,683.5,668.0,676.0,9907,14246,13848
2016-02-24 00:00:00.000000000,1456243200000000000,678.0,687.0,672.5,685.0,16675,13848,16493
2016-02-25 00:00:00.000000000,1456329600000000000,687.0,691.5,678.0,683.0,20273,16493,18776
2016-02-26 00:00:00.000000000,1456416000000000000,683.0,693.5,673.0,691.0,21049,18776,20761
2016-02-29 00:00:00.000000000,1456675200000000000,691.5,696.5,680.0,696.0,22802,20761,23414
2016-03-01 00:00:00.000000000,1456761600000000000,697.0,701.5,689.5,693.0,18348,23414,21619
2016-03-02 00:00:00.000000000,1456848000000000000,694.0,701.0,691.0,700.5,17353,21619,23519
2016-03-03 00:00:00.000000000,1456934400000000000,700.5,710.0,699.0,702.0,27625,23519,25137
2016-03-04 00:00:00.000000000,1457020800000000000,703.5,707.5,695.5,705.0,27251,25137,25750
2016-03-07 00:00:00.000000000,1457280000000000000,705.0,729.5,705.0,729.5,19772,25750,26588
2016-03-08 00:00:00.000000000,1457366400000000000,762.5,762.5,722.5,757.5,68389,26588,29078
2016-03-09 00:00:00.000000000,1457452800000000000,750.0,750.0,720.0,720.0,49439,29078,28035
2016-03-10 00:00:00.000000000,1457539200000000000,724.0,748.0,714.0,716.5,63657,28035,24461
2016-03-11 00:00:00.000000000,1457625600000000000,716.0,725.0,711.0,719.0,31422,24461,23886
2016-03-14 00:00:00.000000000,1457884800000000000,719.0,746.0,713.5,721.0,59467,23886,28018
2016-03-15 00:00:00.000000000,1457971200000000000,719.5,731.0,714.0,715.0,42577,28018,30741
2016-03-16 00:00:00.000000000,1458057600000000000,713.5,736.0,713.5,735.5,38734,30741,32677
2016-03-17 00:00:00.000000000,1458144000000000000,734.0,750.0,731.5,741.0,59111,32677,33641
2016-03-18 00:00:00.000000000,1458230400000000000,739.0,769.5,737.0,757.0,79658,33641,35527
2016-03-21 00:00:00.000000000,1458489600000000000,756.5,778.5,751.5,754.5,74893,35527,36823
2016-03-22 00:00:00.000000000,1458576000000000000,757.0,762.0,752.0,758.0,41603,36823,36200
2016-03-23 00:00:00.000000000,1458662400000000000,758.0,776.5,750.0,765.5,73508,36200,37778
2016-03-24 00:00:00.000000000,1458748800000000000,764.0,770.0,741.5,749.0,106269,37778,41258
2016-03-25 00:00:00.000000000,1458835200000000000,749.0,764.5,748.5,764.0,69627,41258,42651
2016-03-28 00:00:00.000000000,1459094400000000000,767.0,787.0,764.0,774.5,222090,42651,55035
