datetime,datetime_nano,DCE.j2201.open,DCE.j2201.high,DCE.j2201.low,DCE.j2201.close,DCE.j2201.volume,DCE.j2201.open_oi,DCE.j2201.close_oi
2021-01-18 00:00:00.000000000,1610899200000000000,2401.0,2548.0,2401.0,2478.0,149,0,84
2021-01-19 00:00:00.000000000,1610985600000000000,2457.0,2477.5,2413.5,2419.0,234,84,209
2021-01-20 00:00:00.000000000,1611072000000000000,2425.0,2450.0,2417.0,2450.0,94,209,249
2021-01-21 00:00:00.000000000,1611158400000000000,2442.5,2514.0,2442.5,2507.0,86,249,290
2021-01-22 00:00:00.000000000,1611244800000000000,2502.0,2522.0,2458.5,2482.0,296,290,487
2021-01-25 00:00:00.000000000,1611504000000000000,2479.0,2487.0,2413.0,2441.0,103,487,480
2021-01-26 00:00:00.000000000,1611590400000000000,2459.0,2468.0,2370.0,2380.0,273,480,603
2021-01-27 00:00:00.000000000,1611676800000000000,2399.0,2420.0,2380.0,2415.0,61,603,606
2021-01-28 00:00:00.000000000,1611763200000000000,2400.0,2400.0,2345.5,2354.5,180,606,637
2021-01-29 00:00:00.000000000,1611849600000000000,2343.5,2354.5,2307.0,2311.5,121,637,651
2021-02-01 00:00:00.000000000,1612108800000000000,2330.0,2355.0,2308.0,2308.0,93,651,647
2021-02-02 00:00:00.000000000,1612195200000000000,2305.5,2310.5,2250.0,2255.5,130,647,707
2021-02-03 00:00:00.000000000,1612281600000000000,2255.5,2292.0,2240.5,2257.0,93,707,722
2021-02-04 00:00:00.000000000,1612368000000000000,2269.5,2285.0,2231.5,2285.0,143,722,741
2021-02-05 00:00:00.000000000,1612454400000000000,2287.5,2307.0,2250.0,2285.0,138,741,738
2021-02-08 00:00:00.000000000,1612713600000000000,2296.5,2361.5,2288.0,2345.0,150,738,750
2021-02-09 00:00:00.000000000,1612800000000000000,2357.5,2377.5,2345.0,2366.0,103,750,749
2021-02-10 00:00:00.000000000,1612886400000000000,2364.0,2370.0,2324.0,2355.5,139,749,749
2021-02-18 00:00:00.000000000,1613577600000000000,2380.0,2443.0,2380.0,2442.0,146,749,721
2021-02-19 00:00:00.000000000,1613664000000000000,2454.5,2474.5,2357.0,2406.0,252,721,837
2021-02-22 00:00:00.000000000,1613923200000000000,2401.5,2442.0,2351.0,2362.0,797,837,1271
2021-02-23 00:00:00.000000000,1614009600000000000,2358.0,2370.0,2315.5,2317.0,245,1271,1353
2021-02-24 00:00:00.000000000,1614096000000000000,2311.0,2335.0,2280.5,2335.0,267,1353,1411
2021-02-25 00:00:00.000000000,1614182400000000000,2339.5,2414.0,2312.0,2361.0,299,1411,1429
2021-02-26 00:00:00.000000000,1614268800000000000,2355.0,2364.0,2260.0,2292.0,333,1429,1552
2021-03-01 00:00:00.000000000,1614528000000000000,2279.5,2339.0,2220.0,2249.0,634,1552,1688
2021-03-02 00:00:00.000000000,1614614400000000000,2249.0,2307.5,2218.0,2296.0,521,1688,1692
2021-03-03 00:00:00.000000000,1614700800000000000,2295.0,2328.0,2281.5,2303.5,395,1692,1694
2021-03-04 00:00:00.000000000,1614787200000000000,2289.0,2299.0,2254.5,2277.5,261,1694,1749
2021-03-05 00:00:00.000000000,1614873600000000000,2250.0,2260.0,2180.0,2216.0,870,1749,1838
2021-03-08 00:00:00.000000000,1615132800000000000,2207.5,2231.0,2191.0,2204.0,479,1838,1963
2021-03-09 00:00:00.000000000,1615219200000000000,2205.5,2226.0,2172.0,2178.5,604,1963,2050
2021-03-10 00:00:00.000000000,1615305600000000000,2188.0,2209.5,2151.0,2201.0,478,2050,1988
2021-03-11 00:00:00.000000000,1615392000000000000,2240.0,2253.0,2189.5,2242.0,274,1988,1967
2021-03-12 00:00:00.000000000,1615478400000000000,2237.5,2243.5,2143.5,2150.0,480,1967,2071
2021-03-15 00:00:00.000000000,1615737600000000000,2141.0,2185.0,2128.5,2152.5,483,2071,2050
2021-03-16 00:00:00.000000000,1615824000000000000,2152.0,2196.0,2143.5,2185.5,285,2050,2059
2021-03-17 00:00:00.000000000,1615910400000000000,2184.0,2230.0,2171.0,2224.0,263,2059,2029
2021-03-18 00:00:00.000000000,1615996800000000000,2221.0,2254.5,2215.0,2236.0,272,2029,2035
2021-03-19 00:00:00.000000000,1616083200000000000,2233.5,2258.0,2162.0,2176.5,417,2035,2093
2021-03-22 00:00:00.000000000,1616342400000000000,2181.0,2188.5,2102.5,2129.0,673,2093,2251
2021-03-23 00:00:00.000000000,1616428800000000000,2130.0,2148.0,2110.0,2143.0,280,2251,2246
2021-03-24 00:00:00.000000000,1616515200000000000,2149.0,2155.0,2124.5,2142.0,225,2246,2236
2021-03-25 00:00:00.000000000,1616601600000000000,2152.5,2168.0,2127.0,2156.0,206,2236,2248
2021-03-26 00:00:00.000000000,1616688000000000000,2158.0,2198.0,2135.0,2198.0,208,2248,2217
2021-03-29 00:00:00.000000000,1616947200000000000,2196.0,2300.0,2193.5,2277.0,604,2217,2255
2021-03-30 00:00:00.000000000,1617033600000000000,2270.5,2284.5,2243.0,2271.0,268,2255,2234
2021-03-31 00:00:00.000000000,1617120000000000000,2264.5,2305.0,2222.5,2304.0,433,2234,2341
2021-04-01 00:00:00.000000000,1617206400000000000,2308.0,2317.0,2278.0,2312.0,344,2341,2382
2021-04-02 00:00:00.000000000,1617292800000000000,2317.0,2360.0,2317.0,2351.5,371,2382,2347
2021-04-06 00:00:00.000000000,1617638400000000000,2369.5,2408.5,2336.5,2355.5,513,2347,2344
2021-04-07 00:00:00.000000000,1617724800000000000,2350.0,2377.0,2323.0,2370.0,420,2344,2274
2021-04-08 00:00:00.000000000,1617811200000000000,2360.0,2377.5,2344.5,2366.0,297,2274,2188
2021-04-09 00:00:00.000000000,1617897600000000000,2380.0,2415.0,2350.5,2355.0,511,2188,2269
2021-04-12 00:00:00.000000000,1618156800000000000,2350.0,2375.0,2301.5,2364.0,562,2269,2275
2021-04-13 00:00:00.000000000,1618243200000000000,2380.0,2406.0,2373.0,2403.5,315,2275,2328
2021-04-14 00:00:00.000000000,1618329600000000000,2405.0,2465.0,2391.0,2457.0,674,2328,2366
2021-04-15 00:00:00.000000000,1618416000000000000,2443.5,2458.0,2423.0,2435.0,568,2366,2441
2021-04-16 00:00:00.000000000,1618502400000000000,2448.5,2521.0,2444.0,2505.0,572,2441,2389
2021-04-19 00:00:00.000000000,1618761600000000000,2509.0,2540.0,2480.0,2489.0,837,2389,2535
2021-04-20 00:00:00.000000000,1618848000000000000,2439.0,2537.0,2439.0,2527.5,919,2535,2532
2021-04-21 00:00:00.000000000,1618934400000000000,2512.0,2555.5,2481.5,2526.0,801,2532,2758
2021-04-22 00:00:00.000000000,1619020800000000000,2513.0,2561.0,2504.0,2546.0,577,2758,2776
2021-04-23 00:00:00.000000000,1619107200000000000,2555.0,2568.5,2515.0,2543.5,492,2776,2800
2021-04-26 00:00:00.000000000,1619366400000000000,2541.5,2634.5,2540.5,2626.0,536,2800,2838
2021-04-27 00:00:00.000000000,1619452800000000000,2634.0,2655.0,2607.5,2639.5,376,2838,2871
2021-04-28 00:00:00.000000000,1619539200000000000,2650.0,2660.0,2611.0,2635.0,265,2871,2874
2021-04-29 00:00:00.000000000,1619625600000000000,2620.0,2690.0,2620.0,2656.5,679,2874,3105
2021-04-30 00:00:00.000000000,1619712000000000000,2663.0,2671.5,2575.0,2582.5,1000,3105,3148
2021-05-06 00:00:00.000000000,1620230400000000000,2604.0,2752.5,2604.0,2742.0,992,3148,3226
2021-05-07 00:00:00.000000000,1620316800000000000,2742.0,2787.0,2741.5,2777.0,612,3226,3266
2021-05-10 00:00:00.000000000,1620576000000000000,2774.5,2942.0,2732.5,2912.0,1539,3266,3450
2021-05-11 00:00:00.000000000,1620662400000000000,2900.0,2910.5,2744.0,2809.0,2476,3450,3374
2021-05-12 00:00:00.000000000,1620748800000000000,2809.0,2905.0,2740.0,2853.0,1580,3374,3556
2021-05-13 00:00:00.000000000,1620835200000000000,2790.0,2893.5,2693.0,2743.0,2271,3556,3899
2021-05-14 00:00:00.000000000,1620921600000000000,2739.0,2752.0,2582.5,2631.5,1795,3899,3984
2021-05-17 00:00:00.000000000,1621180800000000000,2631.0,2675.5,2601.0,2638.0,1782,3984,4267
2021-05-18 00:00:00.000000000,1621267200000000000,2645.0,2683.5,2622.0,2663.0,625,4267,4102
2021-05-19 00:00:00.000000000,1621353600000000000,2663.0,2691.5,2561.0,2575.5,940,4102,4180
2021-05-20 00:00:00.000000000,1621440000000000000,2580.0,2580.0,2433.0,2475.0,2216,4180,4236
2021-05-21 00:00:00.000000000,1621526400000000000,2487.5,2487.5,2350.0,2350.0,3179,4236,4679
2021-05-24 00:00:00.000000000,1621785600000000000,2338.5,2388.0,2258.0,2331.0,2849,4679,4949
2021-05-25 00:00:00.000000000,1621872000000000000,2340.0,2377.0,2322.5,2328.5,1561,4949,4679
2021-05-26 00:00:00.000000000,1621958400000000000,2323.0,2377.5,2295.0,2316.0,2077,4679,4420
2021-05-27 00:00:00.000000000,1622044800000000000,2311.0,2389.5,2275.0,2381.0,2071,4420,4254
2021-05-28 00:00:00.000000000,1622131200000000000,2362.0,2421.0,2355.5,2402.0,1328,4254,4171
2021-05-31 00:00:00.000000000,1622390400000000000,2389.0,2480.0,2381.0,2440.5,2202,4171,4556
2021-06-01 00:00:00.000000000,1622476800000000000,2430.0,2531.5,2405.5,2531.5,2292,4556,4299
2021-06-02 00:00:00.000000000,1622563200000000000,2535.0,2558.0,2490.5,2536.0,1428,4299,4238
2021-06-03 00:00:00.000000000,1622649600000000000,2540.0,2674.5,2512.5,2650.0,2175,4238,4228
2021-06-04 00:00:00.000000000,1622736000000000000,2650.5,2650.5,2489.0,2506.0,2103,4228,4454
2021-06-07 00:00:00.000000000,1622995200000000000,2527.0,2553.5,2457.0,2467.0,1413,4454,4570
2021-06-08 00:00:00.000000000,1623081600000000000,2467.0,2531.0,2442.5,2516.0,1471,4570,4651
2021-06-09 00:00:00.000000000,1623168000000000000,2500.0,2585.0,2499.0,2567.0,1645,4651,4808
2021-06-10 00:00:00.000000000,1623254400000000000,2567.0,2583.0,2530.0,2530.0,928,4808,4695
2021-06-11 00:00:00.000000000,1623340800000000000,2545.0,2650.0,2541.0,2649.5,2075,4695,4914
2021-06-15 00:00:00.000000000,1623686400000000000,2620.0,2641.5,2534.0,2633.5,1650,4914,4754
2021-06-16 00:00:00.000000000,1623772800000000000,2633.5,2647.0,2588.0,2594.0,1070,4754,4637
2021-06-17 00:00:00.000000000,1623859200000000000,2585.0,2669.0,2566.0,2648.0,1474,4637,4960
2021-06-18 00:00:00.000000000,1623945600000000000,2650.0,2700.0,2595.5,2597.0,2024,4960,5117
2021-06-21 00:00:00.000000000,1624204800000000000,2603.0,2620.5,2515.0,2525.0,1959,5117,5038
2021-06-22 00:00:00.000000000,1624291200000000000,2520.0,2593.5,2501.0,2585.5,1223,5038,4935
2021-06-23 00:00:00.000000000,1624377600000000000,2585.5,2644.0,2569.5,2639.5,3150,4935,5942
2021-06-24 00:00:00.000000000,1624464000000000000,2645.0,2675.0,2606.0,2639.5,2478,5942,5936
2021-06-25 00:00:00.000000000,1624550400000000000,2639.0,2685.0,2639.0,2660.0,1763,5936,6093
2021-06-28 00:00:00.000000000,1624809600000000000,2660.0,2673.5,2544.0,2572.5,2088,6093,6039
2021-06-29 00:00:00.000000000,1624896000000000000,2565.0,2584.5,2529.0,2533.0,2015,6039,6227
2021-06-30 00:00:00.000000000,1624982400000000000,2551.5,2562.0,2516.0,2543.5,2292,6227,6573
2021-07-01 00:00:00.000000000,1625068800000000000,2550.0,2583.5,2516.0,2517.0,3187,6573,6953
2021-07-02 00:00:00.000000000,1625155200000000000,2520.0,2543.0,2478.0,2533.0,4928,6953,7275
2021-07-05 00:00:00.000000000,1625414400000000000,2527.0,2589.0,2491.0,2575.0,3807,7275,7563
2021-07-06 00:00:00.000000000,1625500800000000000,2580.0,2587.0,2519.0,2526.0,3985,7563,8126
2021-07-07 00:00:00.000000000,1625587200000000000,2526.0,2547.0,2488.0,2539.0,4443,8126,8959
2021-07-08 00:00:00.000000000,1625673600000000000,2540.0,2548.5,2413.5,2415.5,7535,8959,11364
2021-07-09 00:00:00.000000000,1625760000000000000,2405.0,2467.0,2404.0,2441.0,6415,11364,12025
2021-07-12 00:00:00.000000000,1626019200000000000,2450.0,2465.0,2416.0,2455.0,6428,12025,12320
2021-07-13 00:00:00.000000000,1626105600000000000,2453.5,2468.0,2414.0,2453.0,8458,12320,14146
2021-07-14 00:00:00.000000000,1626192000000000000,2450.0,2484.0,2426.0,2484.0,8686,14146,14674
2021-07-15 00:00:00.000000000,1626278400000000000,2490.0,2598.0,2470.5,2557.0,11070,14674,16190
2021-07-16 00:00:00.000000000,1626364800000000000,2549.0,2653.0,2549.0,2631.5,11853,16190,15364
2021-07-19 00:00:00.000000000,1626624000000000000,2632.0,2632.5,2562.0,2597.5,9425,15364,15542
2021-07-20 00:00:00.000000000,1626710400000000000,2580.0,2669.5,2565.0,2664.0,10686,15542,16204
2021-07-21 00:00:00.000000000,1626796800000000000,2665.0,2683.5,2621.5,2661.0,10787,16204,17500
2021-07-22 00:00:00.000000000,1626883200000000000,2649.5,2686.0,2607.0,2674.0,12454,17500,18077
2021-07-23 00:00:00.000000000,1626969600000000000,2700.0,2711.0,2677.5,2700.0,14732,18077,20884
2021-07-26 00:00:00.000000000,1627228800000000000,2705.0,2764.5,2660.0,2751.5,22949,20884,22595
2021-07-27 00:00:00.000000000,1627315200000000000,2767.0,2770.0,2700.5,2725.0,15262,22595,22470
2021-07-28 00:00:00.000000000,1627401600000000000,2743.0,2769.0,2720.0,2766.0,16029,22470,23676
2021-07-29 00:00:00.000000000,1627488000000000000,2770.5,2807.0,2758.5,2796.0,21910,23676,26687
2021-07-30 00:00:00.000000000,1627574400000000000,2804.0,2819.5,2716.0,2794.0,38993,26687,31334
2021-08-02 00:00:00.000000000,1627833600000000000,2770.0,2784.0,2691.0,2727.0,47301,31334,32816
2021-08-03 00:00:00.000000000,1627920000000000000,2730.0,2741.0,2629.0,2639.5,42523,32816,33392
2021-08-04 00:00:00.000000000,1628006400000000000,2650.0,2722.5,2635.0,2720.0,38814,33392,36232
2021-08-05 00:00:00.000000000,1628092800000000000,2718.0,2800.0,2717.0,2725.0,63083,36232,40182
2021-08-06 00:00:00.000000000,1628179200000000000,2730.0,2778.0,2697.0,2757.0,52609,40182,42732
2021-08-09 00:00:00.000000000,1628438400000000000,2764.0,2829.0,2738.5,2809.0,79716,42732,55413
2021-08-10 00:00:00.000000000,1628524800000000000,2780.0,2913.5,2775.0,2893.0,116377,55413,68944
2021-08-11 00:00:00.000000000,1628611200000000000,2905.0,2981.0,2893.0,2973.0,122065,68944,91120
2021-08-12 00:00:00.000000000,1628697600000000000,2960.0,2989.0,2865.5,2869.0,204567,91120,101919
2021-08-13 00:00:00.000000000,1628784000000000000,2880.0,2928.0,2848.0,2885.0,244114,101919,127950
2021-08-16 00:00:00.000000000,1629043200000000000,2892.0,2984.0,2868.0,2906.0,330297,127950,148060
2021-08-17 00:00:00.000000000,1629129600000000000,2874.5,2950.0,2864.5,2947.0,298171,148060,157820
2021-08-18 00:00:00.000000000,1629216000000000000,2964.0,2968.0,2820.0,2845.0,335661,157820,168124
2021-08-19 00:00:00.000000000,1629302400000000000,2840.0,2919.0,2762.0,2874.5,452418,168124,184179
2021-08-20 00:00:00.000000000,1629388800000000000,2839.0,2879.5,2780.0,2830.5,287836,184179,148893
2021-08-23 00:00:00.000000000,1629648000000000000,2834.0,3053.5,2833.0,3053.5,247535,148893,162236
2021-08-24 00:00:00.000000000,1629734400000000000,3100.0,3267.5,3100.0,3150.5,304702,162236,157608
2021-08-25 00:00:00.000000000,1629820800000000000,3156.0,3323.0,3156.0,3293.0,241300,157608,174841
2021-08-26 00:00:00.000000000,1629907200000000000,3299.5,3334.0,3174.0,3215.5,296760,174841,179113
2021-08-27 00:00:00.000000000,1629993600000000000,3150.0,3184.5,3074.5,3164.5,295372,179113,170894
2021-08-30 00:00:00.000000000,1630252800000000000,3175.0,3213.5,3066.5,3187.0,294417,170894,174249
2021-08-31 00:00:00.000000000,1630339200000000000,3200.0,3208.0,3111.5,3159.0,224521,174249,164293
2021-09-01 00:00:00.000000000,1630425600000000000,3153.0,3204.5,3106.0,3197.0,241485,164293,170954
2021-09-02 00:00:00.000000000,1630512000000000000,3220.0,3406.0,3206.0,3359.0,342607,170954,185408
2021-09-03 00:00:00.000000000,1630598400000000000,3330.0,3384.5,3282.5,3336.5,227777,185408,171009
2021-09-06 00:00:00.000000000,1630857600000000000,3332.5,3499.5,3270.0,3489.5,179165,171009,152860
2021-09-07 00:00:00.000000000,1630944000000000000,3520.0,3657.5,3505.0,3655.5,157431,152860,144063
2021-09-08 00:00:00.000000000,1631030400000000000,3640.0,3645.0,3550.0,3594.0,127921,144063,127439
2021-09-09 00:00:00.000000000,1631116800000000000,3600.0,3838.5,3600.0,3787.5,94459,127439,123522
2021-09-10 00:00:00.000000000,1631203200000000000,3847.0,3847.0,3487.5,3508.0,130649,123522,112075
2021-09-13 00:00:00.000000000,1631462400000000000,3535.5,3635.0,3379.5,3397.0,108914,112075,105237
2021-09-14 00:00:00.000000000,1631548800000000000,3400.0,3460.0,3309.5,3341.5,103366,105237,100709
2021-09-15 00:00:00.000000000,1631635200000000000,3330.0,3440.0,3236.0,3373.0,100580,100709,94360
2021-09-16 00:00:00.000000000,1631721600000000000,3380.0,3460.0,3170.0,3189.0,98437,94360,90554
2021-09-17 00:00:00.000000000,1631808000000000000,3220.0,3269.5,3150.0,3218.0,58500,90554,84790
2021-09-22 00:00:00.000000000,1632240000000000000,3200.0,3422.0,3186.0,3417.0,52725,84790,84380
2021-09-23 00:00:00.000000000,1632326400000000000,3422.0,3536.0,3386.5,3482.0,66187,84380,84711
2021-09-24 00:00:00.000000000,1632412800000000000,3440.0,3450.0,3186.0,3197.5,72725,84711,82572
2021-09-27 00:00:00.000000000,1632672000000000000,3248.5,3285.0,3124.0,3173.5,75717,82572,81582
2021-09-28 00:00:00.000000000,1632758400000000000,3175.0,3420.0,3175.0,3410.0,61089,81582,80913
2021-09-29 00:00:00.000000000,1632844800000000000,3410.0,3498.0,3334.5,3364.5,57686,80913,78273
2021-09-30 00:00:00.000000000,1632931200000000000,3365.0,3590.0,3307.5,3551.0,74587,78273,75824
2021-10-08 00:00:00.000000000,1633622400000000000,3546.0,3642.0,3452.0,3505.0,41980,75824,76011
