datetime,datetime_nano,DCE.jd2301.open,DCE.jd2301.high,DCE.jd2301.low,DCE.jd2301.close,DCE.jd2301.volume,DCE.jd2301.open_oi,DCE.jd2301.close_oi
2022-01-26 00:00:00.000000000,1643126400000000000,4400.0,4400.0,4340.0,4372.0,413,0,314
2022-01-27 00:00:00.000000000,1643212800000000000,4380.0,4399.0,4370.0,4388.0,182,314,370
2022-01-28 00:00:00.000000000,1643299200000000000,4390.0,4410.0,4389.0,4397.0,55,370,375
2022-02-07 00:00:00.000000000,1644163200000000000,4400.0,4414.0,4394.0,4403.0,95,375,438
2022-02-08 00:00:00.000000000,1644249600000000000,4404.0,4411.0,4400.0,4410.0,53,438,469
2022-02-09 00:00:00.000000000,1644336000000000000,4408.0,4410.0,4388.0,4388.0,105,469,468
2022-02-10 00:00:00.000000000,1644422400000000000,4400.0,4406.0,4381.0,4395.0,926,468,1281
2022-02-11 00:00:00.000000000,1644508800000000000,4395.0,4403.0,4376.0,4399.0,939,1281,2092
2022-02-14 00:00:00.000000000,1644768000000000000,4390.0,4391.0,4378.0,4391.0,74,2092,2110
2022-02-15 00:00:00.000000000,1644854400000000000,4380.0,4390.0,4380.0,4383.0,333,2110,1817
2022-02-16 00:00:00.000000000,1644940800000000000,4380.0,4392.0,4380.0,4389.0,62,1817,1846
2022-02-17 00:00:00.000000000,1645027200000000000,4391.0,4415.0,4391.0,4415.0,151,1846,1889
2022-02-18 00:00:00.000000000,1645113600000000000,4395.0,4410.0,4395.0,4401.0,43,1889,1877
2022-02-21 00:00:00.000000000,1645372800000000000,4400.0,4416.0,4395.0,4413.0,221,1877,2058
2022-02-22 00:00:00.000000000,1645459200000000000,4411.0,4415.0,4409.0,4410.0,74,2058,2101
2022-02-23 00:00:00.000000000,1645545600000000000,4413.0,4435.0,4413.0,4425.0,1983,2101,2851
2022-02-24 00:00:00.000000000,1645632000000000000,4420.0,4449.0,4418.0,4449.0,571,2851,3189
2022-02-25 00:00:00.000000000,1645718400000000000,4430.0,4451.0,4420.0,4451.0,201,3189,3260
2022-02-28 00:00:00.000000000,1645977600000000000,4440.0,4465.0,4440.0,4460.0,470,3260,3079
2022-03-01 00:00:00.000000000,1646064000000000000,4466.0,4480.0,4450.0,4461.0,124,3079,3092
2022-03-02 00:00:00.000000000,1646150400000000000,4478.0,4500.0,4466.0,4488.0,200,3092,3195
2022-03-03 00:00:00.000000000,1646236800000000000,4488.0,4500.0,4482.0,4493.0,734,3195,2651
2022-03-04 00:00:00.000000000,1646323200000000000,4494.0,4531.0,4489.0,4493.0,1035,2651,1865
2022-03-07 00:00:00.000000000,1646582400000000000,4499.0,4520.0,4490.0,4501.0,866,1865,1287
2022-03-08 00:00:00.000000000,1646668800000000000,4500.0,4503.0,4478.0,4500.0,125,1287,1277
2022-03-09 00:00:00.000000000,1646755200000000000,4500.0,4501.0,4490.0,4498.0,114,1277,1323
2022-03-10 00:00:00.000000000,1646841600000000000,4490.0,4498.0,4482.0,4491.0,234,1323,1260
2022-03-11 00:00:00.000000000,1646928000000000000,4500.0,4515.0,4496.0,4515.0,155,1260,1320
2022-03-14 00:00:00.000000000,1647187200000000000,4510.0,4559.0,4500.0,4550.0,656,1320,1750
2022-03-15 00:00:00.000000000,1647273600000000000,4553.0,4565.0,4476.0,4496.0,608,1750,1895
2022-03-16 00:00:00.000000000,1647360000000000000,4500.0,4539.0,4497.0,4519.0,350,1895,1930
