datetime,datetime_nano,DCE.jd1809.open,DCE.jd1809.high,DCE.jd1809.low,DCE.jd1809.close,DCE.jd1809.volume,DCE.jd1809.open_oi,DCE.jd1809.close_oi
2017-09-27 00:00:00.000000000,1506441600000000000,4210.0,4260.0,4210.0,4228.0,983,0,793
2017-09-28 00:00:00.000000000,1506528000000000000,4210.0,4297.0,4206.0,4263.0,597,793,1052
2017-09-29 00:00:00.000000000,1506614400000000000,4265.0,4290.0,4256.0,4282.0,455,1052,1271
2017-10-09 00:00:00.000000000,1507478400000000000,4303.0,4325.0,4259.0,4307.0,681,1271,1685
2017-10-10 00:00:00.000000000,1507564800000000000,4291.0,4350.0,4291.0,4325.0,1276,1685,2351
2017-10-11 00:00:00.000000000,1507651200000000000,4320.0,4365.0,4316.0,4360.0,1618,2351,3434
2017-10-12 00:00:00.000000000,1507737600000000000,4350.0,4365.0,4337.0,4346.0,734,3434,3713
2017-10-13 00:00:00.000000000,1507824000000000000,4345.0,4358.0,4336.0,4350.0,724,3713,3964
2017-10-16 00:00:00.000000000,1508083200000000000,4346.0,4397.0,4346.0,4369.0,1041,3964,4425
2017-10-17 00:00:00.000000000,1508169600000000000,4362.0,4390.0,4353.0,4378.0,546,4425,4577
2017-10-18 00:00:00.000000000,1508256000000000000,4376.0,4386.0,4362.0,4363.0,596,4577,4647
2017-10-19 00:00:00.000000000,1508342400000000000,4361.0,4390.0,4361.0,4374.0,962,4647,5021
2017-10-20 00:00:00.000000000,1508428800000000000,4380.0,4399.0,4377.0,4390.0,1113,5021,5384
2017-10-23 00:00:00.000000000,1508688000000000000,4410.0,4410.0,4355.0,4377.0,518,5384,5434
2017-10-24 00:00:00.000000000,1508774400000000000,4399.0,4399.0,4357.0,4385.0,869,5434,5719
2017-10-25 00:00:00.000000000,1508860800000000000,4389.0,4390.0,4376.0,4387.0,519,5719,5740
2017-10-26 00:00:00.000000000,1508947200000000000,4392.0,4398.0,4380.0,4387.0,862,5740,6161
2017-10-27 00:00:00.000000000,1509033600000000000,4385.0,4389.0,4349.0,4363.0,1439,6161,6016
2017-10-30 00:00:00.000000000,1509292800000000000,4368.0,4374.0,4314.0,4315.0,1058,6016,6012
2017-10-31 00:00:00.000000000,1509379200000000000,4312.0,4320.0,4285.0,4302.0,1469,6012,6185
2017-11-01 00:00:00.000000000,1509465600000000000,4310.0,4328.0,4297.0,4303.0,1477,6185,6440
2017-11-02 00:00:00.000000000,1509552000000000000,4305.0,4308.0,4278.0,4297.0,1552,6440,6621
2017-11-03 00:00:00.000000000,1509638400000000000,4297.0,4298.0,4271.0,4281.0,1678,6621,6966
2017-11-06 00:00:00.000000000,1509897600000000000,4276.0,4315.0,4276.0,4296.0,1017,6966,7127
2017-11-07 00:00:00.000000000,1509984000000000000,4296.0,4306.0,4286.0,4298.0,1148,7127,7291
2017-11-08 00:00:00.000000000,1510070400000000000,4295.0,4315.0,4244.0,4254.0,3408,7291,7997
2017-11-09 00:00:00.000000000,1510156800000000000,4270.0,4270.0,4233.0,4253.0,1756,7997,7958
2017-11-10 00:00:00.000000000,1510243200000000000,4246.0,4268.0,4238.0,4241.0,1288,7958,7750
2017-11-13 00:00:00.000000000,1510502400000000000,4244.0,4247.0,4225.0,4245.0,1916,7750,8017
2017-11-14 00:00:00.000000000,1510588800000000000,4242.0,4247.0,4230.0,4233.0,1279,8017,8394
2017-11-15 00:00:00.000000000,1510675200000000000,4215.0,4237.0,4211.0,4221.0,1560,8394,8654
2017-11-16 00:00:00.000000000,1510761600000000000,4224.0,4257.0,4210.0,4255.0,1832,8654,8919
2017-11-17 00:00:00.000000000,1510848000000000000,4250.0,4287.0,4239.0,4276.0,2516,8919,9086
2017-11-20 00:00:00.000000000,1511107200000000000,4298.0,4301.0,4272.0,4281.0,2973,9086,8922
2017-11-21 00:00:00.000000000,1511193600000000000,4289.0,4292.0,4274.0,4284.0,1183,8922,8960
2017-11-22 00:00:00.000000000,1511280000000000000,4290.0,4297.0,4283.0,4295.0,1529,8960,9450
2017-11-23 00:00:00.000000000,1511366400000000000,4303.0,4315.0,4284.0,4287.0,1589,9450,9941
2017-11-24 00:00:00.000000000,1511452800000000000,4290.0,4315.0,4285.0,4312.0,1976,9941,10652
2017-11-27 00:00:00.000000000,1511712000000000000,4300.0,4324.0,4297.0,4310.0,2175,10652,11025
2017-11-28 00:00:00.000000000,1511798400000000000,4314.0,4319.0,4305.0,4315.0,1234,11025,11448
2017-11-29 00:00:00.000000000,1511884800000000000,4320.0,4364.0,4318.0,4360.0,2476,11448,12294
2017-11-30 00:00:00.000000000,1511971200000000000,4365.0,4399.0,4360.0,4365.0,4901,12294,13516
2017-12-01 00:00:00.000000000,1512057600000000000,4377.0,4385.0,4342.0,4354.0,3119,13516,14750
2017-12-04 00:00:00.000000000,1512316800000000000,4350.0,4387.0,4337.0,4364.0,2614,14750,15460
2017-12-05 00:00:00.000000000,1512403200000000000,4365.0,4390.0,4325.0,4346.0,3391,15460,15537
2017-12-06 00:00:00.000000000,1512489600000000000,4340.0,4358.0,4315.0,4323.0,3895,15537,15874
2017-12-07 00:00:00.000000000,1512576000000000000,4330.0,4345.0,4300.0,4301.0,4070,15874,16120
2017-12-08 00:00:00.000000000,1512662400000000000,4310.0,4315.0,4269.0,4284.0,3236,16120,16999
2017-12-11 00:00:00.000000000,1512921600000000000,4269.0,4277.0,4225.0,4231.0,4585,16999,17948
2017-12-12 00:00:00.000000000,1513008000000000000,4226.0,4263.0,4226.0,4252.0,2592,17948,18457
2017-12-13 00:00:00.000000000,1513094400000000000,4240.0,4296.0,4233.0,4290.0,4877,18457,19287
2017-12-14 00:00:00.000000000,1513180800000000000,4286.0,4300.0,4281.0,4294.0,1957,19287,19419
2017-12-15 00:00:00.000000000,1513267200000000000,4296.0,4315.0,4260.0,4295.0,4158,19419,20399
