datetime,datetime_nano,DCE.jm1901.open,DCE.jm1901.high,DCE.jm1901.low,DCE.jm1901.close,DCE.jm1901.volume,DCE.jm1901.open_oi,DCE.jm1901.close_oi
2018-01-16 00:00:00.000000000,1516032000000000000,1267.5,1272.0,1252.5,1252.5,90,0,88
2018-01-17 00:00:00.000000000,1516118400000000000,1255.0,1255.0,1226.0,1228.5,35,88,95
2018-01-18 00:00:00.000000000,1516204800000000000,1243.5,1249.0,1232.0,1242.0,16,95,103
2018-01-19 00:00:00.000000000,1516291200000000000,1234.0,1244.0,1229.5,1244.0,12,103,99
2018-01-22 00:00:00.000000000,1516550400000000000,1253.0,1259.0,1223.0,1231.0,25,99,109
2018-01-23 00:00:00.000000000,1516636800000000000,1233.0,1244.0,1221.0,1242.0,31,109,113
2018-01-24 00:00:00.000000000,1516723200000000000,1242.5,1242.5,1238.5,1238.5,11,113,108
2018-01-25 00:00:00.000000000,1516809600000000000,1250.0,1262.5,1247.5,1260.5,48,108,93
2018-01-26 00:00:00.000000000,1516896000000000000,1241.0,1252.0,1241.0,1252.0,11,93,83
2018-01-29 00:00:00.000000000,1517155200000000000,1235.0,1253.5,1231.5,1251.5,15,83,85
2018-01-30 00:00:00.000000000,1517241600000000000,1239.0,1239.0,1239.0,1239.0,3,85,87
2018-01-31 00:00:00.000000000,1517328000000000000,1237.0,1237.5,1231.0,1231.5,14,87,92
2018-02-01 00:00:00.000000000,1517414400000000000,1252.5,1252.5,1249.0,1251.0,14,92,92
2018-02-02 00:00:00.000000000,1517500800000000000,1246.5,1262.0,1243.5,1260.5,23,92,86
2018-02-05 00:00:00.000000000,1517760000000000000,1256.5,1266.5,1256.5,1265.5,88,86,105
2018-02-06 00:00:00.000000000,1517846400000000000,1285.0,1285.0,1249.5,1249.5,96,105,100
2018-02-07 00:00:00.000000000,1517932800000000000,1249.5,1268.0,1249.5,1263.0,21,100,110
2018-02-08 00:00:00.000000000,1518019200000000000,1263.0,1273.0,1255.0,1266.5,40,110,118
