datetime,datetime_nano,SHFE.rb2010.open,SHFE.rb2010.high,SHFE.rb2010.low,SHFE.rb2010.close,SHFE.rb2010.volume,SHFE.rb2010.open_oi,SHFE.rb2010.close_oi
2019-10-16 00:00:00.000000000,1571155200000000000,3137.0,3141.0,3081.0,3092.0,23910,0,17579
2019-10-17 00:00:00.000000000,1571241600000000000,3092.0,3099.0,3083.0,3099.0,11767,17579,21558
2019-10-18 00:00:00.000000000,1571328000000000000,3100.0,3110.0,3067.0,3091.0,17380,21558,28943
2019-10-21 00:00:00.000000000,1571587200000000000,3093.0,3096.0,3070.0,3077.0,7370,28943,31074
2019-10-22 00:00:00.000000000,1571673600000000000,3083.0,3091.0,3070.0,3084.0,8115,31074,32469
2019-10-23 00:00:00.000000000,1571760000000000000,3090.0,3103.0,3081.0,3089.0,12058,32469,34800
2019-10-24 00:00:00.000000000,1571846400000000000,3090.0,3095.0,3078.0,3094.0,9058,34800,36994
2019-10-25 00:00:00.000000000,1571932800000000000,3094.0,3118.0,3085.0,3108.0,15928,36994,41700
2019-10-28 00:00:00.000000000,1572192000000000000,3112.0,3122.0,3097.0,3101.0,10028,41700,42379
2019-10-29 00:00:00.000000000,1572278400000000000,3104.0,3114.0,3095.0,3110.0,8220,42379,42837
2019-10-30 00:00:00.000000000,1572364800000000000,3111.0,3115.0,3096.0,3113.0,9897,42837,45110
2019-10-31 00:00:00.000000000,1572451200000000000,3115.0,3120.0,3103.0,3107.0,9386,45110,45763
2019-11-01 00:00:00.000000000,1572537600000000000,3110.0,3115.0,3100.0,3115.0,13567,45763,47494
2019-11-04 00:00:00.000000000,1572796800000000000,3115.0,3115.0,3103.0,3108.0,10371,47494,49183
2019-11-05 00:00:00.000000000,1572883200000000000,3108.0,3123.0,3101.0,3123.0,13917,49183,50252
2019-11-06 00:00:00.000000000,1572969600000000000,3121.0,3140.0,3118.0,3122.0,17778,50252,50053
2019-11-07 00:00:00.000000000,1573056000000000000,3123.0,3130.0,3104.0,3105.0,14606,50053,51789
2019-11-08 00:00:00.000000000,1573142400000000000,3108.0,3116.0,3101.0,3105.0,16622,51789,53704
2019-11-11 00:00:00.000000000,1573401600000000000,3105.0,3105.0,3078.0,3083.0,37021,53704,67157
2019-11-12 00:00:00.000000000,1573488000000000000,3082.0,3119.0,3080.0,3118.0,25170,67157,64990
2019-11-13 00:00:00.000000000,1573574400000000000,3117.0,3127.0,3112.0,3118.0,17140,64990,63739
2019-11-14 00:00:00.000000000,1573660800000000000,3123.0,3181.0,3112.0,3172.0,55466,63739,71377
2019-11-15 00:00:00.000000000,1573747200000000000,3172.0,3212.0,3169.0,3194.0,32797,71377,72580
