datetime,datetime_nano,SHFE.rb1801.open,SHFE.rb1801.high,SHFE.rb1801.low,SHFE.rb1801.close,SHFE.rb1801.volume,SHFE.rb1801.open_oi,SHFE.rb1801.close_oi
2017-01-17 00:00:00.000000000,1484582400000000000,3285.0,3285.0,3123.0,3165.0,1709,0,1098
2017-01-18 00:00:00.000000000,1484668800000000000,3180.0,3214.0,3137.0,3160.0,1114,1098,1392
2017-01-19 00:00:00.000000000,1484755200000000000,3168.0,3182.0,3121.0,3142.0,712,1392,1557
2017-01-20 00:00:00.000000000,1484841600000000000,3150.0,3179.0,3081.0,3092.0,1380,1557,2114
2017-01-23 00:00:00.000000000,1485100800000000000,3092.0,3109.0,3051.0,3075.0,1066,2114,2157
2017-01-24 00:00:00.000000000,1485187200000000000,3079.0,3200.0,3075.0,3165.0,2352,2157,2575
2017-01-25 00:00:00.000000000,1485273600000000000,3171.0,3176.0,3120.0,3150.0,973,2575,2776
2017-01-26 00:00:00.000000000,1485360000000000000,3149.0,3220.0,3149.0,3215.0,1302,2776,2689
2017-02-03 00:00:00.000000000,1486051200000000000,3215.0,3216.0,2950.0,3050.0,2563,2689,3171
2017-02-06 00:00:00.000000000,1486310400000000000,3030.0,3052.0,2985.0,3002.0,2470,3171,4263
2017-02-07 00:00:00.000000000,1486396800000000000,3002.0,3055.0,2986.0,3041.0,2419,4263,4524
2017-02-08 00:00:00.000000000,1486483200000000000,3033.0,3108.0,3025.0,3103.0,3141,4524,5017
2017-02-09 00:00:00.000000000,1486569600000000000,3104.0,3128.0,3080.0,3081.0,2507,5017,5321
2017-02-10 00:00:00.000000000,1486656000000000000,3081.0,3235.0,3000.0,3191.0,3814,5321,5104
2017-02-13 00:00:00.000000000,1486915200000000000,3181.0,3299.0,3181.0,3291.0,5154,5104,5646
2017-02-14 00:00:00.000000000,1487001600000000000,3292.0,3315.0,3234.0,3283.0,5565,5646,7074
2017-02-15 00:00:00.000000000,1487088000000000000,3288.0,3296.0,3215.0,3235.0,5926,7074,8490
2017-02-16 00:00:00.000000000,1487174400000000000,3233.0,3310.0,3203.0,3218.0,8111,8490,10238
2017-02-17 00:00:00.000000000,1487260800000000000,3217.0,3276.0,3216.0,3258.0,4966,10238,10681
2017-02-20 00:00:00.000000000,1487520000000000000,3251.0,3307.0,3246.0,3297.0,5793,10681,11195
2017-02-21 00:00:00.000000000,1487606400000000000,3300.0,3386.0,3300.0,3341.0,6072,11195,11545
2017-02-22 00:00:00.000000000,1487692800000000000,3341.0,3353.0,3288.0,3302.0,3879,11545,11766
