datetime,datetime_nano,DCE.cs1701.open,DCE.cs1701.high,DCE.cs1701.low,DCE.cs1701.close,DCE.cs1701.volume,DCE.cs1701.open_oi,DCE.cs1701.close_oi
2016-01-18 09:00:00.000000000,1453078800000000000,1798.0,1798.0,1758.0,1797.0,1315,0,724
2016-01-18 09:30:00.000000000,1453080600000000000,1797.0,1809.0,1797.0,1809.0,639,724,1207
2016-01-18 10:00:00.000000000,1453082400000000000,1809.0,1817.0,1806.0,1815.0,287,1207,1330
2016-01-18 10:30:00.000000000,1453084200000000000,1817.0,1820.0,1813.0,1817.0,463,1330,1543
2016-01-18 11:00:00.000000000,1453086000000000000,1817.0,1820.0,1806.0,1807.0,2233,1543,3144
2016-01-18 13:30:00.000000000,1453095000000000000,1807.0,1811.0,1807.0,1809.0,646,3144,3655
2016-01-18 14:00:00.000000000,1453096800000000000,1809.0,1813.0,1805.0,1813.0,1661,3655,5252
2016-01-18 14:30:00.000000000,1453098600000000000,1813.0,1820.0,1809.0,1815.0,2742,5252,7510
2016-01-19 09:00:00.000000000,1453165200000000000,1815.0,1818.0,1809.0,1816.0,618,7510,7797
2016-01-19 09:30:00.000000000,1453167000000000000,1816.0,1822.0,1816.0,1820.0,1005,7797,8550
2016-01-19 10:00:00.000000000,1453168800000000000,1820.0,1825.0,1817.0,1824.0,670,8550,8812
2016-01-19 10:30:00.000000000,1453170600000000000,1824.0,1825.0,1807.0,1807.0,1867,8812,9500
2016-01-19 11:00:00.000000000,1453172400000000000,1807.0,1811.0,1805.0,1806.0,776,9500,9873
2016-01-19 13:30:00.000000000,1453181400000000000,1806.0,1818.0,1806.0,1814.0,1704,9873,10819
2016-01-19 14:00:00.000000000,1453183200000000000,1814.0,1820.0,1812.0,1820.0,1010,10819,11197
2016-01-19 14:30:00.000000000,1453185000000000000,1820.0,1821.0,1815.0,1815.0,1210,11197,12008
2016-01-20 09:00:00.000000000,1453251600000000000,1820.0,1820.0,1805.0,1809.0,1705,12008,13294
2016-01-20 09:30:00.000000000,1453253400000000000,1809.0,1818.0,1808.0,1817.0,2651,13294,15650
2016-01-20 10:00:00.000000000,1453255200000000000,1817.0,1820.0,1817.0,1820.0,1138,15650,16644
2016-01-20 10:30:00.000000000,1453257000000000000,1819.0,1821.0,1817.0,1817.0,379,16644,16789
2016-01-20 11:00:00.000000000,1453258800000000000,1817.0,1820.0,1817.0,1817.0,371,16789,16882
2016-01-20 13:30:00.000000000,1453267800000000000,1817.0,1818.0,1811.0,1815.0,1613,16882,17708
2016-01-20 14:00:00.000000000,1453269600000000000,1815.0,1819.0,1815.0,1818.0,799,17708,18279
2016-01-20 14:30:00.000000000,1453271400000000000,1818.0,1823.0,1812.0,1815.0,1623,18279,18962
2016-01-21 09:00:00.000000000,1453338000000000000,1810.0,1821.0,1809.0,1818.0,815,18962,19383
2016-01-21 09:30:00.000000000,1453339800000000000,1818.0,1822.0,1816.0,1821.0,659,19383,19461
2016-01-21 10:00:00.000000000,1453341600000000000,1821.0,1823.0,1819.0,1819.0,185,19461,19543
2016-01-21 10:30:00.000000000,1453343400000000000,1819.0,1819.0,1816.0,1819.0,289,19543,19773
2016-01-21 11:00:00.000000000,1453345200000000000,1819.0,1820.0,1816.0,1817.0,332,19773,19973
2016-01-21 13:30:00.000000000,1453354200000000000,1816.0,1817.0,1812.0,1814.0,464,19973,20141
2016-01-21 14:00:00.000000000,1453356000000000000,1814.0,1816.0,1813.0,1813.0,612,20141,20394
2016-01-21 14:30:00.000000000,1453357800000000000,1813.0,1814.0,1810.0,1813.0,813,20394,21033
2016-01-22 09:00:00.000000000,1453424400000000000,1815.0,1832.0,1815.0,1829.0,6130,21033,22629
2016-01-22 09:30:00.000000000,1453426200000000000,1829.0,1834.0,1828.0,1829.0,1728,22629,22796
2016-01-22 10:00:00.000000000,1453428000000000000,1829.0,1830.0,1829.0,1829.0,430,22796,22962
2016-01-22 10:30:00.000000000,1453429800000000000,1829.0,1831.0,1829.0,1830.0,709,22962,23285
2016-01-22 11:00:00.000000000,1453431600000000000,1830.0,1831.0,1829.0,1830.0,624,23285,23491
2016-01-22 13:30:00.000000000,1453440600000000000,1830.0,1831.0,1827.0,1828.0,1428,23491,24595
2016-01-22 14:00:00.000000000,1453442400000000000,1828.0,1838.0,1828.0,1836.0,1068,24595,24600
2016-01-22 14:30:00.000000000,1453444200000000000,1836.0,1837.0,1828.0,1835.0,894,24600,24262
2016-01-25 09:00:00.000000000,1453683600000000000,1838.0,1841.0,1826.0,1835.0,949,24262,24879
2016-01-25 09:30:00.000000000,1453685400000000000,1835.0,1836.0,1833.0,1834.0,191,24879,24907
2016-01-25 10:00:00.000000000,1453687200000000000,1834.0,1834.0,1831.0,1831.0,108,24907,24930
2016-01-25 10:30:00.000000000,1453689000000000000,1831.0,1832.0,1830.0,1831.0,101,24930,24943
2016-01-25 11:00:00.000000000,1453690800000000000,1831.0,1832.0,1828.0,1828.0,385,24943,25233
2016-01-25 13:30:00.000000000,1453699800000000000,1828.0,1833.0,1828.0,1832.0,416,25233,25396
2016-01-25 14:00:00.000000000,1453701600000000000,1832.0,1833.0,1830.0,1831.0,182,25396,25454
2016-01-25 14:30:00.000000000,1453703400000000000,1831.0,1836.0,1831.0,1835.0,256,25454,25432
2016-01-26 09:00:00.000000000,1453770000000000000,1832.0,1839.0,1829.0,1837.0,1228,25432,25764
2016-01-26 09:30:00.000000000,1453771800000000000,1837.0,1838.0,1829.0,1831.0,426,25764,26000
2016-01-26 10:00:00.000000000,1453773600000000000,1831.0,1833.0,1831.0,1831.0,171,26000,26099
2016-01-26 10:30:00.000000000,1453775400000000000,1831.0,1833.0,1831.0,1832.0,105,26099,26121
2016-01-26 11:00:00.000000000,1453777200000000000,1832.0,1835.0,1831.0,1833.0,273,26121,26229
2016-01-26 13:30:00.000000000,1453786200000000000,1833.0,1836.0,1832.0,1835.0,265,26229,26129
2016-01-26 14:00:00.000000000,1453788000000000000,1835.0,1835.0,1821.0,1825.0,2186,26129,26545
2016-01-26 14:30:00.000000000,1453789800000000000,1825.0,1830.0,1824.0,1828.0,1847,26545,27799
