datetime,datetime_nano,DCE.i2207.open,DCE.i2207.high,DCE.i2207.low,DCE.i2207.close,DCE.i2207.volume,DCE.i2207.open_oi,DCE.i2207.close_oi
2021-07-14 21:00:00.000000000,1626267600000000000,949.5,949.5,949.5,949.5,150,0,150
2021-07-14 21:05:00.000000000,1626267900000000000,949.5,949.5,949.5,949.5,0,150,150
2021-07-14 21:10:00.000000000,1626268200000000000,949.5,949.5,949.5,949.5,0,150,150
2021-07-14 21:15:00.000000000,1626268500000000000,949.5,949.5,933.5,938.0,11,150,160
2021-07-14 21:20:00.000000000,1626268800000000000,938.0,938.0,936.5,936.5,2,160,162
2021-07-14 21:25:00.000000000,1626269100000000000,936.5,936.5,929.5,931.0,12,162,174
2021-07-14 21:30:00.000000000,1626269400000000000,931.0,933.0,931.0,933.0,1,174,174
2021-07-14 21:35:00.000000000,1626269700000000000,933.0,933.0,933.0,933.0,4,174,178
2021-07-14 21:40:00.000000000,1626270000000000000,933.0,935.5,930.0,932.5,181,178,356
2021-07-14 21:45:00.000000000,1626270300000000000,932.5,933.5,931.5,931.5,157,356,510
2021-07-14 21:50:00.000000000,1626270600000000000,931.5,931.5,931.0,931.0,1,510,511
2021-07-14 21:55:00.000000000,1626270900000000000,931.0,931.0,931.0,931.0,0,511,511
2021-07-14 22:00:00.000000000,1626271200000000000,931.0,931.0,931.0,931.0,0,511,511
2021-07-14 22:05:00.000000000,1626271500000000000,931.0,931.5,931.0,931.0,2,511,512
2021-07-14 22:10:00.000000000,1626271800000000000,931.0,932.0,931.0,932.0,5,512,513
2021-07-14 22:15:00.000000000,1626272100000000000,932.0,933.0,932.0,933.0,6,513,515
2021-07-14 22:20:00.000000000,1626272400000000000,933.0,934.0,933.0,933.0,4,515,517
2021-07-14 22:25:00.000000000,1626272700000000000,933.0,934.0,933.0,933.0,2,517,519
2021-07-14 22:30:00.000000000,1626273000000000000,933.0,933.0,932.0,932.0,1,519,520
2021-07-14 22:35:00.000000000,1626273300000000000,932.0,933.0,932.0,933.0,2,520,522
2021-07-14 22:40:00.000000000,1626273600000000000,933.0,933.0,931.0,931.0,1,522,523
2021-07-14 22:45:00.000000000,1626273900000000000,931.0,933.0,931.0,933.0,6,523,528
2021-07-14 22:50:00.000000000,1626274200000000000,933.0,934.0,933.0,934.0,2,528,530
2021-07-14 22:55:00.000000000,1626274500000000000,934.0,934.0,931.5,932.5,2,530,532
2021-07-15 09:00:00.000000000,1626310800000000000,932.5,932.5,931.0,931.0,1,532,533
2021-07-15 09:05:00.000000000,1626311100000000000,931.0,931.0,930.0,930.0,8,533,541
2021-07-15 09:10:00.000000000,1626311400000000000,930.0,933.0,930.0,932.5,24,541,563
2021-07-15 09:15:00.000000000,1626311700000000000,932.5,937.0,932.5,936.0,45,563,605
2021-07-15 09:20:00.000000000,1626312000000000000,936.0,938.0,936.0,936.0,40,605,644
2021-07-15 09:25:00.000000000,1626312300000000000,936.0,941.0,936.0,941.0,65,644,683
2021-07-15 09:30:00.000000000,1626312600000000000,941.0,944.0,941.0,942.0,46,683,724
2021-07-15 09:35:00.000000000,1626312900000000000,942.0,944.0,940.0,940.0,51,724,773
2021-07-15 09:40:00.000000000,1626313200000000000,940.0,941.0,939.5,941.0,24,773,797
2021-07-15 09:45:00.000000000,1626313500000000000,941.0,945.0,941.0,945.0,34,797,830
2021-07-15 09:50:00.000000000,1626313800000000000,945.0,946.0,943.5,944.5,69,830,899
2021-07-15 09:55:00.000000000,1626314100000000000,944.5,945.5,944.0,945.0,23,899,921
2021-07-15 10:00:00.000000000,1626314400000000000,945.0,949.5,945.0,949.5,22,921,940
2021-07-15 10:05:00.000000000,1626314700000000000,949.5,952.0,949.0,952.0,20,940,957
2021-07-15 10:10:00.000000000,1626315000000000000,952.0,953.0,950.5,953.0,14,957,971
2021-07-15 10:30:00.000000000,1626316200000000000,953.0,956.0,952.5,956.0,20,971,990
2021-07-15 10:35:00.000000000,1626316500000000000,956.0,959.0,956.0,958.5,29,990,1017
2021-07-15 10:40:00.000000000,1626316800000000000,958.5,959.0,957.5,958.5,45,1017,1057
2021-07-15 10:45:00.000000000,1626317100000000000,958.5,961.0,958.5,960.0,87,1057,1083
2021-07-15 10:50:00.000000000,1626317400000000000,960.0,960.0,958.0,960.0,30,1083,1109
2021-07-15 10:55:00.000000000,1626317700000000000,960.0,960.0,959.0,959.5,14,1109,1123
2021-07-15 11:00:00.000000000,1626318000000000000,959.5,961.0,959.5,961.0,26,1123,1148
2021-07-15 11:05:00.000000000,1626318300000000000,961.0,962.0,961.0,961.0,32,1148,1179
