datetime,datetime_nano,DCE.a2211.open,DCE.a2211.high,DCE.a2211.low,DCE.a2211.close,DCE.a2211.volume,DCE.a2211.open_oi,DCE.a2211.close_oi
2021-11-15 00:00:00.000000000,1636905600000000000,6097.0,6097.0,5990.0,5990.0,14,0,12
2021-11-16 00:00:00.000000000,1636992000000000000,5982.0,6006.0,5962.0,6004.0,14,12,20
2021-11-17 00:00:00.000000000,1637078400000000000,5960.0,5960.0,5960.0,5960.0,1,20,20
2021-11-18 00:00:00.000000000,1637164800000000000,5974.0,5974.0,5920.0,5967.0,13,20,26
2021-11-19 00:00:00.000000000,1637251200000000000,5964.0,5977.0,5964.0,5969.0,6,26,28
2021-11-22 00:00:00.000000000,1637510400000000000,5968.0,5968.0,5968.0,5968.0,0,28,28
2021-11-23 00:00:00.000000000,1637596800000000000,5868.0,5880.0,5860.0,5880.0,6,28,33
2021-11-24 00:00:00.000000000,1637683200000000000,5871.0,5899.0,5844.0,5844.0,13,33,36
2021-11-25 00:00:00.000000000,1637769600000000000,5865.0,5897.0,5865.0,5880.0,16,36,39
2021-11-26 00:00:00.000000000,1637856000000000000,5905.0,5947.0,5905.0,5918.0,12,39,40
2021-11-29 00:00:00.000000000,1638115200000000000,5913.0,5914.0,5863.0,5903.0,23,40,52
2021-11-30 00:00:00.000000000,1638201600000000000,5910.0,5910.0,5867.0,5878.0,12,52,60
2021-12-01 00:00:00.000000000,1638288000000000000,5897.0,5897.0,5864.0,5865.0,27,60,82
2021-12-02 00:00:00.000000000,1638374400000000000,5914.0,5914.0,5867.0,5867.0,211,82,289
2021-12-03 00:00:00.000000000,1638460800000000000,5876.0,5899.0,5876.0,5895.0,6,289,294
2021-12-06 00:00:00.000000000,1638720000000000000,5908.0,5908.0,5868.0,5876.0,137,294,217
2021-12-07 00:00:00.000000000,1638806400000000000,5903.0,5910.0,5867.0,5877.0,433,217,633
2021-12-08 00:00:00.000000000,1638892800000000000,5856.0,5886.0,5820.0,5839.0,55,633,663
2021-12-09 00:00:00.000000000,1638979200000000000,5815.0,5854.0,5815.0,5847.0,34,663,677
2021-12-10 00:00:00.000000000,1639065600000000000,5825.0,5850.0,5805.0,5844.0,121,677,675
2021-12-13 00:00:00.000000000,1639324800000000000,5854.0,5869.0,5841.0,5862.0,44,675,659
2021-12-14 00:00:00.000000000,1639411200000000000,5868.0,5876.0,5851.0,5855.0,11,659,658
2021-12-15 00:00:00.000000000,1639497600000000000,5827.0,5850.0,5820.0,5843.0,41,658,664
2021-12-16 00:00:00.000000000,1639584000000000000,5838.0,5900.0,5838.0,5880.0,43,664,664
2021-12-17 00:00:00.000000000,1639670400000000000,5904.0,5904.0,5875.0,5884.0,18,664,661
2021-12-20 00:00:00.000000000,1639929600000000000,5881.0,5908.0,5863.0,5885.0,12,661,658
2021-12-21 00:00:00.000000000,1640016000000000000,5881.0,5883.0,5877.0,5883.0,5,658,657
2021-12-22 00:00:00.000000000,1640102400000000000,5871.0,5877.0,5846.0,5871.0,29,657,675
2021-12-23 00:00:00.000000000,1640188800000000000,5873.0,5909.0,5868.0,5909.0,36,675,657
2021-12-24 00:00:00.000000000,1640275200000000000,5871.0,5883.0,5871.0,5874.0,15,657,672
2021-12-27 00:00:00.000000000,1640534400000000000,5865.0,5909.0,5837.0,5885.0,12,672,666
2021-12-28 00:00:00.000000000,1640620800000000000,5890.0,5910.0,5890.0,5900.0,45,666,683
2021-12-29 00:00:00.000000000,1640707200000000000,5873.0,5873.0,5790.0,5801.0,49,683,713
2021-12-30 00:00:00.000000000,1640793600000000000,5754.0,5788.0,5730.0,5752.0,155,713,793
2021-12-31 00:00:00.000000000,1640880000000000000,5750.0,5763.0,5700.0,5701.0,132,793,883
2022-01-04 00:00:00.000000000,1641225600000000000,5620.0,5620.0,5515.0,5613.0,280,883,1071
2022-01-05 00:00:00.000000000,1641312000000000000,5617.0,5658.0,5580.0,5644.0,100,1071,1090
2022-01-06 00:00:00.000000000,1641398400000000000,5626.0,5678.0,5603.0,5612.0,211,1090,1112
2022-01-07 00:00:00.000000000,1641484800000000000,5641.0,5678.0,5624.0,5670.0,246,1112,1138
2022-01-10 00:00:00.000000000,1641744000000000000,5670.0,5769.0,5646.0,5724.0,811,1138,1418
2022-01-11 00:00:00.000000000,1641830400000000000,5722.0,5769.0,5712.0,5751.0,1557,1418,2220
2022-01-12 00:00:00.000000000,1641916800000000000,5753.0,5769.0,5725.0,5756.0,883,2220,2821
2022-01-13 00:00:00.000000000,1642003200000000000,5747.0,5769.0,5727.0,5737.0,2974,2821,5120
2022-01-14 00:00:00.000000000,1642089600000000000,5720.0,5776.0,5711.0,5766.0,232,5120,5138
2022-01-17 00:00:00.000000000,1642348800000000000,5778.0,5816.0,5776.0,5810.0,753,5138,5160
2022-01-18 00:00:00.000000000,1642435200000000000,5800.0,5847.0,5800.0,5832.0,321,5160,5265
2022-01-19 00:00:00.000000000,1642521600000000000,5830.0,5867.0,5805.0,5867.0,546,5265,5276
2022-01-20 00:00:00.000000000,1642608000000000000,5865.0,5919.0,5865.0,5912.0,424,5276,5293
2022-01-21 00:00:00.000000000,1642694400000000000,5933.0,5973.0,5908.0,5935.0,275,5293,5296
2022-01-24 00:00:00.000000000,1642953600000000000,5957.0,6016.0,5951.0,6008.0,789,5296,5339
2022-01-25 00:00:00.000000000,1643040000000000000,6015.0,6020.0,5980.0,6020.0,219,5339,5322
2022-01-26 00:00:00.000000000,1643126400000000000,6037.0,6080.0,6037.0,6076.0,364,5322,5311
2022-01-27 00:00:00.000000000,1643212800000000000,6099.0,6100.0,6020.0,6041.0,151,5311,5312
2022-01-28 00:00:00.000000000,1643299200000000000,6059.0,6098.0,6030.0,6054.0,265,5312,5328
2022-02-07 00:00:00.000000000,1644163200000000000,6069.0,6243.0,6051.0,6057.0,2871,5328,7201
2022-02-08 00:00:00.000000000,1644249600000000000,6078.0,6114.0,6069.0,6090.0,5045,7201,8968
2022-02-09 00:00:00.000000000,1644336000000000000,6100.0,6127.0,6016.0,6087.0,12065,8968,13612
2022-02-10 00:00:00.000000000,1644422400000000000,6086.0,6098.0,6030.0,6057.0,6929,13612,13820
2022-02-11 00:00:00.000000000,1644508800000000000,6075.0,6130.0,6024.0,6051.0,10531,13820,14316
2022-02-14 00:00:00.000000000,1644768000000000000,6058.0,6084.0,6032.0,6039.0,3775,14316,15092
2022-02-15 00:00:00.000000000,1644854400000000000,6016.0,6046.0,5955.0,5985.0,6827,15092,15763
