datetime,datetime_nano,DCE.c1907.open,DCE.c1907.high,DCE.c1907.low,DCE.c1907.close,DCE.c1907.volume,DCE.c1907.open_oi,DCE.c1907.close_oi
2018-07-16 00:00:00.000000000,1531670400000000000,1930.0,1965.0,1928.0,1958.0,568,0,159
2018-07-17 00:00:00.000000000,1531756800000000000,1957.0,1961.0,1953.0,1958.0,294,159,259
2018-07-18 00:00:00.000000000,1531843200000000000,1965.0,1967.0,1958.0,1962.0,170,259,297
2018-07-19 00:00:00.000000000,1531929600000000000,1960.0,1967.0,1960.0,1961.0,146,297,263
2018-07-20 00:00:00.000000000,1532016000000000000,1964.0,1965.0,1960.0,1960.0,25,263,250
2018-07-23 00:00:00.000000000,1532275200000000000,1960.0,1961.0,1932.0,1948.0,469,250,274
2018-07-24 00:00:00.000000000,1532361600000000000,1947.0,1949.0,1945.0,1949.0,45,274,272
2018-07-25 00:00:00.000000000,1532448000000000000,1945.0,1952.0,1942.0,1942.0,235,272,325
2018-07-26 00:00:00.000000000,1532534400000000000,1940.0,1943.0,1935.0,1935.0,160,325,384
2018-07-27 00:00:00.000000000,1532620800000000000,1928.0,1940.0,1928.0,1933.0,1086,384,915
2018-07-30 00:00:00.000000000,1532880000000000000,1925.0,1939.0,1925.0,1937.0,285,915,963
2018-07-31 00:00:00.000000000,1532966400000000000,1934.0,1949.0,1934.0,1949.0,347,963,1152
2018-08-01 00:00:00.000000000,1533052800000000000,1949.0,1949.0,1942.0,1947.0,202,1152,1243
2018-08-02 00:00:00.000000000,1533139200000000000,1940.0,1948.0,1940.0,1942.0,386,1243,1295
2018-08-03 00:00:00.000000000,1533225600000000000,1940.0,1947.0,1938.0,1939.0,290,1295,1319
2018-08-06 00:00:00.000000000,1533484800000000000,1932.0,1959.0,1932.0,1958.0,1199,1319,1647
2018-08-07 00:00:00.000000000,1533571200000000000,1963.0,1963.0,1952.0,1955.0,164,1647,1605
2018-08-08 00:00:00.000000000,1533657600000000000,1953.0,1972.0,1952.0,1964.0,1010,1605,1601
2018-08-09 00:00:00.000000000,1533744000000000000,1960.0,1972.0,1957.0,1960.0,727,1601,1750
2018-08-10 00:00:00.000000000,1533830400000000000,1958.0,1966.0,1951.0,1955.0,392,1750,1733
2018-08-13 00:00:00.000000000,1534089600000000000,1947.0,1972.0,1947.0,1965.0,605,1733,1661
2018-08-14 00:00:00.000000000,1534176000000000000,1962.0,1970.0,1962.0,1965.0,301,1661,1654
2018-08-15 00:00:00.000000000,1534262400000000000,1960.0,1972.0,1960.0,1965.0,269,1654,1688
2018-08-16 00:00:00.000000000,1534348800000000000,1955.0,1968.0,1955.0,1956.0,286,1688,1648
2018-08-17 00:00:00.000000000,1534435200000000000,1951.0,1958.0,1937.0,1940.0,702,1648,1697
2018-08-20 00:00:00.000000000,1534694400000000000,1931.0,1955.0,1931.0,1945.0,448,1697,1746
2018-08-21 00:00:00.000000000,1534780800000000000,1945.0,1948.0,1942.0,1947.0,96,1746,1731
2018-08-22 00:00:00.000000000,1534867200000000000,1949.0,1965.0,1946.0,1964.0,666,1731,1757
2018-08-23 00:00:00.000000000,1534953600000000000,1959.0,1980.0,1957.0,1958.0,2143,1757,1932
2018-08-24 00:00:00.000000000,1535040000000000000,1955.0,1964.0,1953.0,1956.0,459,1932,1711
2018-08-27 00:00:00.000000000,1535299200000000000,1949.0,1967.0,1949.0,1959.0,333,1711,1738
2018-08-28 00:00:00.000000000,1535385600000000000,1955.0,1965.0,1955.0,1962.0,431,1738,1682
2018-08-29 00:00:00.000000000,1535472000000000000,1957.0,1962.0,1951.0,1952.0,370,1682,1693
2018-08-30 00:00:00.000000000,1535558400000000000,1962.0,1962.0,1951.0,1960.0,402,1693,1704
2018-08-31 00:00:00.000000000,1535644800000000000,1961.0,1984.0,1959.0,1981.0,1599,1704,1996
2018-09-03 00:00:00.000000000,1535904000000000000,1991.0,2036.0,1983.0,2034.0,7389,1996,5951
2018-09-04 00:00:00.000000000,1535990400000000000,2033.0,2058.0,2030.0,2036.0,8571,5951,8696
2018-09-05 00:00:00.000000000,1536076800000000000,2033.0,2043.0,2027.0,2039.0,3121,8696,9953
2018-09-06 00:00:00.000000000,1536163200000000000,2043.0,2049.0,2030.0,2034.0,2442,9953,9946
2018-09-07 00:00:00.000000000,1536249600000000000,2034.0,2040.0,2033.0,2037.0,2102,9946,10184
2018-09-10 00:00:00.000000000,1536508800000000000,2039.0,2058.0,2039.0,2049.0,3281,10184,11244
2018-09-11 00:00:00.000000000,1536595200000000000,2046.0,2054.0,2041.0,2045.0,1632,11244,11166
2018-09-12 00:00:00.000000000,1536681600000000000,2048.0,2050.0,2039.0,2040.0,3103,11166,12001
2018-09-13 00:00:00.000000000,1536768000000000000,2037.0,2037.0,2002.0,2013.0,9797,12001,7328
2018-09-14 00:00:00.000000000,1536854400000000000,2018.0,2023.0,2009.0,2015.0,828,7328,7481
2018-09-17 00:00:00.000000000,1537113600000000000,2014.0,2025.0,2009.0,2018.0,4128,7481,7878
2018-09-18 00:00:00.000000000,1537200000000000000,2020.0,2029.0,2017.0,2020.0,711,7878,8166
2018-09-19 00:00:00.000000000,1537286400000000000,2019.0,2025.0,2015.0,2023.0,388,8166,8122
2018-09-20 00:00:00.000000000,1537372800000000000,2026.0,2027.0,2021.0,2024.0,412,8122,8207
2018-09-21 00:00:00.000000000,1537459200000000000,2028.0,2037.0,2017.0,2022.0,1200,8207,8169
2018-09-25 00:00:00.000000000,1537804800000000000,2014.0,2019.0,2001.0,2006.0,1634,8169,8111
2018-09-26 00:00:00.000000000,1537891200000000000,2007.0,2012.0,1997.0,1997.0,1294,8111,7838
2018-09-27 00:00:00.000000000,1537977600000000000,1997.0,1998.0,1983.0,1989.0,921,7838,7600
2018-09-28 00:00:00.000000000,1538064000000000000,1986.0,1991.0,1981.0,1984.0,1374,7600,7161
2018-10-08 00:00:00.000000000,1538928000000000000,1984.0,2010.0,1984.0,2005.0,2252,7161,8057
2018-10-09 00:00:00.000000000,1539014400000000000,2006.0,2014.0,2001.0,2003.0,712,8057,8124
2018-10-10 00:00:00.000000000,1539100800000000000,2000.0,2002.0,1980.0,1990.0,698,8124,8394
2018-10-11 00:00:00.000000000,1539187200000000000,1980.0,2006.0,1980.0,2006.0,666,8394,8277
2018-10-12 00:00:00.000000000,1539273600000000000,2006.0,2015.0,2004.0,2009.0,939,8277,8500
2018-10-15 00:00:00.000000000,1539532800000000000,2009.0,2013.0,1993.0,1996.0,1403,8500,8538
2018-10-16 00:00:00.000000000,1539619200000000000,1998.0,2002.0,1993.0,1997.0,895,8538,8305
2018-10-17 00:00:00.000000000,1539705600000000000,2000.0,2001.0,1992.0,1997.0,1084,8305,7844
2018-10-18 00:00:00.000000000,1539792000000000000,2000.0,2009.0,2000.0,2005.0,203,7844,7789
2018-10-19 00:00:00.000000000,1539878400000000000,2004.0,2018.0,2004.0,2013.0,555,7789,7743
2018-10-22 00:00:00.000000000,1540137600000000000,2016.0,2024.0,2016.0,2023.0,835,7743,7552
2018-10-23 00:00:00.000000000,1540224000000000000,2025.0,2034.0,2018.0,2020.0,939,7552,7568
2018-10-24 00:00:00.000000000,1540310400000000000,2017.0,2021.0,2015.0,2021.0,701,7568,7765
2018-10-25 00:00:00.000000000,1540396800000000000,2020.0,2028.0,2020.0,2026.0,435,7765,7814
2018-10-26 00:00:00.000000000,1540483200000000000,2025.0,2031.0,2019.0,2025.0,377,7814,7825
2018-10-29 00:00:00.000000000,1540742400000000000,2030.0,2037.0,2021.0,2037.0,960,7825,8124
2018-10-30 00:00:00.000000000,1540828800000000000,2041.0,2054.0,2040.0,2054.0,900,8124,8523
2018-10-31 00:00:00.000000000,1540915200000000000,2045.0,2050.0,2029.0,2035.0,1013,8523,8622
2018-11-01 00:00:00.000000000,1541001600000000000,2034.0,2040.0,2031.0,2035.0,344,8622,8683
2018-11-02 00:00:00.000000000,1541088000000000000,2024.0,2025.0,2010.0,2017.0,1481,8683,8719
2018-11-05 00:00:00.000000000,1541347200000000000,2017.0,2027.0,2017.0,2025.0,2750,8719,10439
2018-11-06 00:00:00.000000000,1541433600000000000,2020.0,2026.0,2019.0,2023.0,3180,10439,11531
2018-11-07 00:00:00.000000000,1541520000000000000,2024.0,2034.0,2022.0,2022.0,1170,11531,11620
2018-11-08 00:00:00.000000000,1541606400000000000,2028.0,2033.0,2020.0,2028.0,1863,11620,11527
2018-11-09 00:00:00.000000000,1541692800000000000,2029.0,2037.0,2029.0,2037.0,590,11527,11402
2018-11-12 00:00:00.000000000,1541952000000000000,2048.0,2049.0,2035.0,2041.0,1916,11402,10857
2018-11-13 00:00:00.000000000,1542038400000000000,2041.0,2044.0,2018.0,2023.0,2270,10857,9956
2018-11-14 00:00:00.000000000,1542124800000000000,2021.0,2028.0,2011.0,2016.0,661,9956,9919
2018-11-15 00:00:00.000000000,1542211200000000000,2011.0,2018.0,1991.0,1991.0,1135,9919,9934
2018-11-16 00:00:00.000000000,1542297600000000000,1998.0,2006.0,1993.0,2000.0,653,9934,9781
2018-11-19 00:00:00.000000000,1542556800000000000,2000.0,2009.0,1995.0,2004.0,271,9781,9786
2018-11-20 00:00:00.000000000,1542643200000000000,2006.0,2007.0,1985.0,1991.0,1799,9786,9382
2018-11-21 00:00:00.000000000,1542729600000000000,1975.0,1991.0,1975.0,1980.0,649,9382,9204
2018-11-22 00:00:00.000000000,1542816000000000000,1981.0,1982.0,1961.0,1972.0,731,9204,9242
2018-11-23 00:00:00.000000000,1542902400000000000,1973.0,1981.0,1971.0,1976.0,880,9242,8921
2018-11-26 00:00:00.000000000,1543161600000000000,1980.0,1986.0,1976.0,1978.0,2493,8921,8805
2018-11-27 00:00:00.000000000,1543248000000000000,1981.0,1988.0,1977.0,1982.0,2009,8805,8884
2018-11-28 00:00:00.000000000,1543334400000000000,1985.0,1988.0,1973.0,1987.0,2264,8884,8930
2018-11-29 00:00:00.000000000,1543420800000000000,1991.0,1991.0,1969.0,1969.0,1835,8930,8536
2018-11-30 00:00:00.000000000,1543507200000000000,1968.0,1984.0,1960.0,1970.0,3006,8536,7812
2018-12-03 00:00:00.000000000,1543766400000000000,1967.0,1967.0,1905.0,1922.0,2394,7812,7376
2018-12-04 00:00:00.000000000,1543852800000000000,1921.0,1923.0,1886.0,1892.0,2783,7376,6912
2018-12-05 00:00:00.000000000,1543939200000000000,1893.0,1898.0,1878.0,1895.0,749,6912,6904
2018-12-06 00:00:00.000000000,1544025600000000000,1897.0,1903.0,1890.0,1897.0,539,6904,6874
2018-12-07 00:00:00.000000000,1544112000000000000,1893.0,1894.0,1874.0,1879.0,1047,6874,6744
2018-12-10 00:00:00.000000000,1544371200000000000,1878.0,1890.0,1878.0,1889.0,912,6744,6651
2018-12-11 00:00:00.000000000,1544457600000000000,1880.0,1897.0,1880.0,1896.0,1682,6651,6609
2018-12-12 00:00:00.000000000,1544544000000000000,1896.0,1899.0,1891.0,1896.0,1374,6609,6458
2018-12-13 00:00:00.000000000,1544630400000000000,1891.0,1897.0,1888.0,1897.0,451,6458,6535
2018-12-14 00:00:00.000000000,1544716800000000000,1896.0,1900.0,1882.0,1898.0,701,6535,6453
2018-12-17 00:00:00.000000000,1544976000000000000,1893.0,1893.0,1885.0,1889.0,573,6453,6454
2018-12-18 00:00:00.000000000,1545062400000000000,1887.0,1888.0,1878.0,1879.0,702,6454,6439
2018-12-19 00:00:00.000000000,1545148800000000000,1877.0,1899.0,1877.0,1897.0,875,6439,6347
2018-12-20 00:00:00.000000000,1545235200000000000,1897.0,1899.0,1892.0,1897.0,334,6347,6324
2018-12-21 00:00:00.000000000,1545321600000000000,1895.0,1895.0,1886.0,1889.0,239,6324,6333
2018-12-24 00:00:00.000000000,1545580800000000000,1883.0,1883.0,1857.0,1857.0,701,6333,6264
2018-12-25 00:00:00.000000000,1545667200000000000,1857.0,1875.0,1855.0,1872.0,517,6264,6226
2018-12-26 00:00:00.000000000,1545753600000000000,1872.0,1881.0,1868.0,1875.0,267,6226,6215
2018-12-27 00:00:00.000000000,1545840000000000000,1877.0,1880.0,1868.0,1871.0,401,6215,6254
2018-12-28 00:00:00.000000000,1545926400000000000,1874.0,1886.0,1874.0,1886.0,192,6254,6233
2019-01-02 00:00:00.000000000,1546358400000000000,1881.0,1882.0,1874.0,1880.0,205,6233,6157
2019-01-03 00:00:00.000000000,1546444800000000000,1883.0,1896.0,1879.0,1893.0,1240,6157,6659
2019-01-04 00:00:00.000000000,1546531200000000000,1893.0,1893.0,1883.0,1886.0,405,6659,6529
2019-01-07 00:00:00.000000000,1546790400000000000,1889.0,1889.0,1872.0,1880.0,1386,6529,6383
2019-01-08 00:00:00.000000000,1546876800000000000,1879.0,1879.0,1861.0,1867.0,362,6383,6420
2019-01-09 00:00:00.000000000,1546963200000000000,1864.0,1875.0,1864.0,1875.0,1430,6420,6020
2019-01-10 00:00:00.000000000,1547049600000000000,1872.0,1872.0,1864.0,1868.0,1836,6020,5965
2019-01-11 00:00:00.000000000,1547136000000000000,1863.0,1867.0,1856.0,1857.0,1154,5965,5998
2019-01-14 00:00:00.000000000,1547395200000000000,1855.0,1855.0,1836.0,1841.0,716,5998,6007
2019-01-15 00:00:00.000000000,1547481600000000000,1838.0,1844.0,1836.0,1838.0,186,6007,6017
2019-01-16 00:00:00.000000000,1547568000000000000,1833.0,1858.0,1831.0,1851.0,2553,6017,6058
2019-01-17 00:00:00.000000000,1547654400000000000,1851.0,1851.0,1841.0,1845.0,133,6058,6059
2019-01-18 00:00:00.000000000,1547740800000000000,1848.0,1852.0,1844.0,1848.0,185,6059,6025
2019-01-21 00:00:00.000000000,1548000000000000000,1853.0,1864.0,1853.0,1861.0,508,6025,6050
2019-01-22 00:00:00.000000000,1548086400000000000,1860.0,1871.0,1860.0,1869.0,777,6050,5951
2019-01-23 00:00:00.000000000,1548172800000000000,1867.0,1872.0,1862.0,1865.0,237,5951,5988
2019-01-24 00:00:00.000000000,1548259200000000000,1863.0,1863.0,1854.0,1863.0,592,5988,5984
