datetime,datetime_nano,DCE.i1811.open,DCE.i1811.high,DCE.i1811.low,DCE.i1811.close,DCE.i1811.volume,DCE.i1811.open_oi,DCE.i1811.close_oi
2017-11-15 00:00:00.000000000,1510675200000000000,463.0,495.0,463.0,495.0,2,0,1
2017-11-16 00:00:00.000000000,1510761600000000000,476.0,476.0,476.0,476.0,1,1,1
2017-11-17 00:00:00.000000000,1510848000000000000,485.0,485.0,477.0,477.0,6,1,1
2017-11-20 00:00:00.000000000,1511107200000000000,481.0,481.0,481.0,481.0,0,1,1
2017-11-21 00:00:00.000000000,1511193600000000000,481.0,481.0,481.0,481.0,0,1,1
2017-11-22 00:00:00.000000000,1511280000000000000,481.0,481.0,481.0,481.0,0,1,1
2017-11-23 00:00:00.000000000,1511366400000000000,481.0,510.0,481.0,510.0,5,1,2
2017-11-24 00:00:00.000000000,1511452800000000000,500.5,500.5,500.5,500.5,0,2,2
2017-11-27 00:00:00.000000000,1511712000000000000,500.5,500.5,500.5,500.5,0,2,2
2017-11-28 00:00:00.000000000,1511798400000000000,494.5,507.0,494.0,502.0,7,2,4
2017-11-29 00:00:00.000000000,1511884800000000000,504.5,504.5,504.5,504.5,1,4,3
2017-11-30 00:00:00.000000000,1511971200000000000,515.0,515.0,515.0,515.0,1,3,4
2017-12-01 00:00:00.000000000,1512057600000000000,513.0,513.0,513.0,513.0,1,4,3
2017-12-04 00:00:00.000000000,1512316800000000000,523.0,541.0,523.0,540.5,57,3,37
2017-12-05 00:00:00.000000000,1512403200000000000,535.5,543.0,531.0,531.0,104,37,57
2017-12-06 00:00:00.000000000,1512489600000000000,533.5,534.0,518.0,518.5,39,57,64
2017-12-07 00:00:00.000000000,1512576000000000000,515.5,515.5,492.5,492.5,25,64,83
2017-12-08 00:00:00.000000000,1512662400000000000,499.0,505.5,495.5,505.5,261,83,100
2017-12-11 00:00:00.000000000,1512921600000000000,508.0,518.5,500.0,500.0,102,100,108
2017-12-12 00:00:00.000000000,1513008000000000000,500.0,509.5,499.5,499.5,69,108,100
2017-12-13 00:00:00.000000000,1513094400000000000,502.5,503.5,498.5,499.5,34,100,87
2017-12-14 00:00:00.000000000,1513180800000000000,503.0,504.0,496.5,498.5,106,87,131
2017-12-15 00:00:00.000000000,1513267200000000000,495.0,507.5,495.0,505.5,45,131,128
2017-12-18 00:00:00.000000000,1513526400000000000,507.5,529.0,503.5,529.0,203,128,117
2017-12-19 00:00:00.000000000,1513612800000000000,548.0,548.0,520.5,522.0,22,117,120
2017-12-20 00:00:00.000000000,1513699200000000000,521.5,526.0,519.0,525.5,81,120,92
2017-12-21 00:00:00.000000000,1513785600000000000,529.0,545.0,525.0,531.5,38,92,97
2017-12-22 00:00:00.000000000,1513872000000000000,534.5,543.0,527.5,543.0,18,97,99
2017-12-25 00:00:00.000000000,1514131200000000000,548.5,548.5,524.0,524.0,54,99,110
2017-12-26 00:00:00.000000000,1514217600000000000,524.5,525.5,518.0,525.0,74,110,97
2017-12-27 00:00:00.000000000,1514304000000000000,522.5,522.5,517.0,520.5,29,97,114
2017-12-28 00:00:00.000000000,1514390400000000000,517.5,522.0,517.5,520.5,52,114,120
2017-12-29 00:00:00.000000000,1514476800000000000,526.0,533.5,524.5,527.5,29,120,105
2018-01-02 00:00:00.000000000,1514822400000000000,537.0,540.5,536.0,539.0,92,105,116
2018-01-03 00:00:00.000000000,1514908800000000000,538.0,543.0,537.5,539.0,39,116,123
2018-01-04 00:00:00.000000000,1514995200000000000,535.5,540.0,535.0,540.0,74,123,132
2018-01-05 00:00:00.000000000,1515081600000000000,540.0,544.5,532.0,537.0,52,132,138
2018-01-08 00:00:00.000000000,1515340800000000000,538.5,555.5,538.0,555.5,95,138,161
2018-01-09 00:00:00.000000000,1515427200000000000,559.5,566.5,559.5,565.5,49,161,153
2018-01-10 00:00:00.000000000,1515513600000000000,569.0,569.0,561.0,568.0,79,153,151
2018-01-11 00:00:00.000000000,1515600000000000000,566.0,566.0,558.0,563.0,59,151,139
2018-01-12 00:00:00.000000000,1515686400000000000,565.0,565.0,547.5,556.0,73,139,146
