datetime,datetime_nano,DCE.j1803.open,DCE.j1803.high,DCE.j1803.low,DCE.j1803.close,DCE.j1803.volume,DCE.j1803.open_oi,DCE.j1803.close_oi
2017-03-20 00:00:00.000000000,1489939200000000000,1730.0,1730.0,1730.0,1730.0,1,0,1
2017-03-21 00:00:00.000000000,1490025600000000000,1730.0,1730.0,1730.0,1730.0,0,1,1
2017-03-22 00:00:00.000000000,1490112000000000000,1730.0,1730.0,1730.0,1730.0,0,1,1
2017-03-23 00:00:00.000000000,1490198400000000000,1730.0,1730.0,1730.0,1730.0,0,1,1
2017-03-24 00:00:00.000000000,1490284800000000000,1730.0,1730.0,1730.0,1730.0,0,1,1
2017-03-27 00:00:00.000000000,1490544000000000000,1539.5,1539.5,1539.5,1539.5,1,1,2
2017-03-28 00:00:00.000000000,1490630400000000000,1459.0,1459.0,1459.0,1459.0,1,2,3
2017-03-29 00:00:00.000000000,1490716800000000000,1459.0,1459.0,1459.0,1459.0,0,3,3
2017-03-30 00:00:00.000000000,1490803200000000000,1622.0,1622.0,1622.0,1622.0,1,3,3
2017-03-31 00:00:00.000000000,1490889600000000000,1622.0,1622.0,1622.0,1622.0,0,3,3
2017-04-05 00:00:00.000000000,1491321600000000000,1751.0,1751.0,1703.0,1703.0,6,3,5
2017-04-06 00:00:00.000000000,1491408000000000000,1779.5,1779.5,1779.5,1779.5,1,5,5
2017-04-07 00:00:00.000000000,1491494400000000000,1779.5,1779.5,1779.5,1779.5,0,5,5
2017-04-10 00:00:00.000000000,1491753600000000000,1779.5,1779.5,1779.5,1779.5,0,5,5
2017-04-11 00:00:00.000000000,1491840000000000000,1779.5,1779.5,1779.5,1779.5,0,5,5
2017-04-12 00:00:00.000000000,1491926400000000000,1779.5,1779.5,1779.5,1779.5,0,5,5
2017-04-13 00:00:00.000000000,1492012800000000000,1546.5,1546.5,1546.5,1546.5,1,5,5
2017-04-14 00:00:00.000000000,1492099200000000000,1501.0,1501.0,1485.5,1485.5,2,5,4
2017-04-17 00:00:00.000000000,1492358400000000000,1508.5,1508.5,1508.5,1508.5,1,4,4
2017-04-18 00:00:00.000000000,1492444800000000000,1508.5,1508.5,1508.5,1508.5,0,4,4
2017-04-19 00:00:00.000000000,1492531200000000000,1508.5,1508.5,1508.5,1508.5,0,4,4
2017-04-20 00:00:00.000000000,1492617600000000000,1455.5,1455.5,1434.0,1434.0,5,4,3
2017-04-21 00:00:00.000000000,1492704000000000000,1434.0,1434.0,1434.0,1434.0,0,3,3
2017-04-24 00:00:00.000000000,1492963200000000000,1569.5,1569.5,1539.5,1539.5,3,3,3
2017-04-25 00:00:00.000000000,1493049600000000000,1539.5,1539.5,1539.5,1539.5,0,3,3
