datetime,datetime_nano,DCE.jm2207.open,DCE.jm2207.high,DCE.jm2207.low,DCE.jm2207.close,DCE.jm2207.volume,DCE.jm2207.open_oi,DCE.jm2207.close_oi
2021-07-15 00:00:00.000000000,1626278400000000000,1821.0,1821.0,1821.0,1821.0,1,0,1
2021-07-16 00:00:00.000000000,1626364800000000000,1868.5,1868.5,1868.5,1868.5,0,1,1
2021-07-19 00:00:00.000000000,1626624000000000000,1868.5,1868.5,1868.5,1868.5,0,1,1
2021-07-20 00:00:00.000000000,1626710400000000000,1905.0,1905.0,1905.0,1905.0,0,1,1
2021-07-21 00:00:00.000000000,1626796800000000000,1865.0,1865.0,1865.0,1865.0,1,1,1
2021-07-22 00:00:00.000000000,1626883200000000000,1848.5,1848.5,1848.5,1848.5,0,1,1
2021-07-23 00:00:00.000000000,1626969600000000000,1882.0,1882.0,1882.0,1882.0,0,1,1
2021-07-26 00:00:00.000000000,1627228800000000000,1930.5,1930.5,1930.5,1930.5,1,1,2
2021-07-27 00:00:00.000000000,1627315200000000000,1944.5,1944.5,1944.5,1944.5,0,2,2
2021-07-28 00:00:00.000000000,1627401600000000000,1949.5,1949.5,1904.0,1904.0,2,2,2
2021-07-29 00:00:00.000000000,1627488000000000000,1926.5,1926.5,1926.5,1926.5,0,2,2
2021-07-30 00:00:00.000000000,1627574400000000000,1958.0,1958.5,1958.0,1958.5,3,2,4
2021-08-02 00:00:00.000000000,1627833600000000000,1958.0,1958.0,1958.0,1958.0,0,4,4
2021-08-03 00:00:00.000000000,1627920000000000000,1840.5,1860.0,1835.0,1835.0,3,4,5
2021-08-04 00:00:00.000000000,1628006400000000000,1858.0,1858.0,1858.0,1858.0,1,5,5
2021-08-05 00:00:00.000000000,1628092800000000000,1935.0,1935.0,1895.0,1895.0,2,5,6
2021-08-06 00:00:00.000000000,1628179200000000000,1900.0,1900.0,1900.0,1900.0,0,6,6
2021-08-09 00:00:00.000000000,1628438400000000000,1941.5,1941.5,1941.5,1941.5,0,6,6
2021-08-10 00:00:00.000000000,1628524800000000000,1930.0,1990.5,1930.0,1942.5,10,6,8
2021-08-11 00:00:00.000000000,1628611200000000000,1980.0,2008.0,1980.0,2000.0,7,8,7
2021-08-12 00:00:00.000000000,1628697600000000000,2035.0,2075.5,1994.0,1994.0,6,7,9
2021-08-13 00:00:00.000000000,1628784000000000000,1966.0,1966.0,1966.0,1966.0,0,9,9
2021-08-16 00:00:00.000000000,1629043200000000000,2008.0,2008.0,2008.0,2008.0,0,9,9
2021-08-17 00:00:00.000000000,1629129600000000000,2048.0,2048.0,2048.0,2048.0,0,9,9
2021-08-18 00:00:00.000000000,1629216000000000000,1954.0,1954.0,1954.0,1954.0,1,9,8
2021-08-19 00:00:00.000000000,1629302400000000000,1948.0,1979.5,1946.5,1953.0,6,8,10
2021-08-20 00:00:00.000000000,1629388800000000000,1925.0,1929.5,1916.0,1927.5,6,10,12
2021-08-23 00:00:00.000000000,1629648000000000000,1945.5,2077.5,1945.5,2077.5,13,12,12
2021-08-24 00:00:00.000000000,1629734400000000000,2179.0,2179.0,2085.0,2085.0,16,12,17
2021-08-25 00:00:00.000000000,1629820800000000000,2174.5,2240.0,2160.0,2240.0,11,17,16
2021-08-26 00:00:00.000000000,1629907200000000000,2260.5,2260.5,2188.0,2200.0,4,16,17
2021-08-27 00:00:00.000000000,1629993600000000000,2165.0,2165.0,2120.5,2129.0,8,17,22
