datetime,datetime_nano,SHFE.rb1804.open,SHFE.rb1804.high,SHFE.rb1804.low,SHFE.rb1804.close,SHFE.rb1804.volume,SHFE.rb1804.open_oi,SHFE.rb1804.close_oi
2017-04-18 00:00:00.000000000,1492444800000000000,2772.0,2782.0,2728.0,2728.0,6,0,2
2017-04-19 00:00:00.000000000,1492531200000000000,2732.0,2734.0,2732.0,2734.0,2,2,3
2017-04-20 00:00:00.000000000,1492617600000000000,2734.0,2734.0,2734.0,2734.0,0,3,3
2017-04-21 00:00:00.000000000,1492704000000000000,2793.0,2840.0,2793.0,2814.0,41,3,3
2017-04-24 00:00:00.000000000,1492963200000000000,2825.0,2825.0,2791.0,2791.0,3,3,5
2017-04-25 00:00:00.000000000,1493049600000000000,2820.0,2830.0,2820.0,2830.0,6,5,9
2017-04-26 00:00:00.000000000,1493136000000000000,2830.0,2830.0,2830.0,2830.0,0,9,9
2017-04-27 00:00:00.000000000,1493222400000000000,2868.0,2877.0,2826.0,2877.0,5,9,10
2017-04-28 00:00:00.000000000,1493308800000000000,2888.0,2941.0,2888.0,2940.0,22,10,23
2017-05-02 00:00:00.000000000,1493654400000000000,2992.0,3106.0,2952.0,3106.0,12,23,23
2017-05-03 00:00:00.000000000,1493740800000000000,2980.0,2985.0,2949.0,2969.0,27,23,29
2017-05-04 00:00:00.000000000,1493827200000000000,2918.0,2921.0,2764.0,2789.0,107,29,109
2017-05-05 00:00:00.000000000,1493913600000000000,2769.0,2788.0,2733.0,2765.0,61,109,131
2017-05-08 00:00:00.000000000,1494172800000000000,2783.0,2818.0,2733.0,2778.0,57,131,133
2017-05-09 00:00:00.000000000,1494259200000000000,2785.0,2785.0,2748.0,2748.0,34,133,140
2017-05-10 00:00:00.000000000,1494345600000000000,2765.0,2801.0,2765.0,2799.0,68,140,151
2017-05-11 00:00:00.000000000,1494432000000000000,2807.0,2807.0,2740.0,2796.0,63,151,143
2017-05-12 00:00:00.000000000,1494518400000000000,2778.0,2910.0,2716.0,2716.0,75,143,179
2017-05-15 00:00:00.000000000,1494777600000000000,2723.0,2780.0,2697.0,2731.0,50,179,188
2017-05-16 00:00:00.000000000,1494864000000000000,2752.0,2752.0,2730.0,2730.0,23,188,188
2017-05-17 00:00:00.000000000,1494950400000000000,2761.0,2818.0,2729.0,2805.0,61,188,167
2017-05-18 00:00:00.000000000,1495036800000000000,2809.0,2814.0,2752.0,2805.0,68,167,161
2017-05-19 00:00:00.000000000,1495123200000000000,2782.0,2862.0,2781.0,2862.0,60,161,160
2017-05-22 00:00:00.000000000,1495382400000000000,2855.0,2980.0,2845.0,2948.0,123,160,165
