date,open,high,low,close,volume,money,open_interest,symbol
2008-01-09,230.95,230.99,221.88,223.3,103364.0,23230025360.0,16342.0,AU0806
2008-01-10,222.5,222.85,213.7,215.12,87984.0,19152357120.0,23494.0,AU0806
2008-01-11,218.0,219.23,215.5,218.1,85418.0,18603186220.0,25424.0,AU0806
2008-01-14,218.85,220.25,217.6,220.1,60776.0,13326961280.0,27714.0,AU0806
2008-01-15,220.7,224.6,220.3,223.8,88242.0,19687672620.0,29866.0,AU0806
2008-01-16,220.6,220.6,215.4,215.89,94362.0,20524678620.0,29582.0,AU0806
2008-01-17,214.03,216.8,213.5,216.47,61962.0,13352811000.0,30916.0,AU0806
2008-01-18,214.0,214.9,212.42,214.7,58006.0,12397042320.0,29538.0,AU0806
2008-01-21,214.7,216.33,213.8,214.2,43510.0,9363352000.0,30294.0,AU0806
2008-01-22,208.0,209.5,204.72,206.42,78532.0,16301672560.0,29326.0,AU0806
2008-01-23,212.0,214.25,210.9,212.51,60988.0,12965438920.0,26596.0,AU0806
2008-01-24,213.02,217.08,212.61,216.7,57962.0,12427632420.0,30156.0,AU0806
2008-01-25,220.1,221.4,218.32,219.8,72624.0,15963481440.0,32428.0,AU0806
2008-01-28,219.6,221.97,219.2,220.33,62712.0,13839284160.0,33182.0,AU0806
2008-01-29,223.6,224.3,222.56,222.56,47652.0,10654987200.0,34168.0,AU0806
2008-01-30,221.0,222.05,220.01,220.1,36230.0,8009003800.0,35728.0,AU0806
2008-01-31,220.0,221.04,218.22,219.35,43002.0,9438078960.0,33082.0,AU0806
2008-02-01,220.61,221.0,218.56,218.75,28726.0,6337242860.0,32934.0,AU0806
2008-02-04,216.0,216.94,215.0,215.6,31388.0,6770391600.0,32288.0,AU0806
2008-02-05,215.5,215.58,214.7,215.26,17456.0,3754436480.0,32802.0,AU0806
2008-02-13,216.01,216.16,213.5,213.69,22060.0,4726134400.0,34146.0,AU0806
2008-02-14,214.6,216.18,214.43,216.1,29802.0,6395509200.0,35040.0,AU0806
2008-02-15,216.0,216.51,215.33,216.25,22126.0,4778994740.0,35278.0,AU0806
