date,open,high,low,close,volume,money,open_interest,symbol
2017-08-18,22995.0,23330.0,22900.0,23050.0,78284.0,9048583000.0,7634.0,CY1801
2017-08-21,23005.0,23080.0,22910.0,22985.0,25088.0,2886650800.0,8476.0,CY1801
2017-08-22,23005.0,23095.0,22985.0,23080.0,13782.0,1588062800.0,7516.0,CY1801
2017-08-23,23080.0,23155.0,23045.0,23070.0,9078.0,1048137000.0,6958.0,CY1801
2017-08-24,23070.0,23120.0,23010.0,23050.0,4510.0,520075600.0,6420.0,CY1801
2017-08-25,23040.0,23095.0,23030.0,23050.0,3012.0,347255000.0,5830.0,CY1801
2017-08-28,23055.0,23100.0,23000.0,23075.0,3914.0,451322100.0,5684.0,CY1801
2017-08-29,23100.0,23135.0,23035.0,23050.0,2572.0,296838600.0,5352.0,CY1801
2017-08-30,23025.0,23085.0,23005.0,23020.0,1842.0,212207900.0,5314.0,CY1801
2017-08-31,23030.0,23080.0,23020.0,23025.0,1784.0,205593300.0,4908.0,CY1801
2017-09-01,23020.0,23095.0,23020.0,23030.0,2186.0,252015800.0,4792.0,CY1801
2017-09-04,23055.0,23650.0,23040.0,23400.0,14420.0,1685393100.0,6228.0,CY1801
2017-09-05,23425.0,23575.0,23300.0,23495.0,5994.0,701107500.0,5966.0,CY1801
2017-09-06,23535.0,23585.0,23330.0,23345.0,6078.0,712126100.0,5762.0,CY1801
2017-09-07,23365.0,23410.0,23215.0,23295.0,4074.0,474907500.0,5270.0,CY1801
2017-09-08,23325.0,23340.0,23020.0,23080.0,5524.0,639309100.0,4380.0,CY1801
2017-09-11,23105.0,24075.0,22530.0,23210.0,15894.0,1847527100.0,4024.0,CY1801
2017-09-12,23165.0,23290.0,23130.0,23225.0,2178.0,252994800.0,3876.0,CY1801
2017-09-13,23190.0,23285.0,23050.0,23155.0,3018.0,349719500.0,3580.0,CY1801
2017-09-14,23125.0,23210.0,23080.0,23085.0,1432.0,165633300.0,3482.0,CY1801
2017-09-15,23075.0,23120.0,23020.0,23050.0,1498.0,172797200.0,3390.0,CY1801
2017-09-18,23030.0,23095.0,22880.0,23080.0,1904.0,219393000.0,3038.0,CY1801
2017-09-19,23160.0,23200.0,23035.0,23095.0,1962.0,226619500.0,2674.0,CY1801
2017-09-20,23085.0,23390.0,23070.0,23385.0,3342.0,388684500.0,2334.0,CY1801
2017-09-21,23390.0,23390.0,23210.0,23210.0,1426.0,166069000.0,2034.0,CY1801
2017-09-22,23235.0,23280.0,23125.0,23155.0,1880.0,218055400.0,1952.0,CY1801
