date,open,high,low,close,volume,money,open_interest,symbol
2014-03-21,3252.0,3336.0,3230.0,3324.0,187478.0,6190040240.0,52030.0,HC1410
2014-03-24,3314.0,3330.0,3266.0,3330.0,86810.0,2868577800.0,47616.0,HC1410
2014-03-25,3326.0,3400.0,3320.0,3378.0,119854.0,4026114320.0,61256.0,HC1410
2014-03-26,3370.0,3382.0,3354.0,3376.0,37876.0,1276066880.0,60560.0,HC1410
2014-03-27,3368.0,3386.0,3350.0,3362.0,40230.0,1353649800.0,61430.0,HC1410
2014-03-28,3376.0,3386.0,3360.0,3382.0,34290.0,1156738360.0,63080.0,HC1410
2014-03-31,3396.0,3422.0,3382.0,3410.0,60970.0,2074750200.0,65640.0,HC1410
2014-04-01,3412.0,3418.0,3396.0,3414.0,17896.0,609845240.0,64136.0,HC1410
2014-04-02,3410.0,3426.0,3388.0,3390.0,28570.0,972744200.0,68700.0,HC1410
2014-04-03,3384.0,3414.0,3382.0,3410.0,20706.0,703741040.0,68410.0,HC1410
2014-04-04,3412.0,3440.0,3402.0,3440.0,21360.0,731329040.0,70094.0,HC1410
2014-04-08,3450.0,3488.0,3442.0,3480.0,40286.0,1397631200.0,80872.0,HC1410
2014-04-09,3488.0,3488.0,3444.0,3452.0,32902.0,1139111480.0,81834.0,HC1410
2014-04-10,3450.0,3470.0,3442.0,3446.0,19630.0,678627240.0,81232.0,HC1410
2014-04-11,3430.0,3452.0,3430.0,3434.0,13100.0,450766000.0,76840.0,HC1410
2014-04-14,3432.0,3464.0,3432.0,3438.0,12642.0,435702680.0,77020.0,HC1410
2014-04-15,3442.0,3448.0,3418.0,3448.0,20724.0,711190160.0,75524.0,HC1410
2014-04-16,3446.0,3446.0,3410.0,3418.0,18538.0,633991040.0,68152.0,HC1410
2014-04-17,3428.0,3428.0,3410.0,3412.0,5590.0,191121760.0,67404.0,HC1410
2014-04-18,3410.0,3412.0,3346.0,3354.0,51760.0,1745025240.0,66498.0,HC1410
2014-04-21,3340.0,3364.0,3340.0,3340.0,8292.0,277848280.0,64836.0,HC1410
2014-04-22,3340.0,3366.0,3324.0,3354.0,23958.0,801302560.0,60950.0,HC1410
2014-04-23,3358.0,3388.0,3336.0,3380.0,19844.0,666374360.0,58920.0,HC1410
2014-04-24,3376.0,3396.0,3366.0,3390.0,12648.0,427664440.0,58086.0,HC1410
2014-04-25,3398.0,3400.0,3372.0,3378.0,8566.0,289792240.0,58570.0,HC1410
2014-04-28,3372.0,3372.0,3334.0,3336.0,17354.0,580151480.0,56630.0,HC1410
2014-04-29,3334.0,3374.0,3334.0,3360.0,8736.0,293359000.0,55692.0,HC1410
2014-04-30,3370.0,3370.0,3338.0,3344.0,9948.0,332848120.0,55210.0,HC1410
2014-05-05,3334.0,3362.0,3224.0,3352.0,11568.0,386522000.0,53726.0,HC1410
2014-05-06,3342.0,3364.0,3336.0,3344.0,4722.0,158189400.0,52980.0,HC1410
2014-05-07,3338.0,3358.0,3330.0,3332.0,9532.0,318417800.0,52784.0,HC1410
2014-05-08,3330.0,3338.0,3310.0,3312.0,13298.0,441666200.0,49644.0,HC1410
2014-05-09,3312.0,3330.0,3302.0,3318.0,9612.0,319032560.0,49350.0,HC1410
2014-05-12,3332.0,3336.0,3298.0,3336.0,11512.0,381931000.0,48264.0,HC1410
2014-05-13,3336.0,3346.0,3320.0,3326.0,6694.0,223061120.0,47826.0,HC1410
2014-05-14,3326.0,3330.0,3314.0,3324.0,7744.0,257061720.0,45016.0,HC1410
2014-05-15,3324.0,3328.0,3298.0,3300.0,4666.0,154589640.0,44738.0,HC1410
2014-05-16,3294.0,3300.0,3240.0,3272.0,11898.0,389332440.0,44178.0,HC1410
2014-05-19,3262.0,3284.0,3250.0,3264.0,7402.0,241998720.0,43860.0,HC1410
2014-05-20,3260.0,3276.0,3254.0,3262.0,3226.0,105353400.0,43792.0,HC1410
2014-05-21,3264.0,3284.0,3254.0,3274.0,5076.0,165816120.0,44056.0,HC1410
2014-05-22,3272.0,3314.0,3272.0,3280.0,5670.0,186690880.0,44030.0,HC1410
2014-05-23,3286.0,3294.0,3276.0,3282.0,2478.0,81395120.0,43846.0,HC1410
2014-05-26,3288.0,3330.0,3286.0,3326.0,6526.0,216448240.0,43958.0,HC1410
2014-05-27,3332.0,3370.0,3320.0,3340.0,17214.0,576550840.0,47808.0,HC1410
2014-05-28,3300.0,3342.0,3300.0,3312.0,6688.0,222413560.0,47400.0,HC1410
2014-05-29,3308.0,3324.0,3300.0,3308.0,5696.0,188573960.0,47004.0,HC1410
2014-05-30,3300.0,3300.0,3252.0,3264.0,11890.0,389039720.0,46412.0,HC1410
2014-06-03,3256.0,3290.0,3246.0,3268.0,11494.0,375972560.0,45992.0,HC1410
2014-06-04,3268.0,3276.0,3260.0,3262.0,7822.0,255721520.0,46136.0,HC1410
