date,open,high,low,close,volume,money,open_interest,symbol
2015-04-16,3100.0,3288.2,3088.8,3283.8,144423.0,137728664040.0,28848.0,IH1505
2015-04-17,3303.6,3341.6,3238.0,3254.0,271224.0,267552072720.0,37853.0,IH1505
2015-04-20,3258.0,3315.0,3143.6,3146.8,267213.0,260529433500.0,37975.0,IH1505
2015-04-21,3176.8,3242.2,3153.0,3234.0,239311.0,229320093480.0,37771.0,IH1505
2015-04-22,3250.0,3333.2,3229.8,3308.0,239676.0,235475715480.0,42623.0,IH1505
2015-04-23,3318.6,3348.2,3253.4,3267.8,246929.0,244348148280.0,39573.0,IH1505
2015-04-24,3248.8,3267.8,3170.0,3233.0,224297.0,217010195520.0,36034.0,IH1505
2015-04-27,3260.0,3358.0,3257.8,3357.6,259172.0,256955109420.0,45698.0,IH1505
2015-04-28,3339.0,3376.0,3265.0,3286.8,329692.0,327774721140.0,36374.0,IH1505
2015-04-29,3282.0,3325.6,3261.0,3295.2,242567.0,239786654460.0,39968.0,IH1505
2015-04-30,3315.2,3331.2,3247.2,3269.4,202408.0,200023304580.0,41181.0,IH1505
2015-05-04,3295.8,3301.8,3225.8,3273.2,189061.0,185146008420.0,40335.0,IH1505
2015-05-05,3279.6,3281.6,3141.2,3163.0,217674.0,210023333160.0,38274.0,IH1505
2015-05-06,3171.2,3257.4,3116.0,3153.0,261933.0,251113054620.0,36206.0,IH1505
2015-05-07,3159.6,3170.0,3103.0,3111.2,234619.0,220961867280.0,40498.0,IH1505
2015-05-08,3131.0,3149.0,3051.2,3099.8,215483.0,200658500700.0,37887.0,IH1505
2015-05-11,3112.0,3170.4,3078.0,3160.0,201465.0,188934831300.0,30050.0,IH1505
2015-05-12,3151.0,3194.6,3138.0,3175.0,189729.0,180330065880.0,23176.0,IH1505
2015-05-13,3200.0,3204.8,3112.4,3125.4,165986.0,157229484480.0,17535.0,IH1505
2015-05-14,3131.2,3158.4,3108.0,3129.4,106178.0,99736573380.0,10750.0,IH1505
2015-05-15,3115.2,3129.8,3021.0,3041.4,202862.0,187139213640.0,29113.0,IH1506
2015-05-18,3033.6,3049.0,2962.0,2969.4,177652.0,160675915020.0,30409.0,IH1506
2015-05-19,2973.4,3145.6,2971.2,3143.0,295536.0,273278809020.0,32724.0,IH1506
2015-05-20,3163.0,3217.0,3102.2,3145.2,288447.0,273041503080.0,41966.0,IH1506
2015-05-21,3157.0,3200.2,3139.8,3191.4,259112.0,246253464840.0,44675.0,IH1506
2015-05-22,3200.0,3310.0,3194.0,3303.0,323497.0,316097237520.0,49710.0,IH1506
