date,open,high,low,close,volume,money,open_interest,symbol
2012-01-17,2219.0,2219.0,2219.0,2219.0,2.0,221900.0,2.0,PM1301
2012-01-18,2219.0,2219.0,2219.0,2219.0,0.0,0.0,2.0,PM1301
2012-01-19,2219.0,2219.0,2219.0,2219.0,0.0,0.0,2.0,PM1301
2012-01-20,2218.0,2218.0,2204.0,2204.0,6.0,663900.0,6.0,PM1301
2012-01-30,2220.0,2220.0,2200.0,2219.0,8.0,883900.0,12.0,PM1301
2012-01-31,2206.0,2210.0,2198.0,2200.0,48.0,5287600.0,46.0,PM1301
2012-02-01,2207.0,2207.0,2200.0,2204.0,36.0,3963600.0,74.0,PM1301
2012-02-02,2198.0,2202.0,2198.0,2202.0,4.0,440000.0,74.0,PM1301
2012-02-03,2200.0,2211.0,2200.0,2206.0,26.0,2868400.0,80.0,PM1301
2012-02-06,2222.0,2225.0,2208.0,2220.0,96.0,10637000.0,124.0,PM1301
2012-02-07,2223.0,2223.0,2204.0,2208.0,52.0,5754100.0,146.0,PM1301
2012-02-08,2216.0,2216.0,2206.0,2215.0,48.0,5305700.0,176.0,PM1301
2012-02-09,2213.0,2213.0,2205.0,2205.0,62.0,6853500.0,218.0,PM1301
2012-02-10,2200.0,2207.0,2200.0,2200.0,28.0,3081100.0,226.0,PM1301
2012-02-13,2206.0,2208.0,2206.0,2208.0,4.0,441400.0,226.0,PM1301
2012-02-14,2203.0,2208.0,2201.0,2206.0,26.0,2862900.0,244.0,PM1301
2012-02-15,2201.0,2201.0,2191.0,2199.0,14.0,1539300.0,254.0,PM1301
2012-02-16,2203.0,2203.0,2196.0,2200.0,6.0,659900.0,250.0,PM1301
2012-02-17,2201.0,2204.0,2200.0,2200.0,22.0,2421200.0,266.0,PM1301
2012-02-20,2209.0,2209.0,2200.0,2203.0,36.0,3964000.0,286.0,PM1301
2012-02-21,2204.0,2204.0,2201.0,2201.0,12.0,1321200.0,294.0,PM1301
2012-02-22,2203.0,2206.0,2202.0,2204.0,18.0,1983200.0,304.0,PM1301
2012-02-23,2203.0,2203.0,2201.0,2201.0,22.0,2421800.0,314.0,PM1301
2012-02-24,2202.0,2202.0,2201.0,2201.0,4.0,440300.0,316.0,PM1301
2012-02-27,2200.0,2202.0,2200.0,2201.0,14.0,1540500.0,322.0,PM1301
2012-02-28,2200.0,2203.0,2200.0,2201.0,134.0,14746700.0,402.0,PM1301
2012-02-29,2202.0,2238.0,2202.0,2238.0,396.0,43758700.0,676.0,PM1301
2012-03-01,2218.0,2229.0,2213.0,2223.0,120.0,13326600.0,702.0,PM1301
2012-03-02,2228.0,2242.0,2221.0,2242.0,312.0,34873400.0,738.0,PM1301
