datetime,datetime_nano,KQ.m@CZCE.SM.open,KQ.m@CZCE.SM.high,KQ.m@CZCE.SM.low,KQ.m@CZCE.SM.close,KQ.m@CZCE.SM.volume,KQ.m@CZCE.SM.open_oi,KQ.m@CZCE.SM.close_oi
2016-01-05 00:00:00.000000000,1451923200000000000,3796.0,3830.0,3762.0,3800.0,55,0,142
2016-01-06 00:00:00.000000000,1452009600000000000,3758.0,3854.0,3758.0,3830.0,44,142,128
2016-01-07 00:00:00.000000000,1452096000000000000,3844.0,3848.0,3794.0,3800.0,26,128,126
2016-01-08 00:00:00.000000000,1452182400000000000,3828.0,3970.0,3828.0,3970.0,311,126,162
2016-01-11 00:00:00.000000000,1452441600000000000,3942.0,4118.0,3942.0,4090.0,153,162,171
2016-01-12 00:00:00.000000000,1452528000000000000,4070.0,4130.0,4012.0,4102.0,164,171,176
2016-01-13 00:00:00.000000000,1452614400000000000,4100.0,4132.0,4084.0,4122.0,144,176,224
2016-01-14 00:00:00.000000000,1452700800000000000,4130.0,4278.0,4124.0,4278.0,613,224,311
2016-01-15 00:00:00.000000000,1452787200000000000,4278.0,4398.0,4202.0,4246.0,1832,311,412
2016-01-18 00:00:00.000000000,1453046400000000000,4304.0,4326.0,4188.0,4250.0,859,412,345
2016-01-19 00:00:00.000000000,1453132800000000000,4276.0,4296.0,4212.0,4262.0,353,345,337
2016-01-20 00:00:00.000000000,1453219200000000000,4224.0,4240.0,4172.0,4220.0,283,337,341
2016-01-21 00:00:00.000000000,1453305600000000000,4206.0,4308.0,4206.0,4264.0,438,341,347
2016-01-22 00:00:00.000000000,1453392000000000000,4298.0,4356.0,4262.0,4302.0,682,347,378
2016-01-25 00:00:00.000000000,1453651200000000000,4300.0,4332.0,4268.0,4286.0,155,378,365
2016-01-26 00:00:00.000000000,1453737600000000000,4268.0,4344.0,4268.0,4320.0,276,365,364
2016-01-27 00:00:00.000000000,1453824000000000000,4338.0,4368.0,4314.0,4320.0,229,364,350
2016-01-28 00:00:00.000000000,1453910400000000000,4312.0,4370.0,4234.0,4276.0,145,350,313
2016-01-29 00:00:00.000000000,1453996800000000000,4280.0,4346.0,4252.0,4342.0,370,313,327
2016-02-01 00:00:00.000000000,1454256000000000000,4370.0,4372.0,4318.0,4342.0,163,327,330
2016-02-02 00:00:00.000000000,1454342400000000000,4360.0,4364.0,4310.0,4330.0,111,330,316
2016-02-03 00:00:00.000000000,1454428800000000000,4308.0,4358.0,4306.0,4350.0,126,316,308
2016-02-04 00:00:00.000000000,1454515200000000000,4386.0,4448.0,4368.0,4382.0,267,308,296
2016-02-05 00:00:00.000000000,1454601600000000000,4402.0,4444.0,4380.0,4444.0,102,296,279
2016-02-15 00:00:00.000000000,1455465600000000000,4410.0,4450.0,4404.0,4448.0,35,279,283
2016-02-16 00:00:00.000000000,1455552000000000000,4452.0,4516.0,4414.0,4442.0,60,283,277
2016-02-17 00:00:00.000000000,1455638400000000000,4418.0,4442.0,4418.0,4422.0,45,277,271
2016-02-18 00:00:00.000000000,1455724800000000000,4424.0,4460.0,4418.0,4418.0,24,271,268
2016-02-19 00:00:00.000000000,1455811200000000000,4448.0,4512.0,4446.0,4512.0,100,268,301
2016-02-22 00:00:00.000000000,1456070400000000000,4548.0,4620.0,4548.0,4620.0,153,301,327
2016-02-23 00:00:00.000000000,1456156800000000000,4594.0,4602.0,4530.0,4550.0,90,327,306
2016-02-24 00:00:00.000000000,1456243200000000000,4542.0,4586.0,4540.0,4578.0,36,306,297
2016-02-25 00:00:00.000000000,1456329600000000000,4618.0,4630.0,4532.0,4552.0,137,297,264
2016-02-26 00:00:00.000000000,1456416000000000000,4554.0,4592.0,4500.0,4586.0,111,264,281
2016-02-29 00:00:00.000000000,1456675200000000000,4632.0,4694.0,4610.0,4668.0,78,281,316
2016-03-01 00:00:00.000000000,1456761600000000000,4706.0,4832.0,4676.0,4832.0,365,316,346
2016-03-02 00:00:00.000000000,1456848000000000000,4830.0,4974.0,4808.0,4974.0,786,346,823
2016-03-03 00:00:00.000000000,1456934400000000000,5162.0,5178.0,5046.0,5068.0,1565,823,701
2016-03-04 00:00:00.000000000,1457020800000000000,5078.0,5192.0,5000.0,5118.0,1110,701,607
2016-03-07 00:00:00.000000000,1457280000000000000,5300.0,5300.0,5300.0,5300.0,88,607,567
2016-03-08 00:00:00.000000000,1457366400000000000,5672.0,5672.0,5354.0,5550.0,893,567,628
2016-03-09 00:00:00.000000000,1457452800000000000,5346.0,5424.0,5320.0,5320.0,883,628,684
2016-03-10 00:00:00.000000000,1457539200000000000,5540.0,5540.0,5162.0,5180.0,531,684,676
2016-03-11 00:00:00.000000000,1457625600000000000,5224.0,5318.0,5140.0,5240.0,340,676,693
2016-03-14 00:00:00.000000000,1457884800000000000,5256.0,5386.0,5204.0,5220.0,370,693,674
2016-03-15 00:00:00.000000000,1457971200000000000,5200.0,5356.0,5200.0,5304.0,843,674,563
2016-03-16 00:00:00.000000000,1458057600000000000,5350.0,5466.0,5312.0,5454.0,573,563,630
2016-03-17 00:00:00.000000000,1458144000000000000,5490.0,5580.0,5448.0,5544.0,1100,630,622
2016-03-18 00:00:00.000000000,1458230400000000000,5650.0,5670.0,5552.0,5578.0,605,622,582
