datetime,datetime_nano,KQ.m@DCE.l.open,KQ.m@DCE.l.high,KQ.m@DCE.l.low,KQ.m@DCE.l.close,KQ.m@DCE.l.volume,KQ.m@DCE.l.open_oi,KQ.m@DCE.l.close_oi
2016-01-05 00:00:00.000000000,1451923200000000000,8015.0,8145.0,7980.0,8050.0,512904,0,277448
2016-01-06 00:00:00.000000000,1452009600000000000,8025.0,8070.0,7940.0,7970.0,574115,277448,281505
2016-01-07 00:00:00.000000000,1452096000000000000,7920.0,7955.0,7810.0,7895.0,478780,281505,277877
2016-01-08 00:00:00.000000000,1452182400000000000,7915.0,7940.0,7840.0,7905.0,430483,277877,262963
2016-01-11 00:00:00.000000000,1452441600000000000,7860.0,7875.0,7760.0,7850.0,512401,262963,264037
2016-01-12 00:00:00.000000000,1452528000000000000,7790.0,7885.0,7745.0,7875.0,613590,264037,283667
2016-01-13 00:00:00.000000000,1452614400000000000,7875.0,7890.0,7710.0,7800.0,680154,283667,299876
2016-01-14 00:00:00.000000000,1452700800000000000,7775.0,7835.0,7740.0,7795.0,476628,299876,294839
2016-01-15 00:00:00.000000000,1452787200000000000,7815.0,7845.0,7755.0,7820.0,468228,294839,291360
2016-01-18 00:00:00.000000000,1453046400000000000,7760.0,8045.0,7740.0,8035.0,746289,291360,301133
2016-01-19 00:00:00.000000000,1453132800000000000,8030.0,8280.0,8005.0,8275.0,680727,301133,333349
2016-01-20 00:00:00.000000000,1453219200000000000,8220.0,8240.0,8155.0,8210.0,522221,333349,316290
2016-01-21 00:00:00.000000000,1453305600000000000,8215.0,8285.0,8155.0,8200.0,572706,316290,354377
2016-01-22 00:00:00.000000000,1453392000000000000,8280.0,8340.0,8195.0,8225.0,507310,354377,359695
2016-01-25 00:00:00.000000000,1453651200000000000,8260.0,8270.0,8160.0,8205.0,388754,359695,390375
2016-01-26 00:00:00.000000000,1453737600000000000,8160.0,8350.0,8150.0,8350.0,529638,390375,399770
2016-01-27 00:00:00.000000000,1453824000000000000,8365.0,8500.0,8355.0,8470.0,672592,399770,404649
2016-01-28 00:00:00.000000000,1453910400000000000,8460.0,8485.0,8390.0,8415.0,439630,404649,384925
2016-01-29 00:00:00.000000000,1453996800000000000,8420.0,8425.0,8310.0,8410.0,485349,384925,385583
2016-02-01 00:00:00.000000000,1454256000000000000,8420.0,8475.0,8360.0,8380.0,459383,385583,375668
2016-02-02 00:00:00.000000000,1454342400000000000,8370.0,8490.0,8340.0,8465.0,503821,375668,375641
2016-02-03 00:00:00.000000000,1454428800000000000,8420.0,8515.0,8410.0,8490.0,397073,375641,366905
2016-02-04 00:00:00.000000000,1454515200000000000,8540.0,8710.0,8520.0,8700.0,447219,366905,337427
2016-02-05 00:00:00.000000000,1454601600000000000,8655.0,8695.0,8590.0,8685.0,323178,337427,313172
2016-02-15 00:00:00.000000000,1455465600000000000,8635.0,8735.0,8560.0,8625.0,378140,313172,318887
