datetime,datetime_nano,KQ.m@DCE.pp.open,KQ.m@DCE.pp.high,KQ.m@DCE.pp.low,KQ.m@DCE.pp.close,KQ.m@DCE.pp.volume,KQ.m@DCE.pp.open_oi,KQ.m@DCE.pp.close_oi
2016-01-05 00:00:00.000000000,1451923200000000000,5769.0,5845.0,5745.0,5815.0,859978,0,286407
2016-01-06 00:00:00.000000000,1452009600000000000,5760.0,5825.0,5724.0,5726.0,889488,286407,315418
2016-01-07 00:00:00.000000000,1452096000000000000,5696.0,5722.0,5558.0,5627.0,921510,315418,289444
2016-01-08 00:00:00.000000000,1452182400000000000,5653.0,5686.0,5631.0,5684.0,660991,289444,273138
2016-01-11 00:00:00.000000000,1452441600000000000,5625.0,5679.0,5576.0,5633.0,904268,273138,270571
2016-01-12 00:00:00.000000000,1452528000000000000,5579.0,5600.0,5525.0,5584.0,859650,270571,281478
2016-01-13 00:00:00.000000000,1452614400000000000,5586.0,5615.0,5550.0,5585.0,736371,281478,296530
2016-01-14 00:00:00.000000000,1452700800000000000,5573.0,5680.0,5561.0,5677.0,800581,296530,318595
2016-01-15 00:00:00.000000000,1452787200000000000,5700.0,5728.0,5663.0,5673.0,711379,318595,287220
2016-01-18 00:00:00.000000000,1453046400000000000,5638.0,5815.0,5622.0,5806.0,787361,287220,307189
2016-01-19 00:00:00.000000000,1453132800000000000,5802.0,5978.0,5778.0,5948.0,919912,307189,326220
2016-01-20 00:00:00.000000000,1453219200000000000,5898.0,5925.0,5850.0,5896.0,726215,326220,309020
2016-01-21 00:00:00.000000000,1453305600000000000,5896.0,5998.0,5846.0,5917.0,970451,309020,326847
2016-01-22 00:00:00.000000000,1453392000000000000,6001.0,6076.0,5935.0,5967.0,869219,326847,331522
2016-01-25 00:00:00.000000000,1453651200000000000,6010.0,6027.0,5945.0,5992.0,601778,331522,332069
2016-01-26 00:00:00.000000000,1453737600000000000,5957.0,6072.0,5955.0,6066.0,718672,332069,352640
2016-01-27 00:00:00.000000000,1453824000000000000,6093.0,6196.0,6085.0,6194.0,870374,352640,356870
2016-01-28 00:00:00.000000000,1453910400000000000,6210.0,6214.0,6156.0,6176.0,607490,356870,357818
2016-01-29 00:00:00.000000000,1453996800000000000,6178.0,6180.0,6062.0,6114.0,726725,357818,330046
2016-02-01 00:00:00.000000000,1454256000000000000,6126.0,6165.0,6092.0,6111.0,548195,330046,326424
2016-02-02 00:00:00.000000000,1454342400000000000,6093.0,6197.0,6092.0,6189.0,668643,326424,324700
2016-02-03 00:00:00.000000000,1454428800000000000,6161.0,6275.0,6154.0,6258.0,607512,324700,310342
2016-02-04 00:00:00.000000000,1454515200000000000,6307.0,6418.0,6287.0,6409.0,514062,310342,292577
2016-02-05 00:00:00.000000000,1454601600000000000,6382.0,6442.0,6336.0,6428.0,465149,292577,286234
2016-02-15 00:00:00.000000000,1455465600000000000,6386.0,6407.0,6268.0,6312.0,550700,286234,303218
2016-02-16 00:00:00.000000000,1455552000000000000,6336.0,6342.0,6250.0,6279.0,590710,303218,323285
2016-02-17 00:00:00.000000000,1455638400000000000,6266.0,6300.0,6162.0,6182.0,601180,323285,312063
2016-02-18 00:00:00.000000000,1455724800000000000,6212.0,6279.0,6206.0,6243.0,523123,312063,305427
2016-02-19 00:00:00.000000000,1455811200000000000,6230.0,6415.0,6177.0,6404.0,928800,305427,312835
2016-02-22 00:00:00.000000000,1456070400000000000,6415.0,6506.0,6357.0,6380.0,796893,312835,307620
2016-02-23 00:00:00.000000000,1456156800000000000,6403.0,6433.0,6328.0,6423.0,718780,307620,309012
2016-02-24 00:00:00.000000000,1456243200000000000,6382.0,6466.0,6374.0,6442.0,916925,309012,317302
2016-02-25 00:00:00.000000000,1456329600000000000,6472.0,6597.0,6467.0,6544.0,938221,317302,307893
