datetime,datetime_nano,KQ.m@DCE.v.open,KQ.m@DCE.v.high,KQ.m@DCE.v.low,KQ.m@DCE.v.close,KQ.m@DCE.v.volume,KQ.m@DCE.v.open_oi,KQ.m@DCE.v.close_oi
2016-01-05 00:00:00.000000000,1451923200000000000,4820.0,4845.0,4775.0,4810.0,10043,0,24411
2016-01-06 00:00:00.000000000,1452009600000000000,4800.0,4820.0,4760.0,4785.0,7741,24411,23996
2016-01-07 00:00:00.000000000,1452096000000000000,4775.0,4775.0,4675.0,4695.0,14801,23996,21695
2016-01-08 00:00:00.000000000,1452182400000000000,4685.0,4725.0,4655.0,4660.0,8874,21695,22209
2016-01-11 00:00:00.000000000,1452441600000000000,4660.0,4665.0,4585.0,4595.0,11796,22209,25465
2016-01-12 00:00:00.000000000,1452528000000000000,4575.0,4615.0,4570.0,4590.0,7297,25465,25072
2016-01-13 00:00:00.000000000,1452614400000000000,4590.0,4635.0,4585.0,4625.0,6962,25072,24552
2016-01-14 00:00:00.000000000,1452700800000000000,4610.0,4655.0,4595.0,4650.0,5789,24552,24119
2016-01-15 00:00:00.000000000,1452787200000000000,4660.0,4690.0,4610.0,4615.0,5786,24119,23933
2016-01-18 00:00:00.000000000,1453046400000000000,4590.0,4665.0,4590.0,4655.0,9510,23933,25558
2016-01-19 00:00:00.000000000,1453132800000000000,4655.0,4750.0,4645.0,4740.0,11687,25558,26019
2016-01-20 00:00:00.000000000,1453219200000000000,4720.0,4755.0,4685.0,4715.0,8525,26019,26866
2016-01-21 00:00:00.000000000,1453305600000000000,4710.0,4740.0,4655.0,4700.0,7849,26866,29176
2016-01-22 00:00:00.000000000,1453392000000000000,4760.0,4780.0,4730.0,4775.0,7956,29176,28758
2016-01-25 00:00:00.000000000,1453651200000000000,4830.0,4845.0,4790.0,4830.0,8377,28758,30775
2016-01-26 00:00:00.000000000,1453737600000000000,4800.0,4820.0,4755.0,4785.0,10714,30775,30369
2016-01-27 00:00:00.000000000,1453824000000000000,4805.0,4830.0,4790.0,4815.0,5346,30369,30303
2016-01-28 00:00:00.000000000,1453910400000000000,4820.0,4830.0,4785.0,4815.0,7742,30303,30938
2016-01-29 00:00:00.000000000,1453996800000000000,4825.0,4880.0,4795.0,4865.0,10162,30938,31286
2016-02-01 00:00:00.000000000,1454256000000000000,4865.0,4890.0,4855.0,4860.0,5108,31286,32244
2016-02-02 00:00:00.000000000,1454342400000000000,4845.0,4890.0,4825.0,4870.0,5619,32244,32541
2016-02-03 00:00:00.000000000,1454428800000000000,4850.0,4910.0,4850.0,4880.0,4061,32541,32648
2016-02-04 00:00:00.000000000,1454515200000000000,4905.0,4960.0,4890.0,4935.0,8152,32648,31732
2016-02-05 00:00:00.000000000,1454601600000000000,4925.0,4960.0,4900.0,4915.0,3173,31732,31394
2016-02-15 00:00:00.000000000,1455465600000000000,4905.0,4975.0,4875.0,4960.0,5016,31394,31949
2016-02-16 00:00:00.000000000,1455552000000000000,4980.0,4990.0,4955.0,4980.0,4202,31949,32320
2016-02-17 00:00:00.000000000,1455638400000000000,4965.0,4980.0,4905.0,4905.0,5092,32320,32241
2016-02-18 00:00:00.000000000,1455724800000000000,4930.0,4960.0,4910.0,4950.0,4528,32241,32967
2016-02-19 00:00:00.000000000,1455811200000000000,4940.0,5080.0,4925.0,5075.0,11603,32967,31168
2016-02-22 00:00:00.000000000,1456070400000000000,5055.0,5115.0,5050.0,5090.0,6171,31168,31459
2016-02-23 00:00:00.000000000,1456156800000000000,5090.0,5130.0,5065.0,5125.0,5067,31459,32069
2016-02-24 00:00:00.000000000,1456243200000000000,5085.0,5135.0,5085.0,5110.0,6663,32069,32002
2016-02-25 00:00:00.000000000,1456329600000000000,5110.0,5180.0,5085.0,5165.0,9174,32002,31890
2016-02-26 00:00:00.000000000,1456416000000000000,5135.0,5175.0,5095.0,5155.0,7250,31890,32266
2016-02-29 00:00:00.000000000,1456675200000000000,5130.0,5180.0,5115.0,5145.0,7146,32266,32191
2016-03-01 00:00:00.000000000,1456761600000000000,5160.0,5200.0,5145.0,5185.0,7373,32191,32679
2016-03-02 00:00:00.000000000,1456848000000000000,5185.0,5185.0,5150.0,5175.0,5864,32679,31814
2016-03-03 00:00:00.000000000,1456934400000000000,5175.0,5220.0,5165.0,5200.0,9506,31814,29818
2016-03-04 00:00:00.000000000,1457020800000000000,5200.0,5265.0,5195.0,5230.0,9447,29818,27824
2016-03-07 00:00:00.000000000,1457280000000000000,5400.0,5420.0,5300.0,5310.0,13068,27824,26902
2016-03-08 00:00:00.000000000,1457366400000000000,5370.0,5400.0,5205.0,5240.0,17443,26902,25806
2016-03-09 00:00:00.000000000,1457452800000000000,5150.0,5305.0,5130.0,5300.0,12559,25806,23775
2016-03-10 00:00:00.000000000,1457539200000000000,5320.0,5340.0,5240.0,5250.0,7247,23775,23246
