datetime,datetime_nano,KQ.m@GFEX.si.open,KQ.m@GFEX.si.high,KQ.m@GFEX.si.low,KQ.m@GFEX.si.close,KQ.m@GFEX.si.volume,KQ.m@GFEX.si.open_oi,KQ.m@GFEX.si.close_oi
2022-12-22 09:00:00.000000000,1671670800000000000,19190.0,19720.0,18510.0,18775.0,7886,0,2807
2022-12-22 09:05:00.000000000,1671671100000000000,18775.0,18885.0,18335.0,18410.0,3520,2807,3766
2022-12-22 09:10:00.000000000,1671671400000000000,18410.0,18535.0,18250.0,18335.0,1995,3766,4078
2022-12-22 09:15:00.000000000,1671671700000000000,18335.0,18435.0,18160.0,18325.0,2440,4078,4693
2022-12-22 09:20:00.000000000,1671672000000000000,18325.0,18440.0,18215.0,18260.0,1603,4693,4990
2022-12-22 09:25:00.000000000,1671672300000000000,18260.0,18325.0,18220.0,18310.0,742,4990,5070
2022-12-22 09:30:00.000000000,1671672600000000000,18310.0,18360.0,18250.0,18295.0,548,5070,5170
2022-12-22 09:35:00.000000000,1671672900000000000,18295.0,18440.0,18250.0,18425.0,848,5170,5211
2022-12-22 09:40:00.000000000,1671673200000000000,18425.0,18530.0,18370.0,18370.0,1295,5211,5167
2022-12-22 09:45:00.000000000,1671673500000000000,18370.0,18405.0,18290.0,18385.0,677,5167,5233
2022-12-22 09:50:00.000000000,1671673800000000000,18385.0,18455.0,18350.0,18455.0,442,5233,5295
2022-12-22 09:55:00.000000000,1671674100000000000,18455.0,18455.0,18400.0,18425.0,250,5295,5350
2022-12-22 10:00:00.000000000,1671674400000000000,18425.0,18445.0,18300.0,18430.0,575,5350,5372
2022-12-22 10:05:00.000000000,1671674700000000000,18430.0,18445.0,18385.0,18405.0,312,5372,5496
2022-12-22 10:10:00.000000000,1671675000000000000,18405.0,18470.0,18350.0,18375.0,485,5496,5497
2022-12-22 10:30:00.000000000,1671676200000000000,18375.0,18415.0,18335.0,18335.0,150,5497,5549
2022-12-22 10:35:00.000000000,1671676500000000000,18335.0,18390.0,18290.0,18365.0,433,5549,5473
2022-12-22 10:40:00.000000000,1671676800000000000,18365.0,18395.0,18360.0,18380.0,118,5473,5470
2022-12-22 10:45:00.000000000,1671677100000000000,18380.0,18405.0,18365.0,18400.0,126,5470,5474
2022-12-22 10:50:00.000000000,1671677400000000000,18400.0,18435.0,18360.0,18375.0,218,5474,5506
2022-12-22 10:55:00.000000000,1671677700000000000,18375.0,18380.0,18350.0,18370.0,101,5506,5484
2022-12-22 11:00:00.000000000,1671678000000000000,18370.0,18380.0,18320.0,18345.0,254,5484,5498
2022-12-22 11:05:00.000000000,1671678300000000000,18345.0,18360.0,18325.0,18350.0,227,5498,5443
2022-12-22 11:10:00.000000000,1671678600000000000,18350.0,18370.0,18350.0,18360.0,58,5443,5433
2022-12-22 11:15:00.000000000,1671678900000000000,18360.0,18360.0,18350.0,18350.0,81,5433,5455
2022-12-22 11:20:00.000000000,1671679200000000000,18350.0,18390.0,18300.0,18370.0,354,5455,5388
2022-12-22 11:25:00.000000000,1671679500000000000,18370.0,18420.0,18360.0,18380.0,377,5388,5367
2022-12-22 13:30:00.000000000,1671687000000000000,18405.0,18405.0,18350.0,18355.0,86,5367,5363
2022-12-22 13:35:00.000000000,1671687300000000000,18355.0,18395.0,18355.0,18375.0,81,5363,5379
2022-12-22 13:40:00.000000000,1671687600000000000,18375.0,18385.0,18370.0,18375.0,34,5379,5367
2022-12-22 13:45:00.000000000,1671687900000000000,18375.0,18385.0,18355.0,18375.0,58,5367,5374
2022-12-22 13:50:00.000000000,1671688200000000000,18375.0,18380.0,18355.0,18370.0,62,5374,5345
2022-12-22 13:55:00.000000000,1671688500000000000,18370.0,18370.0,18355.0,18360.0,40,5345,5347
2022-12-22 14:00:00.000000000,1671688800000000000,18360.0,18380.0,18325.0,18380.0,118,5347,5328
2022-12-22 14:05:00.000000000,1671689100000000000,18380.0,18380.0,18350.0,18350.0,65,5328,5314
2022-12-22 14:10:00.000000000,1671689400000000000,18350.0,18365.0,18350.0,18355.0,69,5314,5327
2022-12-22 14:15:00.000000000,1671689700000000000,18355.0,18360.0,18350.0,18360.0,42,5327,5317
2022-12-22 14:20:00.000000000,1671690000000000000,18360.0,18360.0,18315.0,18355.0,142,5317,5311
2022-12-22 14:25:00.000000000,1671690300000000000,18355.0,18355.0,18270.0,18315.0,360,5311,5317
2022-12-22 14:30:00.000000000,1671690600000000000,18315.0,18330.0,18260.0,18290.0,308,5317,5262
2022-12-22 14:35:00.000000000,1671690900000000000,18290.0,18320.0,18270.0,18300.0,170,5262,5246
2022-12-22 14:40:00.000000000,1671691200000000000,18300.0,18345.0,18295.0,18330.0,247,5246,5164
2022-12-22 14:45:00.000000000,1671691500000000000,18330.0,18335.0,18305.0,18325.0,135,5164,5090
2022-12-22 14:50:00.000000000,1671691800000000000,18325.0,18325.0,18300.0,18310.0,153,5090,5025
2022-12-22 14:55:00.000000000,1671692100000000000,18310.0,18320.0,18290.0,18310.0,457,5025,4710
2022-12-23 09:00:00.000000000,1671757200000000000,18170.0,18220.0,17780.0,17845.0,2895,4710,5344
2022-12-23 09:05:00.000000000,1671757500000000000,17845.0,17900.0,17590.0,17590.0,2616,5344,5767
2022-12-23 09:10:00.000000000,1671757800000000000,17590.0,17675.0,17385.0,17400.0,3271,5767,6441
2022-12-23 09:15:00.000000000,1671758100000000000,17400.0,17490.0,17150.0,17445.0,4624,6441,6495
2022-12-23 09:20:00.000000000,1671758400000000000,17445.0,17470.0,17285.0,17290.0,1984,6495,6664
2022-12-23 09:25:00.000000000,1671758700000000000,17290.0,17400.0,17280.0,17360.0,1000,6664,6706
2022-12-23 09:30:00.000000000,1671759000000000000,17360.0,17440.0,17320.0,17440.0,609,6706,6755
2022-12-23 09:35:00.000000000,1671759300000000000,17440.0,17470.0,17350.0,17400.0,566,6755,6814
2022-12-23 09:40:00.000000000,1671759600000000000,17400.0,17415.0,17375.0,17410.0,337,6814,6820
2022-12-23 09:45:00.000000000,1671759900000000000,17410.0,17430.0,17370.0,17375.0,437,6820,6869
2022-12-23 09:50:00.000000000,1671760200000000000,17375.0,17440.0,17300.0,17440.0,993,6869,6982
2022-12-23 09:55:00.000000000,1671760500000000000,17440.0,17440.0,17395.0,17415.0,243,6982,7007
2022-12-23 10:00:00.000000000,1671760800000000000,17415.0,17515.0,17380.0,17460.0,662,7007,6964
2022-12-23 10:05:00.000000000,1671761100000000000,17460.0,17495.0,17425.0,17435.0,334,6964,6954
2022-12-23 10:10:00.000000000,1671761400000000000,17435.0,17435.0,17405.0,17430.0,199,6954,6955
2022-12-23 10:30:00.000000000,1671762600000000000,17430.0,17455.0,17385.0,17450.0,280,6955,6945
2022-12-23 10:35:00.000000000,1671762900000000000,17450.0,17465.0,17420.0,17420.0,163,6945,6936
2022-12-23 10:40:00.000000000,1671763200000000000,17420.0,17470.0,17405.0,17455.0,145,6936,6941
2022-12-23 10:45:00.000000000,1671763500000000000,17455.0,17470.0,17425.0,17440.0,103,6941,6932
2022-12-23 10:50:00.000000000,1671763800000000000,17440.0,17460.0,17415.0,17425.0,104,6932,6952
2022-12-23 10:55:00.000000000,1671764100000000000,17425.0,17465.0,17415.0,17430.0,132,6952,6953
2022-12-23 11:00:00.000000000,1671764400000000000,17430.0,17445.0,17430.0,17435.0,68,6953,6931
2022-12-23 11:05:00.000000000,1671764700000000000,17435.0,17440.0,17420.0,17420.0,66,6931,6922
2022-12-23 11:10:00.000000000,1671765000000000000,17420.0,17430.0,17360.0,17405.0,288,6922,6905
2022-12-23 11:15:00.000000000,1671765300000000000,17405.0,17410.0,17395.0,17395.0,92,6905,6905
2022-12-23 11:20:00.000000000,1671765600000000000,17395.0,17405.0,17370.0,17395.0,89,6905,6913
2022-12-23 11:25:00.000000000,1671765900000000000,17395.0,17430.0,17390.0,17410.0,166,6913,6873
2022-12-23 13:30:00.000000000,1671773400000000000,17400.0,17420.0,17360.0,17395.0,245,6873,6920
2022-12-23 13:35:00.000000000,1671773700000000000,17395.0,17400.0,17385.0,17390.0,79,6920,6938
2022-12-23 13:40:00.000000000,1671774000000000000,17390.0,17415.0,17390.0,17400.0,68,6938,6931
2022-12-23 13:45:00.000000000,1671774300000000000,17400.0,17405.0,17370.0,17380.0,109,6931,6949
2022-12-23 13:50:00.000000000,1671774600000000000,17380.0,17395.0,17375.0,17385.0,77,6949,6960
2022-12-23 13:55:00.000000000,1671774900000000000,17385.0,17395.0,17340.0,17360.0,209,6960,6955
2022-12-23 14:00:00.000000000,1671775200000000000,17360.0,17385.0,17345.0,17360.0,114,6955,6947
2022-12-23 14:05:00.000000000,1671775500000000000,17360.0,17395.0,17285.0,17325.0,553,6947,7006
2022-12-23 14:10:00.000000000,1671775800000000000,17325.0,17360.0,17320.0,17345.0,164,7006,7009
2022-12-23 14:15:00.000000000,1671776100000000000,17345.0,17345.0,17305.0,17320.0,112,7009,7028
2022-12-23 14:20:00.000000000,1671776400000000000,17320.0,17330.0,17105.0,17140.0,1090,7028,7388
2022-12-23 14:25:00.000000000,1671776700000000000,17140.0,17280.0,17140.0,17255.0,719,7388,7303
2022-12-23 14:30:00.000000000,1671777000000000000,17255.0,17270.0,17235.0,17250.0,177,7303,7316
2022-12-23 14:35:00.000000000,1671777300000000000,17250.0,17255.0,17135.0,17225.0,439,7316,7345
2022-12-23 14:40:00.000000000,1671777600000000000,17225.0,17245.0,17060.0,17060.0,2782,7345,7805
