datetime,datetime_nano,KQ.m@CZCE.AP.open,KQ.m@CZCE.AP.high,KQ.m@CZCE.AP.low,KQ.m@CZCE.AP.close,KQ.m@CZCE.AP.volume,KQ.m@CZCE.AP.open_oi,KQ.m@CZCE.AP.close_oi
2017-12-25 00:00:00.000000000,1514131200000000000,8114.0,8157.0,8060.0,8095.0,179012,0,12648
2017-12-26 00:00:00.000000000,1514217600000000000,8107.0,8144.0,8079.0,8090.0,73210,12648,10509
2017-12-27 00:00:00.000000000,1514304000000000000,8094.0,8109.0,8067.0,8086.0,33944,10509,8762
2017-12-28 00:00:00.000000000,1514390400000000000,8092.0,8145.0,8088.0,8104.0,35588,8762,7779
2017-12-29 00:00:00.000000000,1514476800000000000,8106.0,8122.0,8078.0,8088.0,12881,7779,6877
2018-01-02 00:00:00.000000000,1514822400000000000,8091.0,8106.0,8086.0,8101.0,8213,6877,6180
2018-01-03 00:00:00.000000000,1514908800000000000,8104.0,8122.0,8088.0,8094.0,10077,6180,5926
2018-01-04 00:00:00.000000000,1514995200000000000,8098.0,8114.0,8076.0,8092.0,8326,5926,5626
2018-01-05 00:00:00.000000000,1515081600000000000,8098.0,8111.0,8082.0,8099.0,4769,5626,5045
2018-01-08 00:00:00.000000000,1515340800000000000,8103.0,8103.0,8080.0,8084.0,3466,5045,4897
2018-01-09 00:00:00.000000000,1515427200000000000,8086.0,8090.0,7933.0,7966.0,35564,4897,7967
2018-01-10 00:00:00.000000000,1515513600000000000,7956.0,7980.0,7933.0,7938.0,15096,7967,8002
2018-01-11 00:00:00.000000000,1515600000000000000,7932.0,7953.0,7854.0,7865.0,21620,8002,10119
2018-01-12 00:00:00.000000000,1515686400000000000,7844.0,7855.0,7784.0,7787.0,19426,10119,12035
2018-01-15 00:00:00.000000000,1515945600000000000,7763.0,7795.0,7758.0,7777.0,13082,12035,12512
2018-01-16 00:00:00.000000000,1516032000000000000,7764.0,7815.0,7711.0,7723.0,22356,12512,14365
2018-01-17 00:00:00.000000000,1516118400000000000,7736.0,7744.0,7658.0,7670.0,44078,14365,15657
2018-01-18 00:00:00.000000000,1516204800000000000,7668.0,7708.0,7666.0,7671.0,24043,15657,16257
2018-01-19 00:00:00.000000000,1516291200000000000,7672.0,7701.0,7641.0,7657.0,28971,16257,15811
2018-01-22 00:00:00.000000000,1516550400000000000,7678.0,7708.0,7667.0,7697.0,20703,15811,15244
2018-01-23 00:00:00.000000000,1516636800000000000,7712.0,7740.0,7681.0,7699.0,27070,15244,14221
2018-01-24 00:00:00.000000000,1516723200000000000,7705.0,7708.0,7664.0,7677.0,13688,14221,14450
2018-01-25 00:00:00.000000000,1516809600000000000,7687.0,7701.0,7657.0,7661.0,13662,14450,14846
2018-01-26 00:00:00.000000000,1516896000000000000,7668.0,7699.0,7660.0,7683.0,15127,14846,13751
2018-01-29 00:00:00.000000000,1517155200000000000,7690.0,7697.0,7554.0,7560.0,28279,13751,16230
2018-01-30 00:00:00.000000000,1517241600000000000,7554.0,7568.0,7510.0,7512.0,25342,16230,18170
2018-01-31 00:00:00.000000000,1517328000000000000,7510.0,7543.0,7461.0,7487.0,44407,18170,18286
2018-02-01 00:00:00.000000000,1517414400000000000,7492.0,7515.0,7434.0,7434.0,31624,18286,19067
2018-02-02 00:00:00.000000000,1517500800000000000,7448.0,7462.0,7367.0,7372.0,50611,19067,21466
2018-02-05 00:00:00.000000000,1517760000000000000,7360.0,7382.0,7321.0,7334.0,52688,21466,24141
2018-02-06 00:00:00.000000000,1517846400000000000,7328.0,7372.0,7275.0,7278.0,57215,24141,25929
2018-02-07 00:00:00.000000000,1517932800000000000,7282.0,7293.0,6956.0,6956.0,147897,25929,35304
2018-02-08 00:00:00.000000000,1518019200000000000,6875.0,6890.0,6662.0,6754.0,215217,35304,26411
2018-02-09 00:00:00.000000000,1518105600000000000,6765.0,6828.0,6697.0,6745.0,134154,26411,27922
2018-02-12 00:00:00.000000000,1518364800000000000,6755.0,6941.0,6731.0,6803.0,136420,27922,26828
2018-02-13 00:00:00.000000000,1518451200000000000,6806.0,6848.0,6740.0,6765.0,98002,26828,26652
2018-02-14 00:00:00.000000000,1518537600000000000,6797.0,6821.0,6553.0,6621.0,117578,26652,26300
2018-02-22 00:00:00.000000000,1519228800000000000,6601.0,6623.0,6480.0,6481.0,114797,26300,35854
2018-02-23 00:00:00.000000000,1519315200000000000,6483.0,6846.0,6471.0,6846.0,254518,35854,35554
2018-02-26 00:00:00.000000000,1519574400000000000,6956.0,7064.0,6883.0,6956.0,300616,35554,27462
2018-02-27 00:00:00.000000000,1519660800000000000,6945.0,7150.0,6889.0,7083.0,466457,27462,32064
2018-02-28 00:00:00.000000000,1519747200000000000,7080.0,7124.0,7036.0,7098.0,439055,32064,33280
2018-03-01 00:00:00.000000000,1519833600000000000,7087.0,7188.0,7050.0,7131.0,400682,33280,34418
2018-03-02 00:00:00.000000000,1519920000000000000,7112.0,7168.0,6976.0,7016.0,413426,34418,31242
2018-03-05 00:00:00.000000000,1520179200000000000,7010.0,7052.0,6944.0,7026.0,477803,31242,30584
2018-03-06 00:00:00.000000000,1520265600000000000,7028.0,7310.0,7018.0,7218.0,833811,30584,38240
2018-03-07 00:00:00.000000000,1520352000000000000,7215.0,7238.0,7149.0,7185.0,459376,38240,34132
2018-03-08 00:00:00.000000000,1520438400000000000,7184.0,7200.0,7083.0,7132.0,418518,34132,31361
2018-03-09 00:00:00.000000000,1520524800000000000,7131.0,7249.0,7114.0,7212.0,531190,31361,31597
2018-03-12 00:00:00.000000000,1520784000000000000,7256.0,7313.0,7004.0,7030.0,649482,31597,32903
2018-03-13 00:00:00.000000000,1520870400000000000,7029.0,7085.0,6982.0,7042.0,463065,32903,29925
2018-03-14 00:00:00.000000000,1520956800000000000,7036.0,7068.0,6993.0,7023.0,251088,29925,29598
2018-03-15 00:00:00.000000000,1521043200000000000,6990.0,7004.0,6892.0,6923.0,293078,29598,36731
2018-03-16 00:00:00.000000000,1521129600000000000,6913.0,7052.0,6906.0,7048.0,305758,36731,36215
2018-03-19 00:00:00.000000000,1521388800000000000,7045.0,7082.0,6976.0,7030.0,227615,36215,32192
2018-03-20 00:00:00.000000000,1521475200000000000,7012.0,7029.0,6945.0,7000.0,215655,32192,29097
2018-03-21 00:00:00.000000000,1521561600000000000,7015.0,7145.0,7006.0,7075.0,303659,29097,30206
2018-03-22 00:00:00.000000000,1521648000000000000,7349.0,7394.0,7198.0,7217.0,254608,30206,28105
2018-03-23 00:00:00.000000000,1521734400000000000,7186.0,7368.0,7145.0,7345.0,340695,28105,30621
2018-03-26 00:00:00.000000000,1521993600000000000,7373.0,7421.0,7307.0,7399.0,201468,30621,32993
2018-03-27 00:00:00.000000000,1522080000000000000,7412.0,7420.0,7261.0,7303.0,272842,32993,28824
2018-03-28 00:00:00.000000000,1522166400000000000,7305.0,7357.0,7253.0,7332.0,272032,28824,29560
2018-03-29 00:00:00.000000000,1522252800000000000,7337.0,7339.0,7190.0,7224.0,272087,29560,26999
2018-03-30 00:00:00.000000000,1522339200000000000,7239.0,7293.0,7174.0,7270.0,250781,26999,25760
2018-04-02 00:00:00.000000000,1522598400000000000,7302.0,7445.0,7237.0,7419.0,317974,25760,36853
2018-04-03 00:00:00.000000000,1522684800000000000,7406.0,7437.0,7356.0,7401.0,200220,36853,30797
2018-04-04 00:00:00.000000000,1522771200000000000,7401.0,7420.0,7176.0,7194.0,287180,30797,27439
2018-04-09 00:00:00.000000000,1523203200000000000,7255.0,7346.0,7200.0,7319.0,205900,27439,24110
2018-04-10 00:00:00.000000000,1523289600000000000,7324.0,7373.0,7266.0,7313.0,185243,24110,24590
2018-04-11 00:00:00.000000000,1523376000000000000,7319.0,7399.0,7279.0,7324.0,226446,24590,21826
2018-04-12 00:00:00.000000000,1523462400000000000,7047.0,7086.0,6978.0,7083.0,260067,21826,44071
2018-04-13 00:00:00.000000000,1523548800000000000,7097.0,7168.0,7004.0,7163.0,303345,44071,51021
2018-04-16 00:00:00.000000000,1523808000000000000,7142.0,7207.0,7110.0,7153.0,320087,51021,51301
2018-04-17 00:00:00.000000000,1523894400000000000,7120.0,7132.0,7027.0,7116.0,333301,51301,45681
2018-04-18 00:00:00.000000000,1523980800000000000,7118.0,7199.0,7092.0,7164.0,280337,45681,50643
2018-04-19 00:00:00.000000000,1524067200000000000,7170.0,7179.0,7078.0,7156.0,251961,50643,50777
2018-04-20 00:00:00.000000000,1524153600000000000,7129.0,7207.0,7094.0,7174.0,294000,50777,55818
2018-04-23 00:00:00.000000000,1524412800000000000,7239.0,7502.0,7220.0,7502.0,510939,55818,83638
2018-04-24 00:00:00.000000000,1524499200000000000,7503.0,7557.0,7471.0,7528.0,401299,83638,81709
2018-04-25 00:00:00.000000000,1524585600000000000,7502.0,7512.0,7426.0,7495.0,355895,81709,74505
2018-04-26 00:00:00.000000000,1524672000000000000,7483.0,7830.0,7458.0,7758.0,864397,74505,95544
2018-04-27 00:00:00.000000000,1524758400000000000,7761.0,7920.0,7666.0,7773.0,979278,95544,88564
2018-05-02 00:00:00.000000000,1525190400000000000,7874.0,7987.0,7792.0,7937.0,723470,88564,104312
2018-05-03 00:00:00.000000000,1525276800000000000,7929.0,7955.0,7844.0,7944.0,612929,104312,114881
2018-05-04 00:00:00.000000000,1525363200000000000,7932.0,7944.0,7692.0,7832.0,872872,114881,104580
2018-05-07 00:00:00.000000000,1525622400000000000,7840.0,7920.0,7806.0,7861.0,576382,104580,108272
2018-05-08 00:00:00.000000000,1525708800000000000,7863.0,8088.0,7813.0,8066.0,839999,108272,135018
2018-05-09 00:00:00.000000000,1525795200000000000,8070.0,8148.0,8012.0,8095.0,794597,135018,138029
2018-05-10 00:00:00.000000000,1525881600000000000,8094.0,8138.0,8026.0,8081.0,673872,138029,137813
2018-05-11 00:00:00.000000000,1525968000000000000,8071.0,8156.0,8048.0,8142.0,576962,137813,133625
2018-05-14 00:00:00.000000000,1526227200000000000,8172.0,8486.0,8160.0,8486.0,1009775,133625,168549
2018-05-15 00:00:00.000000000,1526313600000000000,8529.0,8998.0,8522.0,8994.0,1437372,168549,150228
2018-05-16 00:00:00.000000000,1526400000000000000,8978.0,9235.0,8880.0,8902.0,2007564,150228,137730
2018-05-17 00:00:00.000000000,1526486400000000000,8888.0,9115.0,8796.0,9048.0,1384411,137730,157533
