datetime,datetime_nano,KQ.m@CZCE.CF.open,KQ.m@CZCE.CF.high,KQ.m@CZCE.CF.low,KQ.m@CZCE.CF.close,KQ.m@CZCE.CF.volume,KQ.m@CZCE.CF.open_oi,KQ.m@CZCE.CF.close_oi
2016-01-05 00:00:00.000000000,1451923200000000000,11270.0,11295.0,11180.0,11200.0,73208,0,190645
2016-01-06 00:00:00.000000000,1452009600000000000,11205.0,11350.0,11185.0,11320.0,109707,190645,187408
2016-01-07 00:00:00.000000000,1452096000000000000,11310.0,11360.0,11270.0,11335.0,71958,187408,178517
2016-01-08 00:00:00.000000000,1452182400000000000,11315.0,11385.0,11280.0,11315.0,59494,178517,174293
2016-01-11 00:00:00.000000000,1452441600000000000,11310.0,11345.0,11255.0,11280.0,47804,174293,171780
2016-01-12 00:00:00.000000000,1452528000000000000,11285.0,11315.0,11230.0,11280.0,38867,171780,170631
2016-01-13 00:00:00.000000000,1452614400000000000,11290.0,11350.0,11275.0,11310.0,50675,170631,170096
2016-01-14 00:00:00.000000000,1452700800000000000,11310.0,11340.0,11290.0,11305.0,32735,170096,170919
2016-01-15 00:00:00.000000000,1452787200000000000,11275.0,11305.0,11190.0,11215.0,78214,170919,181121
2016-01-18 00:00:00.000000000,1453046400000000000,11205.0,11245.0,11165.0,11200.0,57674,181121,181150
2016-01-19 00:00:00.000000000,1453132800000000000,11205.0,11285.0,11200.0,11270.0,51949,181150,187287
2016-01-20 00:00:00.000000000,1453219200000000000,11285.0,11415.0,11270.0,11375.0,124031,187287,182372
2016-01-21 00:00:00.000000000,1453305600000000000,11360.0,11395.0,11345.0,11380.0,40479,182372,180672
2016-01-22 00:00:00.000000000,1453392000000000000,11385.0,11445.0,11330.0,11420.0,56369,180672,181552
2016-01-25 00:00:00.000000000,1453651200000000000,11480.0,11480.0,11380.0,11415.0,27738,181552,180074
2016-01-26 00:00:00.000000000,1453737600000000000,11405.0,11445.0,11395.0,11420.0,29411,180074,178636
2016-01-27 00:00:00.000000000,1453824000000000000,11425.0,11470.0,11400.0,11450.0,28948,178636,178076
2016-01-28 00:00:00.000000000,1453910400000000000,11455.0,11475.0,11395.0,11405.0,24221,178076,176673
2016-01-29 00:00:00.000000000,1453996800000000000,11405.0,11440.0,11355.0,11375.0,34520,176673,175433
2016-02-01 00:00:00.000000000,1454256000000000000,11385.0,11395.0,11360.0,11375.0,22311,175433,168564
2016-02-02 00:00:00.000000000,1454342400000000000,10840.0,10900.0,10820.0,10870.0,20235,168564,165856
2016-02-03 00:00:00.000000000,1454428800000000000,10850.0,10880.0,10680.0,10715.0,57166,165856,166616
2016-02-04 00:00:00.000000000,1454515200000000000,10710.0,10755.0,10570.0,10590.0,47353,166616,172354
2016-02-05 00:00:00.000000000,1454601600000000000,10555.0,10680.0,10535.0,10565.0,48542,172354,175802
2016-02-15 00:00:00.000000000,1455465600000000000,10475.0,10495.0,10370.0,10390.0,47213,175802,186841
2016-02-16 00:00:00.000000000,1455552000000000000,10395.0,10500.0,10385.0,10485.0,59937,186841,202863
2016-02-17 00:00:00.000000000,1455638400000000000,10495.0,10570.0,10470.0,10530.0,55846,202863,205005
2016-02-18 00:00:00.000000000,1455724800000000000,10530.0,10595.0,10505.0,10565.0,39534,205005,205311
2016-02-19 00:00:00.000000000,1455811200000000000,10565.0,10575.0,10440.0,10460.0,76634,205311,224718
2016-02-22 00:00:00.000000000,1456070400000000000,10445.0,10565.0,10440.0,10505.0,70722,224718,223899
2016-02-23 00:00:00.000000000,1456156800000000000,10515.0,10550.0,10455.0,10485.0,72095,223899,235444
