datetime,datetime_nano,KQ.m@CZCE.CJ.open,KQ.m@CZCE.CJ.high,KQ.m@CZCE.CJ.low,KQ.m@CZCE.CJ.close,KQ.m@CZCE.CJ.volume,KQ.m@CZCE.CJ.open_oi,KQ.m@CZCE.CJ.close_oi
2019-04-30 00:00:00.000000000,1556553600000000000,8925.0,9020.0,8720.0,8840.0,367714,0,20559
2019-05-06 00:00:00.000000000,1557072000000000000,8830.0,8900.0,8620.0,8665.0,174602,20559,28642
2019-05-07 00:00:00.000000000,1557158400000000000,8705.0,8720.0,8545.0,8615.0,150838,28642,35452
2019-05-08 00:00:00.000000000,1557244800000000000,8620.0,8710.0,8595.0,8635.0,117221,35452,35982
2019-05-09 00:00:00.000000000,1557331200000000000,8635.0,8690.0,8580.0,8620.0,101511,35982,35355
2019-05-10 00:00:00.000000000,1557417600000000000,8650.0,8750.0,8620.0,8670.0,94233,35355,32783
2019-05-13 00:00:00.000000000,1557676800000000000,8690.0,9115.0,8670.0,9115.0,308736,32783,51931
2019-05-14 00:00:00.000000000,1557763200000000000,9150.0,9575.0,9125.0,9505.0,621179,51931,44469
2019-05-15 00:00:00.000000000,1557849600000000000,9515.0,9865.0,9385.0,9660.0,600125,44469,55821
2019-05-16 00:00:00.000000000,1557936000000000000,9690.0,9890.0,9620.0,9715.0,655301,55821,64167
2019-05-17 00:00:00.000000000,1558022400000000000,9750.0,9795.0,9625.0,9755.0,416237,64167,60155
2019-05-20 00:00:00.000000000,1558281600000000000,9805.0,9915.0,9655.0,9755.0,423001,60155,60801
2019-05-21 00:00:00.000000000,1558368000000000000,9770.0,9905.0,9700.0,9840.0,377595,60801,60534
2019-05-22 00:00:00.000000000,1558454400000000000,9835.0,10305.0,9790.0,10305.0,881339,60534,74383
2019-05-23 00:00:00.000000000,1558540800000000000,10350.0,10415.0,10255.0,10350.0,591525,74383,79148
2019-05-24 00:00:00.000000000,1558627200000000000,10290.0,10730.0,10230.0,10720.0,641769,79148,89429
2019-05-27 00:00:00.000000000,1558886400000000000,10620.0,10935.0,10480.0,10560.0,888504,89429,77896
2019-05-28 00:00:00.000000000,1558972800000000000,10615.0,10690.0,10295.0,10405.0,1025710,77896,71374
2019-05-29 00:00:00.000000000,1559059200000000000,10450.0,10645.0,10395.0,10550.0,543892,71374,84220
2019-05-30 00:00:00.000000000,1559145600000000000,10575.0,10745.0,10370.0,10530.0,621616,84220,79580
2019-05-31 00:00:00.000000000,1559232000000000000,10520.0,10590.0,10340.0,10485.0,454048,79580,75739
2019-06-03 00:00:00.000000000,1559491200000000000,10440.0,10560.0,10000.0,10095.0,526314,75739,70346
2019-06-04 00:00:00.000000000,1559577600000000000,10145.0,10190.0,9955.0,10150.0,390368,70346,69129
2019-06-05 00:00:00.000000000,1559664000000000000,10190.0,10210.0,10015.0,10100.0,284690,69129,68235
2019-06-06 00:00:00.000000000,1559750400000000000,10025.0,10030.0,9625.0,9750.0,437535,68235,59805
2019-06-10 00:00:00.000000000,1560096000000000000,9705.0,9890.0,9605.0,9815.0,285546,59805,64344
2019-06-11 00:00:00.000000000,1560182400000000000,9840.0,9995.0,9810.0,9960.0,268211,64344,62568
