datetime,datetime_nano,KQ.m@CZCE.CY.open,KQ.m@CZCE.CY.high,KQ.m@CZCE.CY.low,KQ.m@CZCE.CY.close,KQ.m@CZCE.CY.volume,KQ.m@CZCE.CY.open_oi,KQ.m@CZCE.CY.close_oi
2017-08-21 00:00:00.000000000,1503244800000000000,23010.0,23080.0,22910.0,22985.0,12544,0,4238
2017-08-22 00:00:00.000000000,1503331200000000000,23030.0,23095.0,22985.0,23080.0,6891,4238,3758
2017-08-23 00:00:00.000000000,1503417600000000000,23045.0,23155.0,23045.0,23070.0,4539,3758,3479
2017-08-24 00:00:00.000000000,1503504000000000000,23065.0,23120.0,23010.0,23050.0,2255,3479,3210
2017-08-25 00:00:00.000000000,1503590400000000000,23080.0,23095.0,23030.0,23050.0,1506,3210,2915
2017-08-28 00:00:00.000000000,1503849600000000000,23000.0,23100.0,23000.0,23075.0,1957,2915,2842
2017-08-29 00:00:00.000000000,1503936000000000000,23075.0,23135.0,23035.0,23050.0,1286,2842,2676
2017-08-30 00:00:00.000000000,1504022400000000000,23075.0,23085.0,23005.0,23020.0,921,2676,2657
2017-08-31 00:00:00.000000000,1504108800000000000,23055.0,23080.0,23020.0,23025.0,892,2657,2454
2017-09-01 00:00:00.000000000,1504195200000000000,23040.0,23095.0,23020.0,23030.0,1093,2454,2396
2017-09-04 00:00:00.000000000,1504454400000000000,23115.0,23650.0,23040.0,23400.0,7210,2396,3114
2017-09-05 00:00:00.000000000,1504540800000000000,23340.0,23575.0,23300.0,23495.0,2997,3114,2983
2017-09-06 00:00:00.000000000,1504627200000000000,23405.0,23585.0,23330.0,23345.0,3039,2983,2881
2017-09-07 00:00:00.000000000,1504713600000000000,23375.0,23410.0,23215.0,23295.0,2037,2881,2635
2017-09-08 00:00:00.000000000,1504800000000000000,23110.0,23340.0,23020.0,23080.0,2762,2635,2190
2017-09-11 00:00:00.000000000,1505059200000000000,23270.0,24075.0,22530.0,23210.0,7947,2190,2012
2017-09-12 00:00:00.000000000,1505145600000000000,23235.0,23290.0,23130.0,23225.0,1089,2012,1938
2017-09-13 00:00:00.000000000,1505232000000000000,23240.0,23285.0,23050.0,23155.0,1509,1938,1790
2017-09-14 00:00:00.000000000,1505318400000000000,23165.0,23210.0,23080.0,23085.0,716,1790,1741
2017-09-15 00:00:00.000000000,1505404800000000000,23095.0,23120.0,23020.0,23050.0,749,1741,1695
2017-09-18 00:00:00.000000000,1505664000000000000,22970.0,23095.0,22880.0,23080.0,952,1695,1519
2017-09-19 00:00:00.000000000,1505750400000000000,23110.0,23200.0,23035.0,23095.0,981,1519,1337
2017-09-20 00:00:00.000000000,1505836800000000000,23095.0,23390.0,23070.0,23385.0,1671,1337,1167
2017-09-21 00:00:00.000000000,1505923200000000000,23330.0,23390.0,23210.0,23210.0,713,1167,1017
2017-09-22 00:00:00.000000000,1506009600000000000,23195.0,23280.0,23125.0,23155.0,940,1017,976
2017-09-25 00:00:00.000000000,1506268800000000000,23215.0,23245.0,23135.0,23235.0,487,976,940
2017-09-26 00:00:00.000000000,1506355200000000000,23285.0,23370.0,23205.0,23320.0,754,940,976
2017-09-27 00:00:00.000000000,1506441600000000000,23230.0,23310.0,23085.0,23105.0,889,976,955
2017-09-28 00:00:00.000000000,1506528000000000000,23095.0,23145.0,22860.0,22900.0,964,955,1040
2017-09-29 00:00:00.000000000,1506614400000000000,22960.0,23010.0,22845.0,22920.0,536,1040,924
2017-10-09 00:00:00.000000000,1507478400000000000,23055.0,23055.0,22860.0,22960.0,291,924,910
2017-10-10 00:00:00.000000000,1507564800000000000,22940.0,22995.0,22920.0,22935.0,329,910,898
2017-10-11 00:00:00.000000000,1507651200000000000,22960.0,23000.0,22900.0,22910.0,302,898,866
2017-10-12 00:00:00.000000000,1507737600000000000,22940.0,22965.0,22860.0,22925.0,552,866,868
2017-10-13 00:00:00.000000000,1507824000000000000,22925.0,23010.0,22910.0,22940.0,413,868,825
2017-10-16 00:00:00.000000000,1508083200000000000,22985.0,23110.0,22925.0,23060.0,490,825,798
2017-10-17 00:00:00.000000000,1508169600000000000,22995.0,23070.0,22990.0,23000.0,202,798,770
2017-10-18 00:00:00.000000000,1508256000000000000,23000.0,23080.0,22990.0,23015.0,166,770,759
2017-10-19 00:00:00.000000000,1508342400000000000,22960.0,23035.0,22840.0,22945.0,266,759,782
2017-10-20 00:00:00.000000000,1508428800000000000,22870.0,22930.0,22805.0,22865.0,427,782,795
2017-10-23 00:00:00.000000000,1508688000000000000,22820.0,22920.0,22775.0,22870.0,327,795,798
2017-10-24 00:00:00.000000000,1508774400000000000,22915.0,22975.0,22895.0,22895.0,252,798,783
2017-10-25 00:00:00.000000000,1508860800000000000,22905.0,22950.0,22900.0,22950.0,127,783,754
2017-10-26 00:00:00.000000000,1508947200000000000,22910.0,22990.0,22900.0,22930.0,100,754,737
