datetime,datetime_nano,KQ.m@CZCE.OI.open,KQ.m@CZCE.OI.high,KQ.m@CZCE.OI.low,KQ.m@CZCE.OI.close,KQ.m@CZCE.OI.volume,KQ.m@CZCE.OI.open_oi,KQ.m@CZCE.OI.close_oi
2016-01-05 00:00:00.000000000,1451923200000000000,5646.0,5700.0,5638.0,5696.0,29065,0,88470
2016-01-06 00:00:00.000000000,1452009600000000000,5694.0,5694.0,5622.0,5632.0,31960,88470,86110
2016-01-07 00:00:00.000000000,1452096000000000000,5618.0,5666.0,5606.0,5624.0,30618,86110,85818
2016-01-08 00:00:00.000000000,1452182400000000000,5620.0,5656.0,5610.0,5622.0,26470,85818,86562
2016-01-11 00:00:00.000000000,1452441600000000000,5626.0,5626.0,5576.0,5584.0,51453,86562,87360
2016-01-12 00:00:00.000000000,1452528000000000000,5560.0,5596.0,5528.0,5534.0,43205,87360,84575
2016-01-13 00:00:00.000000000,1452614400000000000,5540.0,5560.0,5528.0,5540.0,26221,84575,84526
2016-01-14 00:00:00.000000000,1452700800000000000,5554.0,5568.0,5520.0,5540.0,36398,84526,85627
2016-01-15 00:00:00.000000000,1452787200000000000,5530.0,5560.0,5520.0,5538.0,25852,85627,85154
2016-01-18 00:00:00.000000000,1453046400000000000,5522.0,5584.0,5516.0,5568.0,38298,85154,83907
2016-01-19 00:00:00.000000000,1453132800000000000,5564.0,5602.0,5556.0,5582.0,29937,83907,87560
2016-01-20 00:00:00.000000000,1453219200000000000,5592.0,5608.0,5534.0,5548.0,34964,87560,89268
2016-01-21 00:00:00.000000000,1453305600000000000,5552.0,5568.0,5528.0,5532.0,56295,89268,80791
2016-01-22 00:00:00.000000000,1453392000000000000,5536.0,5576.0,5532.0,5572.0,34610,80791,80354
2016-01-25 00:00:00.000000000,1453651200000000000,5586.0,5598.0,5556.0,5574.0,23903,80354,80295
2016-01-26 00:00:00.000000000,1453737600000000000,5558.0,5596.0,5556.0,5580.0,25543,80295,80567
2016-01-27 00:00:00.000000000,1453824000000000000,5592.0,5594.0,5556.0,5584.0,28723,80567,83969
2016-01-28 00:00:00.000000000,1453910400000000000,5588.0,5594.0,5560.0,5568.0,22156,83969,84266
2016-01-29 00:00:00.000000000,1453996800000000000,5564.0,5584.0,5540.0,5546.0,37033,84266,78984
2016-02-01 00:00:00.000000000,1454256000000000000,5544.0,5572.0,5540.0,5546.0,23718,78984,74534
2016-02-02 00:00:00.000000000,1454342400000000000,5542.0,5580.0,5536.0,5578.0,23173,74534,74321
2016-02-03 00:00:00.000000000,1454428800000000000,5584.0,5588.0,5542.0,5552.0,23036,74321,73459
2016-02-04 00:00:00.000000000,1454515200000000000,5558.0,5580.0,5536.0,5570.0,24247,73459,68999
2016-02-05 00:00:00.000000000,1454601600000000000,5566.0,5586.0,5554.0,5576.0,20407,68999,66474
2016-02-15 00:00:00.000000000,1455465600000000000,5638.0,5680.0,5608.0,5642.0,35212,66474,64780
2016-02-16 00:00:00.000000000,1455552000000000000,5634.0,5650.0,5606.0,5626.0,34332,64780,68664
2016-02-17 00:00:00.000000000,1455638400000000000,5618.0,5624.0,5596.0,5612.0,19787,68664,67537
2016-02-18 00:00:00.000000000,1455724800000000000,5626.0,5648.0,5612.0,5622.0,19468,67537,68711
2016-02-19 00:00:00.000000000,1455811200000000000,5618.0,5620.0,5580.0,5588.0,39507,68711,73417
2016-02-22 00:00:00.000000000,1456070400000000000,5568.0,5600.0,5560.0,5592.0,35856,73417,74868
2016-02-23 00:00:00.000000000,1456156800000000000,5582.0,5592.0,5550.0,5560.0,26418,74868,72713
2016-02-24 00:00:00.000000000,1456243200000000000,5560.0,5576.0,5516.0,5526.0,33959,72713,71374
2016-02-25 00:00:00.000000000,1456329600000000000,5508.0,5538.0,5492.0,5514.0,18412,71374,71144
2016-02-26 00:00:00.000000000,1456416000000000000,5520.0,5520.0,5482.0,5494.0,34562,71144,74130
2016-02-29 00:00:00.000000000,1456675200000000000,5496.0,5510.0,5452.0,5492.0,28448,74130,73479
2016-03-01 00:00:00.000000000,1456761600000000000,5494.0,5500.0,5454.0,5484.0,24726,73479,74666
2016-03-02 00:00:00.000000000,1456848000000000000,5492.0,5518.0,5440.0,5458.0,41265,74666,75406
2016-03-03 00:00:00.000000000,1456934400000000000,5452.0,5480.0,5444.0,5468.0,29606,75406,71280
2016-03-04 00:00:00.000000000,1457020800000000000,5480.0,5510.0,5474.0,5494.0,36488,71280,66724
2016-03-07 00:00:00.000000000,1457280000000000000,5498.0,5604.0,5492.0,5558.0,50255,66724,60005
2016-03-08 00:00:00.000000000,1457366400000000000,5560.0,5576.0,5510.0,5540.0,47498,60005,54956
2016-03-09 00:00:00.000000000,1457452800000000000,5540.0,5556.0,5490.0,5546.0,26107,54956,49132
2016-03-10 00:00:00.000000000,1457539200000000000,5560.0,5576.0,5534.0,5538.0,23773,49132,46092
2016-03-11 00:00:00.000000000,1457625600000000000,5638.0,5794.0,5630.0,5760.0,62709,46092,76175
2016-03-14 00:00:00.000000000,1457884800000000000,5756.0,5826.0,5750.0,5770.0,57287,76175,73064
2016-03-15 00:00:00.000000000,1457971200000000000,5774.0,5790.0,5732.0,5750.0,52800,73064,71725
2016-03-16 00:00:00.000000000,1458057600000000000,5758.0,5796.0,5728.0,5750.0,41018,71725,72338
2016-03-17 00:00:00.000000000,1458144000000000000,5756.0,5868.0,5752.0,5856.0,57050,72338,78097
2016-03-18 00:00:00.000000000,1458230400000000000,5872.0,5930.0,5850.0,5896.0,56200,78097,80187
2016-03-21 00:00:00.000000000,1458489600000000000,5898.0,5974.0,5852.0,5938.0,54082,80187,83547
