datetime,datetime_nano,KQ.m@CZCE.PF.open,KQ.m@CZCE.PF.high,KQ.m@CZCE.PF.low,KQ.m@CZCE.PF.close,KQ.m@CZCE.PF.volume,KQ.m@CZCE.PF.open_oi,KQ.m@CZCE.PF.close_oi
2020-10-12 00:00:00.000000000,1602432000000000000,5780.0,5832.0,5750.0,5832.0,51327,0,19362
2020-10-13 00:00:00.000000000,1602518400000000000,5944.0,6042.0,5900.0,6042.0,538024,19362,77665
2020-10-14 00:00:00.000000000,1602604800000000000,6054.0,6138.0,5992.0,6104.0,309822,77665,89404
2020-10-15 00:00:00.000000000,1602691200000000000,6124.0,6270.0,6112.0,6266.0,559919,89404,167776
2020-10-16 00:00:00.000000000,1602777600000000000,6226.0,6454.0,6224.0,6454.0,1300979,167776,251716
2020-10-19 00:00:00.000000000,1603036800000000000,6466.0,6596.0,6432.0,6596.0,1458246,251716,316768
2020-10-20 00:00:00.000000000,1603123200000000000,6604.0,6618.0,6482.0,6564.0,1388290,316768,306556
2020-10-21 00:00:00.000000000,1603209600000000000,6540.0,6586.0,6488.0,6500.0,794840,306556,288029
2020-10-22 00:00:00.000000000,1603296000000000000,6526.0,6546.0,6274.0,6274.0,1221706,288029,224512
2020-10-23 00:00:00.000000000,1603382400000000000,6260.0,6314.0,6214.0,6238.0,646077,224512,174759
2020-10-26 00:00:00.000000000,1603641600000000000,6240.0,6326.0,6228.0,6254.0,479646,174759,172231
2020-10-27 00:00:00.000000000,1603728000000000000,6226.0,6286.0,6136.0,6144.0,453060,172231,170317
2020-10-28 00:00:00.000000000,1603814400000000000,6148.0,6206.0,6126.0,6178.0,356361,170317,163360
2020-10-29 00:00:00.000000000,1603900800000000000,6130.0,6176.0,6052.0,6058.0,315482,163360,152349
2020-10-30 00:00:00.000000000,1603987200000000000,6010.0,6102.0,5990.0,6016.0,237954,152349,138240
2020-11-02 00:00:00.000000000,1604246400000000000,6010.0,6172.0,6008.0,6094.0,380653,138240,142514
2020-11-03 00:00:00.000000000,1604332800000000000,6116.0,6162.0,6074.0,6076.0,195213,142514,145515
2020-11-04 00:00:00.000000000,1604419200000000000,6108.0,6114.0,6026.0,6066.0,157732,145515,139596
2020-11-05 00:00:00.000000000,1604505600000000000,6082.0,6100.0,5966.0,5982.0,159705,139596,147914
2020-11-06 00:00:00.000000000,1604592000000000000,5990.0,6004.0,5854.0,5888.0,263988,147914,149173
2020-11-09 00:00:00.000000000,1604851200000000000,5886.0,5926.0,5858.0,5902.0,153150,149173,145719
2020-11-10 00:00:00.000000000,1604937600000000000,6034.0,6124.0,5944.0,6006.0,334924,145719,137063
2020-11-11 00:00:00.000000000,1605024000000000000,6020.0,6112.0,6002.0,6066.0,217347,137063,140201
2020-11-12 00:00:00.000000000,1605110400000000000,6080.0,6136.0,6038.0,6048.0,194634,140201,148000
2020-11-13 00:00:00.000000000,1605196800000000000,6032.0,6070.0,5934.0,5956.0,168873,148000,145772
2020-11-16 00:00:00.000000000,1605456000000000000,5918.0,5990.0,5894.0,5964.0,175421,145772,145686
2020-11-17 00:00:00.000000000,1605542400000000000,5988.0,6032.0,5940.0,5968.0,158023,145686,147265
2020-11-18 00:00:00.000000000,1605628800000000000,5960.0,6024.0,5922.0,6000.0,149577,147265,147703
2020-11-19 00:00:00.000000000,1605715200000000000,6026.0,6032.0,5974.0,5994.0,105680,147703,146178
