datetime,datetime_nano,KQ.m@CZCE.SF.open,KQ.m@CZCE.SF.high,KQ.m@CZCE.SF.low,KQ.m@CZCE.SF.close,KQ.m@CZCE.SF.volume,KQ.m@CZCE.SF.open_oi,KQ.m@CZCE.SF.close_oi
2016-01-05 00:00:00.000000000,1451923200000000000,3666.0,3668.0,3580.0,3614.0,75,0,77
2016-01-06 00:00:00.000000000,1452009600000000000,3590.0,3648.0,3582.0,3616.0,44,77,90
2016-01-07 00:00:00.000000000,1452096000000000000,3638.0,3650.0,3624.0,3650.0,27,90,99
2016-01-08 00:00:00.000000000,1452182400000000000,3648.0,3784.0,3648.0,3782.0,216,99,127
2016-01-11 00:00:00.000000000,1452441600000000000,3830.0,3884.0,3714.0,3878.0,266,127,243
2016-01-12 00:00:00.000000000,1452528000000000000,3916.0,3978.0,3816.0,3850.0,247,243,256
2016-01-13 00:00:00.000000000,1452614400000000000,3848.0,3904.0,3826.0,3898.0,170,256,236
2016-01-14 00:00:00.000000000,1452700800000000000,3962.0,4020.0,3850.0,4020.0,552,236,334
2016-01-15 00:00:00.000000000,1452787200000000000,4138.0,4180.0,4020.0,4030.0,1397,334,376
2016-01-18 00:00:00.000000000,1453046400000000000,4050.0,4194.0,4022.0,4052.0,1006,376,401
2016-01-19 00:00:00.000000000,1453132800000000000,4052.0,4108.0,4050.0,4082.0,352,401,373
2016-01-20 00:00:00.000000000,1453219200000000000,4048.0,4054.0,3972.0,4010.0,775,373,371
2016-01-21 00:00:00.000000000,1453305600000000000,4024.0,4126.0,4024.0,4050.0,397,371,351
2016-01-22 00:00:00.000000000,1453392000000000000,4114.0,4148.0,4050.0,4080.0,409,351,329
2016-01-25 00:00:00.000000000,1453651200000000000,4108.0,4108.0,4040.0,4066.0,153,329,346
2016-01-26 00:00:00.000000000,1453737600000000000,4052.0,4120.0,4052.0,4102.0,168,346,294
2016-01-27 00:00:00.000000000,1453824000000000000,4102.0,4148.0,4102.0,4104.0,134,294,266
2016-01-28 00:00:00.000000000,1453910400000000000,4068.0,4178.0,4028.0,4064.0,174,266,280
2016-01-29 00:00:00.000000000,1453996800000000000,4076.0,4122.0,4048.0,4120.0,168,280,279
2016-02-01 00:00:00.000000000,1454256000000000000,4114.0,4126.0,4092.0,4124.0,133,279,258
2016-02-02 00:00:00.000000000,1454342400000000000,4134.0,4148.0,4098.0,4112.0,62,258,251
2016-02-03 00:00:00.000000000,1454428800000000000,4098.0,4134.0,4090.0,4126.0,52,251,231
2016-02-04 00:00:00.000000000,1454515200000000000,4196.0,4196.0,4130.0,4132.0,208,231,164
