datetime,datetime_nano,KQ.m@SHFE.al.open,KQ.m@SHFE.al.high,KQ.m@SHFE.al.low,KQ.m@SHFE.al.close,KQ.m@SHFE.al.volume,KQ.m@SHFE.al.open_oi,KQ.m@SHFE.al.close_oi
2016-01-05 00:00:00.000000000,1451923200000000000,10600.0,10780.0,10565.0,10770.0,131382,0,122724
2016-01-06 00:00:00.000000000,1452009600000000000,10725.0,10745.0,10640.0,10685.0,101762,122724,122254
2016-01-07 00:00:00.000000000,1452096000000000000,10655.0,10725.0,10610.0,10675.0,116908,122254,123626
2016-01-08 00:00:00.000000000,1452182400000000000,10655.0,10765.0,10590.0,10745.0,146565,123626,126549
2016-01-11 00:00:00.000000000,1452441600000000000,10750.0,10890.0,10740.0,10815.0,177193,126549,124876
2016-01-12 00:00:00.000000000,1452528000000000000,10805.0,10860.0,10565.0,10580.0,227815,124876,135246
2016-01-13 00:00:00.000000000,1452614400000000000,10610.0,10660.0,10500.0,10595.0,212818,135246,140124
2016-01-14 00:00:00.000000000,1452700800000000000,10580.0,10770.0,10555.0,10700.0,139782,140124,132286
2016-01-15 00:00:00.000000000,1452787200000000000,10705.0,10750.0,10645.0,10650.0,97169,132286,130622
2016-01-18 00:00:00.000000000,1453046400000000000,10625.0,10795.0,10625.0,10725.0,89521,130622,119634
2016-01-19 00:00:00.000000000,1453132800000000000,10725.0,10815.0,10700.0,10810.0,77186,119634,114727
2016-01-20 00:00:00.000000000,1453219200000000000,10805.0,10820.0,10650.0,10690.0,88090,114727,110892
2016-01-21 00:00:00.000000000,1453305600000000000,10680.0,10695.0,10615.0,10655.0,60650,110892,111895
2016-01-22 00:00:00.000000000,1453392000000000000,10670.0,10815.0,10650.0,10815.0,99410,111895,113708
2016-01-25 00:00:00.000000000,1453651200000000000,10930.0,10950.0,10680.0,10710.0,95939,113708,105828
2016-01-26 00:00:00.000000000,1453737600000000000,10710.0,10750.0,10685.0,10725.0,42230,105828,101554
2016-01-27 00:00:00.000000000,1453824000000000000,10755.0,10835.0,10720.0,10785.0,55916,101554,93987
2016-01-28 00:00:00.000000000,1453910400000000000,10785.0,10850.0,10735.0,10745.0,72700,93987,84990
2016-01-29 00:00:00.000000000,1453996800000000000,10730.0,10790.0,10690.0,10725.0,41798,84990,79501
2016-02-01 00:00:00.000000000,1454256000000000000,10735.0,10800.0,10565.0,10620.0,51427,79501,72542
2016-02-02 00:00:00.000000000,1454342400000000000,10650.0,10705.0,10620.0,10675.0,32414,72542,115148
2016-02-03 00:00:00.000000000,1454428800000000000,10690.0,10745.0,10635.0,10710.0,52992,115148,109827
2016-02-04 00:00:00.000000000,1454515200000000000,10720.0,10930.0,10705.0,10900.0,78619,109827,109516
2016-02-05 00:00:00.000000000,1454601600000000000,10890.0,10900.0,10785.0,10800.0,57283,109516,105668
2016-02-15 00:00:00.000000000,1455465600000000000,10750.0,10880.0,10715.0,10875.0,38100,105668,110886
2016-02-16 00:00:00.000000000,1455552000000000000,10870.0,11070.0,10830.0,11045.0,141116,110886,128898
2016-02-17 00:00:00.000000000,1455638400000000000,11045.0,11120.0,10930.0,10980.0,115475,128898,122791
2016-02-18 00:00:00.000000000,1455724800000000000,10995.0,11055.0,10945.0,10965.0,61406,122791,123868
2016-02-19 00:00:00.000000000,1455811200000000000,10960.0,11085.0,10925.0,11060.0,69963,123868,123643
2016-02-22 00:00:00.000000000,1456070400000000000,11080.0,11275.0,11055.0,11210.0,110466,123643,125104
2016-02-23 00:00:00.000000000,1456156800000000000,11230.0,11285.0,11155.0,11225.0,80613,125104,117708
2016-02-24 00:00:00.000000000,1456243200000000000,11195.0,11210.0,11085.0,11150.0,70308,117708,110613
2016-02-25 00:00:00.000000000,1456329600000000000,11145.0,11325.0,11130.0,11230.0,95375,110613,108641
2016-02-26 00:00:00.000000000,1456416000000000000,11285.0,11340.0,11170.0,11265.0,109215,108641,104832
2016-02-29 00:00:00.000000000,1456675200000000000,11290.0,11400.0,11255.0,11265.0,107489,104832,87207
2016-03-01 00:00:00.000000000,1456761600000000000,11325.0,11345.0,11020.0,11185.0,75565,87207,72895
2016-03-02 00:00:00.000000000,1456848000000000000,11260.0,11340.0,11155.0,11325.0,90632,72895,125864
2016-03-03 00:00:00.000000000,1456934400000000000,11315.0,11370.0,11280.0,11365.0,63249,125864,125351
2016-03-04 00:00:00.000000000,1457020800000000000,11365.0,11485.0,11330.0,11435.0,113909,125351,124520
2016-03-07 00:00:00.000000000,1457280000000000000,11415.0,11645.0,11365.0,11455.0,176900,124520,129422
2016-03-08 00:00:00.000000000,1457366400000000000,11480.0,11595.0,11410.0,11535.0,162074,129422,125714
2016-03-09 00:00:00.000000000,1457452800000000000,11545.0,11545.0,11055.0,11370.0,148222,125714,120922
2016-03-10 00:00:00.000000000,1457539200000000000,11360.0,11415.0,11265.0,11315.0,84166,120922,117849
2016-03-11 00:00:00.000000000,1457625600000000000,11280.0,11375.0,11245.0,11375.0,72752,117849,115499
2016-03-14 00:00:00.000000000,1457884800000000000,11330.0,11455.0,11320.0,11335.0,70964,115499,116254
2016-03-15 00:00:00.000000000,1457971200000000000,11300.0,11355.0,11270.0,11300.0,62920,116254,115731
2016-03-16 00:00:00.000000000,1458057600000000000,11220.0,11305.0,11200.0,11275.0,55125,115731,114974
2016-03-17 00:00:00.000000000,1458144000000000000,11245.0,11365.0,11230.0,11340.0,47258,114974,111535
2016-03-18 00:00:00.000000000,1458230400000000000,11320.0,11500.0,11320.0,11455.0,79348,111535,112049
2016-03-21 00:00:00.000000000,1458489600000000000,11435.0,11580.0,11400.0,11485.0,77360,112049,111760
2016-03-22 00:00:00.000000000,1458576000000000000,11505.0,11550.0,11470.0,11515.0,47468,111760,112207
2016-03-23 00:00:00.000000000,1458662400000000000,11485.0,11545.0,11460.0,11500.0,47504,112207,105223
2016-03-24 00:00:00.000000000,1458748800000000000,11500.0,11640.0,11465.0,11525.0,120910,105223,95497
2016-03-25 00:00:00.000000000,1458835200000000000,11520.0,11715.0,11510.0,11700.0,87038,95497,105957
2016-03-28 00:00:00.000000000,1459094400000000000,11710.0,11830.0,11680.0,11740.0,82425,105957,105820
2016-03-29 00:00:00.000000000,1459180800000000000,11755.0,11880.0,11700.0,11755.0,91563,105820,105502
2016-03-30 00:00:00.000000000,1459267200000000000,11765.0,11780.0,11690.0,11740.0,53733,105502,99795
2016-03-31 00:00:00.000000000,1459353600000000000,11705.0,11810.0,11700.0,11775.0,57649,99795,91421
2016-04-01 00:00:00.000000000,1459440000000000000,11790.0,11920.0,11770.0,11890.0,53225,91421,83575
2016-04-05 00:00:00.000000000,1459785600000000000,11925.0,11990.0,11855.0,11870.0,31075,83575,79894
2016-04-06 00:00:00.000000000,1459872000000000000,11820.0,11910.0,11750.0,11765.0,74681,79894,125757
2016-04-07 00:00:00.000000000,1459958400000000000,11765.0,11815.0,11745.0,11780.0,60559,125757,128392
2016-04-08 00:00:00.000000000,1460044800000000000,11725.0,11755.0,11520.0,11635.0,81489,128392,130223
2016-04-11 00:00:00.000000000,1460304000000000000,11675.0,11820.0,11665.0,11775.0,71956,130223,136154
2016-04-12 00:00:00.000000000,1460390400000000000,11765.0,11820.0,11750.0,11785.0,43962,136154,138693
2016-04-13 00:00:00.000000000,1460476800000000000,11830.0,12075.0,11825.0,11945.0,137057,138693,140692
2016-04-14 00:00:00.000000000,1460563200000000000,12035.0,12070.0,11915.0,11960.0,84252,140692,140701
2016-04-15 00:00:00.000000000,1460649600000000000,12000.0,12020.0,11925.0,11960.0,65785,140701,139236
2016-04-18 00:00:00.000000000,1460908800000000000,11945.0,12010.0,11830.0,11955.0,70065,139236,138151
2016-04-19 00:00:00.000000000,1460995200000000000,11995.0,12045.0,11955.0,12035.0,63433,138151,134081
2016-04-20 00:00:00.000000000,1461081600000000000,12070.0,12120.0,12025.0,12075.0,74952,134081,124680
2016-04-21 00:00:00.000000000,1461168000000000000,12130.0,12540.0,12115.0,12400.0,169709,124680,123744
2016-04-22 00:00:00.000000000,1461254400000000000,12450.0,12805.0,12260.0,12805.0,274278,123744,135877
2016-04-25 00:00:00.000000000,1461513600000000000,12875.0,13075.0,12700.0,12885.0,262803,135877,127847
2016-04-26 00:00:00.000000000,1461600000000000000,12860.0,12955.0,12740.0,12790.0,129038,127847,126325
2016-04-27 00:00:00.000000000,1461686400000000000,12800.0,12980.0,12765.0,12820.0,112639,126325,118074
2016-04-28 00:00:00.000000000,1461772800000000000,12835.0,12940.0,12445.0,12485.0,241161,118074,90901
2016-04-29 00:00:00.000000000,1461859200000000000,12565.0,12730.0,12480.0,12705.0,94233,90901,80852
2016-05-03 00:00:00.000000000,1462204800000000000,12690.0,12840.0,12665.0,12805.0,39749,80852,78752
2016-05-04 00:00:00.000000000,1462291200000000000,12710.0,12740.0,12455.0,12475.0,103964,78752,141848
2016-05-05 00:00:00.000000000,1462377600000000000,12495.0,12570.0,12400.0,12455.0,80663,141848,140114
2016-05-06 00:00:00.000000000,1462464000000000000,12475.0,12535.0,12200.0,12340.0,137449,140114,135023
2016-05-09 00:00:00.000000000,1462723200000000000,12335.0,12490.0,11980.0,12055.0,127014,135023,132231
2016-05-10 00:00:00.000000000,1462809600000000000,12075.0,12080.0,11770.0,11910.0,120236,132231,124615
2016-05-11 00:00:00.000000000,1462896000000000000,11900.0,12130.0,11875.0,12120.0,94837,124615,126263
2016-05-12 00:00:00.000000000,1462982400000000000,12140.0,12245.0,12050.0,12170.0,95027,126263,126779
2016-05-13 00:00:00.000000000,1463068800000000000,12090.0,12165.0,11855.0,12070.0,126172,126779,128240
2016-05-16 00:00:00.000000000,1463328000000000000,12045.0,12290.0,12015.0,12225.0,105856,128240,135264
2016-05-17 00:00:00.000000000,1463414400000000000,12210.0,12440.0,12195.0,12435.0,109877,135264,139410
2016-05-18 00:00:00.000000000,1463500800000000000,12365.0,12460.0,12260.0,12270.0,95653,139410,136745
2016-05-19 00:00:00.000000000,1463587200000000000,12270.0,12400.0,12220.0,12325.0,90902,136745,133206
2016-05-20 00:00:00.000000000,1463673600000000000,12275.0,12445.0,12265.0,12435.0,77144,133206,133417
2016-05-23 00:00:00.000000000,1463932800000000000,12520.0,12560.0,12225.0,12275.0,114564,133417,129381
2016-05-24 00:00:00.000000000,1464019200000000000,12285.0,12350.0,12135.0,12270.0,85879,129381,126791
2016-05-25 00:00:00.000000000,1464105600000000000,12345.0,12380.0,11995.0,12065.0,151405,126791,116796
2016-05-26 00:00:00.000000000,1464192000000000000,12080.0,12195.0,11900.0,12185.0,146126,116796,109086
2016-05-27 00:00:00.000000000,1464278400000000000,12200.0,12265.0,12005.0,12220.0,135578,109086,105586
2016-05-30 00:00:00.000000000,1464537600000000000,12205.0,12345.0,12170.0,12295.0,90220,105586,105388
2016-05-31 00:00:00.000000000,1464624000000000000,12305.0,12370.0,12225.0,12260.0,74320,105388,98667
2016-06-01 00:00:00.000000000,1464710400000000000,12295.0,12300.0,12065.0,12090.0,69433,98667,89983
2016-06-02 00:00:00.000000000,1464796800000000000,12105.0,12315.0,12060.0,12305.0,75254,89983,84431
2016-06-03 00:00:00.000000000,1464883200000000000,12090.0,12130.0,11850.0,11905.0,117002,84431,107489
2016-06-06 00:00:00.000000000,1465142400000000000,11980.0,12000.0,11720.0,11780.0,154560,107489,122852
2016-06-07 00:00:00.000000000,1465228800000000000,11815.0,11840.0,11610.0,11655.0,149349,122852,132720
2016-06-08 00:00:00.000000000,1465315200000000000,11640.0,11895.0,11590.0,11870.0,120703,132720,121117
2016-06-13 00:00:00.000000000,1465747200000000000,11860.0,11960.0,11740.0,11850.0,68020,121117,115378
2016-06-14 00:00:00.000000000,1465833600000000000,11900.0,12030.0,11780.0,11855.0,127592,115378,103485
2016-06-15 00:00:00.000000000,1465920000000000000,11830.0,11880.0,11765.0,11870.0,59258,103485,104165
2016-06-16 00:00:00.000000000,1466006400000000000,11940.0,11970.0,11875.0,11915.0,74209,104165,102877
2016-06-17 00:00:00.000000000,1466092800000000000,11865.0,11990.0,11830.0,11985.0,64496,102877,100766
2016-06-20 00:00:00.000000000,1466352000000000000,11970.0,12125.0,11910.0,12100.0,96232,100766,101719
2016-06-21 00:00:00.000000000,1466438400000000000,12120.0,12215.0,12095.0,12205.0,108869,101719,100745
2016-06-22 00:00:00.000000000,1466524800000000000,12180.0,12360.0,12165.0,12345.0,119059,100745,97596
2016-06-23 00:00:00.000000000,1466611200000000000,12355.0,12385.0,12250.0,12335.0,77410,97596,97996
2016-06-24 00:00:00.000000000,1466697600000000000,12340.0,12405.0,12140.0,12170.0,96167,97996,93387
2016-06-27 00:00:00.000000000,1466956800000000000,12135.0,12460.0,12130.0,12375.0,85143,93387,90858
2016-06-28 00:00:00.000000000,1467043200000000000,12315.0,12480.0,12305.0,12385.0,58056,90858,89794
2016-06-29 00:00:00.000000000,1467129600000000000,12460.0,12475.0,12340.0,12365.0,65606,89794,84517
2016-06-30 00:00:00.000000000,1467216000000000000,12375.0,12575.0,12320.0,12530.0,85166,84517,82362
