datetime,datetime_nano,KQ.m@INE.bc.open,KQ.m@INE.bc.high,KQ.m@INE.bc.low,KQ.m@INE.bc.close,KQ.m@INE.bc.volume,KQ.m@INE.bc.open_oi,KQ.m@INE.bc.close_oi
2020-11-19 00:00:00.000000000,1605715200000000000,47500.0,47600.0,45600.0,47090.0,7555,0,1556
2020-11-20 00:00:00.000000000,1605801600000000000,47170.0,47840.0,46880.0,47790.0,4705,1556,1651
2020-11-23 00:00:00.000000000,1606060800000000000,48000.0,48680.0,47960.0,48220.0,8386,1651,2312
2020-11-24 00:00:00.000000000,1606147200000000000,48220.0,48940.0,47820.0,48910.0,5692,2312,2445
2020-11-25 00:00:00.000000000,1606233600000000000,48950.0,49210.0,48610.0,48750.0,4635,2445,2314
2020-11-26 00:00:00.000000000,1606320000000000000,48600.0,49410.0,48500.0,49330.0,11076,2314,5028
2020-11-27 00:00:00.000000000,1606406400000000000,49150.0,50040.0,49090.0,49990.0,13868,5028,7110
2020-11-30 00:00:00.000000000,1606665600000000000,50000.0,51440.0,49930.0,51370.0,17011,7110,8596
2020-12-01 00:00:00.000000000,1606752000000000000,51500.0,51570.0,50410.0,50800.0,18733,8596,9501
2020-12-02 00:00:00.000000000,1606838400000000000,51040.0,51530.0,50680.0,50970.0,16539,9501,9925
2020-12-03 00:00:00.000000000,1606924800000000000,50620.0,51160.0,50340.0,50730.0,16404,9925,10367
2020-12-04 00:00:00.000000000,1607011200000000000,51000.0,51340.0,50540.0,51250.0,23877,10367,11316
2020-12-07 00:00:00.000000000,1607270400000000000,51120.0,51550.0,50850.0,50930.0,21534,11316,11313
2020-12-08 00:00:00.000000000,1607356800000000000,50790.0,51100.0,50660.0,50800.0,12908,11313,11311
2020-12-09 00:00:00.000000000,1607443200000000000,50670.0,51280.0,50510.0,51130.0,15641,11311,11099
2020-12-10 00:00:00.000000000,1607529600000000000,51130.0,51270.0,50500.0,51250.0,14764,11099,10936
2020-12-11 00:00:00.000000000,1607616000000000000,51280.0,52740.0,50900.0,51630.0,25834,10936,10992
2020-12-14 00:00:00.000000000,1607875200000000000,51350.0,51800.0,50970.0,51610.0,20221,10992,10459
2020-12-15 00:00:00.000000000,1607961600000000000,51610.0,51640.0,51110.0,51400.0,15381,10459,10491
2020-12-16 00:00:00.000000000,1608048000000000000,51530.0,51880.0,51250.0,51660.0,19269,10491,10458
2020-12-17 00:00:00.000000000,1608134400000000000,51790.0,52330.0,51590.0,52290.0,20557,10458,10398
2020-12-18 00:00:00.000000000,1608220800000000000,52370.0,53080.0,52200.0,52860.0,26301,10398,10572
2020-12-21 00:00:00.000000000,1608480000000000000,52810.0,53110.0,52330.0,52860.0,26596,10572,10291
2020-12-22 00:00:00.000000000,1608566400000000000,52270.0,52500.0,51510.0,51600.0,22496,10291,9957
2020-12-23 00:00:00.000000000,1608652800000000000,51550.0,51690.0,50870.0,51570.0,23936,9957,9927
2020-12-24 00:00:00.000000000,1608739200000000000,51570.0,52060.0,51570.0,51780.0,12885,9927,9988
2020-12-25 00:00:00.000000000,1608825600000000000,51750.0,52250.0,51460.0,52190.0,8564,9988,10392
2020-12-28 00:00:00.000000000,1609084800000000000,52190.0,52730.0,51940.0,52330.0,6378,10392,10507
2020-12-29 00:00:00.000000000,1609171200000000000,52430.0,52550.0,51710.0,51910.0,9283,10507,10596
2020-12-30 00:00:00.000000000,1609257600000000000,52030.0,52260.0,51740.0,52110.0,7803,10596,10320
2020-12-31 00:00:00.000000000,1609344000000000000,51820.0,51950.0,51330.0,51450.0,8723,10320,10556
2021-01-04 00:00:00.000000000,1609689600000000000,51380.0,51900.0,51350.0,51790.0,7207,10556,10707
2021-01-05 00:00:00.000000000,1609776000000000000,51960.0,52100.0,51330.0,51730.0,10822,10707,11197
2021-01-06 00:00:00.000000000,1609862400000000000,51720.0,52790.0,51690.0,52550.0,12268,11197,11041
2021-01-07 00:00:00.000000000,1609948800000000000,53060.0,53060.0,52290.0,52930.0,10550,11041,10879
2021-01-08 00:00:00.000000000,1610035200000000000,52670.0,54060.0,52580.0,53730.0,13380,10879,10695
2021-01-11 00:00:00.000000000,1610294400000000000,53450.0,53640.0,52100.0,52170.0,14983,10695,10330
2021-01-12 00:00:00.000000000,1610380800000000000,52220.0,52320.0,51520.0,52220.0,11680,10330,10077
2021-01-13 00:00:00.000000000,1610467200000000000,52410.0,52540.0,52070.0,52290.0,8582,10077,9898
2021-01-14 00:00:00.000000000,1610553600000000000,52200.0,52430.0,51990.0,52230.0,7473,9898,9865
2021-01-15 00:00:00.000000000,1610640000000000000,52440.0,53120.0,52160.0,52200.0,10806,9865,10134
2021-01-18 00:00:00.000000000,1610899200000000000,52290.0,52870.0,51850.0,52730.0,12208,10134,9940
2021-01-19 00:00:00.000000000,1610985600000000000,52570.0,52650.0,52190.0,52360.0,6356,9940,9893
2021-01-20 00:00:00.000000000,1611072000000000000,52500.0,52870.0,52190.0,52600.0,8990,9893,10059
2021-01-21 00:00:00.000000000,1611158400000000000,52430.0,52890.0,52230.0,52740.0,9218,10059,10171
2021-01-22 00:00:00.000000000,1611244800000000000,52770.0,52990.0,52150.0,52310.0,10436,10171,9738
2021-01-25 00:00:00.000000000,1611504000000000000,51880.0,52680.0,51720.0,52600.0,12234,9738,7792
2021-01-26 00:00:00.000000000,1611590400000000000,52380.0,52550.0,51960.0,52010.0,9438,7792,3916
2021-01-27 00:00:00.000000000,1611676800000000000,52260.0,52600.0,52090.0,52290.0,4249,3916,3196
2021-01-28 00:00:00.000000000,1611763200000000000,51800.0,52100.0,51190.0,51380.0,7999,3196,3320
2021-01-29 00:00:00.000000000,1611849600000000000,51260.0,52090.0,51130.0,51290.0,7927,3320,3307
2021-02-01 00:00:00.000000000,1612108800000000000,51500.0,51950.0,50980.0,51590.0,6320,3307,3269
2021-02-02 00:00:00.000000000,1612195200000000000,51310.0,51540.0,50970.0,51040.0,4263,3269,3158
2021-02-03 00:00:00.000000000,1612281600000000000,50740.0,51120.0,50610.0,50740.0,4198,3158,2887
2021-02-04 00:00:00.000000000,1612368000000000000,51140.0,51640.0,51010.0,51480.0,4429,2887,13383
2021-02-05 00:00:00.000000000,1612454400000000000,51410.0,51900.0,51240.0,51830.0,4466,13383,12964
2021-02-08 00:00:00.000000000,1612713600000000000,52110.0,52590.0,51770.0,52360.0,4771,12964,12813
2021-02-09 00:00:00.000000000,1612800000000000000,52450.0,53170.0,52390.0,53020.0,4420,12813,12316
2021-02-10 00:00:00.000000000,1612886400000000000,53110.0,54280.0,52960.0,54210.0,9295,12316,11287
2021-02-18 00:00:00.000000000,1613577600000000000,55100.0,56510.0,54940.0,56380.0,3791,11287,12029
2021-02-19 00:00:00.000000000,1613664000000000000,56500.0,57380.0,56100.0,57240.0,9582,12029,12213
2021-02-22 00:00:00.000000000,1613923200000000000,57360.0,59970.0,57320.0,59970.0,5772,12213,12158
2021-02-23 00:00:00.000000000,1614009600000000000,59710.0,61360.0,59370.0,60600.0,27135,12158,14593
2021-02-24 00:00:00.000000000,1614096000000000000,60190.0,61550.0,59420.0,60560.0,31309,14593,16151
2021-02-25 00:00:00.000000000,1614182400000000000,60860.0,63260.0,60650.0,62730.0,22637,16151,16740
2021-02-26 00:00:00.000000000,1614268800000000000,62700.0,62980.0,60720.0,60720.0,27921,16740,17202
2021-03-01 00:00:00.000000000,1614528000000000000,60000.0,60820.0,58180.0,60140.0,32700,17202,16572
2021-03-02 00:00:00.000000000,1614614400000000000,60020.0,60310.0,58610.0,59530.0,18098,16572,16164
2021-03-03 00:00:00.000000000,1614700800000000000,60400.0,61280.0,59990.0,60460.0,17006,16164,16749
2021-03-04 00:00:00.000000000,1614787200000000000,60460.0,60460.0,59230.0,59240.0,15486,16749,16989
2021-03-05 00:00:00.000000000,1614873600000000000,58040.0,59130.0,56520.0,58530.0,21835,16989,16665
2021-03-08 00:00:00.000000000,1615132800000000000,59200.0,59880.0,58390.0,58470.0,22476,16665,16522
2021-03-09 00:00:00.000000000,1615219200000000000,58740.0,59970.0,58460.0,58850.0,18360,16522,16484
2021-03-10 00:00:00.000000000,1615305600000000000,58690.0,58850.0,57780.0,58090.0,15169,16484,16631
2021-03-11 00:00:00.000000000,1615392000000000000,58560.0,60160.0,58080.0,59860.0,15995,16631,17092
2021-03-12 00:00:00.000000000,1615478400000000000,59850.0,59920.0,59150.0,59510.0,15557,17092,16874
2021-03-15 00:00:00.000000000,1615737600000000000,59570.0,60620.0,59430.0,60040.0,13237,16874,16678
2021-03-16 00:00:00.000000000,1615824000000000000,60150.0,60230.0,59370.0,59380.0,10293,16678,16320
2021-03-17 00:00:00.000000000,1615910400000000000,59100.0,59640.0,58810.0,59520.0,8108,16320,15803
2021-03-18 00:00:00.000000000,1615996800000000000,59520.0,60120.0,59230.0,59500.0,9422,15803,14531
2021-03-19 00:00:00.000000000,1616083200000000000,59600.0,59890.0,58290.0,58650.0,13029,14531,14115
2021-03-22 00:00:00.000000000,1616342400000000000,59250.0,59960.0,58820.0,59410.0,10963,14115,13593
2021-03-23 00:00:00.000000000,1616428800000000000,59640.0,60240.0,59020.0,59560.0,17234,13593,13307
2021-03-24 00:00:00.000000000,1616515200000000000,59350.0,59460.0,58480.0,59030.0,14116,13307,13175
2021-03-25 00:00:00.000000000,1616601600000000000,59230.0,59470.0,58090.0,58160.0,16007,13175,12826
2021-03-26 00:00:00.000000000,1616688000000000000,57740.0,58860.0,57570.0,58710.0,18019,12826,7813
2021-03-29 00:00:00.000000000,1616947200000000000,58810.0,59330.0,58590.0,58880.0,11288,7813,6770
2021-03-30 00:00:00.000000000,1617033600000000000,58990.0,59100.0,58420.0,58450.0,9067,6770,5834
