datetime,datetime_nano,KQ.m@SHFE.cu.open,KQ.m@SHFE.cu.high,KQ.m@SHFE.cu.low,KQ.m@SHFE.cu.close,KQ.m@SHFE.cu.volume,KQ.m@SHFE.cu.open_oi,KQ.m@SHFE.cu.close_oi
2016-01-05 00:00:00.000000000,1451923200000000000,36070.0,36630.0,35940.0,36590.0,116156,0,81417
2016-01-06 00:00:00.000000000,1452009600000000000,36430.0,36530.0,36140.0,36240.0,238414,81417,149937
2016-01-07 00:00:00.000000000,1452096000000000000,36110.0,36580.0,35910.0,36090.0,323461,149937,152619
2016-01-08 00:00:00.000000000,1452182400000000000,35870.0,36090.0,35230.0,35680.0,487225,152619,159232
2016-01-11 00:00:00.000000000,1452441600000000000,35610.0,35790.0,34760.0,34770.0,323928,159232,178250
2016-01-12 00:00:00.000000000,1452528000000000000,34870.0,35140.0,34610.0,34630.0,334353,178250,177331
2016-01-13 00:00:00.000000000,1452614400000000000,34720.0,35070.0,34660.0,34810.0,305519,177331,175948
2016-01-14 00:00:00.000000000,1452700800000000000,34790.0,35030.0,34350.0,34930.0,356571,175948,166871
2016-01-15 00:00:00.000000000,1452787200000000000,34850.0,35330.0,34730.0,34800.0,299028,166871,158785
2016-01-18 00:00:00.000000000,1453046400000000000,34470.0,35200.0,34450.0,34990.0,336073,158785,157701
2016-01-19 00:00:00.000000000,1453132800000000000,34980.0,35600.0,34840.0,35360.0,318295,157701,153804
2016-01-20 00:00:00.000000000,1453219200000000000,35370.0,35470.0,34970.0,35080.0,247703,153804,152755
2016-01-21 00:00:00.000000000,1453305600000000000,35020.0,35280.0,34810.0,34850.0,278322,152755,155259
2016-01-22 00:00:00.000000000,1453392000000000000,34970.0,35410.0,34910.0,35190.0,274900,155259,147326
2016-01-25 00:00:00.000000000,1453651200000000000,35350.0,35400.0,34920.0,35020.0,203229,147326,147028
2016-01-26 00:00:00.000000000,1453737600000000000,35020.0,35190.0,34840.0,35100.0,207297,147028,139393
2016-01-27 00:00:00.000000000,1453824000000000000,35420.0,35840.0,35280.0,35780.0,275952,139393,132525
2016-01-28 00:00:00.000000000,1453910400000000000,35670.0,35980.0,35570.0,35600.0,209309,132525,123620
2016-01-29 00:00:00.000000000,1453996800000000000,35620.0,35800.0,35470.0,35680.0,223688,123620,112387
2016-02-01 00:00:00.000000000,1454256000000000000,35630.0,35820.0,35350.0,35450.0,158092,112387,105823
2016-02-02 00:00:00.000000000,1454342400000000000,35520.0,35710.0,35380.0,35640.0,109686,105823,103424
2016-02-03 00:00:00.000000000,1454428800000000000,35750.0,35800.0,35380.0,35650.0,124794,103424,100022
2016-02-04 00:00:00.000000000,1454515200000000000,35660.0,36440.0,35640.0,36330.0,129829,100022,93512
2016-02-05 00:00:00.000000000,1454601600000000000,36260.0,36530.0,36120.0,36350.0,92216,93512,87249
2016-02-15 00:00:00.000000000,1455465600000000000,35610.0,35820.0,35530.0,35660.0,49089,87249,82598
