datetime,datetime_nano,KQ.m@DCE.eb.open,KQ.m@DCE.eb.high,KQ.m@DCE.eb.low,KQ.m@DCE.eb.close,KQ.m@DCE.eb.volume,KQ.m@DCE.eb.open_oi,KQ.m@DCE.eb.close_oi
2019-09-26 00:00:00.000000000,1569427200000000000,8100.0,8160.0,7983.0,8056.0,56848,0,8529
2019-09-27 00:00:00.000000000,1569513600000000000,8035.0,8068.0,7901.0,7940.0,19957,8529,7537
2019-09-30 00:00:00.000000000,1569772800000000000,7924.0,7999.0,7905.0,7976.0,6869,7537,6732
2019-10-08 00:00:00.000000000,1570464000000000000,7966.0,7998.0,7920.0,7968.0,2735,6732,7104
2019-10-09 00:00:00.000000000,1570550400000000000,7969.0,8018.0,7940.0,7952.0,6449,7104,7991
2019-10-10 00:00:00.000000000,1570636800000000000,7955.0,7968.0,7835.0,7843.0,22385,7991,10555
2019-10-11 00:00:00.000000000,1570723200000000000,7841.0,7880.0,7794.0,7826.0,14821,10555,11258
2019-10-14 00:00:00.000000000,1570982400000000000,7826.0,7850.0,7756.0,7770.0,14861,11258,14783
2019-10-15 00:00:00.000000000,1571068800000000000,7743.0,7760.0,7592.0,7649.0,31746,14783,20841
2019-10-16 00:00:00.000000000,1571155200000000000,7668.0,7676.0,7490.0,7526.0,36496,20841,24677
2019-10-17 00:00:00.000000000,1571241600000000000,7502.0,7518.0,7425.0,7478.0,38909,24677,28069
2019-10-18 00:00:00.000000000,1571328000000000000,7493.0,7574.0,7467.0,7546.0,41809,28069,26395
2019-10-21 00:00:00.000000000,1571587200000000000,7568.0,7585.0,7466.0,7494.0,25829,26395,25217
2019-10-22 00:00:00.000000000,1571673600000000000,7492.0,7509.0,7409.0,7469.0,22627,25217,26976
2019-10-23 00:00:00.000000000,1571760000000000000,7490.0,7515.0,7442.0,7447.0,17925,26976,28872
2019-10-24 00:00:00.000000000,1571846400000000000,7439.0,7544.0,7400.0,7509.0,34443,28872,29101
2019-10-25 00:00:00.000000000,1571932800000000000,7522.0,7530.0,7455.0,7456.0,15032,29101,28690
2019-10-28 00:00:00.000000000,1572192000000000000,7459.0,7502.0,7411.0,7430.0,21911,28690,31211
2019-10-29 00:00:00.000000000,1572278400000000000,7436.0,7456.0,7370.0,7383.0,24403,31211,34259
2019-10-30 00:00:00.000000000,1572364800000000000,7364.0,7399.0,7325.0,7336.0,39191,34259,42733
2019-10-31 00:00:00.000000000,1572451200000000000,7326.0,7354.0,7316.0,7325.0,23373,42733,45431
2019-11-01 00:00:00.000000000,1572537600000000000,7313.0,7350.0,7244.0,7248.0,45316,45431,50404
2019-11-04 00:00:00.000000000,1572796800000000000,7259.0,7321.0,7250.0,7312.0,31344,50404,52330
2019-11-05 00:00:00.000000000,1572883200000000000,7334.0,7372.0,7305.0,7331.0,36829,52330,49901
2019-11-06 00:00:00.000000000,1572969600000000000,7358.0,7362.0,7324.0,7330.0,20157,49901,51990
2019-11-07 00:00:00.000000000,1573056000000000000,7316.0,7336.0,7228.0,7258.0,34694,51990,57589
2019-11-08 00:00:00.000000000,1573142400000000000,7282.0,7294.0,7070.0,7087.0,72468,57589,70810
2019-11-11 00:00:00.000000000,1573401600000000000,7080.0,7097.0,6953.0,6963.0,79671,70810,73480
2019-11-12 00:00:00.000000000,1573488000000000000,6968.0,6982.0,6905.0,6951.0,70022,73480,76953
2019-11-13 00:00:00.000000000,1573574400000000000,6953.0,7068.0,6941.0,6964.0,108179,76953,74240
2019-11-14 00:00:00.000000000,1573660800000000000,6966.0,6982.0,6872.0,6940.0,75767,74240,75501
2019-11-15 00:00:00.000000000,1573747200000000000,6953.0,6992.0,6925.0,6949.0,63737,75501,73066
2019-11-18 00:00:00.000000000,1574006400000000000,6949.0,7019.0,6935.0,7004.0,62110,73066,71899
2019-11-19 00:00:00.000000000,1574092800000000000,7010.0,7020.0,6911.0,6954.0,60997,71899,73397
2019-11-20 00:00:00.000000000,1574179200000000000,6946.0,6950.0,6888.0,6930.0,57893,73397,78426
2019-11-21 00:00:00.000000000,1574265600000000000,6935.0,6992.0,6912.0,6974.0,60115,78426,83937
2019-11-22 00:00:00.000000000,1574352000000000000,6999.0,7046.0,6962.0,6986.0,70501,83937,86825
2019-11-25 00:00:00.000000000,1574611200000000000,6999.0,7087.0,6986.0,7086.0,68432,86825,88425
2019-11-26 00:00:00.000000000,1574697600000000000,7076.0,7156.0,7036.0,7150.0,98041,88425,88873
2019-11-27 00:00:00.000000000,1574784000000000000,7150.0,7235.0,7126.0,7141.0,136583,88873,94493
2019-11-28 00:00:00.000000000,1574870400000000000,7163.0,7194.0,7106.0,7152.0,80932,94493,94955
2019-11-29 00:00:00.000000000,1574956800000000000,7157.0,7164.0,7070.0,7125.0,67557,94955,94743
2019-12-02 00:00:00.000000000,1575216000000000000,7117.0,7144.0,7010.0,7056.0,76895,94743,96642
2019-12-03 00:00:00.000000000,1575302400000000000,7069.0,7191.0,7053.0,7167.0,95783,96642,91618
2019-12-04 00:00:00.000000000,1575388800000000000,7174.0,7264.0,7156.0,7176.0,108851,91618,92594
2019-12-05 00:00:00.000000000,1575475200000000000,7214.0,7324.0,7200.0,7302.0,110273,92594,90325
2019-12-06 00:00:00.000000000,1575561600000000000,7324.0,7343.0,7281.0,7327.0,64156,90325,90307
2019-12-09 00:00:00.000000000,1575820800000000000,7334.0,7494.0,7268.0,7276.0,150994,90307,76707
2019-12-10 00:00:00.000000000,1575907200000000000,7274.0,7381.0,7266.0,7376.0,125292,76707,75723
2019-12-11 00:00:00.000000000,1575993600000000000,7383.0,7443.0,7246.0,7268.0,150463,75723,80099
2019-12-12 00:00:00.000000000,1576080000000000000,7266.0,7331.0,7220.0,7326.0,94930,80099,82904
2019-12-13 00:00:00.000000000,1576166400000000000,7352.0,7388.0,7261.0,7323.0,108602,82904,81063
2019-12-16 00:00:00.000000000,1576425600000000000,7340.0,7383.0,7302.0,7346.0,92212,81063,79329
2019-12-17 00:00:00.000000000,1576512000000000000,7349.0,7447.0,7330.0,7430.0,85903,79329,79305
2019-12-18 00:00:00.000000000,1576598400000000000,7455.0,7480.0,7343.0,7364.0,82428,79305,75418
2019-12-19 00:00:00.000000000,1576684800000000000,7376.0,7442.0,7344.0,7434.0,70712,75418,79264
2019-12-20 00:00:00.000000000,1576771200000000000,7428.0,7466.0,7394.0,7404.0,69838,79264,78939
2019-12-23 00:00:00.000000000,1577030400000000000,7412.0,7424.0,7315.0,7350.0,84927,78939,79716
2019-12-24 00:00:00.000000000,1577116800000000000,7359.0,7380.0,7323.0,7359.0,51566,79716,79079
2019-12-25 00:00:00.000000000,1577203200000000000,7364.0,7392.0,7346.0,7351.0,45637,79079,78574
2019-12-26 00:00:00.000000000,1577289600000000000,7347.0,7375.0,7320.0,7366.0,39018,78574,79828
2019-12-27 00:00:00.000000000,1577376000000000000,7372.0,7419.0,7352.0,7408.0,66642,79828,77457
2019-12-30 00:00:00.000000000,1577635200000000000,7415.0,7426.0,7373.0,7375.0,62676,77457,74565
2019-12-31 00:00:00.000000000,1577721600000000000,7385.0,7397.0,7237.0,7276.0,105398,74565,80802
2020-01-02 00:00:00.000000000,1577894400000000000,7278.0,7336.0,7261.0,7291.0,38527,80802,81424
2020-01-03 00:00:00.000000000,1577980800000000000,7296.0,7345.0,7271.0,7321.0,49829,81424,79582
2020-01-06 00:00:00.000000000,1578240000000000000,7331.0,7410.0,7316.0,7387.0,59768,79582,75131
2020-01-07 00:00:00.000000000,1578326400000000000,7368.0,7390.0,7281.0,7318.0,51068,75131,75409
2020-01-08 00:00:00.000000000,1578412800000000000,7321.0,7438.0,7303.0,7374.0,72616,75409,68952
2020-01-09 00:00:00.000000000,1578499200000000000,7325.0,7385.0,7266.0,7305.0,58620,68952,67645
2020-01-10 00:00:00.000000000,1578585600000000000,7308.0,7428.0,7259.0,7428.0,72901,67645,68950
2020-01-13 00:00:00.000000000,1578844800000000000,7441.0,7566.0,7422.0,7541.0,156246,68950,81191
2020-01-14 00:00:00.000000000,1578931200000000000,7532.0,7587.0,7478.0,7541.0,89977,81191,84049
2020-01-15 00:00:00.000000000,1579017600000000000,7565.0,7576.0,7480.0,7531.0,84802,84049,85644
2020-01-16 00:00:00.000000000,1579104000000000000,7550.0,7550.0,7389.0,7467.0,85693,85644,75426
2020-01-17 00:00:00.000000000,1579190400000000000,7464.0,7498.0,7440.0,7459.0,50251,75426,75284
2020-01-20 00:00:00.000000000,1579449600000000000,7478.0,7530.0,7456.0,7515.0,59879,75284,75192
2020-01-21 00:00:00.000000000,1579536000000000000,7521.0,7538.0,7421.0,7434.0,52832,75192,68443
2020-01-22 00:00:00.000000000,1579622400000000000,7409.0,7438.0,7310.0,7394.0,57500,68443,59901
2020-01-23 00:00:00.000000000,1579708800000000000,7401.0,7410.0,7266.0,7282.0,31343,59901,58260
2020-02-03 00:00:00.000000000,1580659200000000000,6890.0,6930.0,6890.0,6890.0,23458,58260,52889
2020-02-04 00:00:00.000000000,1580745600000000000,6650.0,6876.0,6497.0,6865.0,52335,52889,50829
2020-02-05 00:00:00.000000000,1580832000000000000,6850.0,7013.0,6810.0,6945.0,54850,50829,53123
2020-02-06 00:00:00.000000000,1580918400000000000,6935.0,7022.0,6925.0,6991.0,33204,53123,54077
2020-02-07 00:00:00.000000000,1581004800000000000,6955.0,6985.0,6943.0,6971.0,21261,54077,54337
2020-02-10 00:00:00.000000000,1581264000000000000,6930.0,6989.0,6923.0,6966.0,18906,54337,56366
2020-02-11 00:00:00.000000000,1581350400000000000,6953.0,6980.0,6913.0,6938.0,31114,56366,58774
