datetime,datetime_nano,KQ.m@DCE.i.open,KQ.m@DCE.i.high,KQ.m@DCE.i.low,KQ.m@DCE.i.close,KQ.m@DCE.i.volume,KQ.m@DCE.i.open_oi,KQ.m@DCE.i.close_oi
2016-01-05 00:00:00.000000000,1451923200000000000,321.0,326.0,319.0,324.5,1297626,0,784180
2016-01-06 00:00:00.000000000,1452009600000000000,324.5,325.5,316.0,318.5,1448350,784180,769880
2016-01-07 00:00:00.000000000,1452096000000000000,317.0,323.0,317.0,320.0,1154623,769880,779423
2016-01-08 00:00:00.000000000,1452182400000000000,319.0,319.0,310.5,311.5,1348035,779423,738146
2016-01-11 00:00:00.000000000,1452441600000000000,311.0,312.5,305.0,305.5,1079008,738146,724108
2016-01-12 00:00:00.000000000,1452528000000000000,305.5,307.0,299.5,300.5,938505,724108,727475
2016-01-13 00:00:00.000000000,1452614400000000000,301.0,306.0,298.5,300.5,943473,727475,753993
2016-01-14 00:00:00.000000000,1452700800000000000,301.5,305.0,298.0,305.0,1173974,753993,781558
2016-01-15 00:00:00.000000000,1452787200000000000,305.5,311.0,304.0,306.5,1450639,781558,806149
2016-01-18 00:00:00.000000000,1453046400000000000,306.0,321.5,303.5,319.0,2036426,806149,779123
2016-01-19 00:00:00.000000000,1453132800000000000,319.0,323.5,317.0,322.0,1110549,779123,802948
2016-01-20 00:00:00.000000000,1453219200000000000,322.0,322.5,313.5,314.0,1034829,802948,712840
2016-01-21 00:00:00.000000000,1453305600000000000,313.0,316.5,311.0,314.0,1195249,712840,712799
2016-01-22 00:00:00.000000000,1453392000000000000,313.5,324.0,312.5,315.5,1907800,712799,754860
2016-01-25 00:00:00.000000000,1453651200000000000,316.5,319.5,312.5,313.5,1290168,754860,741719
2016-01-26 00:00:00.000000000,1453737600000000000,312.5,319.0,310.0,318.0,1240788,741719,762166
2016-01-27 00:00:00.000000000,1453824000000000000,319.5,326.0,318.0,324.5,1667102,762166,824701
2016-01-28 00:00:00.000000000,1453910400000000000,324.0,326.5,318.0,318.5,1695065,824701,805128
2016-01-29 00:00:00.000000000,1453996800000000000,319.0,322.5,318.0,321.0,1197166,805128,821663
2016-02-01 00:00:00.000000000,1454256000000000000,321.5,330.0,321.5,324.5,1735814,821663,832608
2016-02-02 00:00:00.000000000,1454342400000000000,325.0,328.0,323.0,325.5,1373454,832608,796132
2016-02-03 00:00:00.000000000,1454428800000000000,327.0,331.0,324.5,329.0,1103591,796132,809137
2016-02-04 00:00:00.000000000,1454515200000000000,329.0,341.0,329.0,340.5,1727762,809137,783300
2016-02-05 00:00:00.000000000,1454601600000000000,340.5,341.0,332.5,335.5,881234,783300,667648
2016-02-15 00:00:00.000000000,1455465600000000000,330.0,342.0,330.0,339.5,736434,667648,712143
2016-02-16 00:00:00.000000000,1455552000000000000,340.5,341.5,337.0,339.0,782840,712143,776110
2016-02-17 00:00:00.000000000,1455638400000000000,339.5,343.5,338.0,339.0,1176910,776110,795964
2016-02-18 00:00:00.000000000,1455724800000000000,339.5,344.5,337.0,344.0,1124312,795964,853217
2016-02-19 00:00:00.000000000,1455811200000000000,345.0,355.0,343.5,353.0,1660170,853217,866313
2016-02-22 00:00:00.000000000,1456070400000000000,352.5,365.5,351.5,365.5,1261256,866313,864985
2016-02-23 00:00:00.000000000,1456156800000000000,371.0,379.0,364.5,368.0,2293027,864985,751128
2016-02-24 00:00:00.000000000,1456243200000000000,367.5,374.0,366.5,372.5,2232658,751128,816945
2016-02-25 00:00:00.000000000,1456329600000000000,371.5,376.0,366.5,369.5,2116663,816945,821623
2016-02-26 00:00:00.000000000,1456416000000000000,369.0,370.5,360.0,364.0,1998127,821623,817363
2016-02-29 00:00:00.000000000,1456675200000000000,364.5,369.5,360.5,369.5,2139338,817363,814943
2016-03-01 00:00:00.000000000,1456761600000000000,371.0,382.0,367.0,377.5,2964666,814943,718247
2016-03-02 00:00:00.000000000,1456848000000000000,378.0,387.0,377.5,385.5,2474717,718247,691459
2016-03-03 00:00:00.000000000,1456934400000000000,387.0,390.5,380.5,383.5,1944581,691459,700432
2016-03-04 00:00:00.000000000,1457020800000000000,383.5,397.0,379.5,396.5,2991933,700432,722417
2016-03-07 00:00:00.000000000,1457280000000000000,397.0,407.0,395.0,407.0,1084459,722417,709728
2016-03-08 00:00:00.000000000,1457366400000000000,423.0,423.0,417.0,423.0,1026332,709728,670769
2016-03-09 00:00:00.000000000,1457452800000000000,430.0,437.0,407.5,424.0,3763366,670769,523507
2016-03-10 00:00:00.000000000,1457539200000000000,427.5,445.5,425.0,439.0,3709767,523507,587014
2016-03-11 00:00:00.000000000,1457625600000000000,433.5,440.5,423.0,427.0,2539179,587014,573667
