datetime,datetime_nano,KQ.m@DCE.lh.open,KQ.m@DCE.lh.high,KQ.m@DCE.lh.low,KQ.m@DCE.lh.close,KQ.m@DCE.lh.volume,KQ.m@DCE.lh.open_oi,KQ.m@DCE.lh.close_oi
2021-01-08 00:00:00.000000000,1610035200000000000,29050.0,30680.0,26385.0,26810.0,91056,0,14984
2021-01-11 00:00:00.000000000,1610294400000000000,26260.0,26720.0,26030.0,26030.0,23026,14984,17600
2021-01-12 00:00:00.000000000,1610380800000000000,25745.0,26210.0,25205.0,25560.0,39402,17600,17194
2021-01-13 00:00:00.000000000,1610467200000000000,25865.0,26350.0,25715.0,25870.0,16470,17194,17050
2021-01-14 00:00:00.000000000,1610553600000000000,25855.0,26155.0,24860.0,24890.0,24216,17050,18719
2021-01-15 00:00:00.000000000,1610640000000000000,25155.0,25155.0,24460.0,24725.0,20257,18719,18594
2021-01-18 00:00:00.000000000,1610899200000000000,24845.0,25780.0,24805.0,25140.0,19855,18594,18535
2021-01-19 00:00:00.000000000,1610985600000000000,25185.0,25390.0,24880.0,25025.0,8816,18535,17800
2021-01-20 00:00:00.000000000,1611072000000000000,24980.0,25090.0,24500.0,24910.0,7832,17800,17573
2021-01-21 00:00:00.000000000,1611158400000000000,24945.0,25185.0,24800.0,24870.0,6694,17573,17278
2021-01-22 00:00:00.000000000,1611244800000000000,24855.0,25045.0,24530.0,24565.0,8147,17278,17412
2021-01-25 00:00:00.000000000,1611504000000000000,24550.0,25300.0,24510.0,24930.0,10872,17412,16900
2021-01-26 00:00:00.000000000,1611590400000000000,25100.0,25770.0,24925.0,25555.0,17784,16900,17980
2021-01-27 00:00:00.000000000,1611676800000000000,25610.0,25645.0,25200.0,25275.0,8352,17980,17942
2021-01-28 00:00:00.000000000,1611763200000000000,25155.0,25535.0,25020.0,25190.0,8710,17942,17581
2021-01-29 00:00:00.000000000,1611849600000000000,25295.0,25620.0,25280.0,25570.0,8596,17581,17760
2021-02-01 00:00:00.000000000,1612108800000000000,25630.0,25970.0,25420.0,25685.0,6161,17760,18539
2021-02-02 00:00:00.000000000,1612195200000000000,25700.0,26040.0,25300.0,25380.0,11849,18539,18831
2021-02-03 00:00:00.000000000,1612281600000000000,25355.0,25555.0,25210.0,25315.0,7046,18831,18399
2021-02-04 00:00:00.000000000,1612368000000000000,25395.0,25485.0,25250.0,25445.0,4078,18399,18364
2021-02-05 00:00:00.000000000,1612454400000000000,25530.0,26175.0,25500.0,26170.0,8802,18364,19213
2021-02-08 00:00:00.000000000,1612713600000000000,26280.0,27400.0,26225.0,26900.0,13460,19213,19705
2021-02-09 00:00:00.000000000,1612800000000000000,26900.0,27110.0,26400.0,26845.0,6343,19705,19375
2021-02-10 00:00:00.000000000,1612886400000000000,26845.0,26870.0,26500.0,26705.0,4436,19375,19412
2021-02-18 00:00:00.000000000,1613577600000000000,27000.0,27100.0,26525.0,27000.0,5803,19412,20245
2021-02-19 00:00:00.000000000,1613664000000000000,27095.0,28390.0,27055.0,28330.0,16334,20245,21176
2021-02-22 00:00:00.000000000,1613923200000000000,28380.0,29430.0,28115.0,29380.0,15830,21176,18856
2021-02-23 00:00:00.000000000,1614009600000000000,29330.0,29380.0,28050.0,28980.0,16187,18856,16552
2021-02-24 00:00:00.000000000,1614096000000000000,29600.0,29805.0,28600.0,28900.0,10008,16552,15697
2021-02-25 00:00:00.000000000,1614182400000000000,29000.0,29140.0,28630.0,28915.0,7317,15697,14880
