datetime,datetime_nano,KQ.m@SHFE.ni.open,KQ.m@SHFE.ni.high,KQ.m@SHFE.ni.low,KQ.m@SHFE.ni.close,KQ.m@SHFE.ni.volume,KQ.m@SHFE.ni.open_oi,KQ.m@SHFE.ni.close_oi
2016-01-05 00:00:00.000000000,1451923200000000000,69220.0,69610.0,68500.0,69510.0,382905,0,212271
2016-01-06 00:00:00.000000000,1452009600000000000,69370.0,69750.0,68360.0,68820.0,386929,212271,218713
2016-01-07 00:00:00.000000000,1452096000000000000,68800.0,69410.0,67340.0,67480.0,455686,218713,242203
2016-01-08 00:00:00.000000000,1452182400000000000,67470.0,68550.0,66510.0,67920.0,611309,242203,229807
2016-01-11 00:00:00.000000000,1452441600000000000,67940.0,68660.0,66780.0,67000.0,493302,229807,237651
2016-01-12 00:00:00.000000000,1452528000000000000,67160.0,67630.0,65820.0,65950.0,516930,237651,248739
2016-01-13 00:00:00.000000000,1452614400000000000,66060.0,66680.0,65940.0,66220.0,407118,248739,252312
2016-01-14 00:00:00.000000000,1452700800000000000,66300.0,68070.0,66050.0,67360.0,462400,252312,236637
2016-01-15 00:00:00.000000000,1452787200000000000,67440.0,69350.0,67260.0,68190.0,530713,236637,220897
2016-01-18 00:00:00.000000000,1453046400000000000,67770.0,69620.0,67700.0,69320.0,538165,220897,224757
2016-01-19 00:00:00.000000000,1453132800000000000,69340.0,70300.0,68720.0,70130.0,488987,224757,220431
2016-01-20 00:00:00.000000000,1453219200000000000,70050.0,70290.0,68850.0,69470.0,462613,220431,218900
2016-01-21 00:00:00.000000000,1453305600000000000,69430.0,70000.0,68910.0,69250.0,516157,218900,213980
2016-01-22 00:00:00.000000000,1453392000000000000,69360.0,70780.0,69260.0,70160.0,545580,213980,216016
2016-01-25 00:00:00.000000000,1453651200000000000,70810.0,70930.0,69130.0,69360.0,377201,216016,213325
2016-01-26 00:00:00.000000000,1453737600000000000,69300.0,69560.0,68750.0,69130.0,372333,213325,214789
2016-01-27 00:00:00.000000000,1453824000000000000,69360.0,70590.0,69350.0,70520.0,410284,214789,221884
2016-01-28 00:00:00.000000000,1453910400000000000,70360.0,70570.0,69550.0,69730.0,341855,221884,221056
2016-01-29 00:00:00.000000000,1453996800000000000,69600.0,70220.0,69300.0,69590.0,363955,221056,219011
2016-02-01 00:00:00.000000000,1454256000000000000,69480.0,70200.0,68500.0,68950.0,389547,219011,230063
2016-02-02 00:00:00.000000000,1454342400000000000,68900.0,69240.0,68560.0,69010.0,290445,230063,220919
2016-02-03 00:00:00.000000000,1454428800000000000,69080.0,69150.0,67960.0,68880.0,320232,220919,218374
2016-02-04 00:00:00.000000000,1454515200000000000,68790.0,69780.0,68720.0,69340.0,291578,218374,210516
2016-02-05 00:00:00.000000000,1454601600000000000,69370.0,69750.0,68500.0,68740.0,247178,210516,203710
2016-02-15 00:00:00.000000000,1455465600000000000,64480.0,66600.0,64280.0,66320.0,199810,203710,214957
2016-02-16 00:00:00.000000000,1455552000000000000,66080.0,67080.0,66010.0,66660.0,300351,214957,223135
2016-02-17 00:00:00.000000000,1455638400000000000,66850.0,66890.0,66060.0,66400.0,278889,223135,219260
2016-02-18 00:00:00.000000000,1455724800000000000,66560.0,67180.0,66430.0,66680.0,229905,219260,216660
2016-02-19 00:00:00.000000000,1455811200000000000,66750.0,67350.0,66600.0,67120.0,285339,216660,217006
