datetime,datetime_nano,KQ.m@SHFE.pb.open,KQ.m@SHFE.pb.high,KQ.m@SHFE.pb.low,KQ.m@SHFE.pb.close,KQ.m@SHFE.pb.volume,KQ.m@SHFE.pb.open_oi,KQ.m@SHFE.pb.close_oi
2016-01-05 00:00:00.000000000,1451923200000000000,13130.0,13300.0,13115.0,13300.0,3243,0,7911
2016-01-06 00:00:00.000000000,1452009600000000000,13165.0,13200.0,13050.0,13140.0,4499,7911,6253
2016-01-07 00:00:00.000000000,1452096000000000000,13115.0,13170.0,12810.0,12845.0,3478,6253,6072
2016-01-08 00:00:00.000000000,1452182400000000000,12730.0,12950.0,12715.0,12915.0,5421,6072,6003
2016-01-11 00:00:00.000000000,1452441600000000000,12900.0,12945.0,12730.0,12740.0,3351,6003,6112
2016-01-12 00:00:00.000000000,1452528000000000000,12710.0,12735.0,12520.0,12555.0,4433,6112,6452
2016-01-13 00:00:00.000000000,1452614400000000000,12560.0,12735.0,12560.0,12715.0,4240,6452,6782
2016-01-14 00:00:00.000000000,1452700800000000000,12700.0,12875.0,12655.0,12835.0,4656,6782,6856
2016-01-15 00:00:00.000000000,1452787200000000000,12815.0,12925.0,12575.0,12585.0,6078,6856,6691
2016-01-18 00:00:00.000000000,1453046400000000000,12545.0,12900.0,12535.0,12890.0,6217,6691,7047
2016-01-19 00:00:00.000000000,1453132800000000000,12890.0,13020.0,12790.0,12995.0,4944,7047,7594
2016-01-20 00:00:00.000000000,1453219200000000000,13040.0,13055.0,12805.0,12870.0,4177,7594,7153
2016-01-21 00:00:00.000000000,1453305600000000000,12885.0,12910.0,12750.0,12775.0,3607,7153,6956
2016-01-22 00:00:00.000000000,1453392000000000000,12795.0,12890.0,12725.0,12795.0,5182,6956,6917
2016-01-25 00:00:00.000000000,1453651200000000000,12830.0,12895.0,12780.0,12810.0,2793,6917,6702
2016-01-26 00:00:00.000000000,1453737600000000000,12785.0,12980.0,12785.0,12920.0,3872,6702,6938
2016-01-27 00:00:00.000000000,1453824000000000000,13045.0,13250.0,12985.0,13215.0,5487,6938,7405
2016-01-28 00:00:00.000000000,1453910400000000000,13260.0,13265.0,13105.0,13145.0,3364,7405,7415
2016-01-29 00:00:00.000000000,1453996800000000000,13205.0,13695.0,13155.0,13475.0,10667,7415,8613
2016-02-01 00:00:00.000000000,1454256000000000000,13530.0,13770.0,13520.0,13650.0,10755,8613,8675
2016-02-02 00:00:00.000000000,1454342400000000000,13675.0,13735.0,13615.0,13680.0,7650,8675,9560
2016-02-03 00:00:00.000000000,1454428800000000000,13705.0,13825.0,13600.0,13775.0,7096,9560,10290
2016-02-04 00:00:00.000000000,1454515200000000000,13750.0,14115.0,13720.0,14045.0,6388,10290,10271
2016-02-05 00:00:00.000000000,1454601600000000000,14010.0,14055.0,13605.0,13815.0,3706,10271,9805
2016-02-15 00:00:00.000000000,1455465600000000000,14010.0,14125.0,13810.0,13875.0,2153,9805,9840
2016-02-16 00:00:00.000000000,1455552000000000000,13670.0,13785.0,13580.0,13590.0,4680,9840,10128
2016-02-17 00:00:00.000000000,1455638400000000000,13625.0,13685.0,13470.0,13510.0,4887,10128,10274
2016-02-18 00:00:00.000000000,1455724800000000000,13515.0,13550.0,13370.0,13485.0,6185,10274,10393
2016-02-19 00:00:00.000000000,1455811200000000000,13415.0,13700.0,13370.0,13655.0,8605,10393,10315
2016-02-22 00:00:00.000000000,1456070400000000000,13600.0,13870.0,13565.0,13860.0,7756,10315,11218
2016-02-23 00:00:00.000000000,1456156800000000000,13930.0,13930.0,13465.0,13590.0,6983,11218,11371
2016-02-24 00:00:00.000000000,1456243200000000000,13620.0,13630.0,13490.0,13555.0,4411,11371,11410
