datetime,datetime_nano,KQ.m@SHFE.ru.open,KQ.m@SHFE.ru.high,KQ.m@SHFE.ru.low,KQ.m@SHFE.ru.close,KQ.m@SHFE.ru.volume,KQ.m@SHFE.ru.open_oi,KQ.m@SHFE.ru.close_oi
2016-01-05 00:00:00.000000000,1451923200000000000,10195.0,10235.0,10100.0,10190.0,317298,0,138274
2016-01-06 00:00:00.000000000,1452009600000000000,10140.0,10225.0,10050.0,10070.0,332470,138274,145219
2016-01-07 00:00:00.000000000,1452096000000000000,9990.0,10150.0,9960.0,10080.0,392045,145219,139315
2016-01-08 00:00:00.000000000,1452182400000000000,10035.0,10195.0,9980.0,10090.0,344111,139315,136001
2016-01-11 00:00:00.000000000,1452441600000000000,10060.0,10150.0,9700.0,9700.0,393719,136001,153135
2016-01-12 00:00:00.000000000,1452528000000000000,9720.0,9780.0,9590.0,9640.0,331505,153135,151719
2016-01-13 00:00:00.000000000,1452614400000000000,9745.0,9905.0,9715.0,9850.0,385925,151719,142301
2016-01-14 00:00:00.000000000,1452700800000000000,9850.0,9930.0,9690.0,9885.0,350756,142301,142534
2016-01-15 00:00:00.000000000,1452787200000000000,9865.0,9960.0,9765.0,9795.0,336432,142534,141799
2016-01-18 00:00:00.000000000,1453046400000000000,9740.0,10195.0,9720.0,10150.0,447285,141799,126692
2016-01-19 00:00:00.000000000,1453132800000000000,10140.0,10400.0,10050.0,10345.0,406798,126692,121908
2016-01-20 00:00:00.000000000,1453219200000000000,10325.0,10385.0,10160.0,10265.0,336995,121908,121033
2016-01-21 00:00:00.000000000,1453305600000000000,10200.0,10300.0,10165.0,10200.0,345503,121033,123197
2016-01-22 00:00:00.000000000,1453392000000000000,10225.0,10450.0,10190.0,10385.0,373863,123197,121991
2016-01-25 00:00:00.000000000,1453651200000000000,10435.0,10500.0,10260.0,10320.0,291630,121991,123696
2016-01-26 00:00:00.000000000,1453737600000000000,10300.0,10325.0,10120.0,10155.0,277063,123696,124405
2016-01-27 00:00:00.000000000,1453824000000000000,10205.0,10415.0,10190.0,10400.0,286866,124405,123652
2016-01-28 00:00:00.000000000,1453910400000000000,10385.0,10415.0,10160.0,10190.0,257870,123652,121907
2016-01-29 00:00:00.000000000,1453996800000000000,10195.0,10320.0,10130.0,10210.0,295257,121907,116077
2016-02-01 00:00:00.000000000,1454256000000000000,10210.0,10340.0,10150.0,10190.0,277021,116077,116123
2016-02-02 00:00:00.000000000,1454342400000000000,10195.0,10235.0,10060.0,10200.0,282840,116123,115972
2016-02-03 00:00:00.000000000,1454428800000000000,10200.0,10220.0,10060.0,10155.0,234978,115972,114991
2016-02-04 00:00:00.000000000,1454515200000000000,10160.0,10385.0,10140.0,10335.0,260391,114991,111672
2016-02-05 00:00:00.000000000,1454601600000000000,10305.0,10320.0,10140.0,10195.0,171062,111672,101707
2016-02-15 00:00:00.000000000,1455465600000000000,10085.0,10540.0,10055.0,10530.0,264401,101707,121465
2016-02-16 00:00:00.000000000,1455552000000000000,10520.0,10660.0,10465.0,10535.0,282939,121465,129546
2016-02-17 00:00:00.000000000,1455638400000000000,10525.0,10575.0,10415.0,10450.0,213993,129546,128509
2016-02-18 00:00:00.000000000,1455724800000000000,10475.0,10600.0,10435.0,10470.0,233746,128509,130455
2016-02-19 00:00:00.000000000,1455811200000000000,10490.0,10635.0,10390.0,10615.0,295527,130455,138179
2016-02-22 00:00:00.000000000,1456070400000000000,10595.0,10840.0,10560.0,10705.0,314420,138179,142103
2016-02-23 00:00:00.000000000,1456156800000000000,10760.0,10820.0,10570.0,10645.0,263462,142103,137724
2016-02-24 00:00:00.000000000,1456243200000000000,10650.0,10695.0,10520.0,10585.0,266417,137724,134237
2016-02-25 00:00:00.000000000,1456329600000000000,10565.0,10800.0,10520.0,10540.0,358698,134237,136808
2016-02-26 00:00:00.000000000,1456416000000000000,10560.0,10585.0,10230.0,10360.0,389550,136808,132686
2016-02-29 00:00:00.000000000,1456675200000000000,10405.0,10475.0,10220.0,10280.0,364093,132686,132460
2016-03-01 00:00:00.000000000,1456761600000000000,10335.0,10405.0,10205.0,10355.0,335912,132460,132918
2016-03-02 00:00:00.000000000,1456848000000000000,10410.0,10660.0,10365.0,10560.0,397225,132918,130557
2016-03-03 00:00:00.000000000,1456934400000000000,10575.0,10760.0,10555.0,10675.0,357395,130557,128689
2016-03-04 00:00:00.000000000,1457020800000000000,10715.0,11310.0,10695.0,11310.0,523239,128689,128203
2016-03-07 00:00:00.000000000,1457280000000000000,11440.0,12065.0,11400.0,11705.0,615326,128203,113987
2016-03-08 00:00:00.000000000,1457366400000000000,11725.0,11970.0,11360.0,11610.0,614002,113987,107285
2016-03-09 00:00:00.000000000,1457452800000000000,11590.0,11610.0,11115.0,11350.0,376388,107285,101948
2016-03-10 00:00:00.000000000,1457539200000000000,11360.0,11585.0,11135.0,11185.0,401399,101948,101858
2016-03-11 00:00:00.000000000,1457625600000000000,11180.0,11435.0,11125.0,11345.0,321000,101858,97901
2016-03-14 00:00:00.000000000,1457884800000000000,11345.0,11630.0,11270.0,11270.0,303120,97901,95842
2016-03-15 00:00:00.000000000,1457971200000000000,11260.0,11320.0,11015.0,11085.0,288994,95842,96941
2016-03-16 00:00:00.000000000,1458057600000000000,11080.0,11280.0,11055.0,11270.0,243665,96941,91052
2016-03-17 00:00:00.000000000,1458144000000000000,11300.0,11625.0,11255.0,11460.0,278045,91052,91500
2016-03-18 00:00:00.000000000,1458230400000000000,11505.0,11790.0,11390.0,11420.0,326281,91500,81280
2016-03-21 00:00:00.000000000,1458489600000000000,11745.0,12050.0,11640.0,11845.0,400650,81280,123754
2016-03-22 00:00:00.000000000,1458576000000000000,11895.0,11995.0,11755.0,11775.0,339691,123754,132424
2016-03-23 00:00:00.000000000,1458662400000000000,11785.0,11930.0,11550.0,11550.0,348043,132424,136741
2016-03-24 00:00:00.000000000,1458748800000000000,11545.0,11660.0,11420.0,11505.0,395761,136741,127652
2016-03-25 00:00:00.000000000,1458835200000000000,11475.0,11720.0,11460.0,11710.0,282585,127652,131004
2016-03-28 00:00:00.000000000,1459094400000000000,11760.0,11935.0,11530.0,11540.0,367100,131004,131349
2016-03-29 00:00:00.000000000,1459180800000000000,11565.0,11680.0,11265.0,11310.0,400133,131349,150631
2016-03-30 00:00:00.000000000,1459267200000000000,11355.0,11455.0,11250.0,11370.0,358765,150631,151531
2016-03-31 00:00:00.000000000,1459353600000000000,11385.0,11495.0,11135.0,11370.0,394237,151531,152791
2016-04-01 00:00:00.000000000,1459440000000000000,11470.0,11565.0,11350.0,11440.0,353298,152791,146092
2016-04-05 00:00:00.000000000,1459785600000000000,11400.0,11725.0,11310.0,11720.0,324934,146092,157540
2016-04-06 00:00:00.000000000,1459872000000000000,11695.0,11765.0,11535.0,11615.0,377492,157540,151560
