datetime,datetime_nano,KQ.m@INE.sc.open,KQ.m@INE.sc.high,KQ.m@INE.sc.low,KQ.m@INE.sc.close,KQ.m@INE.sc.volume,KQ.m@INE.sc.open_oi,KQ.m@INE.sc.close_oi
2018-03-27 00:00:00.000000000,1522080000000000000,429.9,431.7,412.6,424.0,20301,0,1968
2018-03-28 00:00:00.000000000,1522166400000000000,428.8,429.2,406.5,410.4,33599,1968,3037
2018-03-29 00:00:00.000000000,1522252800000000000,410.9,412.0,401.6,409.7,33334,3037,3866
2018-03-30 00:00:00.000000000,1522339200000000000,407.8,421.7,405.0,420.3,29281,3866,3529
2018-04-02 00:00:00.000000000,1522598400000000000,419.9,421.3,413.8,416.6,12322,3529,3268
2018-04-03 00:00:00.000000000,1522684800000000000,412.5,414.3,400.5,402.5,26413,3268,4273
2018-04-04 00:00:00.000000000,1522771200000000000,405.6,406.9,399.0,401.5,22117,4273,4582
2018-04-09 00:00:00.000000000,1523203200000000000,397.8,403.5,397.7,402.3,7735,4582,4752
2018-04-10 00:00:00.000000000,1523289600000000000,404.7,415.2,403.8,413.5,30845,4752,4496
2018-04-11 00:00:00.000000000,1523376000000000000,414.6,421.8,414.1,417.8,33217,4496,6231
2018-04-12 00:00:00.000000000,1523462400000000000,420.7,429.9,416.9,428.7,55038,6231,7237
2018-04-13 00:00:00.000000000,1523548800000000000,424.4,428.7,423.3,427.0,31546,7237,6740
2018-04-16 00:00:00.000000000,1523808000000000000,428.6,431.0,423.5,424.4,32642,6740,6747
2018-04-17 00:00:00.000000000,1523894400000000000,425.2,427.5,421.5,427.4,27500,6747,6501
2018-04-18 00:00:00.000000000,1523980800000000000,422.2,431.4,420.6,429.7,40169,6501,7314
2018-04-19 00:00:00.000000000,1524067200000000000,435.4,444.0,432.5,440.6,42358,7314,7964
2018-04-20 00:00:00.000000000,1524153600000000000,442.5,443.0,435.3,436.7,34215,7964,7808
2018-04-23 00:00:00.000000000,1524412800000000000,434.7,441.2,432.4,439.7,35169,7808,7993
2018-04-24 00:00:00.000000000,1524499200000000000,433.4,449.2,432.2,447.3,45795,7993,9162
2018-04-25 00:00:00.000000000,1524585600000000000,446.4,448.9,436.6,438.0,49496,9162,8092
2018-04-26 00:00:00.000000000,1524672000000000000,437.4,445.0,434.4,441.4,54628,8092,8143
2018-04-27 00:00:00.000000000,1524758400000000000,443.8,445.5,440.4,444.2,40291,8143,8128
2018-05-02 00:00:00.000000000,1525190400000000000,439.4,444.4,436.0,443.5,16727,8128,8627
2018-05-03 00:00:00.000000000,1525276800000000000,441.2,448.0,439.1,447.0,55599,8627,10696
2018-05-04 00:00:00.000000000,1525363200000000000,444.4,448.8,442.8,446.9,50347,10696,10228
2018-05-07 00:00:00.000000000,1525622400000000000,448.9,461.6,448.3,458.3,67501,10228,11393
2018-05-08 00:00:00.000000000,1525708800000000000,461.5,462.4,456.9,459.1,55463,11393,11672
2018-05-09 00:00:00.000000000,1525795200000000000,459.8,466.6,445.3,465.2,122134,11672,12880
2018-05-10 00:00:00.000000000,1525881600000000000,467.2,478.4,466.0,476.4,82728,12880,15310
2018-05-11 00:00:00.000000000,1525968000000000000,473.5,474.3,467.0,471.2,82843,15310,14068
2018-05-14 00:00:00.000000000,1526227200000000000,471.4,472.6,462.7,465.6,84129,14068,12244
2018-05-15 00:00:00.000000000,1526313600000000000,469.0,475.6,467.5,472.8,75024,12244,13936
2018-05-16 00:00:00.000000000,1526400000000000000,476.8,478.0,470.5,473.1,96918,13936,12944
2018-05-17 00:00:00.000000000,1526486400000000000,472.9,485.3,470.5,481.9,110103,12944,15507
2018-05-18 00:00:00.000000000,1526572800000000000,484.3,488.6,481.9,486.5,89663,15507,14960
2018-05-21 00:00:00.000000000,1526832000000000000,484.0,486.0,477.0,482.4,87834,14960,13446
2018-05-22 00:00:00.000000000,1526918400000000000,478.8,486.5,478.3,485.1,66508,13446,14530
2018-05-23 00:00:00.000000000,1527004800000000000,485.6,493.8,482.6,484.6,109047,14530,15478
2018-05-24 00:00:00.000000000,1527091200000000000,484.6,487.4,478.1,485.0,108584,15478,15207
2018-05-25 00:00:00.000000000,1527177600000000000,480.3,483.8,476.6,477.4,90187,15207,15482
2018-05-28 00:00:00.000000000,1527436800000000000,466.8,470.5,456.6,462.8,122797,15482,15169
2018-05-29 00:00:00.000000000,1527523200000000000,461.9,466.0,459.2,463.8,72600,15169,15083
2018-05-30 00:00:00.000000000,1527609600000000000,467.8,468.3,458.5,463.9,112081,15083,15380
2018-05-31 00:00:00.000000000,1527696000000000000,466.1,476.8,465.3,472.5,117272,15380,16912
2018-06-01 00:00:00.000000000,1527782400000000000,470.3,483.9,469.9,474.7,137503,16912,16993
2018-06-04 00:00:00.000000000,1528041600000000000,472.3,473.1,467.6,470.9,101105,16993,15591
2018-06-05 00:00:00.000000000,1528128000000000000,468.2,471.4,461.6,466.2,106188,15591,15129
2018-06-06 00:00:00.000000000,1528214400000000000,461.3,466.7,455.8,465.0,119232,15129,16540
2018-06-07 00:00:00.000000000,1528300800000000000,461.2,466.0,458.0,465.8,125840,16540,16632
2018-06-08 00:00:00.000000000,1528387200000000000,467.5,474.2,466.6,468.3,114262,16632,17145
2018-06-11 00:00:00.000000000,1528646400000000000,469.0,476.3,466.8,467.5,96395,17145,16423
2018-06-12 00:00:00.000000000,1528732800000000000,465.3,473.0,463.9,472.1,117792,16423,16939
2018-06-13 00:00:00.000000000,1528819200000000000,468.1,471.7,463.0,464.5,108949,16939,16100
2018-06-14 00:00:00.000000000,1528905600000000000,467.0,472.0,464.4,468.1,111498,16100,15505
2018-06-15 00:00:00.000000000,1528992000000000000,471.3,472.2,465.5,467.2,91127,15505,14335
2018-06-19 00:00:00.000000000,1529337600000000000,460.8,465.5,458.0,460.3,37894,14335,15985
2018-06-20 00:00:00.000000000,1529424000000000000,461.4,465.7,458.8,464.2,111567,15985,16495
2018-06-21 00:00:00.000000000,1529510400000000000,465.9,468.7,458.7,459.8,156222,16495,17098
2018-06-22 00:00:00.000000000,1529596800000000000,457.6,461.8,453.7,459.0,135583,17098,17796
2018-06-25 00:00:00.000000000,1529856000000000000,465.3,472.0,464.3,466.5,127048,17796,17200
2018-06-26 00:00:00.000000000,1529942400000000000,467.8,471.9,465.3,471.5,92210,17200,17978
2018-06-27 00:00:00.000000000,1530028800000000000,473.2,486.1,469.6,485.0,147820,17978,19563
2018-06-28 00:00:00.000000000,1530115200000000000,486.6,495.0,486.3,491.0,130152,19563,18303
2018-06-29 00:00:00.000000000,1530201600000000000,491.6,498.0,490.4,494.8,126486,18303,18182
2018-07-02 00:00:00.000000000,1530460800000000000,498.2,510.0,497.6,501.6,141607,18182,18138
2018-07-03 00:00:00.000000000,1530547200000000000,502.2,505.2,496.8,503.5,127634,18138,18247
2018-07-04 00:00:00.000000000,1530633600000000000,503.9,504.5,491.3,496.7,159830,18247,16954
2018-07-05 00:00:00.000000000,1530720000000000000,496.4,501.8,494.4,497.6,106288,16954,17139
2018-07-06 00:00:00.000000000,1530806400000000000,498.0,502.0,492.8,495.7,165303,17139,17111
2018-07-09 00:00:00.000000000,1531065600000000000,490.2,498.7,487.0,497.7,109382,17111,19810
2018-07-10 00:00:00.000000000,1531152000000000000,498.6,505.0,496.3,504.9,120222,19810,22070
2018-07-11 00:00:00.000000000,1531238400000000000,506.9,511.5,502.6,507.9,145884,22070,22489
2018-07-12 00:00:00.000000000,1531324800000000000,503.3,508.6,490.0,492.6,173142,22489,18047
2018-07-13 00:00:00.000000000,1531411200000000000,491.5,495.8,487.6,491.1,132124,18047,17658
2018-07-16 00:00:00.000000000,1531670400000000000,494.1,499.5,491.8,491.9,112634,17658,16286
2018-07-17 00:00:00.000000000,1531756800000000000,485.9,488.7,478.5,479.2,146651,16286,17163
2018-07-18 00:00:00.000000000,1531843200000000000,482.3,485.3,478.6,481.5,109250,17163,16835
2018-07-19 00:00:00.000000000,1531929600000000000,482.6,489.1,479.0,486.1,131712,16835,15921
2018-07-20 00:00:00.000000000,1532016000000000000,483.7,494.5,483.3,493.4,159174,15921,16064
2018-07-23 00:00:00.000000000,1532275200000000000,492.9,494.7,489.1,490.4,105733,16064,15373
2018-07-24 00:00:00.000000000,1532361600000000000,496.7,499.7,493.1,494.7,114970,15373,15046
2018-07-25 00:00:00.000000000,1532448000000000000,494.4,504.3,492.9,503.1,117413,15046,15629
2018-07-26 00:00:00.000000000,1532534400000000000,501.6,504.7,497.3,503.8,133030,15629,14457
2018-07-27 00:00:00.000000000,1532620800000000000,502.0,508.7,501.3,506.9,96690,14457,14686
2018-07-30 00:00:00.000000000,1532880000000000000,507.1,510.0,503.7,509.9,93815,14686,15153
2018-07-31 00:00:00.000000000,1532966400000000000,514.0,515.5,512.4,513.2,75516,15153,15286
2018-08-01 00:00:00.000000000,1533052800000000000,513.6,514.1,501.3,503.3,119034,15286,12235
2018-08-02 00:00:00.000000000,1533139200000000000,497.7,504.3,497.4,503.7,117619,12235,12600
2018-08-03 00:00:00.000000000,1533225600000000000,502.7,515.3,501.0,513.5,116154,12600,12027
2018-08-06 00:00:00.000000000,1533484800000000000,510.8,519.6,506.0,518.6,122340,12027,11373
2018-08-07 00:00:00.000000000,1533571200000000000,521.6,537.2,520.5,537.2,108140,11373,10741
2018-08-08 00:00:00.000000000,1533657600000000000,545.7,550.0,510.2,523.2,183999,10741,6671
2018-08-09 00:00:00.000000000,1533744000000000000,518.5,528.5,513.2,519.1,127487,6671,6257
2018-08-10 00:00:00.000000000,1533830400000000000,521.4,526.5,510.7,512.9,102407,6257,5769
2018-08-13 00:00:00.000000000,1534089600000000000,517.7,527.5,514.6,515.4,83972,5769,5665
2018-08-14 00:00:00.000000000,1534176000000000000,515.3,525.3,511.2,521.0,98474,5665,3518
2018-08-15 00:00:00.000000000,1534262400000000000,525.6,526.6,515.3,516.8,46086,3518,3172
2018-08-16 00:00:00.000000000,1534348800000000000,508.8,512.3,494.0,497.9,163205,3172,15317
2018-08-17 00:00:00.000000000,1534435200000000000,500.2,501.8,495.0,496.7,124993,15317,16919
2018-08-20 00:00:00.000000000,1534694400000000000,502.6,503.5,480.0,491.4,163734,16919,16382
2018-08-21 00:00:00.000000000,1534780800000000000,491.5,501.9,488.5,496.4,167807,16382,17887
2018-08-22 00:00:00.000000000,1534867200000000000,500.8,508.0,496.8,504.6,152363,17887,18000
2018-08-23 00:00:00.000000000,1534953600000000000,508.6,513.7,504.9,508.0,157281,18000,17477
2018-08-24 00:00:00.000000000,1535040000000000000,507.1,514.7,504.2,511.8,143610,17477,15811
2018-08-27 00:00:00.000000000,1535299200000000000,512.6,514.3,507.7,510.8,129841,15811,15842
2018-08-28 00:00:00.000000000,1535385600000000000,511.9,516.2,509.6,512.0,129191,15842,15569
2018-08-29 00:00:00.000000000,1535472000000000000,512.9,514.1,508.1,508.5,125139,15569,15269
2018-08-30 00:00:00.000000000,1535558400000000000,512.6,523.6,510.7,522.8,159037,15269,16398
2018-08-31 00:00:00.000000000,1535644800000000000,522.8,525.3,519.1,524.0,112067,16398,16810
2018-09-03 00:00:00.000000000,1535904000000000000,522.8,524.4,518.0,521.2,121064,16810,16185
2018-09-04 00:00:00.000000000,1535990400000000000,522.1,527.0,520.2,523.9,116757,16185,15850
2018-09-05 00:00:00.000000000,1536076800000000000,530.6,532.5,520.4,521.3,174152,15850,16865
2018-09-06 00:00:00.000000000,1536163200000000000,519.9,524.3,518.7,520.0,140204,16865,17564
2018-09-07 00:00:00.000000000,1536249600000000000,521.5,522.6,512.0,516.8,165999,17564,16915
2018-09-10 00:00:00.000000000,1536508800000000000,516.1,525.4,510.9,524.5,152477,16915,17505
2018-09-11 00:00:00.000000000,1536595200000000000,523.6,525.0,518.3,524.3,146271,17505,17358
2018-09-12 00:00:00.000000000,1536681600000000000,522.7,540.3,522.2,535.9,176777,17358,18956
2018-09-13 00:00:00.000000000,1536768000000000000,536.7,540.5,530.2,533.3,166350,18956,19309
2018-09-14 00:00:00.000000000,1536854400000000000,532.3,533.4,523.5,525.8,146749,19309,18984
2018-09-17 00:00:00.000000000,1537113600000000000,525.9,530.5,521.2,527.8,167906,18984,20054
2018-09-18 00:00:00.000000000,1537200000000000000,530.4,530.6,522.4,523.3,136055,20054,21744
2018-09-19 00:00:00.000000000,1537286400000000000,529.6,532.9,525.9,528.7,153652,21744,21077
2018-09-20 00:00:00.000000000,1537372800000000000,527.3,537.6,525.7,535.9,170054,21077,24359
2018-09-21 00:00:00.000000000,1537459200000000000,532.8,534.8,529.2,532.1,133769,24359,21871
2018-09-25 00:00:00.000000000,1537804800000000000,542.2,552.3,541.6,549.1,57189,21871,23368
2018-09-26 00:00:00.000000000,1537891200000000000,551.2,555.5,550.6,554.2,136443,23368,24693
2018-09-27 00:00:00.000000000,1537977600000000000,551.9,560.0,550.1,557.7,151250,24693,23433
2018-09-28 00:00:00.000000000,1538064000000000000,557.4,564.6,551.3,563.6,123481,23433,22026
2018-10-08 00:00:00.000000000,1538928000000000000,572.4,575.0,565.6,572.5,45589,22026,21572
2018-10-09 00:00:00.000000000,1539014400000000000,569.8,598.0,569.2,592.9,183071,21572,21700
2018-10-10 00:00:00.000000000,1539100800000000000,593.5,598.5,585.1,597.3,174869,21700,21304
2018-10-11 00:00:00.000000000,1539187200000000000,594.5,597.3,567.3,574.2,210702,21304,19964
2018-10-12 00:00:00.000000000,1539273600000000000,574.1,576.6,560.4,573.3,194114,19964,19258
2018-10-15 00:00:00.000000000,1539532800000000000,572.0,575.3,561.3,573.1,167987,19258,18464
2018-10-16 00:00:00.000000000,1539619200000000000,572.2,573.6,555.3,560.0,185198,18464,17767
2018-10-17 00:00:00.000000000,1539705600000000000,557.9,566.2,553.0,566.0,170555,17767,17149
2018-10-18 00:00:00.000000000,1539792000000000000,560.8,561.8,547.3,554.7,204115,17149,16724
2018-10-19 00:00:00.000000000,1539878400000000000,547.4,559.7,545.6,551.8,168773,16724,16559
2018-10-22 00:00:00.000000000,1540137600000000000,555.8,561.9,552.4,559.3,170947,16559,18946
2018-10-23 00:00:00.000000000,1540224000000000000,555.0,557.7,551.0,554.1,169779,18946,19079
2018-10-24 00:00:00.000000000,1540310400000000000,546.9,547.6,531.1,536.2,199480,19079,19934
2018-10-25 00:00:00.000000000,1540396800000000000,540.0,543.7,531.1,536.3,202978,19934,20361
2018-10-26 00:00:00.000000000,1540483200000000000,541.8,542.7,535.5,538.3,156043,20361,19985
2018-10-29 00:00:00.000000000,1540742400000000000,538.4,545.2,535.0,536.1,165357,19985,19521
2018-10-30 00:00:00.000000000,1540828800000000000,536.5,543.0,535.6,541.4,130339,19521,19405
2018-10-31 00:00:00.000000000,1540915200000000000,534.5,536.6,524.7,535.1,171646,19405,16945
2018-11-01 00:00:00.000000000,1541001600000000000,533.2,533.7,519.6,522.6,172275,16945,17366
2018-11-02 00:00:00.000000000,1541088000000000000,521.9,524.3,503.3,510.7,198322,17366,16681
2018-11-05 00:00:00.000000000,1541347200000000000,509.0,511.4,504.3,509.6,142058,16681,17664
