datetime,datetime_nano,KQ.m@GFEX.si.open,KQ.m@GFEX.si.high,KQ.m@GFEX.si.low,KQ.m@GFEX.si.close,KQ.m@GFEX.si.volume,KQ.m@GFEX.si.open_oi,KQ.m@GFEX.si.close_oi
2022-12-23 00:00:00.000000000,1671724800000000000,18170.0,18220.0,17060.0,17060.0,30354,0,7629
2022-12-26 00:00:00.000000000,1671984000000000000,16940.0,17435.0,16825.0,17170.0,23991,7629,7922
2022-12-27 00:00:00.000000000,1672070400000000000,17210.0,17410.0,17130.0,17165.0,13350,7922,8685
2022-12-28 00:00:00.000000000,1672156800000000000,17100.0,17575.0,16960.0,17425.0,21736,8685,8197
2022-12-29 00:00:00.000000000,1672243200000000000,17395.0,17665.0,17325.0,17515.0,12999,8197,7813
2022-12-30 00:00:00.000000000,1672329600000000000,17535.0,18520.0,17535.0,17895.0,37967,7813,7708
2023-01-03 00:00:00.000000000,1672675200000000000,17845.0,18040.0,17600.0,17770.0,15386,7708,7390
2023-01-04 00:00:00.000000000,1672761600000000000,17700.0,18050.0,17555.0,17640.0,14744,7390,7502
2023-01-05 00:00:00.000000000,1672848000000000000,17615.0,17800.0,17500.0,17585.0,10709,7502,7552
2023-01-06 00:00:00.000000000,1672934400000000000,17535.0,17825.0,17530.0,17820.0,8604,7552,7712
2023-01-09 00:00:00.000000000,1673193600000000000,17850.0,17920.0,17670.0,17695.0,12281,7712,12581
2023-01-10 00:00:00.000000000,1673280000000000000,17705.0,17785.0,17460.0,17475.0,14945,12581,19286
2023-01-11 00:00:00.000000000,1673366400000000000,17475.0,17555.0,17315.0,17350.0,20389,19286,28032
2023-01-12 00:00:00.000000000,1673452800000000000,17330.0,17770.0,17270.0,17445.0,34783,28032,38561
2023-01-13 00:00:00.000000000,1673539200000000000,17450.0,17690.0,17420.0,17520.0,31521,38561,52350
2023-01-16 00:00:00.000000000,1673798400000000000,17480.0,17670.0,17450.0,17515.0,23451,52350,59021
2023-01-17 00:00:00.000000000,1673884800000000000,17540.0,17800.0,17530.0,17615.0,37276,59021,73217
2023-01-18 00:00:00.000000000,1673971200000000000,17660.0,17825.0,17620.0,17710.0,43134,73217,81677
2023-01-19 00:00:00.000000000,1674057600000000000,17730.0,18375.0,17650.0,18330.0,45507,81677,89496
2023-01-20 00:00:00.000000000,1674144000000000000,18380.0,18625.0,18105.0,18590.0,54931,89496,91870
