datetime,datetime_nano,KQ.m@SHFE.sn.open,KQ.m@SHFE.sn.high,KQ.m@SHFE.sn.low,KQ.m@SHFE.sn.close,KQ.m@SHFE.sn.volume,KQ.m@SHFE.sn.open_oi,KQ.m@SHFE.sn.close_oi
2016-01-05 00:00:00.000000000,1451923200000000000,91650.0,93250.0,91280.0,93000.0,6374,0,2773
2016-01-06 00:00:00.000000000,1452009600000000000,92770.0,93150.0,92100.0,92720.0,5184,2773,2835
2016-01-07 00:00:00.000000000,1452096000000000000,91680.0,93130.0,91590.0,91700.0,6471,2835,2800
2016-01-08 00:00:00.000000000,1452182400000000000,91550.0,92880.0,90110.0,92630.0,7586,2800,3018
2016-01-11 00:00:00.000000000,1452441600000000000,92400.0,93690.0,92400.0,93000.0,7141,3018,3319
2016-01-12 00:00:00.000000000,1452528000000000000,93080.0,94100.0,92000.0,92450.0,7632,3319,3312
2016-01-13 00:00:00.000000000,1452614400000000000,92620.0,92960.0,91510.0,92600.0,8679,3312,3674
2016-01-14 00:00:00.000000000,1452700800000000000,92510.0,93630.0,91790.0,93190.0,6841,3674,3221
2016-01-15 00:00:00.000000000,1452787200000000000,93100.0,94460.0,92710.0,93090.0,6618,3221,3347
2016-01-18 00:00:00.000000000,1453046400000000000,92810.0,95500.0,92300.0,95060.0,8516,3347,3446
2016-01-19 00:00:00.000000000,1453132800000000000,95180.0,95360.0,94400.0,94790.0,6488,3446,3440
2016-01-20 00:00:00.000000000,1453219200000000000,94610.0,94950.0,93500.0,93940.0,5772,3440,2951
2016-01-21 00:00:00.000000000,1453305600000000000,94110.0,95680.0,94110.0,95240.0,10367,2951,3205
2016-01-22 00:00:00.000000000,1453392000000000000,95560.0,96400.0,95220.0,96150.0,7708,3205,3319
2016-01-25 00:00:00.000000000,1453651200000000000,96320.0,99700.0,96300.0,97730.0,10439,3319,3756
2016-01-26 00:00:00.000000000,1453737600000000000,97650.0,97970.0,96800.0,97700.0,8031,3756,3945
2016-01-27 00:00:00.000000000,1453824000000000000,98190.0,100470.0,98050.0,100380.0,16755,3945,4823
2016-01-28 00:00:00.000000000,1453910400000000000,100810.0,100990.0,100040.0,100260.0,14587,4823,5292
2016-01-29 00:00:00.000000000,1453996800000000000,99650.0,99890.0,97690.0,98280.0,19775,5292,4419
2016-02-01 00:00:00.000000000,1454256000000000000,99840.0,100280.0,97850.0,98440.0,19917,4419,4262
2016-02-02 00:00:00.000000000,1454342400000000000,98680.0,99190.0,98410.0,98970.0,10922,4262,4071
2016-02-03 00:00:00.000000000,1454428800000000000,99410.0,99440.0,97940.0,98700.0,9717,4071,3814
2016-02-04 00:00:00.000000000,1454515200000000000,98610.0,99990.0,98370.0,99790.0,8272,3814,3581
2016-02-05 00:00:00.000000000,1454601600000000000,100080.0,100450.0,98600.0,99430.0,5967,3581,3073
2016-02-15 00:00:00.000000000,1455465600000000000,98680.0,100300.0,97030.0,99930.0,3218,3073,3474
2016-02-16 00:00:00.000000000,1455552000000000000,99850.0,100180.0,99000.0,99190.0,6330,3474,3815
2016-02-17 00:00:00.000000000,1455638400000000000,99290.0,99540.0,98190.0,98750.0,5110,3815,3956
2016-02-18 00:00:00.000000000,1455724800000000000,99600.0,99990.0,98580.0,99340.0,5707,3956,4091
2016-02-19 00:00:00.000000000,1455811200000000000,99420.0,100290.0,98910.0,100250.0,6720,4091,4662
2016-02-22 00:00:00.000000000,1456070400000000000,100300.0,103500.0,99800.0,103290.0,12479,4662,5956
2016-02-23 00:00:00.000000000,1456156800000000000,103700.0,105680.0,103410.0,105540.0,25901,5956,8839
2016-02-24 00:00:00.000000000,1456243200000000000,106180.0,106300.0,104800.0,105160.0,27309,8839,8917
2016-02-25 00:00:00.000000000,1456329600000000000,105310.0,106270.0,104860.0,105180.0,22263,8917,8641
2016-02-26 00:00:00.000000000,1456416000000000000,105490.0,105500.0,102260.0,103950.0,24300,8641,7349
