datetime,datetime_nano,KQ.m@SHFE.zn.open,KQ.m@SHFE.zn.high,KQ.m@SHFE.zn.low,KQ.m@SHFE.zn.close,KQ.m@SHFE.zn.volume,KQ.m@SHFE.zn.open_oi,KQ.m@SHFE.zn.close_oi
2016-01-05 00:00:00.000000000,1451923200000000000,13130.0,13315.0,13120.0,13305.0,77372,0,47880
2016-01-06 00:00:00.000000000,1452009600000000000,13250.0,13300.0,13030.0,13070.0,191288,47880,90286
2016-01-07 00:00:00.000000000,1452096000000000000,13010.0,13120.0,12835.0,12885.0,227274,90286,89073
2016-01-08 00:00:00.000000000,1452182400000000000,12815.0,12965.0,12670.0,12885.0,287021,89073,89516
2016-01-11 00:00:00.000000000,1452441600000000000,12860.0,12960.0,12765.0,12840.0,206985,89516,93240
2016-01-12 00:00:00.000000000,1452528000000000000,12815.0,12865.0,12335.0,12375.0,267176,93240,101565
2016-01-13 00:00:00.000000000,1452614400000000000,12455.0,12535.0,12380.0,12490.0,238987,101565,97983
2016-01-14 00:00:00.000000000,1452700800000000000,12510.0,12675.0,12440.0,12620.0,248374,97983,95262
2016-01-15 00:00:00.000000000,1452787200000000000,12610.0,12810.0,12515.0,12530.0,304663,95262,94234
2016-01-18 00:00:00.000000000,1453046400000000000,12480.0,12775.0,12440.0,12690.0,250310,94234,88773
2016-01-19 00:00:00.000000000,1453132800000000000,12670.0,12880.0,12640.0,12830.0,247810,88773,87973
2016-01-20 00:00:00.000000000,1453219200000000000,12855.0,12875.0,12660.0,12720.0,198959,87973,85188
2016-01-21 00:00:00.000000000,1453305600000000000,12715.0,12760.0,12595.0,12625.0,198085,85188,86368
2016-01-22 00:00:00.000000000,1453392000000000000,12670.0,12865.0,12630.0,12785.0,201239,86368,85790
2016-01-25 00:00:00.000000000,1453651200000000000,12860.0,12890.0,12685.0,12760.0,136501,85790,82566
2016-01-26 00:00:00.000000000,1453737600000000000,12780.0,12840.0,12725.0,12795.0,137369,82566,80698
2016-01-27 00:00:00.000000000,1453824000000000000,12955.0,13140.0,12895.0,13095.0,234307,80698,77398
2016-01-28 00:00:00.000000000,1453910400000000000,13085.0,13100.0,12955.0,12980.0,179317,77398,74994
2016-01-29 00:00:00.000000000,1453996800000000000,12980.0,13085.0,12910.0,13080.0,140049,74994,68474
2016-02-01 00:00:00.000000000,1454256000000000000,13085.0,13210.0,13000.0,13140.0,122525,68474,61496
2016-02-02 00:00:00.000000000,1454342400000000000,13150.0,13320.0,13100.0,13295.0,104151,61496,57151
2016-02-03 00:00:00.000000000,1454428800000000000,13350.0,13445.0,13230.0,13415.0,92837,57151,51371
2016-02-04 00:00:00.000000000,1454515200000000000,13480.0,14010.0,13455.0,13945.0,193387,51371,87269
