date,open,high,low,close,volume,money,open_interest,symbol
2005-01-04,2570.0,2570.0,2533.0,2540.0,3838.0,97619100.0,17576.0,B0505
2005-01-05,2520.0,2550.0,2515.0,2548.0,9560.0,242426000.0,15620.0,B0505
2005-01-06,2544.0,2558.0,2538.0,2554.0,3694.0,94102600.0,14898.0,B0505
2005-01-07,2560.0,2587.0,2560.0,2577.0,7732.0,199369100.0,14282.0,B0505
2005-01-10,2584.0,2592.0,2567.0,2575.0,4962.0,127982900.0,13272.0,B0505
2005-01-11,2600.0,2600.0,2585.0,2590.0,3130.0,81073000.0,12726.0,B0505
2005-01-12,2585.0,2593.0,2582.0,2583.0,1660.0,42963600.0,12458.0,B0505
2005-01-13,2571.0,2585.0,2570.0,2578.0,1108.0,28557600.0,12368.0,B0505
2005-01-14,2580.0,2589.0,2561.0,2564.0,3090.0,79472300.0,12252.0,B0505
2005-01-17,2545.0,2572.0,2542.0,2556.0,1936.0,49424000.0,11618.0,B0505
2005-01-18,2552.0,2570.0,2540.0,2570.0,1834.0,46887300.0,11484.0,B0505
2005-01-19,2558.0,2575.0,2555.0,2567.0,1200.0,30748300.0,11186.0,B0505
2005-01-20,2570.0,2570.0,2553.0,2556.0,2660.0,68020800.0,10856.0,B0505
2005-01-21,2558.0,2560.0,2545.0,2547.0,5494.0,140079000.0,10636.0,B0505
2005-01-24,2542.0,2555.0,2530.0,2551.0,6876.0,175278400.0,10374.0,B0505
2005-01-25,2552.0,2552.0,2543.0,2544.0,3822.0,97403600.0,10694.0,B0505
2005-01-26,2553.0,2554.0,2547.0,2548.0,4456.0,113593000.0,11354.0,B0505
2005-01-27,2545.0,2549.0,2536.0,2543.0,5704.0,144932500.0,12226.0,B0505
2005-01-28,2540.0,2540.0,2518.0,2523.0,6140.0,155086900.0,13578.0,B0505
2005-01-31,2524.0,2524.0,2487.0,2495.0,7432.0,186067400.0,14144.0,B0505
