date,open,high,low,close,volume,money,open_interest,symbol
2013-03-22,1280.0,1304.0,1257.0,1267.0,845512.0,64781058200.0,96086.0,JM1309
2013-03-25,1276.0,1286.0,1251.0,1258.0,722022.0,54874344500.0,139712.0,JM1309
2013-03-26,1255.0,1276.0,1249.0,1272.0,835326.0,63447634000.0,141544.0,JM1309
2013-03-27,1279.0,1279.0,1260.0,1261.0,499234.0,37939174600.0,126094.0,JM1309
2013-03-28,1264.0,1273.0,1248.0,1259.0,646266.0,48998378400.0,99004.0,JM1309
2013-03-29,1257.0,1268.0,1231.0,1240.0,734728.0,55198605600.0,96024.0,JM1309
2013-04-01,1235.0,1242.0,1202.0,1202.0,710132.0,51791801900.0,155262.0,JM1309
2013-04-02,1197.0,1231.0,1192.0,1228.0,1049448.0,76140051200.0,130106.0,JM1309
2013-04-03,1225.0,1233.0,1214.0,1216.0,606564.0,44471813900.0,103114.0,JM1309
2013-04-08,1199.0,1223.0,1197.0,1220.0,555970.0,40406335800.0,121180.0,JM1309
2013-04-09,1222.0,1232.0,1213.0,1223.0,551698.0,40512897300.0,143828.0,JM1309
2013-04-10,1225.0,1227.0,1211.0,1215.0,377802.0,27628031800.0,133686.0,JM1309
2013-04-11,1209.0,1225.0,1202.0,1206.0,403510.0,29397528400.0,137344.0,JM1309
2013-04-12,1206.0,1220.0,1203.0,1209.0,462186.0,33620987100.0,137526.0,JM1309
2013-04-15,1191.0,1195.0,1164.0,1174.0,442460.0,31359669400.0,128974.0,JM1309
2013-04-16,1160.0,1180.0,1151.0,1179.0,326226.0,22904003400.0,118742.0,JM1309
2013-04-17,1182.0,1189.0,1148.0,1165.0,702122.0,49036004200.0,121140.0,JM1309
2013-04-18,1149.0,1169.0,1127.0,1157.0,571028.0,39248124400.0,123652.0,JM1309
2013-04-19,1160.0,1167.0,1148.0,1163.0,428568.0,29790256800.0,123092.0,JM1309
2013-04-22,1161.0,1164.0,1146.0,1146.0,273978.0,18918689300.0,112424.0,JM1309
2013-04-23,1151.0,1153.0,1129.0,1134.0,239490.0,16378952800.0,104430.0,JM1309
2013-04-24,1134.0,1158.0,1129.0,1145.0,410522.0,28117974600.0,98632.0,JM1309
2013-04-25,1144.0,1148.0,1137.0,1142.0,158444.0,10865461800.0,87468.0,JM1309
2013-04-26,1147.0,1155.0,1136.0,1138.0,165514.0,11373640000.0,76072.0,JM1309
2013-05-02,1123.0,1123.0,1102.0,1119.0,111004.0,7448520200.0,82206.0,JM1309
2013-05-03,1128.0,1138.0,1124.0,1129.0,182180.0,12347654400.0,91990.0,JM1309
2013-05-06,1147.0,1149.0,1135.0,1140.0,119430.0,8176386800.0,86880.0,JM1309
2013-05-07,1135.0,1148.0,1131.0,1134.0,108358.0,7399214400.0,82130.0,JM1309
2013-05-08,1133.0,1149.0,1132.0,1148.0,89126.0,6101387000.0,85916.0,JM1309
2013-05-09,1146.0,1150.0,1138.0,1142.0,89712.0,6156320900.0,83144.0,JM1309
2013-05-10,1142.0,1153.0,1137.0,1150.0,87178.0,5986623400.0,81344.0,JM1309
2013-05-13,1150.0,1187.0,1146.0,1178.0,339222.0,23863902200.0,90620.0,JM1309
2013-05-14,1179.0,1185.0,1161.0,1180.0,298132.0,21006587200.0,89308.0,JM1309
2013-05-15,1176.0,1180.0,1143.0,1145.0,312422.0,21829410900.0,82016.0,JM1309
2013-05-16,1146.0,1157.0,1125.0,1146.0,321066.0,22051567000.0,83884.0,JM1309
2013-05-17,1150.0,1165.0,1142.0,1163.0,346354.0,23997977900.0,80466.0,JM1309
2013-05-20,1161.0,1173.0,1160.0,1162.0,207376.0,14512015600.0,84028.0,JM1309
2013-05-21,1166.0,1171.0,1151.0,1163.0,204500.0,14239373600.0,87446.0,JM1309
2013-05-22,1159.0,1175.0,1158.0,1170.0,171670.0,12027928800.0,88040.0,JM1309
2013-05-23,1159.0,1164.0,1145.0,1145.0,175054.0,12144569100.0,82002.0,JM1309
2013-05-24,1149.0,1156.0,1143.0,1144.0,136242.0,9411669400.0,82428.0,JM1309
2013-05-27,1141.0,1141.0,1126.0,1127.0,133258.0,9074042200.0,79374.0,JM1309
2013-05-28,1128.0,1131.0,1119.0,1125.0,123140.0,8305266600.0,83870.0,JM1309
2013-05-29,1125.0,1130.0,1108.0,1111.0,153690.0,10339403400.0,92118.0,JM1309
2013-05-30,1103.0,1114.0,1100.0,1108.0,182216.0,12105801800.0,92916.0,JM1309
2013-05-31,1115.0,1115.0,1093.0,1094.0,162744.0,10765921700.0,100388.0,JM1309
2013-06-03,1094.0,1105.0,1084.0,1098.0,213142.0,13989922500.0,97522.0,JM1309
2013-06-04,1101.0,1102.0,1090.0,1102.0,154230.0,10148997600.0,99082.0,JM1309
2013-06-05,1105.0,1105.0,1092.0,1100.0,140344.0,9264804900.0,100090.0,JM1309
2013-06-06,1096.0,1096.0,1056.0,1056.0,299564.0,19187020200.0,131436.0,JM1309
2013-06-07,1050.0,1054.0,1032.0,1042.0,293122.0,18359890800.0,123800.0,JM1309
2013-06-13,1033.0,1042.0,1025.0,1035.0,187906.0,11651722800.0,129210.0,JM1309
2013-06-14,1039.0,1040.0,1024.0,1030.0,220264.0,13634615700.0,143904.0,JM1309
2013-06-17,1034.0,1059.0,1031.0,1041.0,269668.0,16918576500.0,131400.0,JM1309
2013-06-18,1045.0,1045.0,1035.0,1041.0,143168.0,8938470800.0,133542.0,JM1309
2013-06-19,1040.0,1041.0,1023.0,1033.0,330166.0,20393489700.0,154298.0,JM1309
2013-06-20,1025.0,1027.0,998.0,1005.0,382750.0,23226059400.0,173054.0,JM1309
2013-06-21,995.0,1015.0,989.0,1006.0,265770.0,15996672400.0,154314.0,JM1309
2013-06-24,1008.0,1018.0,996.0,998.0,257564.0,15561692200.0,142646.0,JM1309
2013-06-25,1001.0,1013.0,996.0,1011.0,165938.0,10001288000.0,126368.0,JM1309
2013-06-26,1015.0,1019.0,1000.0,1004.0,102428.0,6180603300.0,119844.0,JM1309
2013-06-27,1005.0,1011.0,999.0,1006.0,58000.0,3497531600.0,110328.0,JM1309
2013-06-28,1004.0,1009.0,1000.0,1001.0,35986.0,2168405100.0,101306.0,JM1309
2013-07-01,1045.0,1059.0,1028.0,1040.0,447934.0,27977197700.0,141094.0,JM1401
2013-07-02,1045.0,1046.0,1024.0,1034.0,642864.0,39912013700.0,185388.0,JM1401
2013-07-03,1033.0,1038.0,1024.0,1031.0,393988.0,24362642100.0,159814.0,JM1401
