date,open,high,low,close,volume,money,open_interest,symbol
2007-07-31,12780.0,12900.0,12435.0,12580.0,21556.0,1359431000.0,2428.0,L0711
2007-08-01,12650.0,12650.0,12390.0,12450.0,4728.0,295317800.0,2294.0,L0711
2007-08-02,12410.0,12490.0,12300.0,12460.0,5116.0,317512400.0,2740.0,L0711
2007-08-03,12440.0,12560.0,12410.0,12495.0,4810.0,300552000.0,3026.0,L0711
2007-08-06,12420.0,12670.0,12420.0,12550.0,6480.0,407742800.0,3696.0,L0711
2007-08-07,12455.0,12570.0,12440.0,12515.0,3044.0,190520800.0,2952.0,L0711
2007-08-08,12540.0,12640.0,12540.0,12580.0,2124.0,133729000.0,3024.0,L0711
2007-08-09,12575.0,12795.0,12560.0,12770.0,4630.0,293331400.0,4452.0,L0711
2007-08-10,12710.0,12850.0,12620.0,12700.0,8224.0,523157100.0,4708.0,L0711
2007-08-13,12745.0,12780.0,12660.0,12685.0,2740.0,173898000.0,4122.0,L0711
2007-08-14,12665.0,12680.0,12525.0,12530.0,3132.0,196941600.0,3864.0,L0711
2007-08-15,12530.0,12600.0,12520.0,12565.0,2166.0,135998800.0,3908.0,L0711
2007-08-16,12595.0,12620.0,12510.0,12515.0,2528.0,158514600.0,3598.0,L0711
2007-08-17,12480.0,12555.0,12320.0,12495.0,3214.0,200740200.0,3608.0,L0711
2007-08-20,12520.0,12580.0,12505.0,12555.0,2410.0,151160800.0,3080.0,L0711
2007-08-21,12530.0,12550.0,12500.0,12530.0,1396.0,87441200.0,2970.0,L0711
2007-08-22,12495.0,12550.0,12485.0,12545.0,1132.0,70864000.0,2956.0,L0711
2007-08-23,12600.0,12600.0,12535.0,12545.0,1230.0,77172800.0,3060.0,L0711
2007-08-24,12520.0,12560.0,12510.0,12515.0,886.0,55485800.0,2914.0,L0711
2007-08-27,12525.0,12525.0,12450.0,12455.0,1808.0,112775200.0,3500.0,L0711
2007-08-28,12455.0,12475.0,12415.0,12445.0,1054.0,65583400.0,3344.0,L0711
2007-08-29,12440.0,12440.0,12370.0,12390.0,1640.0,101641000.0,3764.0,L0711
2007-08-30,12480.0,12480.0,12345.0,12360.0,2076.0,128580000.0,3840.0,L0711
2007-08-31,12390.0,12390.0,12250.0,12300.0,2210.0,135879900.0,3634.0,L0711
2007-09-03,12315.0,12380.0,12290.0,12360.0,1432.0,88404200.0,3922.0,L0711
2007-09-04,12360.0,12390.0,12325.0,12340.0,1698.0,104914400.0,3812.0,L0711
2007-09-05,12305.0,12340.0,12275.0,12320.0,1242.0,76503500.0,3766.0,L0711
2007-09-06,12310.0,12425.0,12310.0,12390.0,1842.0,113984900.0,3598.0,L0711
2007-09-07,12405.0,12455.0,12375.0,12405.0,1714.0,106332600.0,3566.0,L0711
2007-09-10,12410.0,12435.0,12330.0,12375.0,1308.0,80902900.0,3376.0,L0711
2007-09-11,12370.0,12420.0,12360.0,12370.0,1102.0,68278300.0,3188.0,L0711
2007-09-12,12370.0,12405.0,12330.0,12370.0,956.0,59161200.0,3126.0,L0711
2007-09-13,12410.0,12410.0,12370.0,12370.0,998.0,61834900.0,2976.0,L0711
2007-09-14,12350.0,12385.0,12350.0,12365.0,848.0,52426700.0,2858.0,L0711
2007-09-17,12280.0,12360.0,12280.0,12355.0,1036.0,63939400.0,2694.0,L0711
2007-09-18,12370.0,12390.0,12365.0,12375.0,1028.0,63601000.0,2448.0,L0711
2007-09-19,12590.0,12620.0,12570.0,12600.0,5834.0,367632100.0,3398.0,L0801
2007-09-20,12595.0,12600.0,12510.0,12590.0,9494.0,596292100.0,3836.0,L0801
2007-09-21,12610.0,12615.0,12560.0,12580.0,5954.0,374508400.0,3876.0,L0801
2007-09-24,12595.0,12600.0,12515.0,12530.0,5190.0,325247300.0,3734.0,L0801
2007-09-25,12500.0,12525.0,12465.0,12500.0,4356.0,272186900.0,3582.0,L0801
2007-09-26,12495.0,12515.0,12460.0,12490.0,4924.0,307680700.0,3536.0,L0801
2007-09-27,12520.0,12520.0,12470.0,12480.0,5062.0,316367800.0,3652.0,L0801
2007-09-28,12500.0,12520.0,12485.0,12520.0,3720.0,232632500.0,3740.0,L0801
2007-10-08,12520.0,12600.0,12500.0,12550.0,5346.0,335436900.0,3846.0,L0801
2007-10-09,12500.0,12545.0,12485.0,12515.0,4252.0,265760500.0,3828.0,L0801
2007-10-10,12530.0,12580.0,12505.0,12555.0,4242.0,266029800.0,4316.0,L0801
2007-10-11,12595.0,12595.0,12555.0,12585.0,6432.0,404516100.0,4600.0,L0801
2007-10-12,12600.0,12740.0,12595.0,12625.0,12472.0,789807000.0,6716.0,L0801
2007-10-15,12650.0,12685.0,12620.0,12670.0,8636.0,546445800.0,6928.0,L0801
2007-10-16,12700.0,12760.0,12680.0,12720.0,10532.0,670073600.0,7788.0,L0801
2007-10-17,12725.0,12780.0,12670.0,12675.0,8736.0,555791300.0,7078.0,L0801
2007-10-18,12635.0,12675.0,12630.0,12660.0,6272.0,396865000.0,6922.0,L0801
2007-10-19,12700.0,12700.0,12665.0,12680.0,6664.0,422478000.0,7064.0,L0801
2007-10-22,12625.0,12740.0,12625.0,12735.0,7644.0,485249200.0,7724.0,L0801
2007-10-23,12730.0,12850.0,12730.0,12800.0,9818.0,628415300.0,7998.0,L0801
2007-10-24,12780.0,12815.0,12755.0,12800.0,6554.0,418967500.0,8086.0,L0801
2007-10-25,12830.0,12835.0,12750.0,12820.0,6496.0,415123200.0,7648.0,L0801
2007-10-26,12850.0,12920.0,12825.0,12910.0,7954.0,512070200.0,8620.0,L0801
2007-10-29,12960.0,13105.0,12900.0,13090.0,7804.0,507506000.0,9458.0,L0801
2007-10-30,13090.0,13090.0,12930.0,13015.0,8684.0,564196000.0,8828.0,L0801
2007-10-31,12930.0,13155.0,12930.0,13095.0,7764.0,506415900.0,8990.0,L0801
2007-11-01,13185.0,13230.0,13050.0,13160.0,7112.0,467628500.0,9076.0,L0801
2007-11-02,13100.0,13375.0,13100.0,13365.0,8938.0,593865300.0,9024.0,L0801
2007-11-05,13400.0,13480.0,13355.0,13445.0,9622.0,646542900.0,7634.0,L0801
2007-11-06,13475.0,13640.0,13405.0,13630.0,8632.0,584044000.0,7440.0,L0801
2007-11-07,13685.0,13985.0,13680.0,13935.0,10520.0,728421800.0,8726.0,L0801
2007-11-08,13860.0,13930.0,13700.0,13725.0,13750.0,947524800.0,8144.0,L0801
2007-11-09,13750.0,13820.0,13600.0,13630.0,9364.0,640129700.0,7498.0,L0801
2007-11-12,13590.0,13640.0,13455.0,13480.0,9100.0,615939300.0,7966.0,L0801
2007-11-13,13455.0,13610.0,13320.0,13505.0,12468.0,838779700.0,8138.0,L0801
2007-11-14,13400.0,13430.0,13150.0,13390.0,8826.0,589054000.0,8212.0,L0801
2007-11-15,13455.0,13545.0,13330.0,13380.0,7176.0,481326400.0,7922.0,L0801
2007-11-16,13380.0,13480.0,13300.0,13365.0,8470.0,566298900.0,7360.0,L0801
2007-11-19,13455.0,13665.0,13380.0,13640.0,10168.0,685989300.0,8728.0,L0801
2007-11-20,13565.0,13590.0,13300.0,13310.0,9764.0,655668000.0,6114.0,L0801
2007-11-21,13455.0,13550.0,13300.0,13380.0,6310.0,423108600.0,5344.0,L0801
2007-11-22,13330.0,13465.0,13255.0,13430.0,5814.0,389389900.0,6246.0,L0801
