date,open,high,low,close,volume,money,open_interest,symbol
2018-03-26,440.0,447.1,426.3,429.9,40656.0,17640017000.0,3114.0,SC1809
2018-03-27,429.9,431.7,412.6,424.0,40602.0,17313939400.0,3936.0,SC1809
2018-03-28,429.0,429.2,406.5,410.4,67198.0,27830988600.0,6074.0,SC1809
2018-03-29,410.5,412.0,401.6,409.7,66668.0,27123247000.0,7732.0,SC1809
2018-03-30,407.4,421.7,405.0,420.3,58562.0,24132572200.0,7058.0,SC1809
2018-04-02,420.5,421.3,413.8,416.6,24644.0,10277822600.0,6536.0,SC1809
2018-04-03,414.3,414.3,400.5,402.5,52826.0,21423243000.0,8546.0,SC1809
2018-04-04,403.8,406.9,399.0,401.5,44234.0,17798489600.0,9164.0,SC1809
2018-04-09,398.2,403.5,397.7,402.3,15470.0,6196606400.0,9504.0,SC1809
2018-04-10,404.2,415.2,403.8,413.5,61690.0,25302188400.0,8992.0,SC1809
2018-04-11,415.0,421.8,414.1,417.8,66434.0,27784175800.0,12462.0,SC1809
2018-04-12,421.0,429.9,416.9,428.7,110076.0,46726634800.0,14474.0,SC1809
2018-04-13,425.3,428.7,423.3,427.0,63092.0,26884227200.0,13480.0,SC1809
2018-04-16,427.7,431.0,423.5,424.4,65284.0,27935145800.0,13494.0,SC1809
2018-04-17,426.0,427.5,421.5,427.4,55000.0,23383262600.0,13002.0,SC1809
2018-04-18,422.8,431.4,420.6,429.7,80338.0,34180329600.0,14628.0,SC1809
2018-04-19,435.0,444.0,432.5,440.6,84716.0,37094717200.0,15928.0,SC1809
2018-04-20,440.7,443.0,435.3,436.7,68430.0,30107902600.0,15616.0,SC1809
2018-04-23,435.1,441.2,432.4,439.7,70338.0,30693224000.0,15986.0,SC1809
2018-04-24,434.2,449.2,432.2,447.3,91590.0,40388577200.0,18324.0,SC1809
2018-04-25,447.0,448.9,436.6,438.0,98992.0,43876553400.0,16184.0,SC1809
2018-04-26,437.1,445.0,434.4,441.4,109256.0,48016816400.0,16286.0,SC1809
2018-04-27,444.0,445.5,440.4,444.2,80582.0,35665152600.0,16256.0,SC1809
2018-05-02,439.7,444.4,436.0,443.5,33454.0,14762003800.0,17254.0,SC1809
2018-05-03,441.6,448.0,439.1,447.0,111198.0,49224566600.0,21392.0,SC1809
2018-05-04,443.8,448.8,442.8,446.9,100694.0,44865290400.0,20456.0,SC1809
2018-05-07,448.3,461.6,448.3,458.3,135002.0,61392778000.0,22786.0,SC1809
2018-05-08,460.6,462.4,456.9,459.1,110926.0,50978077600.0,23344.0,SC1809
2018-05-09,459.1,466.6,445.3,465.2,244268.0,111350947200.0,25760.0,SC1809
2018-05-10,466.3,478.4,466.0,476.4,165456.0,77877430200.0,30620.0,SC1809
2018-05-11,474.2,474.3,467.0,471.2,165686.0,77952412200.0,28136.0,SC1809
2018-05-14,471.7,472.6,462.7,465.6,168258.0,78853356200.0,24488.0,SC1809
