date,open,high,low,close,volume,money,open_interest,symbol
2006-01-09,5300.0,5350.0,5070.0,5096.0,105678.0,5457740900.0,40144.0,Y0609
2006-01-10,5072.0,5108.0,5050.0,5086.0,63540.0,3229974900.0,39860.0,Y0609
2006-01-11,5072.0,5094.0,5060.0,5080.0,37518.0,1903105900.0,39248.0,Y0609
2006-01-12,5070.0,5094.0,5066.0,5086.0,43268.0,2198618400.0,39260.0,Y0609
2006-01-13,5080.0,5080.0,5032.0,5036.0,43668.0,2202969700.0,38326.0,Y0609
2006-01-16,5056.0,5076.0,5038.0,5058.0,51524.0,2602625000.0,35972.0,Y0609
2006-01-17,5058.0,5066.0,5030.0,5030.0,45684.0,2309503800.0,34782.0,Y0609
2006-01-18,5008.0,5058.0,5008.0,5028.0,60752.0,3059996400.0,33892.0,Y0609
2006-01-19,5036.0,5104.0,5036.0,5092.0,66908.0,3391619800.0,41024.0,Y0609
2006-01-20,5080.0,5148.0,5060.0,5098.0,76374.0,3901784200.0,47796.0,Y0609
2006-01-23,5132.0,5142.0,5084.0,5096.0,69230.0,3539436400.0,48506.0,Y0609
2006-01-24,5100.0,5100.0,5008.0,5050.0,65334.0,3300512300.0,45578.0,Y0609
2006-01-25,5046.0,5076.0,5030.0,5058.0,60468.0,3054569300.0,46948.0,Y0609
2006-01-26,5038.0,5060.0,5020.0,5026.0,62518.0,3156900800.0,41378.0,Y0609
2006-01-27,5046.0,5068.0,5026.0,5050.0,54424.0,2747288800.0,41104.0,Y0609
2006-02-06,5198.0,5236.0,5150.0,5200.0,67300.0,3509066100.0,42456.0,Y0609
2006-02-07,5150.0,5176.0,5110.0,5164.0,63246.0,3259920700.0,37902.0,Y0609
2006-02-08,5100.0,5106.0,4970.0,5064.0,68622.0,3483519300.0,34456.0,Y0609
2006-02-09,5080.0,5106.0,5048.0,5058.0,60258.0,3056102000.0,35750.0,Y0609
2006-02-10,5122.0,5122.0,5060.0,5080.0,51916.0,2642592700.0,36434.0,Y0609
2006-02-13,5088.0,5088.0,5054.0,5070.0,46924.0,2376893700.0,36430.0,Y0609
2006-02-14,5070.0,5086.0,5064.0,5078.0,58968.0,2993822600.0,36038.0,Y0609
2006-02-15,5062.0,5078.0,5052.0,5068.0,62886.0,3187443200.0,35576.0,Y0609
2006-02-16,5062.0,5100.0,5062.0,5088.0,64064.0,3254265000.0,35902.0,Y0609
2006-02-17,5100.0,5160.0,5096.0,5144.0,73466.0,3767788800.0,39894.0,Y0609
2006-02-20,5196.0,5196.0,5148.0,5150.0,57210.0,2956099600.0,39214.0,Y0609
2006-02-21,5150.0,5172.0,5122.0,5122.0,49036.0,2523387500.0,38646.0,Y0609
2006-02-22,5110.0,5144.0,5102.0,5136.0,49354.0,2533265300.0,38694.0,Y0609
2006-02-23,5090.0,5130.0,5086.0,5104.0,53382.0,2730337900.0,36546.0,Y0609
2006-02-24,5112.0,5236.0,5112.0,5202.0,69788.0,3616730600.0,42396.0,Y0609
2006-02-27,5180.0,5194.0,5136.0,5150.0,59806.0,3084559200.0,40730.0,Y0609
2006-02-28,5182.0,5220.0,5166.0,5174.0,59092.0,3069051400.0,41998.0,Y0609
2006-03-01,5230.0,5290.0,5196.0,5268.0,123126.0,6468617500.0,52124.0,Y0609
2006-03-02,5284.0,5308.0,5252.0,5268.0,96778.0,5107963500.0,53610.0,Y0609
2006-03-03,5318.0,5346.0,5284.0,5296.0,90884.0,4823910200.0,50698.0,Y0609
2006-03-06,5280.0,5282.0,5238.0,5238.0,69708.0,3665975900.0,48984.0,Y0609
2006-03-07,5250.0,5278.0,5226.0,5238.0,87036.0,4571436400.0,49274.0,Y0609
2006-03-08,5204.0,5228.0,5196.0,5220.0,77646.0,4048675200.0,45618.0,Y0609
2006-03-09,5200.0,5236.0,5192.0,5236.0,65744.0,3431797400.0,46876.0,Y0609
2006-03-10,5228.0,5252.0,5204.0,5206.0,74606.0,3896262200.0,42780.0,Y0609
2006-03-13,5212.0,5246.0,5204.0,5232.0,85174.0,4455515100.0,53890.0,Y0609
